"gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir05Ox-b15760.2","AT3G50410","DOF3.4",1.16330839241731,0.684,0.112,0,0,"Yes","Dof","cell wall modification, DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of cell cycle, positive regulation of DNA-templated transcription, protein binding, response to auxin, response to salicylic acid, transcription cis-regulatory region binding, zinc ion binding","DEGs"
"Chir08Ox-b29440.2","AT5G66940","AT5G66940.1",2.05298034674634,0.783,0.148,0,0,"Yes","Dof","DNA binding, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, transcription cis-regulatory region binding, zinc ion binding","DEGs"
"Chir01Ox-b19750.2","AT1G19850","ARF5",1.22930782720036,0.816,0.174,0,0,"Yes","ARF","DNA-binding transcription factor activity, embryo development ending in seed dormancy, flower development, identical protein binding, leaf vascular tissue pattern formation, longitudinal axis specification, meristem development, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, root development, transcription cis-regulatory region binding, xylem and phloem pattern formation","DEGs"
"Chir07Ox-b35190.2","AT4G37750","DRG",0.822569009135269,0.865,0.505,0,0,"Yes","AP2","DNA binding, DNA-binding transcription factor activity, gamete generation, glucosinolate metabolic process, maintenance of shoot apical meristem identity, nucleus, plant organ morphogenesis, positive regulation of auxin biosynthetic process, protein binding, regulation of cell population proliferation, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs"
"Chir01Ox-b29910.2","AT1G31320","AT1G31320.1",0.657295240511542,0.668,0.347,5.02462356197878e-270,9.87840992285028e-266,"Yes","LBD","nucleus, phloem or xylem histogenesis, protein binding, transcription cis-regulatory region binding","DEGs"
"Chir06Ox-b28190.2","AT5G11060","KNAT4",0.478422319249975,0.666,0.286,0,0,"Yes","TALE","cytoplasm, cytosol, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, regulation of transcription by RNA polymerase II, response to light stimulus, RNA polymerase II cis-regulatory region sequence-specific DNA binding","DEGs"
"Chir08Ox-b22680.2","AT5G60200","DOF5.3",0.472734874528367,0.394,0.068,0,0,"Yes","Dof","DNA-binding transcription factor activity, nucleus, phloem or xylem histogenesis, regulation of DNA-templated transcription, root development, root radial pattern formation, transcription cis-regulatory region binding","DEGs"
"Chir03Ox-b10550.2","AT3G11260","WOX5B",0.374291454296514,0.333,0.086,3.87635726870478e-299,7.62091839027361e-295,"Yes","WOX","DNA-binding transcription factor activity, maintenance of root meristem identity, nucleus, positive regulation of stem cell population maintenance, protein binding, response to auxin, sequence-specific DNA binding","DEGs"
"Chir01Ox-b04960.2","AT1G05710","F3F20.16",0.371899958511312,0.69,0.387,1.06748566747981e-174,2.09867682226531e-170,"Yes","bHLH","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, protein dimerization activity, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding","DEGs"
"Chir03Ox-b13250.2","AT3G13810","AtIDD11",0.35789746856313,0.574,0.203,0,0,"Yes","C2H2","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","DEGs"
