"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005507","GO:0005507","copper ion binding","23/792","191/21875",4.69511648774843e-07,0.00022301803316805,0.000186816213933569,"ANN1/SKS6/ACO2/cICDH/sks5/ALDH5F1/NA/ATGSTF7/ATGSTF10/BGLU23/ATMT-1/JAL31/JAL34/ATGSKB6/AtFBA8/AtSAM2/ATGRP2/NA/NA/ATCIMS/AAT2/NA/sks17",23
"GO:0008289","GO:0008289","lipid binding","26/792","269/21875",5.79546155041676e-06,0.000695700453579989,0.000582769576627669,"HDG2/ACX3/HDG12/MLP423/LTPG1/NA/ATGLTP1/ATHB-14/ANNAT4/PLD/NA/LTPG2/NA/AtCLB/PDF2/PYR1/ATML1/ORP2A/CAP1/ML3/NA/NA/PLDrp1/FL1/HB-7/AtMAPR5",26
"GO:0044769","GO:0044769","ATPase activity, coupled to transmembrane movement of ions, rotational mechanism","7/792","22/21875",8.41329632813658e-06,0.000695700453579989,0.000582769576627669,"ATVHA-C/VHA-E3/VHA-A/NA/NA/emb2448/NA",7
"GO:0046961","GO:0046961","proton-transporting ATPase activity, rotational mechanism","7/792","22/21875",8.41329632813658e-06,0.000695700453579989,0.000582769576627669,"ATVHA-C/VHA-E3/VHA-A/NA/NA/emb2448/NA",7
"GO:0102336","GO:0102336","3-oxo-arachidoyl-CoA synthase activity","7/792","23/21875",1.17170602708209e-05,0.000695700453579989,0.000582769576627669,"KCS1/AtCER6/KCS8/FDH/KCS16/KCS19/KCS20",7
"GO:0102337","GO:0102337","3-oxo-cerotoyl-CoA synthase activity","7/792","23/21875",1.17170602708209e-05,0.000695700453579989,0.000582769576627669,"KCS1/AtCER6/KCS8/FDH/KCS16/KCS19/KCS20",7
"GO:0102338","GO:0102338","3-oxo-lignoceronyl-CoA synthase activity","7/792","23/21875",1.17170602708209e-05,0.000695700453579989,0.000582769576627669,"KCS1/AtCER6/KCS8/FDH/KCS16/KCS19/KCS20",7
"GO:0102756","GO:0102756","very-long-chain 3-ketoacyl-CoA synthase activity","7/792","23/21875",1.17170602708209e-05,0.000695700453579989,0.000582769576627669,"KCS1/AtCER6/KCS8/FDH/KCS16/KCS19/KCS20",7
"GO:0016853","GO:0016853","isomerase activity","23/792","262/21875",8.85046083495772e-05,0.00382178990600447,0.00320141071350624,"AOC4/HYD1/ATPDI5/NA/ATPDI6/AtCYP19-1/NA/ATCYP5/ATPDI9/ATPDI11/GAE6/FKBP15-1/NA/ATPDI1/A11/ROC2/NA/AtCHIL/ATRGP2/FKBP15-2/CPI1/ROC7/ATPDI2",23
"GO:0003756","GO:0003756","protein disulfide isomerase activity","6/792","23/21875",0.000131520164937201,0.00480554448809004,0.00402547549362445,"ATPDI5/ATPDI6/ATPDI9/ATPDI11/ATPDI1/ATPDI2",6
"GO:0016018","GO:0016018","cyclosporin A binding","5/792","16/21875",0.000192334824642316,0.00652564583607858,0.00546635817404477,"AtCYP19-1/NA/ATCYP5/ROC2/ROC7",5
"GO:0003996","GO:0003996","acyl-CoA ligase activity","4/792","10/21875",0.000300728514934191,0.00892787778710878,0.00747864333191605,"LACS2/LACS3/CER8/LACS4",4
"GO:0004467","GO:0004467","long-chain fatty acid-CoA ligase activity","4/792","10/21875",0.000300728514934191,0.00892787778710878,0.00747864333191605,"LACS2/LACS3/CER8/LACS4",4
"GO:0008144","GO:0008144","drug binding","5/792","18/21875",0.000355204999862433,0.00992484558439152,0.0083137764673684,"AtCYP19-1/NA/ATCYP5/ROC2/ROC7",5
"GO:0016614","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","18/792","202/21875",0.00041720634151423,0.0104301585378557,0.00873706355082431,"ATUGD1/NA/cICDH/ATKCR1/EDA17/AtCRL1/GPDHC1/SDR1/NA/NA/AtBBE19/NA/ATCAD7/ATCAD9/AtFDH1/UGD3/NA/UDG4",18
"GO:0004029","GO:0004029","aldehyde dehydrogenase (NAD+) activity","4/792","12/21875",0.000668900292854955,0.0144421654139138,0.0120978139090513,"ALDH11A3/ALDH1A/ALDH10A9/ALDH3F1",4
"GO:0004030","GO:0004030","aldehyde dehydrogenase [NAD(P)+] activity","4/792","12/21875",0.000668900292854955,0.0144421654139138,0.0120978139090513,"ALDH11A3/ALDH1A/ALDH10A9/ALDH3F1",4
"GO:0004364","GO:0004364","glutathione transferase activity","8/792","59/21875",0.0012340294934904,0.0202128805128511,0.0169317868894354,"ATGSTU17/ATGSTU26/ATGSTU13/ATGSTU7/ATGSTF7/ATGSTF10/ATGSTF5/ATGSTU27",8
"GO:0019187","GO:0019187","beta-1,4-mannosyltransferase activity","5/792","27/21875",0.00255540695347108,0.032887880524544,0.0275492938244379,"ATCSLA03/AtMSR2/AtMSR1/ATCSLA09/ATCSLA02",5
"GO:0051753","GO:0051753","mannan synthase activity","5/792","27/21875",0.00255540695347108,0.032887880524544,0.0275492938244379,"ATCSLA03/AtMSR2/AtMSR1/ATCSLA09/ATCSLA02",5
"GO:0046912","GO:0046912","transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer","4/792","17/21875",0.00278368641755392,0.034796080219424,0.0291477414358832,"ACLA-1/ACLA-2/ACLB-1/ACLB-2",4
"GO:0005509","GO:0005509","calcium ion binding","19/792","263/21875",0.00348120587455636,0.0423993023183146,0.0355167562910203,"AtCRT3/AtCRT1b/ANN1/AtNCL/AtCRT1a/ANNAT4/ANN3/ATCRK3/NA/PLD/CML16/ATCML9/ATCCH1/ATCPK4/NA/AtCDPK6/ATPLDDELTA/ATCNX1/ANNAT2",19
