"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016168","GO:0016168","chlorophyll binding","14/472","21/21875",3.96882080134234e-19,1.28986676043626e-16,1.05278193888239e-16,"CP24/AB140/CP22/LHCA3/LHCB2/LHB1B1/LHCB4.2/LHCB2/CAB4/LHCA1/LHCA2/LHCB5/SEP1/LHCB4.1",14
"GO:0003735","GO:0003735","structural constituent of ribosome","34/472","290/21875",1.04762144259873e-15,1.70238484422294e-13,1.3894768607099e-13,"EMB2394/EMB2784/PRPL34/PRPL11/RPL21C/EMB3105/PRPS6/PSRP3/1/RPS9/emb2184/emb1473/CS17/PRPL35/PRPL28/EMB3113/PRPL3/PRPS10/PRPS20/RFC3/RPL15/GHS1/RPL12-C/RPL9/PRPL17/EMB3126/PRPL5/NA/EMB3136/EMB3137/PSRP6/ARRPS1/RPL27/RPL24/PRPL29",34
"GO:0005198","GO:0005198","structural molecule activity","35/472","414/21875",6.74095966609634e-12,7.30270630493771e-10,5.96042749423256e-10,"EMB2394/EMB2784/ATCPISCA/PRPL34/PRPL11/RPL21C/EMB3105/PRPS6/PSRP3/1/RPS9/emb2184/emb1473/CS17/PRPL35/PRPL28/EMB3113/PRPL3/PRPS10/PRPS20/RFC3/RPL15/GHS1/RPL12-C/RPL9/PRPL17/EMB3126/PRPL5/NA/EMB3136/EMB3137/PSRP6/ARRPS1/RPL27/RPL24/PRPL29",35
"GO:0008266","GO:0008266","poly(U) RNA binding","11/472","29/21875",1.0247999818039e-11,8.32649985215668e-10,6.79604198459428e-10,"OE23/EMB2784/ATLFNR2/ATHPR1/NA/OEC33/CSP41A/ATRBP31/SHM1/ATLFNR1/MSP-1",11
"GO:0008187","GO:0008187","poly-pyrimidine tract binding","11/472","33/21875",5.30300602888746e-11,3.44695391877685e-09,2.81338425111503e-09,"OE23/EMB2784/ATLFNR2/ATHPR1/NA/OEC33/CSP41A/ATRBP31/SHM1/ATLFNR1/MSP-1",11
"GO:0004176","GO:0004176","ATP-dependent peptidase activity","9/472","29/21875",6.41381145836194e-09,3.47414787327939e-07,2.83557980264423e-07,"CLPP5/CLP2/CLPR1/FTSH1/FTSH2/CLPR4/FTSH5/CLPP4/ATHSP93-V",9
"GO:0003727","GO:0003727","single-stranded RNA binding","12/472","76/21875",7.87001305306913e-08,3.65393463178209e-06,2.98232073589988e-06,"OE23/EMB2784/ATLFNR2/ATHPR1/ATCTH/NA/OEC33/CSP41A/ATRBP31/SHM1/ATLFNR1/MSP-1",12
"GO:0016651","GO:0016651","oxidoreductase activity, acting on NAD(P)H","13/472","94/21875",1.14607302500348e-07,4.65592166407664e-06,3.80013687237996e-06,"POR/ATHM1/ATNDI1/ATLFNR2/ATHX/CRR23/NDH-O/NTRC/ATHM4/ATMDAR1/ATHM2/NADP-MDH/ATLFNR1",13
"GO:0016671","GO:0016671","oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","9/472","40/21875",1.4183503246105e-07,5.12182061664904e-06,4.18040095674675e-06,"ATHM1/ACHT4/ATHX/ATMSRB1/NTRC/ATHM4/ATHM2/MSRB2/MSRA4",9
"GO:0016209","GO:0016209","antioxidant activity","14/472","139/21875",1.96196166576122e-06,6.37637541372396e-05,5.20436147128239e-05,"AtSOD1/ATCAT3/TAPX/ATGPX1/AtSOD2/ATGPX2/NTRC/2CPA/ATPRX/APX4/ATFSD1/APX3/CAT2/DHAR3",14
"GO:0046906","GO:0046906","tetrapyrrole binding","24/472","393/21875",5.45058292340431e-06,0.000161039950009673,0.00013143989442085,"CP24/ATCAT3/AB140/CP22/LHCA3/TAPX/LHCB2/LHB1B1/LHCB4.2/AHB2/LHCB2/CAB4/LHCA1/GUN4/LHCA2/APX4/LHCB5/CYP74B2/ATR4/SEP1/APX3/CAT2/CYP79B2/LHCB4.1",24
"GO:0051117","GO:0051117","ATPase binding","5/472","17/21875",2.2864834426125e-05,0.00061925593237422,0.000505433182051185,"CLPP5/CLP2/CLPR1/CLPR4/CLPP4",5
"GO:0016730","GO:0016730","oxidoreductase activity, acting on iron-sulfur proteins as donors","4/472","10/21875",4.05382550003767e-05,0.00101345637500942,0.000827177348995542,"ATLFNR2/PGRL1B/PGR5-LIKE/ATLFNR1",4
"GO:0016627","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","9/472","85/21875",9.05693102719404e-05,0.00210250184559862,0.00171605008936308,"ATCPO-I/POR/AOR/NA/HEMG1/ACX1/PORB/DVR/PORA",9
"GO:0047134","GO:0047134","protein-disulfide reductase activity","4/472","14/21875",0.000180402512439261,0.00390872110285064,0.00319027600945219,"ATHM1/ATHX/ATHM4/ATHM2",4
