"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046686","GO:0046686","response to cadmium ion","82/1324","319/21895",5.29992113106384e-30,1.02659472308707e-26,8.30135015055052e-27,"c-NAD-MDH1/TOR2/APX1/iPGAM1/NA/NA/AlaAT1/CAT1/PGM3/ARF1/APT1/ANN1/MSA1/mMDH1/AtCRT1a/PBG1/Hop2/cICDH/ATXYL1/HIPP20/ASK1/AtVAB1/ATPDI6/ATGSTU19/UBC13A/AtFBA3/ATNTRA/NA/ATGRP7/ARF3/PAG1/TBB7/AtCRL1/FBA6/LEA26/ATCS/ATPDI11/MEE31/GAPC/iPGAM2/ATCDC48/ATSERAT2;2/DDI1/PLD/mtLPD2/ATGSKB6/GABA-T/ATPHS2/ALDH2/AAE3/AtFBA8/NA/AtPPa4/ATCTIMC/RHA1B/ATGPX6/SHM4/AtSBP1/ACX1/NA/AtHsp90-7/RPT2a/PCK1/AT-HSC70-1/AtTudor1/GDH2/NA/NA/TRA2/AtFDH1/ATRGP2/GF14/ATCIMS/AtGGCT2;1/BIP/FRK1/NA/AtTudor2/TUB2/ADK1/NA/TPPJ",82
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","42/1324","125/21895",9.11252767775309e-21,5.88365537060258e-18,4.75769866122688e-18,"c-NAD-MDH1/NA/SDH6/NA/ATCYTC-A/APL2/SDH5/ATPEPC1/NA/APL4/BE3/NA/ATCS/SDH8/SDH4/FUM1/AtUGP1/NA/NA/NA/ATPHS2/SDH7/NA/CSY2/NA/NDB2/SDH3-2/NA/AtCIB22/NA/IDH-V/NA/CI51/NA/NA/RISP/AtVDAC-3/SDH2-2/c-NAD-MDH2/SDHAF2/SDH1-1/SDHAF4",42
"GO:0016192","GO:0016192","vesicle-mediated transport","87/1324","499/21895",2.27680843654245e-19,1.10254448539568e-16,8.91550250940831e-17,"ABCI18/ECH/atgos11/ATRABA1B/p24delta5/ARF1/TNO1/ATSYP61/NA/NA/PRA1.F2/ATSAR1/ADL3/NA/NA/VPS2.1/AP19/ATSLY1/AP4S/SNF7.2/CLC1/AtSYT1/NA/ATRER1B/ATRER1C1/ARF3/ATVAMP722/ATNPSN11/ATMEMB11/PRA1.B4/NA/CLC2/AT-GDI1/ATGOS12/ARF1A1C/NA/TRAPPC6/NA/p24beta2/AtCHC2/ATSYP71/AtCHC1/PRA1.F3/NA/AtCASP/NA/ARFC1/ERD2B/ARA-3/NA/ATELP/ATRAB8/ATVAMP727/ARA-6/ALPHA-SNAP2/NA/ASAR1/NSF/NA/NA/SAY1/AtSEC23F/ATVAMP724/AT-RAB2/AGD8/AP4M/SNF7.1/CAP1/NA/ATRER1A/PRA1.A1/NA/SNX2b/ACT7/NA/ATVTI11/HLB1/NA/FL1/CPI1/ATARLB1/VPS26A/AGD5/TRAPPC3/TRAPPC5/ATGP1/AtRabE1b",87
"GO:0046034","GO:0046034","ATP metabolic process","34/1324","117/21895",6.36149293470085e-15,1.54027647681444e-12,1.2455133535309e-12,"iPGAM1/NA/ATCYTC-A/NA/AtVAB1/PGK/AtFBA3/ATP3/FBA6/GAPC/iPGAM2/NA/NA/ATPQ/NA/AtFBA8/NA/ATCTIMC/NA/PFK3/PFK1/SDH3-2/NA/AtCIB22/NA/CI51/NA/RISP/ATP5/SDH2-2/NA/SDHAF2/NA/SDH1-1",34
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process","64/1324","365/21895",1.0911853916519e-14,2.34847344847747e-12,1.89904545354154e-12,"AXS2/iPGAM1/ACLA-1/IAR4/ATUGD1/APT1/ATNUDT15/NA/NA/ATMUM4/AT-RSH3/ACLA-2/UGE3/ATRHM1/PGK/AtFBA3/NA/AXS1/ATP3/NSH1/FBA6/ADK/CYT1/ATPMM/MEE31/AtUGP1/GAPC/ACLB-1/iPGAM2/ATRHM3/NA/NA/UGD2/UXS5/GMD2/ATPQ/AtFBA8/NA/AtMDD2/ATCTIMC/FKP1/PFK3/PFK1/LKR/NA/APT5/ATP5/UGD3/ATRGP2/AtGNA1/SAMDC2/FAR1/PYR6/GSDA/ACS/UDG4/NA/ACLB-2/NA/MAB1/ATUXS3/ADK1/NA/BETA-UP",64
"GO:0006631","GO:0006631","fatty acid metabolic process","47/1324","244/21895",1.20622600786685e-12,2.12405434294371e-10,1.7175734925415e-10,"ACX3/KCS3/ACLA-1/LAG13/LACS2/LACS3/ATKCR1/AtCER6/EDA17/ATKAS2/ATECH2/LACS8/ATHPT/PMDH1/FDH/ATCB5-B/KAT2/AtNCER2/CYP86A8/CER8/AAD5/ACP/ACLB-1/PLD/AtPNP-R1/AtFaTA/ATMYB30/SFAR4/AAE3/ACX4/ATTSC13/CSY2/ATT1/FATA2/ATECI3/ACX1/LACS4/CER2/ATOST1/PAS2/PEX4/ATSCP2/KCS20/MOB1-like/ACLB-2/FRK1/ATGPAT9",47
"GO:0006119","GO:0006119","oxidative phosphorylation","18/1324","42/21895",9.18676304255608e-12,1.11217250083945e-09,8.99335750481806e-10,"NA/ATCYTC-A/PGK/NA/NA/NA/NA/SDH3-2/NA/AtCIB22/NA/CI51/NA/RISP/ATP5/SDH2-2/SDHAF2/SDH1-1",18
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","21/1324","63/21895",5.28151506249837e-11,6.01782039768196e-09,4.86618849102017e-09,"AtGET3a/NA/NA/NA/NA/ATRER1B/ATRER1C1/NA/NA/ATPMM/NA/NA/ERD2B/NA/NA/ATRER1A/NA/NA/NA/NA/NA",21
"GO:0009226","GO:0009226","nucleotide-sugar biosynthetic process","17/1324","42/21895",1.04887022181499e-10,1.01583080982782e-08,8.21430994768791e-09,"AXS2/ATUGD1/ATMUM4/UGE3/ATRHM1/AXS1/CYT1/ATPMM/MEE31/ATRHM3/UGD2/UXS5/GMD2/UGD3/AtGNA1/UDG4/ATUXS3",17
"GO:0009415","GO:0009415","response to water","58/1324","408/21895",1.13660436392565e-09,9.17334438718329e-08,7.41783900667268e-08,"AtLEA14/ATCSLD5/ATCTL1/AtMYB60/ESL1/ATGSTU17/CDI3/AtMYB124/ATOCT6/ATVOZ1/ATNCED5/ATP8/ANN1/RD21/ATDI19/BDG1/ATGSTU19/AHA1/ATGRP7/AtCRL1/AtPUB23/ABI5/AKR4C9/ATP5CS/GPDHC1/LEA26/ATMYB2/RGLG1/AtCHC1/ATCYS6/ANAC055/ASPG1/ATERF-7/TIC/FMA/ATPHS2/ALDH10A9/AtCLB/AtATG18a/AtHsp90-7/ATOST1/CER9/ABIG1/RD19/ATPLAT1/ABCG22/ATCYS1/ZIFL1/AtCor6.6/ATBPM1/ATSTP13/ATCBL9/COR78/SPCH/ABI2/HAI1/ANNAT2/ATDI8",58
