"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005740","GO:0005740","mitochondrial envelope","83/699","290/25124",4.36596584910989e-60,8.99388964916638e-58,7.1234179643372e-58,"NA/PMD2/SDH6/NA/NA/ATCYTC-A/APFI/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/ATP3/NA/NA/NA/ATOEP16-3/SDH8/SDH4/ATVDAC1/MPPBETA/NA/NA/NA/AAC1/NA/NA/NA/NA/mtLPD2/NA/NA/NA/SDH7/AtCAL2/ATPQ/NA/AtFBA8/ATPUMP1/BIGYIN/AtPAM16/NA/NA/NA/NDB2/CYTC-2/NA/NA/NA/NA/SDH3-2/NA/AtCIB22/NA/CI51/NA/NA/RISP/ATP5/AAC2/MPT3/AtVDAC-3/CGE1/NA/NA/AtMPC1/SDH2-2/ATTOM22-V/NA/NA/NA/NA/PM-ANT/GAMMA/SDH1-1/ATVDAC2",83
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","63/699","148/25124",3.19393599772806e-58,3.2897540776599e-56,2.60557936656763e-56,"SDH6/NA/NA/APFI/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/ATP3/NA/NA/ATOEP16-3/SDH8/SDH4/MPPBETA/NA/NA/NA/NA/NA/NA/mtLPD2/NA/NA/NA/SDH7/AtCAL2/ATPQ/NA/AtPAM16/NA/NA/NA/NA/NA/NA/NA/SDH3-2/NA/AtCIB22/NA/CI51/NA/NA/RISP/ATP5/CGE1/NA/SDH2-2/NA/NA/NA/NA/GAMMA/SDH1-1",63
"GO:0098803","GO:0098803","respiratory chain complex","51/699","89/25124",5.73433918358069e-56,3.93757957272541e-54,3.11867569633336e-54,"SDH6/NA/NA/APFI/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/NA/NA/NA/ATOEP16-3/SDH8/SDH4/MPPBETA/NA/NA/NA/NA/NA/NA/mtLPD2/NA/NA/NA/SDH7/AtCAL2/NA/NA/NA/NA/NA/SDH3-2/NA/AtCIB22/NA/CI51/NA/RISP/NA/SDH2-2/NA/NA/NA/GAMMA/SDH1-1",51
"GO:0031966","GO:0031966","mitochondrial membrane","76/699","270/25124",2.03201054304512e-54,1.04648542966824e-52,8.28846405715774e-53,"NA/PMD2/SDH6/NA/NA/APFI/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/ATP3/NA/NA/NA/ATOEP16-3/SDH8/SDH4/ATVDAC1/MPPBETA/NA/NA/NA/NA/NA/NA/mtLPD2/NA/NA/NA/SDH7/AtCAL2/ATPQ/NA/ATPUMP1/BIGYIN/AtPAM16/NA/NA/NA/NDB2/NA/NA/NA/NA/SDH3-2/NA/AtCIB22/NA/CI51/NA/NA/RISP/ATP5/MPT3/AtVDAC-3/CGE1/NA/AtMPC1/SDH2-2/ATTOM22-V/NA/NA/NA/NA/PM-ANT/GAMMA/SDH1-1/ATVDAC2",76
"GO:0005746","GO:0005746","mitochondrial respirasome","51/699","94/25124",2.87555988262384e-54,1.18473067164102e-52,9.38340593277252e-53,"SDH6/NA/NA/APFI/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/NA/NA/NA/ATOEP16-3/SDH8/SDH4/MPPBETA/NA/NA/NA/NA/NA/NA/mtLPD2/NA/NA/NA/SDH7/AtCAL2/NA/NA/NA/NA/NA/SDH3-2/NA/AtCIB22/NA/CI51/NA/RISP/NA/SDH2-2/NA/NA/NA/GAMMA/SDH1-1",51
"GO:0070469","GO:0070469","respirasome","51/699","96/25124",1.25812225199917e-53,4.31955306519715e-52,3.42120963262933e-52,"SDH6/NA/NA/APFI/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/NA/NA/NA/ATOEP16-3/SDH8/SDH4/MPPBETA/NA/NA/NA/NA/NA/NA/mtLPD2/NA/NA/NA/SDH7/AtCAL2/NA/NA/NA/NA/NA/SDH3-2/NA/AtCIB22/NA/CI51/NA/RISP/NA/SDH2-2/NA/NA/NA/GAMMA/SDH1-1",51
"GO:0005743","GO:0005743","mitochondrial inner membrane","68/699","216/25124",2.36574984726196e-52,6.96206383622806e-51,5.51415377933239e-51,"SDH6/NA/NA/APFI/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/ATP3/NA/NA/ATOEP16-3/SDH8/SDH4/MPPBETA/NA/NA/NA/NA/NA/NA/mtLPD2/NA/NA/NA/SDH7/AtCAL2/ATPQ/NA/ATPUMP1/AtPAM16/NA/NA/NA/NDB2/NA/NA/NA/NA/SDH3-2/NA/AtCIB22/NA/CI51/NA/NA/RISP/ATP5/MPT3/CGE1/NA/AtMPC1/SDH2-2/NA/NA/NA/NA/PM-ANT/GAMMA/SDH1-1",68
"GO:1990204","GO:1990204","oxidoreductase complex","56/699","141/25124",9.17104870225216e-50,2.36154504082993e-48,1.87041124848564e-48,"SDH6/NA/NA/IAR4/APFI/SDH5/NA/mtE2-3/NA/NA/NA/NA/NA/NA/NA/NA/NA/NA/ATOEP16-3/SDH8/SDH4/MPPBETA/NA/NA/NA/NA/NA/NA/mtLPD2/NA/NA/NA/SDH7/AtCAL2/NA/NA/NA/NA/NA/NA/SDH3-2/NA/AtCIB22/CI51/NA/RISP/AtFDH1/NA/SDH2-2/NA/NA/MAB1/NA/NA/GAMMA/SDH1-1",56
"GO:0098798","GO:0098798","mitochondrial protein complex","66/699","219/25124",1.94797001786336e-49,4.45868692977613e-48,3.53140763472305e-48,"SDH6/NA/NA/IAR4/APFI/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/ATP3/NA/NA/ATOEP16-3/SDH8/SDH4/MPPBETA/NA/NA/NA/NA/NA/NA/mtLPD2/NA/NA/NA/SDH7/AtCAL2/ATPQ/NA/AtPAM16/NA/NA/NA/NA/NA/NA/NA/SDH3-2/NA/AtCIB22/NA/CI51/NA/NA/RISP/ATP5/CGE1/NA/SDH2-2/ATTOM22-V/NA/NA/NA/MAB1/NA/GAMMA/SDH1-1",66
"GO:0019866","GO:0019866","organelle inner membrane","68/699","282/25124",7.00553091689161e-44,1.44313936887967e-42,1.14300767591389e-42,"SDH6/NA/NA/APFI/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/ATP3/NA/NA/ATOEP16-3/SDH8/SDH4/MPPBETA/NA/NA/NA/NA/NA/NA/mtLPD2/NA/NA/NA/SDH7/AtCAL2/ATPQ/NA/ATPUMP1/AtPAM16/NA/NA/NA/NDB2/NA/NA/NA/NA/SDH3-2/NA/AtCIB22/NA/CI51/NA/NA/RISP/ATP5/MPT3/CGE1/NA/AtMPC1/SDH2-2/NA/NA/NA/NA/PM-ANT/GAMMA/SDH1-1",68
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I","32/699","57/25124",4.26031593165934e-35,7.31354234934854e-34,5.79253481936139e-34,"NA/APFI/NA/NA/NA/NA/NA/NA/NA/NA/NA/ATOEP16-3/NA/NA/NA/NA/NA/mtLPD2/NA/AtCAL2/NA/NA/NA/NA/AtCIB22/CI51/NA/NA/NA/NA/NA/GAMMA",32
"GO:0045271","GO:0045271","respiratory chain complex I","32/699","57/25124",4.26031593165934e-35,7.31354234934854e-34,5.79253481936139e-34,"NA/APFI/NA/NA/NA/NA/NA/NA/NA/NA/NA/ATOEP16-3/NA/NA/NA/NA/NA/mtLPD2/NA/AtCAL2/NA/NA/NA/NA/AtCIB22/CI51/NA/NA/NA/NA/NA/GAMMA",32
"GO:0030964","GO:0030964","NADH dehydrogenase complex","32/699","58/25124",9.258721054136e-35,1.46715118242463e-33,1.162025719345e-33,"NA/APFI/NA/NA/NA/NA/NA/NA/NA/NA/NA/ATOEP16-3/NA/NA/NA/NA/NA/mtLPD2/NA/AtCAL2/NA/NA/NA/NA/AtCIB22/CI51/NA/NA/NA/NA/NA/GAMMA",32
