"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","GO:0022626","cytosolic ribosome","79/933","320/25124",2.36336481102182e-42,6.66468876708154e-40,4.20430161118619e-40,"NA/RPS15A/PAB1/ATARCA/CAT1/RPL27A/NA/NA/TOM20-2/NA/NA/ARP1/NA/NA/NA/NA/NA/AP40/NA/RPL7B/NA/PAA2/EMB2296/NA/NA/NA/NA/NA/RPL40A/NA/RPL16A/NA/NA/NA/NA/NA/SAC56/NA/NA/RACK1C/NA/NA/NA/NA/ATPQ/NA/RPL24/RPL23A2/NA/ARS27A/UBQ5/ATRPS13A/RPS18C/NA/emb2448/AtGET1/NA/NA/NA/NA/NA/NA/NA/NA/NA/NA/ATRGP2/NA/RPS11-BETA/BGLU37/EVR1L1/RPL18C/RPS24B/NA/RPP1.3/NA/Cpn60beta3/NA/NA",79
"GO:0005740","GO:0005740","mitochondrial envelope","61/933","290/25124",9.75540208388153e-29,6.87755846913648e-27,4.33858671625257e-27,"ATPHB2/NA/SDH6/NA/ATCYTC-A/TOM20-2/NA/NA/NA/NA/NA/NA/MGP1/NA/NA/AtTIM10/NA/ATP3/ENO2/NA/SDH8/SDH4/ATVDAC1/GAPC/AAC1/NA/NA/TOM40/AtOM47/AtTIM9/SDH7/AtCAL2/ATPQ/AtFBA8/AtPAM16/NA/NA/NDB2/CYTC-2/NA/SDH3-2/NA/NA/MIC60/NA/TOM5/NA/NA/RISP/ATP5/AAC2/MPT3/NA/NA/AtMPC1/NA/ATTOM22-V/NA/AtPAM16L/cMCU/ATVDAC2",61
"GO:0005789","GO:0005789","endoplasmic reticulum membrane","54/933","293/25124",1.12435296699749e-22,5.51812636148118e-21,3.48101289694035e-21,"VAP27-2/AtCRT1b/ATUTR3/DPMS1/p24delta5/NA/ATDAD1/NA/NA/AtCRT1a/NA/ARTUMES/OST1b/ATERDJ2A/OST1a/ATUTR1/ATSPP/NA/ABX45/NA/ADS2/NA/DAD2/NA/NA/NA/NA/NA/p24beta2/NA/NA/NA/NA/ATSTE24/NA/AtGET1/NA/HAP6/BTI1/NA/PPI1/DER1/NA/NA/NA/NA/NA/ATVTI11/NA/NA/NA/ATCNX1/NA/DGL1",54
"GO:0042175","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network","54/933","298/25124",2.58081138382009e-22,9.09736012796581e-21,5.7389095245473e-21,"VAP27-2/AtCRT1b/ATUTR3/DPMS1/p24delta5/NA/ATDAD1/NA/NA/AtCRT1a/NA/ARTUMES/OST1b/ATERDJ2A/OST1a/ATUTR1/ATSPP/NA/ABX45/NA/ADS2/NA/DAD2/NA/NA/NA/NA/NA/p24beta2/NA/NA/NA/NA/ATSTE24/NA/AtGET1/NA/HAP6/BTI1/NA/PPI1/DER1/NA/NA/NA/NA/NA/ATVTI11/NA/NA/NA/ATCNX1/NA/DGL1",54
"GO:0098798","GO:0098798","mitochondrial protein complex","45/933","219/25124",4.48009033995645e-21,1.26338547586772e-19,7.96984492055411e-20,"ATPHB2/SDH6/NA/TOM20-2/NA/NA/NA/NA/NA/NA/MGP1/NA/NA/NA/ATP3/NA/SDH8/SDH4/NA/NA/TOM40/SDH7/AtCAL2/ATPQ/AtPAM16/NA/NA/NA/SDH3-2/NA/NA/MIC60/NA/TOM5/NA/NA/RISP/ATP5/NA/NA/ATTOM22-V/NA/NA/AtPAM16L/cMCU",45
"GO:0098803","GO:0098803","respiratory chain complex","25/933","89/25124",1.12010853478994e-15,2.10580404540508e-14,1.32840942020701e-14,"ATPHB2/SDH6/NA/NA/NA/NA/NA/NA/NA/NA/SDH8/SDH4/NA/SDH7/AtCAL2/NA/NA/SDH3-2/NA/NA/NA/NA/RISP/NA/NA",25
"GO:0070469","GO:0070469","respirasome","25/933","96/25124",7.83801555268382e-15,1.30018846226873e-13,8.20201008299422e-14,"ATPHB2/SDH6/NA/NA/NA/NA/NA/NA/NA/NA/SDH8/SDH4/NA/SDH7/AtCAL2/NA/NA/SDH3-2/NA/NA/NA/NA/RISP/NA/NA",25
"GO:1990204","GO:1990204","oxidoreductase complex","27/933","141/25124",2.0347007688512e-12,3.01992429903177e-11,1.90506609382744e-11,"ATPHB2/SDH6/NA/NA/NA/NA/NA/NA/NA/NA/NA/SDH8/SDH4/NA/SDH7/AtCAL2/NA/NA/SDH3-2/NA/NA/NA/RISP/NA/NA/NA/NA",27
"GO:0005730","GO:0005730","nucleolus","53/933","486/25124",2.6553323500835e-12,3.74401861361773e-11,2.36184824823216e-11,"ATPDI10/ASK4/RPL27A/NA/ARP1/LOS1/NOP56/NA/NA/EMB2296/NA/PFN1/MGP1/At-RSZ22a/NA/NA/ATP3/NA/RPL40A/AtPEIP1/RPL16A/NA/NA/AAC1/NA/SAC56/NA/AtSAMS3/RACK1C/NA/NA/ATEBP1/ATPQ/AtFBA8/RPL24/AtCBF5/ATRPS13A/RPS18C/NA/NA/ATFKBP53/AtLa1/PCK1/ATGRP8/NA/NA/HIT4/NA/NA/ATHD2/NA/BIP/DGL1",53
"GO:0099503","GO:0099503","secretory vesicle","28/933","174/25124",6.1854506601915e-11,8.30617660082859e-10,5.23980532116473e-10,"NA/AtCRT1b/APA1/PBC1/ATPDI5/AtCRT1a/SPI-1/ATPDI6/PLAT2/NA/ATPDI11/FKBP15-1/UGD2/ATPCB/ATPDI1/NA/HSP70/AtHsp90-7/AtENODL2/CYCLASE1/NA/ATPLAT1/NA/BGLU37/BIP/AtXTH22/NA/ATPDI2",28
