"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009534","GO:0009534","chloroplast thylakoid","205/524","413/25124",2.47367597001852e-243,2.79525384612093e-241,1.43212819316862e-241,"CLPP5/PSB27/POR/OE23/EMB2784/ALB-1V/CLPP6/NA/TL20.3/PnsL2/NA/CP24/ACR11/NDF6/ATLFNR2/DRT112/NA/NA/PYG7/AB140/PSAK/PSAF/PRK/NA/OHP2/GAPB/CP22/Lhca5/CLPR1/NA/CURT1C/PSAH-2/NA/AtTLP18.3/ZKT/PSAG/NA/LHCA3/PRPS6/NDF2/PTAC4/CLPP3/RBCS1A/HHL1/PSBY/PSRP3/1/CRR23/LIL8/NA/NA/RIQ2/NDH-O/LQY1/PETE1/NA/NA/TAPX/PSBR/CS17/APG2/LHCB2/AtPGR5/PSBX/NA/PSAE-2/PSB29/AtFBA1/YCF37/STIC2/ATGPX1/NA/NA/BASS2/NA/ALB3/NA/PSBW/FTSH2/EMB3113/LHB1B1/EDA3/NA/PnsL1/RCA/NA/NA/NA/NA/CURT1B/CAO/CRR6/ATCYP38/ATBCA1/ATF1/EMB3119/NA/LHCB4.2/NA/NA/FLU/ATHM4/PSAH-1/NDF4/DAC/GBP/ELIP/FIB4/ATPRX/NA/NA/CCL/GHS1/LHCB2/RPL12-C/PTAC16/NA/CAB4/OEC33/NA/ATG4/PSRP2/NA/CP33/NA/LHCA1/PDE329/PPL1/NA/PPD6/PSRP5/ACSF/NA/NA/LHCA2/NA/CYP20-3/CSP41A/EMB3126/TROL/CURT1A/HEMG1/MPH2/PSAD-1/PETC/ATHM2/ATPC1/PSBQ/APX4/ATPD/LHCB5/PSAL/PPD1/LIL3:1/ATRAB8D/PSBQ/PGR5-LIKE/CRR31/ATRBP31/CHLM/PORB/NA/NA/PSB28/PDE334/AtGLDP1/SEP1/HCF244/NDH-M/SHM1/FKBP16-2/LHCB4.1/FIP/ATEGY2/MPH1/RIQ1/PPD5/DiT1/NA/ENH1/DVR/NA/ATCPN21/CDF1/CaS/HCF136/NA/NA/ATGSL1/CLD1/APE1/AtCEST/CLPP4/ATFKBP13/APE2/LIL3:2/HCF106/NA/NA/TL17/LHCB3/CcdA/NdhN/PSAN/ATLFNR1/MSP-1",205
"GO:0031976","GO:0031976","plastid thylakoid","205/524","416/25124",1.83650304225266e-242,1.03762421887276e-240,5.31619301704719e-241,"CLPP5/PSB27/POR/OE23/EMB2784/ALB-1V/CLPP6/NA/TL20.3/PnsL2/NA/CP24/ACR11/NDF6/ATLFNR2/DRT112/NA/NA/PYG7/AB140/PSAK/PSAF/PRK/NA/OHP2/GAPB/CP22/Lhca5/CLPR1/NA/CURT1C/PSAH-2/NA/AtTLP18.3/ZKT/PSAG/NA/LHCA3/PRPS6/NDF2/PTAC4/CLPP3/RBCS1A/HHL1/PSBY/PSRP3/1/CRR23/LIL8/NA/NA/RIQ2/NDH-O/LQY1/PETE1/NA/NA/TAPX/PSBR/CS17/APG2/LHCB2/AtPGR5/PSBX/NA/PSAE-2/PSB29/AtFBA1/YCF37/STIC2/ATGPX1/NA/NA/BASS2/NA/ALB3/NA/PSBW/FTSH2/EMB3113/LHB1B1/EDA3/NA/PnsL1/RCA/NA/NA/NA/NA/CURT1B/CAO/CRR6/ATCYP38/ATBCA1/ATF1/EMB3119/NA/LHCB4.2/NA/NA/FLU/ATHM4/PSAH-1/NDF4/DAC/GBP/ELIP/FIB4/ATPRX/NA/NA/CCL/GHS1/LHCB2/RPL12-C/PTAC16/NA/CAB4/OEC33/NA/ATG4/PSRP2/NA/CP33/NA/LHCA1/PDE329/PPL1/NA/PPD6/PSRP5/ACSF/NA/NA/LHCA2/NA/CYP20-3/CSP41A/EMB3126/TROL/CURT1A/HEMG1/MPH2/PSAD-1/PETC/ATHM2/ATPC1/PSBQ/APX4/ATPD/LHCB5/PSAL/PPD1/LIL3:1/ATRAB8D/PSBQ/PGR5-LIKE/CRR31/ATRBP31/CHLM/PORB/NA/NA/PSB28/PDE334/AtGLDP1/SEP1/HCF244/NDH-M/SHM1/FKBP16-2/LHCB4.1/FIP/ATEGY2/MPH1/RIQ1/PPD5/DiT1/NA/ENH1/DVR/NA/ATCPN21/CDF1/CaS/HCF136/NA/NA/ATGSL1/CLD1/APE1/AtCEST/CLPP4/ATFKBP13/APE2/LIL3:2/HCF106/NA/NA/TL17/LHCB3/CcdA/NdhN/PSAN/ATLFNR1/MSP-1",205
"GO:0034357","GO:0034357","photosynthetic membrane","176/524","364/25124",8.5096450774022e-204,3.20529964582149e-202,1.64221220791972e-202,"PSB27/POR/OE23/EMB2784/PSAO/TL20.3/PnsL2/NA/CP24/ACR11/NDF6/ATLFNR2/DRT112/PYG7/AB140/PSAK/PSAF/PRK/NA/OHP2/GAPB/ATCAO/CP22/Lhca5/NA/CURT1C/PSAH-2/NA/AtTLP18.3/ZKT/PSAG/NA/LHCA3/PRPS6/NDF2/PTAC4/RBCS1A/PSBY/PSRP3/1/CRR23/LIL8/NA/NA/RIQ2/NDH-O/LQY1/NA/NA/TAPX/PSBR/APG2/LHCB2/AtPGR5/PSBX/NA/PSAE-2/PSB29/YCF37/STIC2/ATGPX1/NA/NA/NA/ALB3/NA/PSBW/FTSH2/EMB3113/LHB1B1/EDA3/NA/PnsL1/RCA/NA/NA/NA/CURT1B/CAO/CRR6/ATCYP38/ATBCA1/EMB3119/LHCB4.2/NA/NA/FLU/ATHM4/PSAH-1/NDF4/DAC/ELIP/FIB4/ATPRX/NA/NA/CCL/LHCB2/RPL12-C/PTAC16/NA/CAB4/OEC33/NA/ATG4/PSRP2/NA/CP33/NA/LHCA1/PDE329/PPL1/NA/PPD6/PSRP5/ACSF/LHCA2/CYP20-3/EMB3126/TROL/CURT1A/MPH2/PSAD-1/PETC/ATHM2/ATPC1/PSBQ/APX4/ATPD/LHCB5/PSAL/PPD1/LIL3:1/ATRAB8D/PSBQ/PGR5-LIKE/CRR31/ATRBP31/CHLM/PORB/NA/NA/PSB28/PDE334/SEP1/HCF244/NDH-M/mTERF6/FKBP16-2/LHCB4.1/FIP/ATEGY2/MPH1/RIQ1/PPD5/NA/ENH1/ATCPN21/CDF1/CaS/HCF136/NA/NA/ATGSL1/APE1/AtCEST/CLPP4/LIL3:2/HCF106/NA/TL17/LHCB3/CcdA/NdhN/PSAN/ATLFNR1/MSP-1",176
"GO:0042651","GO:0042651","thylakoid membrane","175/524","363/25124",2.91959553156371e-202,8.24785737666749e-201,4.22573037463169e-201,"PSB27/POR/OE23/EMB2784/TL20.3/PnsL2/NA/CP24/ACR11/NDF6/ATLFNR2/DRT112/PYG7/AB140/PSAK/PSAF/PRK/NA/OHP2/GAPB/ATCAO/CP22/Lhca5/NA/CURT1C/PSAH-2/NA/AtTLP18.3/ZKT/PSAG/NA/LHCA3/PRPS6/NDF2/PTAC4/RBCS1A/PSBY/PSRP3/1/CRR23/LIL8/NA/NA/RIQ2/NDH-O/LQY1/NA/NA/TAPX/PSBR/APG2/LHCB2/AtPGR5/PSBX/NA/PSAE-2/PSB29/YCF37/STIC2/ATGPX1/NA/NA/NA/ALB3/NA/PSBW/FTSH2/EMB3113/LHB1B1/EDA3/NA/PnsL1/RCA/NA/NA/NA/CURT1B/CAO/CRR6/ATCYP38/ATBCA1/EMB3119/LHCB4.2/NA/NA/FLU/ATHM4/PSAH-1/NDF4/DAC/ELIP/FIB4/ATPRX/NA/NA/CCL/LHCB2/RPL12-C/PTAC16/NA/CAB4/OEC33/NA/ATG4/PSRP2/NA/CP33/NA/LHCA1/PDE329/PPL1/NA/PPD6/PSRP5/ACSF/LHCA2/CYP20-3/EMB3126/TROL/CURT1A/MPH2/PSAD-1/PETC/ATHM2/ATPC1/PSBQ/APX4/ATPD/LHCB5/PSAL/PPD1/LIL3:1/ATRAB8D/PSBQ/PGR5-LIKE/CRR31/ATRBP31/CHLM/PORB/NA/NA/PSB28/PDE334/SEP1/HCF244/NDH-M/mTERF6/FKBP16-2/LHCB4.1/FIP/ATEGY2/MPH1/RIQ1/PPD5/NA/ENH1/ATCPN21/CDF1/CaS/HCF136/NA/NA/ATGSL1/APE1/AtCEST/CLPP4/LIL3:2/HCF106/NA/TL17/LHCB3/CcdA/NdhN/PSAN/ATLFNR1/MSP-1",175
"GO:0055035","GO:0055035","plastid thylakoid membrane","169/524","335/25124",2.324683526287e-199,5.25378476940861e-198,2.69173881991126e-198,"PSB27/POR/OE23/EMB2784/TL20.3/PnsL2/NA/CP24/ACR11/NDF6/ATLFNR2/DRT112/PYG7/AB140/PSAK/PSAF/PRK/NA/OHP2/GAPB/CP22/Lhca5/NA/CURT1C/PSAH-2/NA/AtTLP18.3/ZKT/PSAG/NA/LHCA3/PRPS6/NDF2/PTAC4/RBCS1A/PSBY/PSRP3/1/CRR23/LIL8/NA/NA/RIQ2/NDH-O/LQY1/NA/TAPX/PSBR/APG2/LHCB2/AtPGR5/PSBX/NA/PSAE-2/PSB29/YCF37/STIC2/ATGPX1/NA/NA/NA/ALB3/NA/PSBW/FTSH2/EMB3113/LHB1B1/EDA3/NA/PnsL1/RCA/NA/NA/NA/CURT1B/CAO/CRR6/ATCYP38/ATBCA1/EMB3119/LHCB4.2/NA/NA/FLU/ATHM4/PSAH-1/NDF4/DAC/ELIP/FIB4/ATPRX/NA/NA/CCL/LHCB2/RPL12-C/PTAC16/NA/CAB4/OEC33/NA/ATG4/PSRP2/NA/CP33/NA/LHCA1/PDE329/PPL1/NA/PSRP5/ACSF/LHCA2/CYP20-3/EMB3126/TROL/CURT1A/MPH2/PSAD-1/PETC/ATHM2/ATPC1/PSBQ/APX4/ATPD/LHCB5/PSAL/PPD1/LIL3:1/ATRAB8D/PSBQ/PGR5-LIKE/CRR31/ATRBP31/CHLM/PORB/NA/NA/PSB28/PDE334/SEP1/NDH-M/FKBP16-2/LHCB4.1/FIP/ATEGY2/MPH1/RIQ1/PPD5/NA/ENH1/ATCPN21/CDF1/CaS/HCF136/NA/ATGSL1/APE1/AtCEST/CLPP4/LIL3:2/HCF106/NA/TL17/LHCB3/CcdA/NdhN/PSAN/ATLFNR1/MSP-1",169
"GO:0009535","GO:0009535","chloroplast thylakoid membrane","166/524","329/25124",1.28196528459885e-195,2.41436795266116e-194,1.23698404654275e-194,"PSB27/POR/OE23/EMB2784/TL20.3/PnsL2/NA/CP24/ACR11/NDF6/ATLFNR2/PYG7/AB140/PSAK/PSAF/PRK/NA/OHP2/GAPB/CP22/Lhca5/NA/CURT1C/PSAH-2/NA/AtTLP18.3/ZKT/PSAG/NA/LHCA3/PRPS6/NDF2/PTAC4/RBCS1A/PSBY/PSRP3/1/CRR23/LIL8/NA/NA/RIQ2/NDH-O/LQY1/NA/TAPX/PSBR/APG2/LHCB2/AtPGR5/PSBX/NA/PSAE-2/PSB29/YCF37/STIC2/ATGPX1/NA/NA/NA/ALB3/NA/PSBW/FTSH2/EMB3113/LHB1B1/EDA3/NA/PnsL1/RCA/NA/NA/NA/CURT1B/CAO/CRR6/ATCYP38/ATBCA1/EMB3119/LHCB4.2/NA/NA/FLU/ATHM4/PSAH-1/NDF4/DAC/ELIP/FIB4/ATPRX/NA/NA/CCL/LHCB2/RPL12-C/PTAC16/NA/CAB4/OEC33/NA/ATG4/PSRP2/NA/CP33/NA/LHCA1/PDE329/PPL1/NA/PSRP5/ACSF/LHCA2/CYP20-3/EMB3126/TROL/CURT1A/MPH2/PSAD-1/PETC/ATHM2/ATPC1/PSBQ/APX4/ATPD/LHCB5/PSAL/PPD1/LIL3:1/ATRAB8D/PSBQ/PGR5-LIKE/CRR31/ATRBP31/CHLM/PORB/NA/NA/PSB28/PDE334/SEP1/NDH-M/FKBP16-2/LHCB4.1/FIP/ATEGY2/MPH1/RIQ1/PPD5/NA/ENH1/ATCPN21/CaS/HCF136/NA/ATGSL1/APE1/AtCEST/CLPP4/LIL3:2/HCF106/NA/TL17/LHCB3/NdhN/PSAN/ATLFNR1/MSP-1",166
"GO:0031977","GO:0031977","thylakoid lumen","39/524","61/25124",9.92613120398766e-51,1.60236118007229e-49,8.20958219878679e-50,"PSB27/OE23/TL20.3/PnsL2/DRT112/NA/AtTLP18.3/RBCS1A/AtGLYI6/PETE1/NA/NA/AtFBA1/FTSH2/PnsL1/NA/NA/ATCYP38/NA/FIB4/OEC33/PPL1/PPD6/NA/CYP20-3/MPH2/PSBQ/APX4/PPD1/PSBQ/FKBP16-2/PPD5/HCF136/ATFKBP13/NA/TL17/PSAN/ATLFNR1/MSP-1",39
"GO:0009521","GO:0009521","photosystem","35/524","47/25124",1.98530296450886e-49,2.80424043736877e-48,1.43673240852615e-48,"OE23/PSAO/PnsL2/CP24/PSAF/Lhca5/PSAH-2/PSAG/PSBY/LIL8/NA/NA/PSBR/LHCB2/PSAE-2/PnsL1/CURT1B/PSAH-1/LHCB2/OEC33/PPL1/PPD6/LHCA2/MPH2/PSAD-1/PSBQ/LHCB5/PSAL/PPD1/PSBQ/PSB28/PPD5/NA/PSAN/MSP-1",35
"GO:0009543","GO:0009543","chloroplast thylakoid lumen","31/524","45/25124",4.13989806031857e-42,4.67808480815999e-41,2.39678308755286e-41,"PSB27/OE23/TL20.3/PnsL2/DRT112/NA/AtTLP18.3/PETE1/NA/NA/PnsL1/NA/NA/ATCYP38/NA/OEC33/PPL1/PPD6/NA/MPH2/PSBQ/APX4/PPD1/PSBQ/FKBP16-2/HCF136/ATFKBP13/NA/TL17/PSAN/MSP-1",31
"GO:0031978","GO:0031978","plastid thylakoid lumen","31/524","45/25124",4.13989806031857e-42,4.67808480815999e-41,2.39678308755286e-41,"PSB27/OE23/TL20.3/PnsL2/DRT112/NA/AtTLP18.3/PETE1/NA/NA/PnsL1/NA/NA/ATCYP38/NA/OEC33/PPL1/PPD6/NA/MPH2/PSBQ/APX4/PPD1/PSBQ/FKBP16-2/HCF136/ATFKBP13/NA/TL17/PSAN/MSP-1",31
