"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","68/426","443/21895",5.96676639975836e-41,6.72454573252767e-38,5.75949977745097e-38,"RPS15/NA/PCP1/NA/ATARCA/NA/NA/ARP1/RACK1B/ATNUC-L1/RPL34/AP40/NA/RPL7B/NA/EDA27/SNRNP-G/PGY1/RPL24A/NA/NA/AtPEIP1/RPL16A/NA/EMB2777/NA/NA/NA/NA/NA/SmD1a/NA/NA/NA/AML1/NA/EBP2/NA/ATL5/NA/NA/RPL24/NA/RPL23A2/AtCBF5/NA/ARS27A/NA/SmD1b/ATEIF3A-1/NA/NA/NA/NA/PCP-like/AtLa1/MRPL11/NA/NA/NA/NA/NA/ATRAN1/EVR1L1/emb1644/ATFBR1/NA/NA",68
"GO:0042254","GO:0042254","ribosome biogenesis","59/426","366/21895",9.51096646521244e-37,5.35942960314721e-34,4.59029276242095e-34,"RPS15/NA/PCP1/NA/ATARCA/NA/ARP1/RACK1B/ATNUC-L1/RPL34/AP40/NA/RPL7B/NA/EDA27/PGY1/RPL24A/NA/NA/AtPEIP1/RPL16A/EMB2777/NA/NA/NA/NA/NA/NA/NA/AML1/NA/EBP2/NA/ATL5/NA/NA/RPL24/NA/RPL23A2/AtCBF5/NA/ARS27A/NA/NA/NA/NA/NA/AtLa1/MRPL11/NA/NA/NA/NA/NA/ATRAN1/EVR1L1/ATFBR1/NA/NA",59
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","31/426","106/21895",4.5542600379565e-28,1.71088368759233e-25,1.46535314203723e-25,"NA/NA/ARP1/NA/RPL7B/PGY1/RPL24A/NA/NA/AtPEIP1/RPL16A/NA/NA/NA/NA/NA/EBP2/ATL5/NA/RPL24/NA/RPL23A2/NA/NA/NA/NA/MRPL11/NA/NA/NA/NA",31
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","32/426","156/21895",1.16316253179422e-23,3.27721043333022e-21,2.80689484646132e-21,"RPS15/NA/NA/ARP1/ATNUC-L1/AP40/NA/SNRNP-G/RPL24A/NA/RPL16A/NA/NA/NA/NA/SmD1a/NA/NA/AML1/ATL5/NA/RPL24/NA/RPL23A2/ARS27A/SmD1b/ATEIF3A-1/NA/PCP-like/MRPL11/emb1644/NA",32
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization","32/426","159/21895",2.17501646648327e-23,4.9024871154533e-21,4.19892652582139e-21,"RPS15/NA/NA/ARP1/ATNUC-L1/AP40/NA/SNRNP-G/RPL24A/NA/RPL16A/NA/NA/NA/NA/SmD1a/NA/NA/AML1/ATL5/NA/RPL24/NA/RPL23A2/ARS27A/SmD1b/ATEIF3A-1/NA/PCP-like/MRPL11/emb1644/NA",32
"GO:0042255","GO:0042255","ribosome assembly","23/426","82/21895",1.13966521211227e-20,2.14067115675088e-18,1.83346140264378e-18,"RPS15/NA/ARP1/AP40/NA/RPL24A/NA/RPL16A/NA/NA/NA/NA/AML1/ATL5/NA/RPL24/NA/RPL23A2/ARS27A/NA/NA/MRPL11/NA",23
"GO:0002181","GO:0002181","cytoplasmic translation","22/426","81/21895",1.72985342733193e-19,2.7850640180044e-17,2.3853768313735e-17,"NA/NA/ATNUC-L1/NA/AP40/NA/EMB2296/NA/NA/NA/NA/NA/NA/NA/ATEIF3A-1/NA/NA/Drg1-1/NA/RPP1.3/NA/NA",22
"GO:0070925","GO:0070925","organelle assembly","28/426","192/21895",9.80928279691632e-17,1.38188271401559e-14,1.18356741115425e-14,"AtTPX2/RPS15/NA/ARP1/AP40/NA/RPL24A/NA/RPL16A/NA/NA/NA/NA/AML1/ATL5/NA/RPL24/NA/RPL23A2/ARS27A/ATK5/NA/NA/MRPL11/NA/emb1644/NA/ATEB1C",28
"GO:0006364","GO:0006364","rRNA processing","30/426","253/21895",2.52230394189783e-15,3.15848504724317e-13,2.70520785347405e-13,"PCP1/ATNUC-L1/RPL7B/NA/EDA27/PGY1/NA/AtPEIP1/EMB2777/NA/NA/NA/NA/NA/EBP2/NA/NA/AtCBF5/NA/NA/NA/NA/AtLa1/NA/NA/NA/NA/NA/EVR1L1/ATFBR1",30
"GO:0016072","GO:0016072","rRNA metabolic process","30/426","262/21895",6.53939431500301e-15,7.36989739300839e-13,6.31223640721869e-13,"PCP1/ATNUC-L1/RPL7B/NA/EDA27/PGY1/NA/AtPEIP1/EMB2777/NA/NA/NA/NA/NA/EBP2/NA/NA/AtCBF5/NA/NA/NA/NA/AtLa1/NA/NA/NA/NA/NA/EVR1L1/ATFBR1",30
"GO:0000027","GO:0000027","ribosomal large subunit assembly","13/426","40/21895",3.56673135146889e-13,3.65427839373222e-11,3.12984942516457e-11,"NA/ARP1/NA/RPL24A/NA/RPL16A/NA/NA/ATL5/RPL24/NA/RPL23A2/MRPL11",13
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","17/426","86/21895",6.9616041320838e-13,6.53810654738204e-11,5.59981665712355e-11,"RPS15/AP40/NA/EMB2777/NA/NA/NA/AML1/NA/NA/ARS27A/NA/NA/NA/NA/EVR1L1/NA",17
"GO:0000470","GO:0000470","maturation of LSU-rRNA","13/426","46/21895",2.71325235102041e-12,2.35218107661539e-10,2.01461733270099e-10,"RPL7B/PGY1/NA/AtPEIP1/NA/NA/NA/NA/NA/NA/NA/NA/NA",13
