"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048046","GO:0048046","apoplast","18/344","301/25124",2.10996292843061e-07,1.55676889885626e-05,1.49464220480127e-05,"CLE20/NA/CLE43/BGLU40/GDSL1/SKS6/CLE17/sks5/NA/CLE16/ARPN/AtPNP-A/ATGSTF10/NA/RALFL24/NA/ATCAD9/ATSBT1.3",18
"GO:0010168","GO:0010168","ER body","5/344","12/25124",3.4214701073764e-07,1.55676889885626e-05,1.49464220480127e-05,"ERMO3/BGLU23/NAI2/NA/ML3",5
"GO:0009986","GO:0009986","cell surface","5/344","19/25124",4.64206083398173e-06,0.000140809178630779,0.000135189841831749,"ABCG11/ANNAT4/ANN3/ACR4/ANNAT2",5
"GO:0009505","GO:0009505","plant-type cell wall","10/344","235/25124",0.0015741621719802,0.0358121894125497,0.0343830158616729,"AT-EXP10/LTPG1/BDG1/NA/AtLtpI-5/ATGRP-5/PME34/BDX/DGR2/PAE11",10
"GO:0099503","GO:0099503","secretory vesicle","8/344","174/25124",0.00282957803771182,0.0514983202863552,0.0494431530800171,"LTPG1/SKS6/ATTLL1/sks5/ARPN/PLAT2/NAI2/ML3",8
"GO:0000325","GO:0000325","plant-type vacuole","7/344","177/25124",0.0112601993795106,0.170779690589244,0.163964306754277,"ATOCT6/ERMO3/UMAMIT5/NA/ATGRP-5/ATCCH1/ML3",7
"GO:0031225","GO:0031225","anchored component of membrane","9/344","315/25124",0.0303027952848954,0.375771219197944,0.360775143937875,"LTPG1/LTPG6/NA/NA/ARPN/NA/NA/LTPG2/NA",9
"GO:0046658","GO:0046658","anchored component of plasma membrane","6/344","174/25124",0.0330348324569621,0.375771219197944,0.360775143937875,"LTPG1/NA/NA/ARPN/NA/LTPG2",6
"GO:0005777","GO:0005777","peroxisome","8/344","324/25124",0.0787041521420177,0.716207784492361,0.687625750293418,"FDH/ABCG32/ATGSTF10/FRK1/EVR/BGLU26/BGLU23/NAI2",8
"GO:0042579","GO:0042579","microbody","8/344","324/25124",0.0787041521420177,0.716207784492361,0.687625750293418,"FDH/ABCG32/ATGSTF10/FRK1/EVR/BGLU26/BGLU23/NAI2",8
"GO:0030139","GO:0030139","endocytic vesicle","1/344","11/25124",0.140740211027244,0.986365161016819,0.947001831861145,"ACR4",1
"GO:0031226","GO:0031226","intrinsic component of plasma membrane","6/344","273/25124",0.173088534772048,0.986365161016819,0.947001831861145,"LTPG1/NA/NA/ARPN/NA/LTPG2",6
"GO:0008180","GO:0008180","COP9 signalosome","1/344","14/25124",0.175570739324303,0.986365161016819,0.947001831861145,"AtIAA17",1
"GO:0019897","GO:0019897","extrinsic component of plasma membrane","1/344","17/25124",0.208993332492389,0.986365161016819,0.947001831861145,"BASL",1
"GO:0030125","GO:0030125","clathrin vesicle coat","1/344","17/25124",0.208993332492389,0.986365161016819,0.947001831861145,"NA",1
"GO:0005789","GO:0005789","endoplasmic reticulum membrane","6/344","293/25124",0.214710910866707,0.986365161016819,0.947001831861145,"CER1/ADS1/NA/NA/PAS2/NA",6
"GO:0042175","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network","6/344","298/25124",0.225622062096566,0.986365161016819,0.947001831861145,"CER1/ADS1/NA/NA/PAS2/NA",6
