"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005694","GO:0005694","chromosome","15/51","416/25124",2.77857661921429e-15,1.50043137437571e-13,3.50978099269173e-14,"CENH3/G-H2AX/HMGA/ORTH2/HIS4/H1.2/EMB2795/H2A.Z/HTA13/H2A.Z/HTA2/ATRAD51/ATCAP-C/h2a.w.6/ATCAP-E1",15
"GO:0000228","GO:0000228","nuclear chromosome","11/51","242/25124",1.78893814546414e-12,3.22008866183546e-11,7.53237113879639e-12,"G-H2AX/HMGA/ORTH2/EMB2795/H2A.Z/HTA13/H2A.Z/HTA2/ATRAD51/ATCAP-C/h2a.w.6",11
"GO:0044815","GO:0044815","DNA packaging complex","6/51","25/25124",8.873543370399e-12,1.19792835500386e-10,2.80217159065232e-11,"HMGA/HIS4/H1.2/EMB2795/ATCAP-C/ATCAP-E1",6
"GO:0009534","GO:0009534","chloroplast thylakoid","8/51","413/25124",1.70996560111396e-06,1.39202640285556e-05,3.25620211194282e-06,"NDF2/NA/LHB1B1/PnsL1/CRR6/CSP41A/DVR/HTB4",8
"GO:0031976","GO:0031976","plastid thylakoid","8/51","416/25124",1.80447867036831e-06,1.39202640285556e-05,3.25620211194282e-06,"NDF2/NA/LHB1B1/PnsL1/CRR6/CSP41A/DVR/HTB4",8
"GO:0042651","GO:0042651","thylakoid membrane","6/51","363/25124",9.08466749135332e-05,0.000415023216660862,9.70814541896754e-05,"NDF2/NA/LHB1B1/PnsL1/CRR6/NA",6
"GO:0034357","GO:0034357","photosynthetic membrane","6/51","364/25124",9.22273814801916e-05,0.000415023216660862,9.70814541896754e-05,"NDF2/NA/LHB1B1/PnsL1/CRR6/NA",6
"GO:0032993","GO:0032993","protein-DNA complex","3/51","61/25124",0.000261003767455723,0.00108416949558531,0.000253606899552119,"HMGA/HIS4/H1.2",3
"GO:0031012","GO:0031012","extracellular matrix","2/51","21/25124",0.00082770460921426,0.00248311382764278,0.000580845339799481,"ATGER1/ATGER3",2
"GO:0010319","GO:0010319","stromule","2/51","35/25124",0.00230297265346605,0.00592192968034126,0.00138524670885176,"AOR/CSP41A",2
"GO:0048046","GO:0048046","apoplast","4/51","301/25124",0.00324189403399021,0.00681921368492111,0.00159513770407511,"AOR/NA/CSP41A/ATGER3",4
"GO:0018995","GO:0018995","host cellular component","3/51","161/25124",0.00429357898680218,0.00681921368492111,0.00159513770407511,"HMGA/CYCA3;2/H1.2",3
"GO:0033643","GO:0033643","host cell part","3/51","161/25124",0.00429357898680218,0.00681921368492111,0.00159513770407511,"HMGA/CYCA3;2/H1.2",3
"GO:0033646","GO:0033646","host intracellular part","3/51","161/25124",0.00429357898680218,0.00681921368492111,0.00159513770407511,"HMGA/CYCA3;2/H1.2",3
"GO:0033647","GO:0033647","host intracellular organelle","3/51","161/25124",0.00429357898680218,0.00681921368492111,0.00159513770407511,"HMGA/CYCA3;2/H1.2",3
"GO:0033648","GO:0033648","host intracellular membrane-bounded organelle","3/51","161/25124",0.00429357898680218,0.00681921368492111,0.00159513770407511,"HMGA/CYCA3;2/H1.2",3
"GO:0042025","GO:0042025","host cell nucleus","3/51","161/25124",0.00429357898680218,0.00681921368492111,0.00159513770407511,"HMGA/CYCA3;2/H1.2",3
"GO:0043656","GO:0043656","host intracellular region","3/51","161/25124",0.00429357898680218,0.00681921368492111,0.00159513770407511,"HMGA/CYCA3;2/H1.2",3
"GO:0043657","GO:0043657","host cell","3/51","161/25124",0.00429357898680218,0.00681921368492111,0.00159513770407511,"HMGA/CYCA3;2/H1.2",3
"GO:0031977","GO:0031977","thylakoid lumen","2/51","61/25124",0.00684889417524073,0.0105668652989428,0.00247178135647786,"NA/PnsL1",2
"GO:0010287","GO:0010287","plastoglobule","2/51","67/25124",0.00821099343135633,0.0123164901470345,0.0028810503267917,"LHB1B1/CSP41A",2
"GO:0019898","GO:0019898","extrinsic component of membrane","2/51","76/25124",0.0104619694279075,0.0148670091870264,0.00347766296772548,"NA/PnsL1",2
"GO:0010598","GO:0010598","NAD(P)H dehydrogenase complex (plastoquinone)","1/51","13/25124",0.0260762340069375,0.0343443082042591,0.00803375630508985,"NDF2",1
"GO:1990204","GO:1990204","oxidoreductase complex","2/51","141/25124",0.0333338981400336,0.0428578690371861,0.0100252325233184,"NA/PnsL1",2
