"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009611","GO:0009611","response to wounding","6/42","222/21895",3.92728840886083e-06,0.00126458686765319,0.000839199523156578,"AtBBE16/AtJAC1/ATLOX2/CYP74B2/ATSEN1/atnudt8",6
"GO:0009753","GO:0009753","response to jasmonic acid","5/42","205/21895",4.39801657987502e-05,0.00708080669359878,0.00469893350376121,"AtBBE16/AtJAC1/ATLOX2/ATSEN1/JAO2",5
"GO:0006520","GO:0006520","cellular amino acid metabolic process","6/42","417/21895",0.000135174336078618,0.0145087120724384,0.00962820709612615,"ATBCAT-2/FMO/AGT/ASN1/CYP79B2/AtbZIP1",6
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","5/42","288/21895",0.000217201776156519,0.0174847429805998,0.0116031475157298,"ATBCAT-2/FMO/AGT/ASN1/CYP79B2",5
"GO:0009051","GO:0009051","pentose-phosphate shunt, oxidative branch","2/42","14/21895",0.00032214905478371,0.0194938442067924,0.0129364183523337,"PGL2/PGL5",2
"GO:0017014","GO:0017014","protein nitrosylation","2/42","16/21895",0.000423779221886792,0.0194938442067924,0.0129364183523337,"ATCAT3/ATGER3",2
"GO:0018119","GO:0018119","peptidyl-cysteine S-nitrosylation","2/42","16/21895",0.000423779221886792,0.0194938442067924,0.0129364183523337,"ATCAT3/ATGER3",2
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","5/42","351/21895",0.000537836235059574,0.0216479084611479,0.0143658889101439,"NDF6/LHB1B1/PIFI/PGL2/PGL5",5
"GO:0009620","GO:0009620","response to fungus","5/42","374/21895",0.000716442870631706,0.0243251985482039,0.0161425802722635,"ATBG1/AtTSA1/ATBCA1/ATLOX2/NA",5
"GO:0031668","GO:0031668","cellular response to extracellular stimulus","4/42","215/21895",0.000755440948701986,0.0243251985482039,0.0161425802722635,"ATCAT3/AtLrgB/ASN1/AtbZIP1",4
"GO:0071496","GO:0071496","cellular response to external stimulus","4/42","221/21895",0.000837037283673073,0.0245023641220663,0.0162601501038884,"ATCAT3/AtLrgB/ASN1/AtbZIP1",4
"GO:0009991","GO:0009991","response to extracellular stimulus","4/42","267/21895",0.00168136991892694,0.0420092955290705,0.0278780222046463,"ATCAT3/AtLrgB/ASN1/AtbZIP1",4
"GO:0009625","GO:0009625","response to insect","2/42","32/21895",0.00171787966002995,0.0420092955290705,0.0278780222046463,"ATBG1/CYP79B2",2
"GO:0006098","GO:0006098","pentose-phosphate shunt","2/42","33/21895",0.00182649110995959,0.0420092955290705,0.0278780222046463,"PGL2/PGL5",2
"GO:0006740","GO:0006740","NADPH regeneration","2/42","35/21895",0.00205326949395607,0.0440768518035902,0.029250084720918,"PGL2/PGL5",2
"GO:0051156","GO:0051156","glucose 6-phosphate metabolic process","2/42","41/21895",0.00280918548457066,0.0547242248336313,0.0363158471435997,"PGL2/PGL5",2
"GO:0010118","GO:0010118","stomatal movement","3/42","151/21895",0.00303130756967531,0.0547242248336313,0.0363158471435997,"AtLrgB/ATBG1/ATBCA1",3
"GO:0018198","GO:0018198","peptidyl-cysteine modification","2/42","43/21895",0.00308603382428222,0.0547242248336313,0.0363158471435997,"ATCAT3/ATGER3",2
"GO:0006739","GO:0006739","NADP metabolic process","2/42","44/21895",0.00322906916720185,0.0547242248336313,0.0363158471435997,"PGL2/PGL5",2
"GO:0009267","GO:0009267","cellular response to starvation","3/42","161/21895",0.0036304578040273,0.0576278569886889,0.0382427426240727,"ATCAT3/ASN1/AtbZIP1",3
"GO:0009743","GO:0009743","response to carbohydrate","3/42","163/21895",0.00375833849926232,0.0576278569886889,0.0382427426240727,"ASN1/ATSEN1/AtbZIP1",3
"GO:1901568","GO:1901568","fatty acid derivative metabolic process","2/42","50/21895",0.0041511012105385,0.0607570268087908,0.0403193084085797,"ATLOX2/ATCAD7",2
"GO:0044550","GO:0044550","secondary metabolite biosynthetic process","3/42","173/21895",0.00443899914767867,0.0621459880675014,0.0412410447129872,"FMO/ATCAD7/CYP79B2",3
"GO:0031669","GO:0031669","cellular response to nutrient levels","3/42","176/21895",0.00465681667057615,0.0624789569968967,0.0414620080757438,"ATCAT3/ASN1/AtbZIP1",3
"GO:0019748","GO:0019748","secondary metabolic process","4/42","363/21895",0.0050622127372165,0.0652013000553486,0.0432685972907348,"ATBG1/FMO/ATCAD7/CYP79B2",4
"GO:1901607","GO:1901607","alpha-amino acid biosynthetic process","3/42","185/21895",0.00534879580041854,0.0662427787590296,0.0439597387645734,"ATBCAT-2/AGT/ASN1",3
"GO:0015979","GO:0015979","photosynthesis","3/42","197/21895",0.00636323978562111,0.0731772575346427,0.0485615667850032,"NDF6/LHB1B1/ATBCA1",3
"GO:0042594","GO:0042594","response to starvation","3/42","197/21895",0.00636323978562111,0.0731772575346427,0.0485615667850032,"ATCAT3/ASN1/AtbZIP1",3
"GO:0009414","GO:0009414","response to water deprivation","4/42","398/21895",0.00698162200489369,0.0757296340168743,0.0502553635352255,"AtLrgB/ATBG1/ATLOX2/CYP79B2",4
"GO:0009749","GO:0009749","response to glucose","2/42","66/21895",0.00712921787229592,0.0757296340168743,0.0502553635352255,"ASN1/AtbZIP1",2
"GO:0008652","GO:0008652","cellular amino acid biosynthetic process","3/42","207/21895",0.00729074116311523,0.0757296340168743,0.0502553635352255,"ATBCAT-2/AGT/ASN1",3
"GO:0009415","GO:0009415","response to water","4/42","408/21895",0.00760767012306479,0.0765521806133395,0.0508012182559919,"AtLrgB/ATBG1/ATLOX2/CYP79B2",4
"GO:0009746","GO:0009746","response to hexose","2/42","71/21895",0.00820947562459998,0.0801045803370058,0.0531586459902327,"ASN1/AtbZIP1",2
"GO:0009409","GO:0009409","response to cold","4/42","427/21895",0.00889737877748764,0.0815980199326735,0.0541497157447948,"ATCAT3/ATBCA1/AtJAC1/ATGER3",4
"GO:0034284","GO:0034284","response to monosaccharide","2/42","75/21895",0.00912331614620582,0.0815980199326735,0.0541497157447948,"ASN1/AtbZIP1",2
"GO:0009744","GO:0009744","response to sucrose","2/42","76/21895",0.00935857957154684,0.0815980199326735,0.0541497157447948,"ASN1/ATSEN1",2
"GO:0031667","GO:0031667","response to nutrient levels","3/42","227/21895",0.00937616999226373,0.0815980199326735,0.0541497157447948,"ATCAT3/ASN1/AtbZIP1",3
"GO:0001101","GO:0001101","response to acid chemical","4/42","440/21895",0.00985787543607698,0.0835325234320207,0.0554334823690756,"AtLrgB/ATBG1/ATLOX2/CYP79B2",4
"GO:0034285","GO:0034285","response to disaccharide","2/42","80/21895",0.0103265242708012,0.0852600209025123,0.0565798765714612,"ASN1/ATSEN1",2
"GO:0006631","GO:0006631","fatty acid metabolic process","3/42","244/21895",0.0113967379642362,0.091072297913501,0.0604369940387078,"ATLOX2/CYP74B2/ATCAD7",3
