"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003002","GO:0003002","regionalization","9/54","179/21895",5.16726740950904e-10,1.18847150418708e-07,7.88688183556643e-08,"CVP2/ARF5/CRC/ATPIN1/LAX2/OPS/FKD1/AN3/DOF5.3",9
"GO:0009733","GO:0009733","response to auxin","10/54","337/21895",8.57515296849374e-09,6.57428394251186e-07,4.36279712432138e-07,"ARF5/GH3.17/ATPIN1/AGC1-3/WOX5/IAA26/DOF3.4/IAA30/FKD1/anac071",10
"GO:0048826","GO:0048826","cotyledon morphogenesis","4/54","22/21895",2.33832172848519e-07,1.00453699846091e-05,6.66626383417993e-06,"CVP2/ATPIN1/LAX2/OPS",4
"GO:0048825","GO:0048825","cotyledon development","5/54","56/21895",2.6205313003328e-07,1.00453699846091e-05,6.66626383417993e-06,"CVP2/ATPIN1/LAX2/OPS/AN3",5
"GO:0048507","GO:0048507","meristem development","8/54","284/21895",4.50516390157344e-07,1.48026813908841e-05,9.82328971019772e-06,"CVP2/ARF5/CRC/WOX5/CIK3/ANT/AN3/AGO10",8
"GO:0048598","GO:0048598","embryonic morphogenesis","4/54","36/21895",1.83540825735101e-06,5.27679873988414e-05,3.50176575415653e-05,"CVP2/ATPIN1/LAX2/OPS",4
"GO:0048366","GO:0048366","leaf development","8/54","402/21895",5.98946402345831e-06,0.00015306408059949,0.000101575705660989,"CVP2/CRC/ATPIN1/LAX2/OPS/BB/CIK3/AN3",8
"GO:0009606","GO:0009606","tropism","5/54","128/21895",1.58699829156756e-05,0.00033182691550958,0.000220205504571575,"ATPIN1/AGC1-3/IAA30/MEL1/NA",5
"GO:0010252","GO:0010252","auxin homeostasis","3/54","39/21895",0.000121701005236871,0.00192935028799827,0.00128034687304233,"GH3.17/ATPIN1/GH3.3",3
"GO:0071365","GO:0071365","cellular response to auxin stimulus","4/54","107/21895",0.000141266030748262,0.00192935028799827,0.00128034687304233,"ATPIN1/AGC1-3/FKD1/anac071",4
"GO:0090698","GO:0090698","post-embryonic plant morphogenesis","5/54","203/21895",0.000142604151721611,0.00192935028799827,0.00128034687304233,"CVP2/ATPIN1/LAX2/ROXY1/OPS",5
"GO:0009908","GO:0009908","flower development","7/54","489/21895",0.000189743948284102,0.00233410966018607,0.00154895149074133,"ARF5/CRC/ATPIN1/ROXY1/BB/CIK3/MEL1",7
"GO:0010088","GO:0010088","phloem development","2/54","12/21895",0.000387852207653102,0.00437090461440128,0.00290060031619307,"AGC1-3/OPS",2
"GO:0019827","GO:0019827","stem cell population maintenance","3/54","59/21895",0.000418086528334036,0.00437090461440128,0.00290060031619307,"WOX5/ANT/AGO10",3
"GO:0098727","GO:0098727","maintenance of cell number","3/54","59/21895",0.000418086528334036,0.00437090461440128,0.00290060031619307,"WOX5/ANT/AGO10",3
"GO:0010315","GO:0010315","auxin efflux","2/54","17/21895",0.000792915445269539,0.00759877301716642,0.00504266401596856,"ATPIN1/AGC1-3",2
"GO:0003008","GO:0003008","system process","2/54","21/21895",0.00121663924879627,0.0096277665739569,0.00638913571269451,"OPS/SMXL5",2
"GO:0003013","GO:0003013","circulatory system process","2/54","21/21895",0.00121663924879627,0.0096277665739569,0.00638913571269451,"OPS/SMXL5",2
"GO:0003018","GO:0003018","vascular process in circulatory system","2/54","21/21895",0.00121663924879627,0.0096277665739569,0.00638913571269451,"OPS/SMXL5",2
"GO:0010232","GO:0010232","vascular transport","2/54","21/21895",0.00121663924879627,0.0096277665739569,0.00638913571269451,"OPS/SMXL5",2
"GO:0010233","GO:0010233","phloem transport","2/54","21/21895",0.00121663924879627,0.0096277665739569,0.00638913571269451,"OPS/SMXL5",2
"GO:0008283","GO:0008283","cell population proliferation","3/54","93/21895",0.00157309926737938,0.0116713816612018,0.00774531048455043,"BB/ANT/AN3",3
"GO:0009630","GO:0009630","gravitropism","3/54","97/21895",0.00177498942676825,0.0127577365048968,0.00846623246320383,"ATPIN1/IAA30/MEL1",3
"GO:0009629","GO:0009629","response to gravity","3/54","107/21895",0.00234842029783774,0.01588637260302,0.0105424440615007,"ATPIN1/IAA30/MEL1",3
"GO:0010583","GO:0010583","response to cyclopentenone","2/54","35/21895",0.00337182366900982,0.0215422067742294,0.0142957436259188,"ATPIN1/IAA30",2
"GO:0051607","GO:0051607","defense response to virus","2/54","56/21895",0.00844343125658819,0.0462378378336972,0.0306841486768243,"AtNIK1/AGO10",2
