"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016709","GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","7/79","146/21875",9.90747185704409e-07,8.82438290694715e-05,6.8070772122694e-05,"BUS1/FMO/CYP90D1/CYP83A1/ATR4/CYP79B2/CYP79A2",7
"GO:0004497","GO:0004497","monooxygenase activity","8/79","221/21875",1.34723403159499e-06,8.82438290694715e-05,6.8070772122694e-05,"BUS1/FMO/CYP90D1/CYP83A1/ATR4/CYP79B2/CYP79A2/CYP94B1",8
"GO:0020037","GO:0020037","heme binding","9/79","370/21875",7.45889900678122e-06,0.000222676408463935,0.000171771275311673,"BUS1/NA/ATCB5-C/CYP90D1/CYP83A1/ATR4/CYP79B2/CYP79A2/CYP94B1",9
"GO:0005372","GO:0005372","water transmembrane transporter activity","4/79","36/21875",8.49909955969216e-06,0.000222676408463935,0.000171771275311673,"GAMMA-TIP/PIP2;2/AQP1/AtPIP2;1",4
"GO:0015250","GO:0015250","water channel activity","4/79","36/21875",8.49909955969216e-06,0.000222676408463935,0.000171771275311673,"GAMMA-TIP/PIP2;2/AQP1/AtPIP2;1",4
"GO:0016705","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","9/79","392/21875",1.18353001453058e-05,0.000226024968598247,0.000174354334957265,"BUS1/FMO/AtFAD3/CYP90D1/CYP83A1/ATR4/CYP79B2/CYP79A2/CYP94B1",9
"GO:0046906","GO:0046906","tetrapyrrole binding","9/79","393/21875",1.20776700777689e-05,0.000226024968598247,0.000174354334957265,"BUS1/NA/ATCB5-C/CYP90D1/CYP83A1/ATR4/CYP79B2/CYP79A2/CYP94B1",9
"GO:0005506","GO:0005506","iron ion binding","8/79","324/21875",2.22403609729989e-05,0.000364185910932857,0.000280930875448407,"BUS1/NA/CYP90D1/CYP83A1/ATR4/CYP79B2/CYP79A2/CYP94B1",8
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","3/79","69/21875",0.00200103508140399,0.0291261772959914,0.0224677623175185,"NA/NA/bhlh68",3
"GO:0001216","GO:0001216","DNA-binding transcription activator activity","3/79","74/21875",0.00244397845047137,0.0320161177011749,0.024697045394237,"NA/NA/bhlh68",3
"GO:0015267","GO:0015267","channel activity","4/79","177/21875",0.00388388041740374,0.0423990278899909,0.0327063614097158,"GAMMA-TIP/PIP2;2/AQP1/AtPIP2;1",4
"GO:0022803","GO:0022803","passive transmembrane transporter activity","4/79","177/21875",0.00388388041740374,0.0423990278899909,0.0327063614097158,"GAMMA-TIP/PIP2;2/AQP1/AtPIP2;1",4
"GO:0016791","GO:0016791","phosphatase activity","5/79","327/21875",0.00662146769314157,0.0667240206001189,0.0514705181005337,"ATLPP2/NA/AtPFA-DSP2/TPPI/AHL",5
"GO:0016671","GO:0016671","oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","2/79","40/21875",0.00919076469226625,0.0859992981919199,0.0663393541697413,"ATMSRB5/ATMSRA2",2
"GO:0003993","GO:0003993","acid phosphatase activity","2/79","45/21875",0.0115303867420763,0.1006987108808,0.0776783948939879,"ATLPP2/NA",2
"GO:0042578","GO:0042578","phosphoric ester hydrolase activity","5/79","391/21875",0.0136231971025985,0.111539926277525,0.0860412448585171,"ATLPP2/NA/AtPFA-DSP2/TPPI/AHL",5
"GO:0008483","GO:0008483","transaminase activity","2/79","52/21875",0.0151948344746195,0.114655137937937,0.0884443008601199,"ALF1/BCAT4",2
"GO:0016769","GO:0016769","transferase activity, transferring nitrogenous groups","2/79","53/21875",0.0157541410907088,0.114655137937937,0.0884443008601199,"ALF1/BCAT4",2
"GO:0080044","GO:0080044","quercetin 7-O-glucosyltransferase activity","2/79","55/21875",0.0168989187640235,0.116513597794057,0.0898779058917595,"UGT74B1/NA",2
"GO:0004364","GO:0004364","glutathione transferase activity","2/79","59/21875",0.0192912193554671,0.126357486778309,0.0974714241118337,"ATGSTF11/ATGSTU27",2
"GO:0080043","GO:0080043","quercetin 3-O-glucosyltransferase activity","2/79","64/21875",0.0224686981809757,0.140161879128944,0.108120051397176,"UGT74B1/NA",2
