"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
3.52194566945112e-262,0.306768608241619,0.293,0.101,6.9241451861409e-258,"Chir03Ox-b14360.2"
0,0.298565574308688,0.469,0.152,0,"Chir07Ox-b17640.2"
0,0.51032978269447,0.439,0.153,0,"Chir08Ox-b23470.2"
0,0.401828685875866,0.422,0.158,0,"Chir06Ox-b26430.2"
1.76309767648984e-56,0.324551818413639,0.266,0.166,3.46625003197902e-52,"Chir06Ox-b22130.2"
3.03453950384493e-202,0.295882481695478,0.367,0.168,5.96590466455913e-198,"Chir06Ox-b29970.2"
1.58153278452942e-91,0.423997304047657,0.302,0.169,3.10929345438483e-87,"Chir05Ox-b03710.2"
0,0.879022673370691,0.544,0.186,0,"Chir01Ox-b35900.2"
1.52257995933561e-48,0.284085806628998,0.282,0.186,2.99339220005381e-44,"Chir06Ox-b07350.2"
0,1.0808428184347,0.574,0.195,0,"Chir08Ox-b28040.2"
3.49940245628117e-171,0.330251640951416,0.408,0.208,6.87982522904878e-167,"Chir01Ox-b03130.2"
0,0.504521487908293,0.576,0.22,0,"Chir02Ox-b10310.2"
0,0.61653159781929,0.711,0.227,0,"Chir02Ox-b11720.2"
3.50587908165007e-253,0.260677690389919,0.501,0.247,6.89255827452403e-249,"Chir07Ox-b14660.2"
0,0.317287804569907,0.64,0.249,0,"Chir06Ox-b26540.2"
0,0.260846450095938,0.611,0.251,0,"Chir01Ox-b10590.2"
0,0.711934526432466,0.782,0.252,0,"Chir04Ox-b25010.2"
0,0.348031335503026,0.602,0.254,0,"Chir06Ox-b18240.2"
0,0.378974300251342,0.69,0.254,0,"Chir07Ox-b10210.2"
0,0.42356211003531,0.693,0.265,0,"Chir05Ox-b23660.2"
6.05666927275098e-59,0.31193106951768,0.4,0.281,1.19074117902284e-54,"Chir06Ox-b22280.2"
4.79224787075995e-241,0.286261304565329,0.539,0.285,9.42155931391407e-237,"Chir03Ox-b07430.2"
0,1.09784053757964,0.855,0.288,0,"Chir02Ox-b23040.2"
0,0.254527223680286,0.619,0.29,0,"Chir05Ox-b17250.2"
0,0.615113705589869,0.7,0.311,0,"Chir01Ox-b15040.2"
0,2.21595542903718,0.878,0.312,0,"Chir04Ox-b10410.2"
2.21852327052878e-280,0.285182950320649,0.593,0.315,4.36161674985958e-276,"Chir01Ox-b09060.2"
2.49173619200964e-220,0.272012088198412,0.569,0.318,4.89875335349095e-216,"Chir03Ox-b12200.2"
0,0.504045562944756,0.794,0.341,0,"Chir01Ox-b00900.2"
0,0.517185194046169,0.815,0.341,0,"Chir01Ox-b36420.2"
0,1.86709207102781,0.892,0.341,0,"Chir05Ox-b11100.2"
