"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
0,1.65974171690034,0.13,0.003,0,"Chir08Ox-b06190.2"
5.99979280798461e-178,0.300322986294759,0.145,0.009,1.17955926604977e-173,"Chir07Ox-b26490.2"
0,0.333148902993175,0.23,0.012,0,"Chir02Ox-b11920.2"
2.78892177384475e-179,0.309166594518376,0.201,0.017,5.48302020737878e-175,"Chir03Ox-b10440.2"
3.88818606067497e-234,0.311539428743324,0.236,0.018,7.644173795287e-230,"Chir01Ox-b43090.2"
5.76867599524536e-282,0.576793397815977,0.277,0.021,1.13412170066524e-277,"Chir03Ox-b10430.2"
6.68387058925342e-29,0.440137676801925,0.133,0.036,1.31404895784722e-24,"Chir06Ox-b21080.2"
0,1.94623781970007,0.46,0.038,0,"Chir03Ox-b16250.2"
4.83125208598653e-60,0.381426155076531,0.197,0.042,9.49824160104952e-56,"Chir07Ox-b35760.2"
2.21892397694371e-71,0.299743923922319,0.215,0.044,4.36240453867133e-67,"Chir02Ox-b15930.2"
3.27456833891419e-108,0.371739899085363,0.265,0.047,6.4378013543053e-104,"Chir06Ox-b32080.2"
1.88112960428663e-76,0.605680305270589,0.24,0.052,3.69830080202751e-72,"Chir06Ox-b24640.2"
1.12320582305867e-128,0.436200535446679,0.308,0.054,2.20822264813335e-124,"Chir05Ox-b28350.2"
1.09361859784752e-256,1.63072669161014,0.424,0.056,2.15005416336823e-252,"Chir04Ox-b21900.2"
2.31680292627245e-73,0.255763310834791,0.246,0.056,4.55483455305163e-69,"Chir07Ox-b11830.2"
4.55109597985221e-68,0.311923698647156,0.244,0.057,8.94745469638945e-64,"Chir01Ox-b09790.2"
1.40533686098126e-06,0.25808008416876,0.11,0.059,0.0276289226868915,"Chir07Ox-b19300.2"
0,3.51270862235682,0.667,0.061,0,"Chir01Ox-b40890.2"
9.92951626183547e-59,0.305116907066054,0.255,0.068,1.95214289707685e-54,"Chir04Ox-b10990.2"
2.9869649509022e-143,0.529000572561308,0.366,0.07,5.87237309347373e-139,"Chir07Ox-b18570.2"
1.84387163617158e-22,0.262203414446744,0.188,0.073,3.62505163671333e-18,"Chir01Ox-b40640.2"
0,2.30346756712857,0.803,0.076,0,"Chir02Ox-b20340.2"
3.62220966501095e-26,0.334529189393427,0.211,0.079,7.12126420141152e-22,"Chir04Ox-b26270.2"
3.65196383635434e-228,0.680722361654741,0.487,0.08,7.17976090227262e-224,"Chir07Ox-b25040.2"
