"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir07Ox-b24580.2",0,0.342356530946275,0.372,0.035,0,NA,NA,NA,NA,NA
"Chir01Ox-b03040.2",0,1.02513162214258,0.602,0.038,0,"AT1G03940",NA,NA,"AT1G03940.1","anthocyanin-containing compound biosynthetic process, cytoplasm, regulation of flavonoid biosynthetic process, response to jasmonic acid"
"Chir05Ox-b06930.2",0,0.806543325438817,0.468,0.058,0,"AT3G28950",NA,NA,"K5K13.15","biological_process, cellular_component, molecular_function"
"Chir02Ox-b10450.2",0,0.39053901089609,0.377,0.064,0,"AT1G65060",NA,NA,"AT1G65060.1","4-coumarate-CoA ligase activity, chloroplast, CoA-ligase activity, phenylpropanoid metabolic process, pollen exine formation, response to UV"
"Chir01Ox-b40890.2",2.35312123979393e-13,0.525118276320264,0.117,0.068,4.62623635743488e-09,"AT1G52040",NA,NA,"ATMBP","cytoplasm, defense response, nucleus, plant-type vacuole"
"Chir08Ox-b08610.2",0,1.17577351947261,0.711,0.072,0,"AT4G09820","Yes","bHLH","BHLH42","DNA-binding transcription factor activity, jasmonic acid mediated signaling pathway, nucleus, positive regulation of anthocyanin biosynthetic process, protein binding, protein dimerization activity, regulation of flavonoid biosynthetic process, regulation of proanthocyanidin biosynthetic process, seed coat development, seed development, transcription cis-regulatory region binding, trichome differentiation"
"Chir07Ox-b09860.2",0,1.38143573299742,0.771,0.077,0,"AT4G14090",NA,NA,"AT4G14090.1","anthocyanin 5-O-glucosyltransferase activity, anthocyanin-containing compound biosynthetic process, chloroplast, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, regulation of flavonoid biosynthetic process, response to jasmonic acid, UDP-glucosyltransferase activity"
"Chir02Ox-b20340.2",1.50661654331469e-26,0.30788213846998,0.161,0.084,2.96200812415667e-22,NA,NA,NA,NA,NA
"Chir05Ox-b05920.2",2.16445453011143e-29,0.426363212903597,0.181,0.094,4.25531760619907e-25,"AT3G28220",NA,NA,"AT3G28220.1","alpha-amino acid metabolic process, amine metabolic process, cellular component assembly, chloroplast envelope, cytosol, nucleus, plant-type vacuole, response to jasmonic acid, response to wounding, secondary metabolic process"
"Chir06Ox-b04370.2",5.91788403884097e-61,0.357756868005465,0.228,0.098,1.16345600203613e-56,"AT5G44572",NA,NA,"PROSCOOP6","defense response to insect, endoplasmic reticulum, extracellular region, molecular_function, response to wounding"
"Chir05Ox-b08510.2",0,1.29119197371922,0.764,0.103,0,"AT3G29590",NA,NA,"AT3G29590.1","anthocyanin-containing compound biosynthetic process, chloroplast, O-malonyltransferase activity"
"Chir07Ox-b19660.2",0,2.87085622911937,0.815,0.105,0,"AT4G22880",NA,NA,"TDS4","anthocyanin-containing compound biosynthetic process, cytoplasm, dioxygenase activity, leucocyanidin oxygenase activity, proanthocyanidin biosynthetic process, response to jasmonic acid, response to wounding, vacuole organization"
"Chir02Ox-b17600.2",0,1.04166825341406,0.615,0.108,0,"AT1G71030","Yes","MYB_related","ATMYBL2","anthocyanin-containing compound biosynthetic process, cell differentiation, DNA-binding transcription factor activity, nucleus, proanthocyanidin biosynthetic process, protein binding, transcription cis-regulatory region binding"
"Chir08Ox-b15980.2",0,1.44318840890781,0.803,0.111,0,"AT5G54060",NA,NA,"UGT79B1","anthocyanin-containing compound biosynthetic process, cellular response to cytokinin stimulus, cellular response to jasmonic acid stimulus, chloroplast, cyanidin 3-O-glucoside 2-O''-xylosyltransferase activity, cyanidin 3-O-glucoside metabolic process, glycosyltransferase activity, UDP-xylosyltransferase activity"
"Chir02Ox-b08360.2",0,0.676268052064562,0.525,0.112,0,NA,NA,NA,NA,NA
