GeneID,log2FC_Col0_leaf_protoplast,Col0.leaf.vs.protoplast_q_value
AT5G12030,7.76683214,1.92E-27
AT1G53540,7.378443106,1.80E-26
AT3G12580,6.98545529,4.16E-23
AT1G76680,6.443542972,2.78E-21
AT3G28210,6.344957848,5.11E-35
AT5G12020,6.312819457,7.20E-23
AT1G07400,6.028664559,4.11E-26
AT3G46230,5.883843016,2.30E-21
AT4G39670,5.832460213,7.73E-13
AT3G25250,5.826563859,3.00E-31
AT3G01830,5.611104382,5.43E-05
AT2G26150,5.568860524,4.21E-25
AT5G52640,5.471550043,7.40E-17
AT1G59860,5.38348066,3.96E-19
AT1G28480,5.322928336,2.64E-13
AT5G05220,5.278312728,4.93E-08
AT5G63790,5.268138072,2.50E-15
AT4G37990,5.248542098,1.20E-25
AT1G74310,5.201779457,1.16E-21
AT5G49480,5.163884593,9.85E-16
AT3G25760,5.091087477,4.37E-21
AT1G01720,5.08489869,4.71E-09
AT2G01008,5.065189464,2.81E-24
AT1G05100,5.01895917,2.48E-14
AT3G24500,5.012119679,1.31E-19
AT2G29420,4.936375888,3.43E-17
AT1G22810,4.891901714,1.20E-09
AT4G22880,4.815712947,8.36E-13
AT5G08790,4.78082426,8.50E-12
AT5G42380,4.762881272,0.000252334
AT2G29500,4.712335482,1.31E-10
AT4G01870,4.712093493,1.02E-11
AT3G09440,4.663008806,8.37E-22
AT5G16960,4.660552384,3.56E-23
AT4G14365,4.653516576,8.48E-08
AT4G36950,4.599225211,5.53E-23
AT1G01060,4.559105039,5.01E-19
AT5G01380,4.551663919,1.25E-05
AT5G11650,4.545165996,1.19E-11
AT2G15480,4.504153057,4.69E-19
AT3G25780,4.459429494,8.81E-07
AT3G21150,4.449209192,1.02E-13
AT4G21990,4.442238858,6.93E-21
AT5G41740,4.438504793,6.84E-12
AT2G25460,4.420384404,0.003798535
AT4G33930,4.413318213,5.95E-17
AT2G38240,4.407924357,9.49E-07
AT2G20560,4.401582021,3.43E-14
AT5G64750,4.400716903,0.000525852
AT1G07160,4.388967322,2.26E-16
AT4G14690,4.379457162,2.22E-10
AT1G17170,4.376568962,7.30E-17
AT4G33905,4.365705027,4.32E-13
AT3G12320,4.3596985,4.08E-15
AT4G05010,4.357756365,2.46E-11
AT1G63860,4.317987091,6.18E-14
AT3G22840,4.31779083,5.40E-07
AT3G25770,4.315783492,6.01E-15
AT4G34131,4.288375435,3.86E-18
AT2G32190,4.241613301,0.001360504
AT5G48540,4.237987154,3.40E-19
AT1G17420,4.194501669,1.13E-05
AT1G71000,4.185490559,1.73E-09
AT3G56790,4.144377711,1.29E-05
AT2G47140,4.135913819,1.48E-09
AT3G23250,4.115804565,0.000277108
AT3G07090,4.086122457,7.58E-19
AT2G31865,4.080505068,3.27E-13
AT5G54165,4.04617523,1.53E-09
AT2G20880,4.043794608,0.00040683
