GeneID,log2FC_Ox_WT_leaf_protoplast,Ox.leaf.vs.protoplast_q_value
Chir03Ox_b24790.2,9.330204486,8.67E-87
Chir05Ox_b11000.2,8.84087899,2.81E-83
Chir06Ox_b27110.2,10.64133707,9.07E-83
Chir01Ox_b43130.2,8.99774569,8.29E-80
Chir06Ox_b27100.2,10.56734817,4.21E-76
Chir08Ox_b14320.2,8.479295719,3.45E-70
Chir08Ox_b08100.2,7.060768609,8.08E-63
Chir02Ox_b21240.2,8.147132617,9.80E-62
Chir05Ox_b11010.2,7.32607401,1.30E-60
Chir01Ox_b16090.2,8.809182545,7.07E-60
Chir01Ox_b15630.2,5.545467612,2.87E-58
Chir04Ox_b11210.2,10.97764409,3.46E-57
Chir03Ox_b11750.2,9.754604732,1.12E-53
Chir08Ox_b22120.2,6.014809382,1.19E-49
Chir01Ox_b00490.2,5.543994372,4.02E-48
Chir03Ox_b25740.2,5.865711498,1.32E-45
Chir07Ox_b22220.2,6.061253143,1.99E-45
Chir06Ox_b36470.2,6.102263359,1.21E-44
Chir03Ox_b35090.2,6.240574691,8.98E-43
Chir03Ox_b08580.2,5.178603495,1.34E-39
Chir03Ox_b15820.2,6.300503275,6.22E-38
Chir08Ox_b05530.2,5.916809111,2.86E-37
Chir04Ox_b04090.2,7.367859365,5.50E-37
Chir03Ox_b08840.2,4.765728337,6.42E-37
Chir03Ox_b06650.2,5.056318053,6.47E-37
Chir02Ox_b08340.2,4.801574019,8.45E-37
Chir07Ox_b34550.2,4.530729869,2.82E-35
Chir08Ox_b01040.2,4.607746139,3.00E-34
Chir02Ox_b26400.2,4.464757446,7.41E-33
Chir08Ox_b26340.2,4.855708314,1.01E-32
Chir08Ox_b16130.2,6.804090323,1.18E-32
Chir03Ox_b08670.2,5.041208486,1.29E-32
Chir03Ox_b27680.2,5.147485156,5.45E-32
Chir05Ox_b27960.2,4.200022862,8.51E-32
Chir02Ox_b24530.2,4.803689223,1.30E-30
Chir02Ox_b06530.2,5.757680566,3.47E-30
Chir05Ox_b05890.2,5.297591797,7.72E-30
Chir04Ox_b18420.2,5.576830265,9.14E-30
Chir01Ox_b41340.2,4.568981883,1.55E-29
Chir08Ox_b28230.2,4.688012809,1.93E-29
Chir02Ox_b23810.2,4.317026979,2.72E-28
Chir01Ox_b09670.2,4.606734348,1.08E-27
Chir06Ox_b33550.2,7.871649405,1.10E-27
Chir05Ox_b28680.2,3.953830883,2.66E-27
Chir08Ox_b28000.2,4.038167223,5.16E-27
Chir06Ox_b26280.2,4.003531921,8.69E-27
Chir01Ox_b19040.2,4.211719426,1.34E-26
Chir02Ox_b06120.2,4.694896264,1.42E-26
Chir02Ox_b26390.2,4.403408784,1.71E-26
Chir03Ox_b16300.2,4.292727305,3.25E-26
Chir02Ox_b21860.2,4.279077672,3.82E-26
Chir01Ox_b35480.2,3.954792846,1.19E-25
Chir04Ox_b14040.2,4.44751704,1.42E-25
Chir06Ox_b33730.2,5.421303024,2.48E-25
Chir06Ox_b30120.2,5.07206445,2.48E-25
Chir01Ox_b22540.2,5.950120464,2.99E-25
Chir06Ox_b22340.2,4.569461928,8.28E-25
Chir05Ox_b29000.2,4.15265723,3.51E-24
Chir08Ox_b01760.2,3.545236598,3.86E-24
Chir06Ox_b27120.2,3.531912649,4.19E-24
Chir08Ox_b25880.2,3.709834891,6.14E-24
Chir07Ox_b07500.2,3.579048259,8.30E-24
Chir03Ox_b10330.2,3.788033139,8.82E-24
Chir03Ox_b19070.2,3.977832033,9.53E-24
Chir07Ox_b13640.2,4.365523061,1.24E-23
Chir01Ox_b27230.2,4.285932037,1.35E-23
Chir02Ox_b26410.2,4.114492486,3.82E-23
Chir03Ox_b08200.2,4.071064553,7.18E-23
Chir07Ox_b31260.2,3.711735649,1.87E-22
Chir06Ox_b35800.2,5.210486326,2.12E-22
Chir06Ox_b22330.2,3.344881071,7.02E-22
Chir08Ox_b13650.2,5.224091606,7.46E-22
Chir04Ox_b28180.2,3.761863664,8.10E-22
Chir07Ox_b21190.2,3.234295185,8.46E-22
Chir01Ox_b04790.2,4.565620429,1.15E-21
Chir02Ox_b14180.2,4.364385781,1.22E-21
Chir08Ox_b27350.2,5.177460239,1.77E-21
Chir07Ox_b15020.2,3.632051055,2.61E-21
Chir03Ox_b14850.2,3.489635192,4.20E-21
Chir01Ox_b19050.2,3.934184232,6.87E-21
Chir04Ox_b30890.2,4.826753789,6.94E-21
Chir01Ox_b18790.2,4.842955791,7.98E-21
Chir03Ox_b04870.2,4.024091873,1.45E-20
Chir08Ox_b22220.2,4.721470025,3.85E-20
Chir07Ox_b15890.2,3.890976475,8.71E-20
Chir06Ox_b34610.2,4.404620589,1.21E-19
Chir06Ox_b28570.2,3.815307025,1.59E-19
Chir01Ox_b44480.2,5.687217708,6.14E-19
Chir04Ox_b07090.2,3.152368744,8.23E-19
Chir01Ox_b09750.2,2.826694063,9.43E-19
Chir02Ox_b27290.2,2.574263698,1.50E-18
Chir06Ox_b23380.2,3.134020043,1.67E-18
Chir03Ox_b12580.2,3.169986287,2.12E-18
Chir04Ox_b30040.2,4.457678976,2.18E-18
Chir07Ox_b24880.2,4.282022629,2.75E-18
Chir07Ox_b21420.2,3.204295641,4.83E-18
Chir01Ox_b15560.2,3.30220407,5.36E-18
Chir03Ox_b24540.2,3.011590732,5.44E-18
Chir04Ox_b11660.2,2.919338321,6.52E-18
Chir07Ox_b24850.2,3.360740237,7.66E-18
Chir01Ox_b09940.2,3.076157979,9.00E-18
Chir03Ox_b13160.2,4.047549267,1.53E-17
Chir06Ox_b37000.2,3.454798579,2.67E-17
Chir05Ox_b19480.2,3.112998102,3.06E-17
Chir01Ox_b08300.2,2.943214007,6.20E-17
Chir01Ox_b35840.2,3.837858706,6.25E-17
Chir01Ox_b21300.2,4.367991028,7.01E-17
Chir01Ox_b06550.2,3.952423646,7.52E-17
Chir04Ox_b24250.2,2.861059853,1.10E-16
Chir01Ox_b14200.2,3.098296674,1.17E-16
Chir04Ox_b30080.2,7.771740147,1.54E-16
Chir06Ox_b23370.2,3.007246004,2.09E-16
Chir01Ox_b08600.2,3.005516383,2.92E-16
Chir07Ox_b34790.2,4.567534688,4.84E-16
