gene_id,PR05826,PR05827,PR05851,,Genotype,BLS:STM
AT1G01010,4.241118776,2.018336055,2.706154148,,Leaf_No,5
AT1G01020,43.00578289,30.90175503,31.9475121,,Growth_stage,dissected leaf (1mm)
AT1G01030,5.974645199,4.485492283,13.01528519,,,
AT1G01040,10.36182428,14.83380864,8.759081231,,,
AT1G01050,72.92194647,90.86793462,95.98295817,,,
AT1G01060,1.652117494,1.359660903,0.166274773,,,
AT1G01070,0.113243981,0.3714036,0.195653011,,,
AT1G01073,0,0,0,,,
AT1G01080,62.5573188,77.30676342,86.59834403,,,
AT1G01090,121.4193256,124.6973101,83.87767725,,,
AT1G01100,1972.873004,1624.542099,1216.877754,,,
AT1G01110,5.671528821,6.159001474,3.627918192,,,
AT1G01115,0,0,0,,,
AT1G01120,4.58349127,3.933518943,25.21205413,,,
AT1G01130,4.890781061,12.46407624,4.582976132,,,
AT1G01140,8.275704791,8.582608776,20.43708245,,,
AT1G01150,1.736953203,1.90391823,0.98307156,,,
AT1G01160,68.79350295,90.51639846,33.93644011,,,
AT1G01170,224.3828377,227.5520471,337.3721734,,,
AT1G01180,1.951252624,0.577141158,5.289301289,,,
AT1G01190,0.019331762,0.195082832,0.166998606,,,
AT1G01200,2.916984146,2.328534914,2.18136666,,,
AT1G01210,57.32897173,51.40268538,40.4892021,,,
AT1G01220,10.83281629,13.95182167,11.64663457,,,
AT1G01225,7.26518714,5.568755297,1.783365952,,,
AT1G01230,35.80731682,28.45739946,29.00617805,,,
AT1G01240,22.53384678,24.75530628,32.94661164,,,
AT1G01250,0,0.108356889,1.57688217,,,
AT1G01260,7.766985037,9.554107433,13.90377832,,,
AT1G01280,0,0,0,,,
AT1G01290,14.45302427,13.19594986,11.03201416,,,
AT1G01300,126.2394271,128.4679055,85.31195925,,,
AT1G01305,0,0,0,,,
AT1G01310,0,0,0,,,
AT1G01320,52.07998111,53.15453826,45.9803075,,,
AT1G01340,1.149696795,1.057392789,2.288068535,,,
AT1G01350,32.10960664,23.95254234,29.45544707,,,
AT1G01355,0,0,0,,,
AT1G01360,10.41694037,9.955865556,11.33174368,,,
AT1G01370,48.97264437,58.18220136,13.70172246,,,
AT1G01380,22.69732938,22.90458242,1.49185421,,,
AT1G01390,0,0,0,,,
AT1G01400,0,0,0,,,
AT1G01410,0,0,0,,,
AT1G01420,1.031882916,0.15185701,4.71698302,,,
AT1G01430,21.51722373,23.72719491,45.67620154,,,
AT1G01440,6.48198331,6.100900215,5.545659559,,,
AT1G01450,0,0,0,,,
AT1G01453,0,0,0,,,
AT1G01460,0,0,0,,,
AT1G01470,13.83848901,13.00175739,81.85568493,,,
AT1G01471,0,0,0,,,
AT1G01480,0,0,0.324185623,,,
AT1G01490,96.16704333,120.4840339,103.4910999,,,
AT1G01500,12.54159829,14.91955435,14.40912846,,,
AT1G01510,34.94065707,46.60256295,17.59310647,,,
AT1G01520,0.179892783,0.072614165,0,,,
AT1G01530,0,0,0,,,
AT1G01540,35.66395334,36.14435323,42.61719679,,,
AT1G01550,59.62489744,56.3751483,70.58601632,,,
AT1G01560,0.280049305,0,1.983762895,,,
AT1G01570,1.903633688,2.29212146,1.083852328,,,
AT1G01580,0,0,0,,,
AT1G01590,0,0,0,,,
AT1G01600,13.74108589,12.5100469,3.483681182,,,
AT1G01610,50.53445255,45.70543033,33.03391464,,,
AT1G01620,267.9993785,302.2530474,176.2779093,,,
AT1G01630,42.94490454,52.15966261,47.4129916,,,
AT1G01640,0,0.502713452,0.688548097,,,
AT1G01650,22.31335543,21.72465497,35.60595482,,,
AT1G01660,0.892318787,2.370616405,1.510207425,,,
AT1G01670,1.86852569,1.514183906,5.527197564,,,
AT1G01680,0,0,0.405552601,,,
AT1G01690,21.9440412,21.56350253,6.723289639,,,
AT1G01695,0.549128937,0.505956765,0.412494252,,,
AT1G01700,0.959428174,1.204857261,1.178749005,,,
AT1G01710,27.01821472,38.08782629,32.08183679,,,
AT1G01720,10.68339814,9.338682444,24.32236794,,,
AT1G01725,42.92755774,31.03736894,54.55923967,,,
AT1G01730,68.71040812,63.34278867,50.68326035,,,
AT1G01740,7.27896747,8.166393069,4.290622025,,,
AT1G01750,0,0,0,,,
AT1G01760,5.020931481,4.942592686,2.381296981,,,
AT1G01770,15.51818234,11.49712812,12.78328157,,,
AT1G01780,39.48559253,42.23183454,50.14368227,,,
AT1G01790,21.47865586,21.63975105,15.93810075,,,
AT1G01800,47.15330171,51.46970538,46.14667954,,,
AT1G01810,2.767443752,0,2.001493847,,,
AT1G01820,72.22542772,89.94310508,72.367572,,,
AT1G01830,17.51598818,15.56645647,6.693884976,,,
AT1G01840,5.688844704,5.74079048,2.925204333,,,
AT1G01860,17.92234142,23.67897269,16.75733915,,,
AT1G01880,5.267260676,6.761831072,2.20794423,,,
AT1G01900,2.633908882,1.173819694,2.679562658,,,
AT1G01910,43.02791439,46.28599201,39.29392274,,,
AT1G01920,30.83230436,28.5042914,15.68399609,,,
AT1G01930,9.238252974,8.602716395,8.997344494,,,
AT1G01940,60.11145266,59.62119092,28.35449616,,,
AT1G01950,11.92288514,10.38794784,7.113994747,,,
AT1G01960,20.69997792,20.86510604,13.28099567,,,
AT1G01970,15.87128207,22.06053763,27.77032031,,,
AT1G01980,0.458826167,0.675231353,0,,,
AT1G01990,39.46759899,38.29777342,47.88488146,,,
AT1G02000,4.573494855,4.831596322,6.955127212,,,
AT1G02010,7.363967108,13.760923,7.808993549,,,
AT1G02020,9.266017048,8.439956854,7.433749437,,,
AT1G02030,0.347971711,0.858364461,0,,,
AT1G02040,0,0,0,,,
AT1G02050,12.79528301,16.9785121,14.01438803,,,
AT1G02060,6.135482451,4.500239915,1.284127674,,,
AT1G02065,7.631762794,6.511794847,3.912767329,,,
AT1G02070,3.532440096,0.475292718,2.03434665,,,
AT1G02074,2.53758962,1.066983653,0,,,
AT1G02080,22.17651948,24.05583088,12.05015793,,,
AT1G02090,63.3222595,55.44717504,42.73219185,,,
AT1G02100,39.11355292,36.14222887,32.36382826,,,
AT1G02110,37.67936102,34.04284095,23.92900247,,,
AT1G02120,34.28570238,34.84316168,40.34730918,,,
AT1G02130,76.69781699,88.93099538,48.61689601,,,
AT1G02140,289.6507304,224.0863523,180.8008744,,,
AT1G02145,27.02813201,23.24353185,14.81069721,,,
AT1G02150,105.1577139,97.49385301,112.4602328,,,
AT1G02160,107.5602412,116.6120352,110.9161173,,,
AT1G02170,13.00859461,15.85514513,21.84269153,,,
AT1G02180,18.07613399,18.8860807,10.88330648,,,
AT1G02190,0.907484611,1.232128257,0,,,
AT1G02205,104.1765662,116.462534,18.52641773,,,
AT1G02210,0,0,0,,,
AT1G02220,0.157394799,1.217711977,0.498543685,,,
AT1G02230,0,0,0.298370842,,,
AT1G02250,0,0.230444954,0.295904967,,,
AT1G02260,28.11906589,22.90854207,23.66798528,,,
AT1G02270,10.27636594,9.356896648,13.58356328,,,
AT1G02280,181.5753235,184.5316004,203.172521,,,
AT1G02290,16.75628341,13.37670677,15.03950325,,,
AT1G02300,24.43209094,25.45317583,29.20893505,,,
AT1G02305,37.70790599,39.43489281,54.54514896,,,
AT1G02310,0,0,0,,,
AT1G02320,0,0,0,,,
AT1G02330,36.41441105,46.34443498,36.63567695,,,
AT1G02335,2.59045607,3.992458834,11.22959351,,,
AT1G02340,0,0,0.672098142,,,
AT1G02350,9.112526318,6.30352754,9.014608416,,,
AT1G02360,0,0.42132175,4.655896655,,,
AT1G02370,8.243235674,8.95988615,6.022876103,,,
AT1G02380,6.878107497,6.715558321,4.166903138,,,
AT1G02390,0.195137934,0.551375357,1.146283461,,,
AT1G02391,0,0,0,,,
AT1G02400,4.521523323,5.861943525,6.130164571,,,
AT1G02405,0,0,0.265218526,,,
AT1G02410,31.19340851,34.41911435,22.56429492,,,
AT1G02420,3.875153796,4.208079433,2.110427906,,,
AT1G02430,0,0,0,,,
AT1G02440,0,0,0,,,
AT1G02450,0,0,0,,,
AT1G02460,1.811213187,0.382552676,2.656228227,,,
AT1G02470,0.886822799,0.09420216,0,,,
AT1G02475,21.43013658,16.39759878,39.30357727,,,
AT1G02490,3.985317031,17.42739967,13.77096194,,,
AT1G02500,357.6144329,389.0379469,396.0759334,,,
AT1G02510,0,0,0,,,
AT1G02520,0.040507523,0,0,,,
AT1G02530,0,0.057452966,0.421560059,,,
AT1G02540,0,0,0,,,
AT1G02550,0,0,0,,,
AT1G02560,207.9295842,249.5207291,238.117894,,,
AT1G02570,0,0,0,,,
AT1G02575,0,0,0,,,
AT1G02580,0,0,0,,,
AT1G02590,0,0,0,,,
AT1G02610,2.333744208,1.130425925,6.370620679,,,
AT1G02620,0,0,1.018827265,,,
AT1G02630,0.664219505,0,0.137709619,,,
AT1G02640,67.88409718,65.96123469,11.08123699,,,
AT1G02650,0.524138971,0.345835558,0.104487843,,,
AT1G02660,3.845775118,5.989753332,6.117855919,,,
AT1G02670,1.510781449,3.033753521,1.291914986,,,
AT1G02680,57.76513064,45.36612859,48.20921005,,,
AT1G02690,49.81351081,55.55467739,17.47127041,,,
AT1G02700,0.292470847,0,0,,,
AT1G02710,0,0,0,,,
AT1G02720,17.51778028,17.87993436,17.80334306,,,
AT1G02730,39.42227055,36.01367719,15.49407976,,,
AT1G02740,15.10046343,16.76855895,3.766022212,,,
AT1G02750,13.30234198,9.043407396,16.61199823,,,
AT1G02770,0,0,0,,,
AT1G02780,2083.305015,2128.347528,1115.185308,,,
AT1G02790,0,0,0,,,
AT1G02800,19.71223544,19.68393548,1.034193755,,,
AT1G02810,0,0,0.123463797,,,
AT1G02813,0,0,0,,,
AT1G02816,6.452872606,7.764063087,10.9343087,,,
AT1G02820,2.59045607,0,2.918845193,,,
AT1G02830,0,0,0,,,
AT1G02840,205.6004081,225.4669832,129.0846485,,,
AT1G02850,0,0,5.55587085,,,
AT1G02860,4.471620598,5.352701327,7.619112571,,,
AT1G02870,43.37010988,42.74204517,80.37556804,,,
AT1G02880,28.03105449,38.62640076,32.06373227,,,
AT1G02890,15.89588601,19.47899732,14.8156556,,,
AT1G02900,1.027618937,0,6.805814246,,,
AT1G02910,32.66028755,22.77845587,33.63572619,,,
AT1G02920,0.296052122,0.149377711,37.93572133,,,
AT1G02930,61.4768522,62.88873125,162.4907619,,,
AT1G02940,1.249869855,0.773044188,0.626927061,,,
AT1G02950,2.948486584,1.360187291,11.27987329,,,
AT1G02960,21.42614512,18.54245787,12.25090449,,,
AT1G02965,0,0,0,,,
AT1G02970,10.01022545,7.367511477,1.679452643,,,
AT1G02980,0,0,0,,,
AT1G02990,4.885207226,5.175079277,5.766792192,,,
AT1G03000,12.57278679,12.49888664,8.818093673,,,
AT1G03010,0,0,2.706481968,,,
AT1G03020,0.503001179,0,0,,,
AT1G03022,0,0,0,,,
AT1G03030,17.01809551,19.70104055,8.654730382,,,
AT1G03040,46.61111055,44.37947718,35.56816769,,,
AT1G03050,0,0,0,,,
AT1G03055,1.133935487,1.696705326,0.945779273,,,
AT1G03060,6.532954732,5.547544826,3.677863793,,,
AT1G03070,0,0,0,,,
AT1G03080,13.27795476,12.81426446,16.19874917,,,
AT1G03090,49.97641779,50.2335904,57.82305133,,,
AT1G03100,1.983623792,2.133429783,2.164503841,,,
AT1G03103,0,0,0,,,
AT1G03106,0,0,0,,,
AT1G03110,23.53199346,23.72243703,11.12616504,,,
AT1G03120,1.981769671,1.028502276,0,,,
AT1G03130,312.3205475,324.6086971,431.2259173,,,
AT1G03140,63.74613988,67.40802286,45.79744372,,,
AT1G03150,32.44731261,45.59007754,27.10912221,,,
AT1G03160,21.21166438,19.89357715,19.39247071,,,
AT1G03170,0.214975608,0,0,,,
AT1G03180,11.9979018,9.788171093,9.89334897,,,
AT1G03190,7.918126592,6.874523664,4.55221917,,,
AT1G03200,0.986840408,13.94191974,4.262440599,,,
AT1G03210,25.41715782,20.40280937,21.64488129,,,
AT1G03220,53.00287997,47.80086767,42.77565388,,,
AT1G03230,38.13627741,36.72974717,41.07228969,,,
AT1G03240,0,0,0,,,
AT1G03250,37.8288823,32.32367701,29.90812487,,,
AT1G03260,14.65727144,8.289105007,13.15001674,,,
AT1G03270,7.336171591,6.064735085,2.792751081,,,
AT1G03280,26.68169752,24.48549654,19.84166099,,,
AT1G03290,6.86561434,5.118536966,12.23737754,,,
AT1G03300,6.902735401,7.106015722,2.694675562,,,
AT1G03310,11.59397779,11.81826379,8.636872843,,,
AT1G03320,0,0,0,,,
AT1G03330,177.0328702,186.5473356,129.6960915,,,
AT1G03340,4.509809532,7.151554683,2.921869903,,,
AT1G03350,18.5456855,17.40519916,19.80270174,,,
AT1G03360,38.14306214,40.98406436,16.01780309,,,
AT1G03365,9.733072808,8.870208036,8.972851291,,,
AT1G03370,6.911265755,7.046063256,8.188394703,,,
AT1G03380,4.479330288,4.618260913,6.284435859,,,
AT1G03390,0,0,0,,,
AT1G03400,1.000858027,0.326763744,7.628799936,,,
AT1G03410,2.23337566,1.231710954,5.025193128,,,
AT1G03430,22.69108355,17.67005967,17.44902898,,,
AT1G03440,3.176237594,6.962202381,6.792059869,,,
AT1G03445,0,0,0,,,
AT1G03457,30.68421769,28.15378553,15.57781252,,,
AT1G03470,31.81463826,40.89629789,8.884820627,,,
AT1G03475,137.3008654,138.4194861,129.3865496,,,
AT1G03490,0,0,0,,,
AT1G03495,12.11844256,10.47887851,3.918518353,,,
AT1G03510,2.120559388,2.042653357,3.455550681,,,
AT1G03520,7.563206563,11.57677264,8.151917646,,,
AT1G03530,13.01042026,15.88022903,7.991278909,,,
AT1G03540,1.477833955,1.628461936,0.70435084,,,
AT1G03550,7.22408876,2.39319925,7.375222924,,,
AT1G03560,5.282806026,5.188672095,3.385448282,,,
AT1G03590,24.59534532,30.80471683,24.43676528,,,
AT1G03600,302.0323752,325.9421664,451.3413102,,,
AT1G03610,17.03497325,12.04690152,17.49669792,,,
AT1G03620,0,1.651016811,1.009525405,,,
AT1G03630,57.01580923,58.70692695,41.90551676,,,
AT1G03650,12.18654805,15.78330536,14.18668909,,,
AT1G03660,2.59045607,2.807747725,5.470132102,,,
AT1G03670,0,0,0,,,
AT1G03680,177.1871952,177.8756593,246.9516002,,,
AT1G03687,19.12326209,14.53499878,15.93394025,,,
AT1G03700,0,0.570351262,0,,,
AT1G03710,0,1.081700669,0,,,
AT1G03720,0,0,0,,,
AT1G03730,10.60853438,12.44814262,8.311759169,,,
AT1G03740,7.257472068,7.817635156,13.02201488,,,
AT1G03750,2.24526204,4.991950404,3.381305718,,,
AT1G03760,20.90868114,26.86131347,16.66918734,,,
AT1G03770,9.168778415,11.14759041,7.32885309,,,
AT1G03780,30.27329446,31.91130933,8.396630773,,,
AT1G03790,0,0,0,,,
AT1G03800,0,0,0.946053889,,,
AT1G03810,0,0,0,,,
AT1G03820,4.181902176,0.328229052,4.174515816,,,
AT1G03830,14.55151655,17.72644972,6.81486065,,,
AT1G03840,0.69487579,1.113703648,1.447716511,,,
AT1G03850,0.388568411,0,1.790225052,,,
AT1G03860,84.15823136,72.3206725,50.40076104,,,
AT1G03870,6.350795527,3.668186543,11.54983904,,,
AT1G03880,0,0,0,,,
AT1G03890,0,0,0,,,
AT1G03900,52.49231861,59.02334701,70.69093794,,,
AT1G03905,4.201701942,3.233950454,4.306383286,,,
AT1G03910,39.42406784,39.6819703,26.74101855,,,
AT1G03920,0.818038759,1.174056399,0.251259656,,,
AT1G03930,20.35044726,18.89691346,25.03280793,,,
AT1G03940,18.40877293,20.11196081,6.132473049,,,
AT1G03950,4.370627304,6.442356276,4.666463405,,,
AT1G03960,13.00115688,19.05834122,8.376902129,,,
AT1G03970,13.11478129,14.16056608,16.11863146,,,
AT1G03980,1.258058136,1.13104978,0.276635218,,,
AT1G03982,0,0,0,,,
AT1G03990,0,0,0.188693023,,,
AT1G04000,28.98601825,22.75813369,23.40163466,,,
AT1G04010,9.642707139,5.95390342,6.409796321,,,
AT1G04020,9.535776751,9.33036167,5.207927423,,,
AT1G04030,7.836873997,6.80269532,5.391252455,,,
AT1G04040,51.54245681,56.58779187,31.5263897,,,
AT1G04050,6.893785134,5.278012472,2.70360518,,,
AT1G04070,36.75720824,19.59206616,20.91736639,,,
AT1G04080,64.06977514,72.07837145,48.18833938,,,
AT1G04090,0.198918093,0.346723135,0,,,
AT1G04100,3.875796869,2.953345593,4.099752027,,,
AT1G04110,2.203222946,1.253155801,7.52079081,,,
AT1G04120,12.63253429,11.60906386,14.20363374,,,
AT1G04130,10.47663674,15.35155982,3.917667011,,,
AT1G04140,32.80809351,39.65282147,28.386566,,,
AT1G04150,0.981969527,0.330312017,0.035345016,,,
AT1G04160,3.858933893,3.197538887,3.661552904,,,
AT1G04170,98.74863012,91.99871929,62.77312735,,,
AT1G04171,0,0,0,,,
AT1G04180,0,0,0,,,
AT1G04190,40.25049067,34.07083121,20.67737142,,,
AT1G04200,16.61001846,19.68606675,15.77742679,,,
AT1G04210,20.17436947,18.33869766,11.43620855,,,
AT1G04220,3.956689045,3.123095442,0.710675351,,,
AT1G04230,12.17355429,11.64321364,8.951125258,,,
AT1G04240,7.035133328,17.22560873,19.88092031,,,
AT1G04250,4.505140992,4.137113139,4.047465334,,,
AT1G04260,31.14209484,47.71107779,48.03281423,,,
AT1G04270,1412.255698,1434.44585,792.7303742,,,
AT1G04280,45.03035786,47.76736239,33.6629234,,,
AT1G04290,26.76804606,32.10663247,38.67345144,,,
AT1G04300,28.49262485,27.90314961,22.76214124,,,
AT1G04310,5.341311897,2.784067563,3.82431977,,,
AT1G04330,0.205184639,0,0,,,
AT1G04340,56.53670374,61.56228934,44.97940442,,,
AT1G04350,1.894405547,0.492408523,10.16609794,,,
AT1G04360,0.813755834,0.903305009,0.702967952,,,
AT1G04370,0,0,0,,,
AT1G04380,0.119789876,0.21154647,1.034812169,,,
AT1G04390,5.327196719,5.978623228,3.559388632,,,
AT1G04400,66.12635659,68.98179863,63.95746922,,,
AT1G04410,451.4083629,429.7502557,313.9076299,,,
AT1G04420,49.35038344,52.8645189,80.62514761,,,
AT1G04430,47.44187816,44.07121263,56.03060138,,,
AT1G04440,23.46323537,23.98961456,28.28479239,,,
AT1G04445,0,0,0,,,
AT1G04450,0,0,0,,,
AT1G04470,0,0,0,,,
AT1G04480,672.9306734,736.400335,530.0843681,,,
AT1G04490,0.309308188,0,0,,,
AT1G04500,0,0,0,,,
AT1G04501,0,0,0,,,
AT1G04510,54.73574353,55.77433062,45.9172227,,,
AT1G04520,23.38138921,23.73068643,11.79921057,,,
AT1G04530,47.0446813,46.23024028,26.88215753,,,
AT1G04540,0,0,0,,,
AT1G04550,26.37947765,33.19919637,12.60616807,,,
AT1G04555,9.007337447,6.150846942,7.605531265,,,
AT1G04560,0,0,0,,,
AT1G04570,0.362568437,0,0.626413922,,,
AT1G04580,0.054209843,0,0,,,
AT1G04590,29.90126436,29.41382937,21.66869803,,,
AT1G04600,0.436980458,0.591987926,0.051710718,,,
AT1G04610,0.094628532,0,0,,,
AT1G04620,38.47079037,32.85987022,30.00463586,,,
AT1G04625,0,0.081057673,1.110217086,,,
AT1G04630,59.00483271,63.24693797,54.82564221,,,
AT1G04635,9.884635005,7.63595275,8.480013403,,,
AT1G04640,28.05595642,24.98911885,63.41644675,,,
AT1G04645,0,0,0,,,
AT1G04650,4.464513468,3.991887339,1.237730747,,,
AT1G04660,0.243235312,0,0.588336871,,,
AT1G04670,0,0,0,,,
AT1G04680,37.9933557,52.50004151,26.97769696,,,
AT1G04684,0,0,0,,,
AT1G04690,69.22580477,68.68196478,48.04768148,,,
AT1G04700,3.000259763,2.676768387,0.51492571,,,
AT1G04710,12.85893058,12.34048301,6.733504136,,,
AT1G04730,7.431096439,6.380200557,1.915389091,,,
AT1G04750,143.1815719,132.1313757,97.07902212,,,
AT1G04760,18.23868618,27.30029758,5.589390433,,,
AT1G04770,6.033035848,3.405222172,16.13558106,,,
AT1G04778,2.363223082,0,0,,,
AT1G04780,20.63015842,20.64557212,21.29425588,,,
AT1G04790,18.79814421,16.64796951,15.56227132,,,
AT1G04800,18.30073443,22.62960853,90.49097774,,,
AT1G04810,22.75051239,19.25362419,19.34943843,,,
AT1G04820,456.6784507,476.846114,305.9260415,,,
AT1G04830,14.46150258,16.86669203,12.49265743,,,
AT1G04840,0.513423726,0.737916923,0.967689217,,,
AT1G04850,116.7332088,123.557738,100.1920639,,,
AT1G04860,10.10331723,6.912989308,7.183231496,,,
AT1G04870,60.39000714,59.44377106,38.8348299,,,
AT1G04880,0.438473633,0.768513393,0.39871382,,,
AT1G04890,0,0,0,,,
AT1G04900,16.13918455,15.62565045,7.556931934,,,
AT1G04910,19.069742,20.22918931,18.14324235,,,
AT1G04920,1.569382605,1.013182784,1.229411371,,,
AT1G04930,6.536798238,6.510069959,6.115369323,,,
AT1G04940,3.994012269,2.775709475,3.905945567,,,
AT1G04945,4.755193779,6.209017743,4.163314074,,,
AT1G04950,24.09595137,29.37308999,20.53876377,,,
AT1G04960,11.81557276,13.04713981,12.34453692,,,
AT1G04970,10.53134288,11.97465499,13.6921098,,,
AT1G04980,7.146883266,5.321580971,4.475562629,,,
AT1G04985,55.44110105,64.73290826,50.75380301,,,
AT1G04990,17.52555465,21.11942656,31.03056756,,,
AT1G05000,0.376033946,0,0,,,
AT1G05010,41.35135431,40.17983813,140.510565,,,
AT1G05020,0.31687536,0,0.054746943,,,
AT1G05030,10.06577216,10.91453145,13.12831705,,,
AT1G05040,0,0.688747532,0,,,
AT1G05055,11.39309589,11.81924594,7.975410183,,,
AT1G05060,12.85029389,14.12031044,9.58545697,,,
AT1G05065,12.45886015,27.01246949,7.459271049,,,
AT1G05070,40.21508018,40.80837588,28.0629873,,,
AT1G05080,0,0,0,,,
AT1G05085,0,0,0,,,
AT1G05090,2.257031032,4.688389558,2.760035794,,,
AT1G05100,0.48761526,0.215279643,0.473883102,,,
AT1G05120,13.08273497,11.69767186,9.187246069,,,
AT1G05136,0,2.447251869,0,,,
AT1G05140,26.1858772,28.93263773,31.59220679,,,
AT1G05150,24.1690512,15.74282284,14.8263385,,,
AT1G05160,15.25783901,13.67216772,11.22992497,,,
AT1G05170,2.107920136,5.100077256,4.738831019,,,
AT1G05180,27.04416984,31.17603956,16.61170011,,,
AT1G05190,564.6731652,600.0782753,594.4506221,,,
AT1G05200,8.332633693,10.89212479,11.09566568,,,
AT1G05205,63.74774504,53.19145465,57.20936578,,,
AT1G05210,22.8695885,25.05833207,11.2286305,,,
AT1G05220,1.222823984,0,0.44477641,,,
AT1G05230,15.84411912,15.90189876,12.02575,,,
AT1G05240,0,0,0,,,
AT1G05250,0,0,0,,,
AT1G05260,0.380250432,0.479653202,0.383228604,,,
AT1G05270,22.89628914,26.50651272,22.71468345,,,
AT1G05280,0,0,0,,,
AT1G05290,0,0,0,,,
AT1G05291,0,0,0,,,
AT1G05300,3.415670608,4.663398361,6.198840207,,,
AT1G05310,0.499681882,0.159235124,2.044673282,,,
AT1G05320,12.23507444,9.967326942,7.853452502,,,
AT1G05330,1.276456614,0,0.389179359,,,
AT1G05340,0,0,2.942835701,,,
AT1G05350,24.39346133,27.66599698,21.21748209,,,
AT1G05360,26.51334894,21.48961369,17.21535361,,,
AT1G05370,3.767936102,2.85175631,1.62747732,,,
AT1G05380,9.979737697,9.217090045,8.83324389,,,
AT1G05385,25.69732422,27.81412987,42.78637874,,,
AT1G05400,0.467450719,0,2.692067747,,,
AT1G05410,21.82129944,26.38478772,16.15753966,,,
AT1G05420,11.00087952,16.99747263,8.832828449,,,
