"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030026","GO:0030026","cellular manganese ion homeostasis","2/18","14/21826",5.81148320379866e-05,0.00208626203856735,0.000846190300529489,"MEB1/MEB2",2
"GO:0006880","GO:0006880","intracellular sequestering of iron ion","2/18","15/21826",6.70228119983327e-05,0.00208626203856735,0.000846190300529489,"MEB1/MEB2",2
"GO:0055071","GO:0055071","manganese ion homeostasis","2/18","16/21826",7.65600748098109e-05,0.00208626203856735,0.000846190300529489,"MEB1/MEB2",2
"GO:0097577","GO:0097577","sequestering of iron ion","2/18","16/21826",7.65600748098109e-05,0.00208626203856735,0.000846190300529489,"MEB1/MEB2",2
"GO:0051238","GO:0051238","sequestering of metal ion","2/18","19/21826",0.000108938281268751,0.00237485453165878,0.000963243750165803,"MEB1/MEB2",2
"GO:0007029","GO:0007029","endoplasmic reticulum organization","2/18","33/21826",0.000334077920621541,0.00543869857141672,0.00220594244325932,"ERMO3/NAI1",2
"GO:0009409","GO:0009409","response to cold","4/18","425/21826",0.000349274220182725,0.00543869857141672,0.00220594244325932,"ANN3/BGLU23/JAL34/ANNAT2",4
"GO:0006879","GO:0006879","cellular iron ion homeostasis","2/18","39/21826",0.000467475988959933,0.00636936034957909,0.0025834199389891,"MEB1/MEB2",2
"GO:0051651","GO:0051651","maintenance of location in cell","2/18","46/21826",0.000650724021422851,0.00788099092612119,0.00319653905260348,"MEB1/MEB2",2
"GO:0009408","GO:0009408","response to heat","3/18","244/21826",0.000994622329493322,0.00988987500751086,0.00401134476403145,"NA/ANN3/ANNAT2",3
"GO:0055072","GO:0055072","iron ion homeostasis","2/18","57/21826",0.000998060780574491,0.00988987500751086,0.00401134476403145,"MEB1/MEB2",2
"GO:0046916","GO:0046916","cellular transition metal ion homeostasis","2/18","60/21826",0.00110525219623617,0.0100393741158119,0.00407198177560696,"MEB1/MEB2",2
"GO:0051235","GO:0051235","maintenance of location","2/18","76/21826",0.0017658018303751,0.0148055691931451,0.00600515602232829,"MEB1/MEB2",2
"GO:0055076","GO:0055076","transition metal ion homeostasis","2/18","94/21826",0.00268450871918338,0.0209008178850706,0.00847739595531594,"MEB1/MEB2",2
"GO:0080147","GO:0080147","root hair cell development","2/18","99/21826",0.00297205222446983,0.02146782212802,0.00870737353333499,"GIR2/GIR1",2
"GO:0010256","GO:0010256","endomembrane system organization","2/18","102/21826",0.00315123994539743,0.02146782212802,0.00870737353333499,"ERMO3/NAI1",2
"GO:0048764","GO:0048764","trichoblast maturation","2/18","121/21826",0.0044005262498643,0.0256533730838564,0.0104050378514917,"GIR2/GIR1",2
"GO:0048765","GO:0048765","root hair cell differentiation","2/18","121/21826",0.0044005262498643,0.0256533730838564,0.0104050378514917,"GIR2/GIR1",2
"GO:0048469","GO:0048469","cell maturation","2/18","122/21826",0.0044716888861768,0.0256533730838564,0.0104050378514917,"GIR2/GIR1",2
"GO:0010054","GO:0010054","trichoblast differentiation","2/18","127/21826",0.00483551387960643,0.0262647880040077,0.0106530284516497,"GIR2/GIR1",2
"GO:0006875","GO:0006875","cellular metal ion homeostasis","2/18","130/21826",0.00506018851453359,0.0262647880040077,0.0106530284516497,"MEB1/MEB2",2
"GO:0010053","GO:0010053","root epidermal cell differentiation","2/18","142/21826",0.00600624024536038,0.0297581903065582,0.0120699564739299,"GIR2/GIR1",2
"GO:0009651","GO:0009651","response to salt stress","3/18","483/21826",0.00686195600395584,0.0325197045404864,0.0131900298474208,"ANN3/BGLU23/ANNAT2",3
"GO:0030003","GO:0030003","cellular cation homeostasis","2/18","158/21826",0.00738361128130109,0.0335339012359091,0.0136013892023967,"MEB1/MEB2",2
"GO:0009610","GO:0009610","response to symbiotic fungus","1/18","10/21826",0.00821819408814617,0.035102690222261,0.0142376918332686,"BGLU23",1
"GO:0006873","GO:0006873","cellular ion homeostasis","2/18","169/21826",0.0084058775870136,0.035102690222261,0.0142376918332686,"MEB1/MEB2",2
"GO:0090627","GO:0090627","plant epidermal cell differentiation","2/18","172/21826",0.00869516179817475,0.035102690222261,0.0142376918332686,"GIR2/GIR1",2
"GO:0055065","GO:0055065","metal ion homeostasis","2/18","182/21826",0.00969148349021954,0.0370380498121603,0.0150226759257434,"MEB1/MEB2",2
"GO:0009608","GO:0009608","response to symbiont","1/18","12/21826",0.00985416004176742,0.0370380498121603,0.0150226759257434,"BGLU23",1
"GO:0042436","GO:0042436","indole-containing compound catabolic process","1/18","13/21826",0.0106711869565583,0.0387719792754953,0.0157259597254544,"BGLU23",1
"GO:0055082","GO:0055082","cellular chemical homeostasis","2/18","197/21826",0.0112770249077362,0.0391295595649408,0.0158709947052391,"MEB1/MEB2",2
"GO:0001709","GO:0001709","cell fate determination","1/18","14/21826",0.0114875771199826,0.0391295595649408,0.0158709947052391,"NA",1
"GO:0071695","GO:0071695","anatomical structure maturation","2/18","207/21826",0.0123936307137791,0.0409365378121794,0.0166039071763548,"GIR2/GIR1",2
"GO:0032527","GO:0032527","protein exit from endoplasmic reticulum","1/18","16/21826",0.0131184490607456,0.0416247223957246,0.0168830356409506,"ERMO3",1
"GO:0021700","GO:0021700","developmental maturation","2/18","225/21826",0.0145208769305817,0.0416247223957246,0.0168830356409506,"GIR2/GIR1",2
"GO:0016024","GO:0016024","CDP-diacylglycerol biosynthetic process","1/18","18/21826",0.0147467795968685,0.0416247223957246,0.0168830356409506,"ATGPAT2",1
"GO:0042343","GO:0042343","indole glucosinolate metabolic process","1/18","18/21826",0.0147467795968685,0.0416247223957246,0.0168830356409506,"BGLU23",1
"GO:0046341","GO:0046341","CDP-diacylglycerol metabolic process","1/18","18/21826",0.0147467795968685,0.0416247223957246,0.0168830356409506,"ATGPAT2",1
"GO:0055080","GO:0055080","cation homeostasis","2/18","235/21826",0.0157665450722351,0.0416247223957246,0.0168830356409506,"MEB1/MEB2",2
"GO:0015770","GO:0015770","sucrose transport","1/18","20/21826",0.016372572456033,0.0416247223957246,0.0168830356409506,"ANNAT2",1
"GO:0003008","GO:0003008","system process","1/18","21/21826",0.0171845184202533,0.0416247223957246,0.0168830356409506,"ANNAT2",1
"GO:0003013","GO:0003013","circulatory system process","1/18","21/21826",0.0171845184202533,0.0416247223957246,0.0168830356409506,"ANNAT2",1
"GO:0003018","GO:0003018","vascular process in circulatory system","1/18","21/21826",0.0171845184202533,0.0416247223957246,0.0168830356409506,"ANNAT2",1
"GO:0010232","GO:0010232","vascular transport","1/18","21/21826",0.0171845184202533,0.0416247223957246,0.0168830356409506,"ANNAT2",1
"GO:0010233","GO:0010233","phloem transport","1/18","21/21826",0.0171845184202533,0.0416247223957246,0.0168830356409506,"ANNAT2",1
"GO:0098771","GO:0098771","inorganic ion homeostasis","2/18","251/21826",0.0178522387114122,0.0417350131558792,0.0169277697010809,"MEB1/MEB2",2
"GO:0015766","GO:0015766","disaccharide transport","1/18","22/21826",0.017995831360792,0.0417350131558792,0.0169277697010809,"ANNAT2",1
"GO:0015772","GO:0015772","oligosaccharide transport","1/18","23/21826",0.018806511742167,0.0427064537478375,0.0173217871309433,"ANNAT2",1
"GO:0010143","GO:0010143","cutin biosynthetic process","1/18","24/21826",0.0196165600285793,0.0436368376145947,0.017699151905485,"ATGPAT2",1
"GO:0019725","GO:0019725","cellular homeostasis","2/18","278/21826",0.0216228957438662,0.0471379127216283,0.0191191920261554,"MEB1/MEB2",2
"GO:0090558","GO:0090558","plant epidermis development","2/18","283/21826",0.0223548473498147,0.0477780070809765,0.0193788150400871,"GIR2/GIR1",2
"GO:0010015","GO:0010015","root morphogenesis","2/18","288/21826",0.0230971070528132,0.0481181068896934,0.0195167599166308,"GIR2/GIR1",2
"GO:0050801","GO:0050801","ion homeostasis","2/18","290/21826",0.023396877661961,0.0481181068896934,0.0195167599166308,"MEB1/MEB2",2
"GO:0070417","GO:0070417","cellular response to cold","1/18","33/21826",0.0268786267679682,0.0532685512310642,0.0216057861101371,"BGLU23",1
"GO:0080022","GO:0080022","primary root development","1/18","33/21826",0.0268786267679682,0.0532685512310642,0.0216057861101371,"ANNAT2",1
"GO:0016145","GO:0016145","S-glycoside catabolic process","1/18","35/21826",0.0284855053533758,0.0535331048882407,0.0217130893800687,"BGLU23",1
"GO:0019759","GO:0019759","glycosinolate catabolic process","1/18","35/21826",0.0284855053533758,0.0535331048882407,0.0217130893800687,"BGLU23",1
"GO:0019762","GO:0019762","glucosinolate catabolic process","1/18","35/21826",0.0284855053533758,0.0535331048882407,0.0217130893800687,"BGLU23",1
"GO:0048468","GO:0048468","cell development","2/18","357/21826",0.0343468837998068,0.0634544124437108,0.0257371832219783,"GIR2/GIR1",2
"GO:0033037","GO:0033037","polysaccharide localization","1/18","48/21826",0.0388692917442864,0.070612546668787,0.0286405307589479,"ANNAT2",1
"GO:0044273","GO:0044273","sulfur compound catabolic process","1/18","50/21826",0.0404574633003375,0.0722928442579801,0.0293220614083551,"BGLU23",1
"GO:0009414","GO:0009414","response to water deprivation","2/18","397/21826",0.0416730660342236,0.0732639386730705,0.0297159384284786,"ANN3/ANNAT2",2
"GO:1901658","GO:1901658","glycosyl compound catabolic process","1/18","53/21826",0.0428350741597801,0.0741114775145401,0.0300597011647579,"BGLU23",1
"GO:0009415","GO:0009415","response to water","2/18","407/21826",0.0435905216231543,0.0742401071394347,0.030111873489679,"ANN3/ANNAT2",2
"GO:0048878","GO:0048878","chemical homeostasis","2/18","414/21826",0.0449524873874148,0.0753818634650494,0.0305749711784845,"MEB1/MEB2",2
"GO:0008643","GO:0008643","carbohydrate transport","1/18","61/21826",0.0491481971348365,0.0809243123163305,0.032822994855489,"ANNAT2",1
"GO:0001101","GO:0001101","response to acid chemical","2/18","438/21826",0.049742467203616,0.0809243123163305,0.032822994855489,"ANN3/ANNAT2",2
"GO:1905392","GO:1905392","plant organ morphogenesis","2/18","445/21826",0.0511738358037209,0.0820286485677291,0.0332709149188278,"GIR2/GIR1",2
"GO:0031348","GO:0031348","negative regulation of defense response","1/18","65/21826",0.0522899915634427,0.0826030301509457,0.0335038847546086,"BGLU23",1
"GO:0042430","GO:0042430","indole-containing compound metabolic process","1/18","78/21826",0.0624332487891386,0.0972174874002301,0.0394315255510349,"BGLU23",1
"GO:0046474","GO:0046474","glycerophospholipid biosynthetic process","1/18","87/21826",0.0693953465131354,0.10505684402683,0.0426111776835042,"ATGPAT2",1
"GO:1901136","GO:1901136","carbohydrate derivative catabolic process","1/18","87/21826",0.0693953465131354,0.10505684402683,0.0426111776835042,"BGLU23",1
"GO:0045165","GO:0045165","cell fate commitment","1/18","93/21826",0.0740095880716881,0.11050746712074,0.0448219567269056,"NA",1
"GO:0045017","GO:0045017","glycerolipid biosynthetic process","1/18","117/21826",0.092251367260858,0.135883770695048,0.0551146148642395,"ATGPAT2",1
"GO:0016143","GO:0016143","S-glycoside metabolic process","1/18","125/21826",0.098256160140181,0.138662170200676,0.0562415369234998,"BGLU23",1
"GO:0019757","GO:0019757","glycosinolate metabolic process","1/18","125/21826",0.098256160140181,0.138662170200676,0.0562415369234998,"BGLU23",1
"GO:0019760","GO:0019760","glucosinolate metabolic process","1/18","125/21826",0.098256160140181,0.138662170200676,0.0562415369234998,"BGLU23",1
"GO:0080167","GO:0080167","response to karrikin","1/18","127/21826",0.0997514858118165,0.138662170200676,0.0562415369234998,"GIR2",1
