"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008017","GO:0008017","microtubule binding","11/83","162/21809",2.74672135562893e-11,2.3072459387283e-09,1.79259709525256e-09,"AtTPX2/ATNACK1/NA/CORD4/RSW7/NA/EDE1/PAKRP2/NA/NA/NA",11
"GO:0015631","GO:0015631","tubulin binding","11/83","174/21809",5.95595332878546e-11,2.50150039808989e-09,1.94352161255104e-09,"AtTPX2/ATNACK1/NA/CORD4/RSW7/NA/EDE1/PAKRP2/NA/NA/NA",11
"GO:0008092","GO:0008092","cytoskeletal protein binding","13/83","308/21809",1.50732836351685e-10,4.22051941784718e-09,3.27910029958051e-09,"NET3A/AtTPX2/ATNACK1/NA/CORD4/RSW7/NA/EDE1/MadA1/PAKRP2/NA/NA/NA",13
"GO:0019887","GO:0019887","protein kinase regulator activity","8/83","91/21809",2.05073088373528e-09,4.30653485584409e-08,3.34592933662072e-08,"AtTPX2/CYCB2;4/CYCB2;1/CYC2/CYCB2;2/CYC1/CYC1BAT/NA",8
"GO:0019207","GO:0019207","kinase regulator activity","8/83","97/21809",3.4237609724626e-09,5.75191843373716e-08,4.46890905879328e-08,"AtTPX2/CYCB2;4/CYCB2;1/CYC2/CYCB2;2/CYC1/CYC1BAT/NA",8
"GO:0016538","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity","6/83","53/21809",5.03209147607888e-08,7.04492806651043e-07,5.47350300906825e-07,"CYCB2;4/CYCB2;1/CYC2/CYCB2;2/CYC1/CYC1BAT",6
"GO:0003777","GO:0003777","microtubule motor activity","6/83","65/21809",1.74589813820367e-07,2.09507776584441e-06,1.62775465516733e-06,"ATNACK1/NA/RSW7/NA/PAKRP2/NA",6
"GO:0003774","GO:0003774","motor activity","6/83","84/21809",8.11168996254641e-07,8.51727446067373e-06,6.61743128523523e-06,"ATNACK1/NA/RSW7/NA/PAKRP2/NA",6
"GO:0030234","GO:0030234","enzyme regulator activity","10/83","476/21809",1.30670796038202e-05,0.000121959409635655,9.47554310452461e-05,"AtTPX2/CYCB2;4/CYCB2;1/CYC2/AtCDC20.1/CYCB2;2/CYC1/CYC1BAT/CCS52B/NA",10
"GO:0008574","GO:0008574","ATP-dependent microtubule motor activity, plus-end-directed","3/83","17/21809",3.47777713843917e-05,0.000292133279628891,0.000226970718508662,"NA/RSW7/NA",3
"GO:1990939","GO:1990939","ATP-dependent microtubule motor activity","3/83","19/21809",4.92865610473837e-05,0.000376370102543657,0.000292417874156726,"NA/RSW7/NA",3
"GO:0009055","GO:0009055","electron transfer activity","5/83","159/21809",0.000355159416732097,0.00248611591712468,0.00193156875766579,"AtENODL14/AtENODL15/NA/NA/AtENODL13",5
"GO:0010997","GO:0010997","anaphase-promoting complex binding","2/83","10/21809",0.00063131644161067,0.00378789864966402,0.00294297890074147,"AtCDC20.1/CCS52B",2
"GO:0055106","GO:0055106","ubiquitin-protein transferase regulator activity","2/83","10/21809",0.00063131644161067,0.00378789864966402,0.00294297890074147,"AtCDC20.1/CCS52B",2
"GO:0019209","GO:0019209","kinase activator activity","2/83","28/21809",0.00507263425023485,0.026631329813733,0.0206910081259579,"AtTPX2/NA",2
"GO:0030295","GO:0030295","protein kinase activator activity","2/83","28/21809",0.00507263425023485,0.026631329813733,0.0206910081259579,"AtTPX2/NA",2
"GO:0030247","GO:0030247","polysaccharide binding","2/83","64/21809",0.0247709282814596,0.122396872320359,0.0950953143341136,"PDCB4/PDCB5",2
"GO:0015035","GO:0015035","protein disulfide oxidoreductase activity","2/83","66/21809",0.0262279012115055,0.122396872320359,0.0950953143341136,"NA/NA",2
"GO:0015036","GO:0015036","disulfide oxidoreductase activity","2/83","80/21809",0.0373464795206733,0.161770614340487,0.125686442219426,"NA/NA",2
"GO:0016872","GO:0016872","intramolecular lyase activity","1/83","12/21809",0.0447363552990562,0.161770614340487,0.125686442219426,"NA",1
"GO:0016889","GO:0016889","endodeoxyribonuclease activity, producing 3'-phosphomonoesters","1/83","12/21809",0.0447363552990562,0.161770614340487,0.125686442219426,"HIGLE",1
"GO:0017108","GO:0017108","5'-flap endonuclease activity","1/83","12/21809",0.0447363552990562,0.161770614340487,0.125686442219426,"HIGLE",1
"GO:0016888","GO:0016888","endodeoxyribonuclease activity, producing 5'-phosphomonoesters","1/83","14/21809",0.0519976974665851,0.161770614340487,0.125686442219426,"HIGLE",1
"GO:0032029","GO:0032029","myosin tail binding","1/83","14/21809",0.0519976974665851,0.161770614340487,0.125686442219426,"MadA1",1
"GO:0032036","GO:0032036","myosin heavy chain binding","1/83","14/21809",0.0519976974665851,0.161770614340487,0.125686442219426,"MadA1",1
"GO:0048256","GO:0048256","flap endonuclease activity","1/83","14/21809",0.0519976974665851,0.161770614340487,0.125686442219426,"HIGLE",1
"GO:0080115","GO:0080115","myosin XI tail binding","1/83","14/21809",0.0519976974665851,0.161770614340487,0.125686442219426,"MadA1",1
"GO:0005089","GO:0005089","Rho guanyl-nucleotide exchange factor activity","1/83","16/21809",0.0592045032789605,0.177613509836882,0.13799545877051,"ATROPGEF6",1
"GO:0017022","GO:0017022","myosin binding","1/83","18/21809",0.0663571773738244,0.192206996531078,0.149333756703344,"MadA1",1
"GO:0016667","GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","2/83","117/21809",0.073354951510076,0.199042393534279,0.154644466154452,"NA/NA",2
"GO:0016894","GO:0016894","endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters","1/83","20/21809",0.0734561214233649,0.199042393534279,0.154644466154452,"HIGLE",1
"GO:0008047","GO:0008047","enzyme activator activity","2/83","123/21809",0.0799481512080057,0.209863896921015,0.163052150490012,"AtTPX2/NA",2
"GO:0005088","GO:0005088","Ras guanyl-nucleotide exchange factor activity","1/83","24/21809",0.087494411376583,0.21616266340097,0.167945928958147,"ATROPGEF6",1
"GO:0017048","GO:0017048","Rho GTPase binding","1/83","24/21809",0.087494411376583,0.21616266340097,0.167945928958147,"ATROPGEF6",1
"GO:0030570","GO:0030570","pectate lyase activity","1/83","25/21809",0.0909710220653938,0.218330452956945,0.169630176482839,"NA",1
"GO:0016837","GO:0016837","carbon-oxygen lyase activity, acting on polysaccharides","1/83","32/21809",0.114943580140752,0.254836290836335,0.197993108168581,"NA",1
"GO:0004520","GO:0004520","endodeoxyribonuclease activity","1/83","33/21809",0.11831684931687,0.254836290836335,0.197993108168581,"HIGLE",1
"GO:0004693","GO:0004693","cyclin-dependent protein serine/threonine kinase activity","1/83","33/21809",0.11831684931687,0.254836290836335,0.197993108168581,"ATCDT1B",1
"GO:0097472","GO:0097472","cyclin-dependent protein kinase activity","1/83","33/21809",0.11831684931687,0.254836290836335,0.197993108168581,"ATCDT1B",1
"GO:0030246","GO:0030246","carbohydrate binding","2/83","176/21809",0.144698807640451,0.303867496044947,0.236087528255473,"PDCB4/PDCB5",2
"GO:0005484","GO:0005484","SNAP receptor activity","1/83","48/21809",0.167417743084978,0.323050669847892,0.250991748503375,"ATSYP111",1
"GO:0061631","GO:0061631","ubiquitin conjugating enzyme activity","1/83","48/21809",0.167417743084978,0.323050669847892,0.250991748503375,"ATUBC22",1
"GO:0004536","GO:0004536","deoxyribonuclease activity","1/83","49/21809",0.170593347483854,0.323050669847892,0.250991748503375,"HIGLE",1
"GO:0061650","GO:0061650","ubiquitin-like protein conjugating enzyme activity","1/83","49/21809",0.170593347483854,0.323050669847892,0.250991748503375,"ATUBC22",1
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity","1/83","50/21809",0.173756984991154,0.323050669847892,0.250991748503375,"ATROPGEF6",1
"GO:0042973","GO:0042973","glucan endo-1,3-beta-D-glucosidase activity","1/83","51/21809",0.176908700154798,0.323050669847892,0.250991748503375,"NA",1
