"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022402","GO:0022402","cell cycle process","19/82","490/21826",1.78142287972209e-14,5.2017548087885e-12,3.03779480542082e-12,"AtTPX2/ATNACK1/CYCB2;4/CYCB2;1/AtAUR2/RSW7/NA/EDE1/ATN/CYC2/CMR1/AtMAD2/ATCDT1B/AtAUR1/CYCB2;2/CYC1/CYC1BAT/NA/NA",19
"GO:0051726","GO:0051726","regulation of cell cycle","13/82","250/21826",9.46196352276988e-12,6.90723337162201e-10,4.03378444918084e-10,"AtTPX2/CYCB2;4/CYCB2;1/AtAUR2/CYC2/CMR1/AtMAD2/ATCDT1B/AtAUR1/CYCB2;2/CYC1/CYC1BAT/NA",13
"GO:0051338","GO:0051338","regulation of transferase activity","10/82","118/21826",2.23319941159105e-11,1.30418845636918e-09,7.61638536163686e-10,"AtTPX2/CYCB2;4/CYCB2;1/CYC2/AtCDC20.1/CYCB2;2/CYC1/CYC1BAT/CCS52B/NA",10
"GO:0007017","GO:0007017","microtubule-based process","12/82","241/21826",1.04566198355066e-10,5.08888831994655e-09,2.97188142693346e-09,"AtTPX2/ATNACK1/NA/AtAUR2/RSW7/NA/EDE1/PAKRP2/NA/NA/AtAUR1/NA",12
"GO:0045859","GO:0045859","regulation of protein kinase activity","8/82","91/21826",1.84816694557297e-09,7.70949640153294e-08,4.50230143132061e-08,"AtTPX2/CYCB2;4/CYCB2;1/CYC2/CYCB2;2/CYC1/CYC1BAT/NA",8
"GO:0043549","GO:0043549","regulation of kinase activity","8/82","93/21826",2.20135767425549e-09,8.03495551103254e-08,4.69236767407092e-08,"AtTPX2/CYCB2;4/CYCB2;1/CYC2/CYCB2;2/CYC1/CYC1BAT/NA",8
"GO:0010583","GO:0010583","response to cyclopentenone","6/82","35/21826",3.47353263199727e-09,1.126968365048e-07,6.58143025010009e-08,"ATSYP111/ATNACK1/AGP17/NA/CYC2/ATEXPB3",6
"GO:0007052","GO:0007052","mitotic spindle organization","5/82","30/21826",8.75619276358567e-08,1.54161497546047e-06,9.00294253873814e-07,"AtTPX2/AtAUR2/RSW7/AtAUR1/NA",5
"GO:0007018","GO:0007018","microtubule-based movement","6/82","67/21826",1.94094275083122e-07,2.57616037837598e-06,1.5044628020797e-06,"ATNACK1/NA/RSW7/NA/PAKRP2/NA",6
"GO:0006928","GO:0006928","movement of cell or subcellular component","6/82","89/21826",1.05837288939566e-06,1.23617953481413e-05,7.21921718240405e-06,"ATNACK1/NA/RSW7/NA/PAKRP2/NA",6
"GO:0000280","GO:0000280","nuclear division","6/82","212/21826",0.000148233334370897,0.00123476634857529,0.000721096425627962,"AtTPX2/NA/CMR1/AtMAD2/NA/NA",6
"GO:0007135","GO:0007135","meiosis II","3/82","28/21826",0.000156460119511252,0.00123476634857529,0.000721096425627962,"NA/CMR1/NA",3
"GO:0061983","GO:0061983","meiosis II cell cycle process","3/82","28/21826",0.000156460119511252,0.00123476634857529,0.000721096425627962,"NA/CMR1/NA",3
"GO:0051301","GO:0051301","cell division","6/82","268/21826",0.000520017989665908,0.0038934680251909,0.00227376286979425,"ATNACK1/AtAUR2/RSW7/EDE1/ATN/AtAUR1",6
"GO:0060236","GO:0060236","regulation of mitotic spindle organization","2/82","10/21826",0.00061530450675523,0.00438216868225676,0.00255916123477143,"AtTPX2/NA",2
"GO:0090224","GO:0090224","regulation of spindle organization","2/82","10/21826",0.00061530450675523,0.00438216868225676,0.00255916123477143,"AtTPX2/NA",2
"GO:0010332","GO:0010332","response to gamma radiation","2/82","16/21826",0.00161696779243637,0.00944309190782839,0.00551471120788825,"CYC1/CYC1BAT",2
"GO:0009904","GO:0009904","chloroplast accumulation movement","2/82","20/21826",0.00253536946612045,0.0129882084931083,0.00758503884601133,"NA/NA",2
"GO:0031145","GO:0031145","anaphase-promoting complex-dependent catabolic process","2/82","20/21826",0.00253536946612045,0.0129882084931083,0.00758503884601133,"AtCDC20.1/CCS52B",2
"GO:0051640","GO:0051640","organelle localization","4/82","168/21826",0.00371644595750983,0.0172254320570297,0.0100595529676958,"ATSYP111/NA/NA/PAKRP2",4
"GO:0032886","GO:0032886","regulation of microtubule-based process","2/82","28/21826",0.00494684823349266,0.0203447842842233,0.011881236676439,"AtTPX2/NA",2
"GO:0140014","GO:0140014","mitotic nuclear division","3/82","102/21826",0.0067183365630822,0.0258125562686843,0.0150743839781069,"AtTPX2/AtMAD2/NA",3
"GO:0030705","GO:0030705","cytoskeleton-dependent intracellular transport","2/82","33/21826",0.00682650607837152,0.0258875295439544,0.0151181679384304,"PAKRP2/NA",2
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","2/82","34/21826",0.0072355885048969,0.0270870749157679,0.0158186955167786,"CMR1/AtMAD2",2
"GO:0051983","GO:0051983","regulation of chromosome segregation","2/82","36/21826",0.00808621558973031,0.0295146869025156,0.0172364069149514,"CMR1/AtMAD2",2
