"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1990351","GO:1990351","transporter complex","1/56","13/25052",0.0286797607253357,0.467075528013559,0.467075528013559,"cMCU",1
"GO:0031305","GO:0031305","integral component of mitochondrial inner membrane","1/56","32/25052",0.0691486456379964,0.467075528013559,0.467075528013559,"cMCU",1
"GO:0008287","GO:0008287","protein serine/threonine phosphatase complex","1/56","34/25052",0.0733109461133348,0.467075528013559,0.467075528013559,"ABI1",1
"GO:1903293","GO:1903293","phosphatase complex","1/56","34/25052",0.0733109461133348,0.467075528013559,0.467075528013559,"ABI1",1
"GO:0031304","GO:0031304","intrinsic component of mitochondrial inner membrane","1/56","36/25052",0.0774549657602058,0.467075528013559,0.467075528013559,"cMCU",1
"GO:0032592","GO:0032592","integral component of mitochondrial membrane","1/56","57/25052",0.119883101214022,0.467075528013559,0.467075528013559,"cMCU",1
"GO:0031966","GO:0031966","mitochondrial membrane","2/56","269/25052",0.121464924196342,0.467075528013559,0.467075528013559,"NA/cMCU",2
"GO:0098573","GO:0098573","intrinsic component of mitochondrial membrane","1/56","60/25052",0.125785661887482,0.467075528013559,0.467075528013559,"cMCU",1
"GO:0005740","GO:0005740","mitochondrial envelope","2/56","289/25052",0.136431914879777,0.467075528013559,0.467075528013559,"NA/cMCU",2
"GO:0015629","GO:0015629","actin cytoskeleton","1/56","70/25052",0.145181447502694,0.467075528013559,0.467075528013559,"ADF6",1
"GO:0005777","GO:0005777","peroxisome","2/56","324/25052",0.16352504607318,0.467075528013559,0.467075528013559,"KAT2/NA",2
"GO:0042579","GO:0042579","microbody","2/56","324/25052",0.16352504607318,0.467075528013559,0.467075528013559,"KAT2/NA",2
"GO:0000138","GO:0000138","Golgi trans cisterna","1/56","85/25052",0.173485196119322,0.467075528013559,0.467075528013559,"ERD3",1
"GO:0009705","GO:0009705","plant-type vacuole membrane","1/56","129/25052",0.251305190554842,0.542305423877588,0.542305423877588,"TOM3",1
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","1/56","147/25052",0.281024321752467,0.542305423877588,0.542305423877588,"cMCU",1
"GO:0005730","GO:0005730","nucleolus","2/56","486/25052",0.296309310870598,0.542305423877588,0.542305423877588,"KAT2/AtSAMS3",2
"GO:0046658","GO:0046658","anchored component of plasma membrane","1/56","173/25052",0.321916715515083,0.542305423877588,0.542305423877588,"NA",1
"GO:0099503","GO:0099503","secretory vesicle","1/56","173/25052",0.321916715515083,0.542305423877588,0.542305423877588,"ATEXLA1",1
"GO:0000325","GO:0000325","plant-type vacuole","1/56","177/25052",0.328001674196715,0.542305423877588,0.542305423877588,"TOM3",1
"GO:0031985","GO:0031985","Golgi cisterna","1/56","187/25052",0.342980417079495,0.542305423877588,0.542305423877588,"ERD3",1
"GO:0031301","GO:0031301","integral component of organelle membrane","1/56","192/25052",0.350346327933428,0.542305423877588,0.542305423877588,"cMCU",1
"GO:0005795","GO:0005795","Golgi stack","1/56","196/25052",0.35618060684604,0.542305423877588,0.542305423877588,"ERD3",1
"GO:0031300","GO:0031300","intrinsic component of organelle membrane","1/56","197/25052",0.357631117226496,0.542305423877588,0.542305423877588,"cMCU",1
"GO:0005743","GO:0005743","mitochondrial inner membrane","1/56","215/25052",0.38319813894408,0.542305423877588,0.542305423877588,"cMCU",1
"GO:0098798","GO:0098798","mitochondrial protein complex","1/56","218/25052",0.38736101705542,0.542305423877588,0.542305423877588,"cMCU",1
"GO:0009505","GO:0009505","plant-type cell wall","1/56","235/25052",0.410434622557881,0.552508145750994,0.552508145750994,"ATEXLA1",1
"GO:0031226","GO:0031226","intrinsic component of plasma membrane","1/56","271/25052",0.456515210651189,0.572347691740589,0.572347691740589,"NA",1
"GO:0019866","GO:0019866","organelle inner membrane","1/56","281/25052",0.468674899585573,0.572347691740589,0.572347691740589,"cMCU",1
"GO:0048046","GO:0048046","apoplast","1/56","298/25052",0.488736002847677,0.572347691740589,0.572347691740589,"AAE3",1
"GO:0005802","GO:0005802","trans-Golgi network","1/56","312/25052",0.504696741204695,0.572347691740589,0.572347691740589,"ERD3",1
"GO:0031225","GO:0031225","anchored component of membrane","1/56","314/25052",0.506936526970236,0.572347691740589,0.572347691740589,"NA",1
"GO:0005856","GO:0005856","cytoskeleton","1/56","348/25052",0.543525628136174,0.59448115577394,0.59448115577394,"ADF6",1
"GO:0098791","GO:0098791","Golgi apparatus subcompartment","1/56","390/25052",0.585058329565455,0.6106607164181,0.6106607164181,"ERD3",1
"GO:0005768","GO:0005768","endosome","1/56","417/25052",0.609773658365267,0.6106607164181,0.6106607164181,"ERD3",1
"GO:0016021","GO:0016021","integral component of membrane","1/56","418/25052",0.6106607164181,0.6106607164181,0.6106607164181,"cMCU",1
