"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016709","GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","6/43","146/21809",4.03577200418421e-07,4.19720288435158e-05,2.54890863422161e-05,"BUS1/FMO/CYP83A1/ATR4/CYP79B2/CYP79A2",6
"GO:0020037","GO:0020037","heme binding","6/43","370/21809",8.21517321942354e-05,0.00237839780968711,0.0014443711394861,"BUS1/ATCB5-C/CYP83A1/ATR4/CYP79B2/CYP79A2",6
"GO:0046906","GO:0046906","tetrapyrrole binding","6/43","393/21809",0.00011434604854265,0.00237839780968711,0.0014443711394861,"BUS1/ATCB5-C/CYP83A1/ATR4/CYP79B2/CYP79A2",6
"GO:0005506","GO:0005506","iron ion binding","5/43","324/21809",0.000425113867652756,0.00736864037264777,0.00447488281739743,"BUS1/CYP83A1/ATR4/CYP79B2/CYP79A2",5
"GO:0043295","GO:0043295","glutathione binding","2/43","19/21809",0.000635640493018896,0.00826332640924564,0.00501821441857023,"ATGSTF7/ATGSTF11",2
"GO:1900750","GO:1900750","oligopeptide binding","2/43","19/21809",0.000635640493018896,0.00826332640924564,0.00501821441857023,"ATGSTF7/ATGSTF11",2
"GO:0072341","GO:0072341","modified amino acid binding","2/43","24/21809",0.00101954740910874,0.0117814367274788,0.00715471866041221,"ATGSTF7/ATGSTF11",2
"GO:0016667","GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","3/43","117/21809",0.00158819078263683,0.016517184139423,0.01003067862718,"ATMSRB5/ATMSRA2/AtGRXC2",3
"GO:0005372","GO:0005372","water transmembrane transporter activity","2/43","36/21809",0.00229258126524579,0.0198690376321302,0.0120662171855042,"PIP2;2/AQP1",2
"GO:0015250","GO:0015250","water channel activity","2/43","36/21809",0.00229258126524579,0.0198690376321302,0.0120662171855042,"PIP2;2/AQP1",2
"GO:1901681","GO:1901681","sulfur compound binding","2/43","41/21809",0.00296542328509685,0.0220288586892909,0.013377849406452,"ATGSTF7/ATGSTF11",2
"GO:0016829","GO:0016829","lyase activity","4/43","343/21809",0.00457665379684972,0.0300335168823524,0.0182389778637768,"ALF1/ATLEUD1/THA2/IPMI1",4
"GO:0008483","GO:0008483","transaminase activity","2/43","52/21809",0.00472995919082776,0.0300335168823524,0.0182389778637768,"ALF1/BCAT4",2
"GO:0016769","GO:0016769","transferase activity, transferring nitrogenous groups","2/43","53/21809",0.00490932487499991,0.0300335168823524,0.0182389778637768,"ALF1/BCAT4",2
"GO:0080044","GO:0080044","quercetin 7-O-glucosyltransferase activity","2/43","55/21809",0.00527735834281199,0.0304914037584693,0.0185170468168842,"UGT74B1/NA",2
"GO:0004364","GO:0004364","glutathione transferase activity","2/43","59/21809",0.00605028893671971,0.0331173710220447,0.0201117637785697,"ATGSTF7/ATGSTF11",2
