"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010374","GO:0010374","stomatal complex development","5/47","66/21826",3.01292751637952e-07,4.10364812889599e-05,3.02542151628621e-05,"EPF2/AtRLP17/SOL1/SPCH/BASL",5
"GO:0008356","GO:0008356","asymmetric cell division","4/47","27/21826",3.19350048941322e-07,4.10364812889599e-05,3.02542151628621e-05,"AtRLP17/POLAR/NA/BASL",4
"GO:0090558","GO:0090558","plant epidermis development","6/47","283/21826",3.09643752985375e-05,0.00250809967112669,0.00184910072006063,"HDG2/EPF2/AtRLP17/SOL1/SPCH/BASL",6
"GO:0003002","GO:0003002","regionalization","5/47","179/21826",4.07110073242074e-05,0.00250809967112669,0.00184910072006063,"ABCG11/AtRLP17/YAB5/SOL1/FL1",5
"GO:0042335","GO:0042335","cuticle development","3/47","33/21826",4.87957134460445e-05,0.00250809967112669,0.00184910072006063,"ABCG11/LTPG1/BDG1",3
"GO:0007389","GO:0007389","pattern specification process","5/47","212/21826",9.07808287948072e-05,0.00388844550004424,0.00286676301457286,"ABCG11/AtRLP17/YAB5/SOL1/FL1",5
"GO:0006167","GO:0006167","AMP biosynthetic process","2/47","10/21826",0.000202005342994123,0.00741648187849853,0.00546781379532966,"APT3/APT5",2
"GO:0009113","GO:0009113","purine nucleobase biosynthetic process","2/47","11/21826",0.000246556403145352,0.00792062445104442,0.0058394937587057,"APT3/APT5",2
"GO:0046033","GO:0046033","AMP metabolic process","2/47","12/21826",0.000295461479351699,0.00843706668815406,0.00622024167056208,"APT3/APT5",2
"GO:0045596","GO:0045596","negative regulation of cell differentiation","2/47","14/21826",0.000406261104856121,0.0104409103948023,0.00769757882885281,"HDG2/PDF2",2
"GO:2000038","GO:2000038","regulation of stomatal complex development","2/47","16/21826",0.000534259619840376,0.0124822474817252,0.00920255804509739,"EPF2/SPCH",2
"GO:0006144","GO:0006144","purine nucleobase metabolic process","2/47","18/21826",0.000679313302161624,0.0145486265546281,0.0107259995078151,"APT3/APT5",2
"GO:0043173","GO:0043173","nucleotide salvage","2/47","19/21826",0.000758191156715113,0.0149888559442911,0.0110505593691272,"APT3/APT5",2
"GO:0010375","GO:0010375","stomatal complex patterning","2/47","20/21826",0.000841279302583329,0.0154434843402797,0.0113857349221804,"AtRLP17/SOL1",2
"GO:0010345","GO:0010345","suberin biosynthetic process","2/47","22/21826",0.00102001564017965,0.0174762679684113,0.0128844080864798,"ABCG11/BDG1",2
"GO:0090626","GO:0090626","plant epidermis morphogenesis","3/47","94/21826",0.00109351015854074,0.0175645069215606,0.0129494624037719,"HDG2/EPF2/AtRLP17",3
