"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070003","GO:0070003","threonine-type peptidase activity","1/56","10/21809",0.0253879739421053,0.300479826386942,0.266089069315086,"GGT1",1
"GO:0002020","GO:0002020","protease binding","1/56","11/21809",0.0278916793166288,0.300479826386942,0.266089069315086,"PATL1",1
"GO:0050664","GO:0050664","oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor","1/56","11/21809",0.0278916793166288,0.300479826386942,0.266089069315086,"AtPCBER1",1
"GO:0032029","GO:0032029","myosin tail binding","1/56","14/21809",0.0353649543992434,0.300479826386942,0.266089069315086,"MyoB1",1
"GO:0032036","GO:0032036","myosin heavy chain binding","1/56","14/21809",0.0353649543992434,0.300479826386942,0.266089069315086,"MyoB1",1
"GO:0080115","GO:0080115","myosin XI tail binding","1/56","14/21809",0.0353649543992434,0.300479826386942,0.266089069315086,"MyoB1",1
"GO:0008146","GO:0008146","sulfotransferase activity","1/56","18/21809",0.0452416072153232,0.300479826386942,0.266089069315086,"NA",1
"GO:0017022","GO:0017022","myosin binding","1/56","18/21809",0.0452416072153232,0.300479826386942,0.266089069315086,"MyoB1",1
"GO:0080031","GO:0080031","methyl salicylate esterase activity","1/56","19/21809",0.0476952105376098,0.300479826386942,0.266089069315086,"ATMES10",1
"GO:0080032","GO:0080032","methyl jasmonate esterase activity","1/56","19/21809",0.0476952105376098,0.300479826386942,0.266089069315086,"ATMES10",1
"GO:0005345","GO:0005345","purine nucleobase transmembrane transporter activity","1/56","26/21809",0.0646978832159214,0.32786434009445,0.290339348788736,"ATAZG1",1
"GO:0015205","GO:0015205","nucleobase transmembrane transporter activity","1/56","33/21809",0.0814023118538634,0.32786434009445,0.290339348788736,"ATAZG1",1
"GO:0016782","GO:0016782","transferase activity, transferring sulfur-containing groups","1/56","34/21809",0.0837646130357237,0.32786434009445,0.290339348788736,"NA",1
"GO:0008134","GO:0008134","transcription factor binding","2/56","188/21809",0.0841412556266562,0.32786434009445,0.290339348788736,"ATWRKY45/NA",2
"GO:0005372","GO:0005372","water transmembrane transporter activity","1/56","36/21809",0.0884713298667564,0.32786434009445,0.290339348788736,"DELTA-TIP2",1
"GO:0015250","GO:0015250","water channel activity","1/56","36/21809",0.0884713298667564,0.32786434009445,0.290339348788736,"DELTA-TIP2",1
"GO:0080030","GO:0080030","methyl indole-3-acetate esterase activity","1/56","36/21809",0.0884713298667564,0.32786434009445,0.290339348788736,"ATMES10",1
