"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015630","GO:0015630","microtubule cytoskeleton","18/94","255/25052",3.40071284079158e-18,2.27847760333036e-16,7.87533499972787e-17,"AtTPX2/NA/CORD4/CYCB2;4/CYCB2;1/AtAUR2/RSW7/EDE1/ATN/CYC2/AtMAD2/PAKRP2/NA/AtAUR1/CYCB2;2/CYC1/CYC1BAT/NA",18
"GO:0099081","GO:0099081","supramolecular polymer","12/94","184/25052",4.8554169183431e-12,4.64732762184268e-11,1.60630334140674e-11,"NET3A/AtTPX2/NA/CORD4/AtAUR2/RSW7/EDE1/AtMAD2/PAKRP2/NA/AtAUR1/NA",12
"GO:0099512","GO:0099512","supramolecular fiber","12/94","184/25052",4.8554169183431e-12,4.64732762184268e-11,1.60630334140674e-11,"NET3A/AtTPX2/NA/CORD4/AtAUR2/RSW7/EDE1/AtMAD2/PAKRP2/NA/AtAUR1/NA",12
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","6/94","62/25052",1.23218920044253e-07,8.25566764296498e-07,2.85349077997218e-07,"CYCB2;4/CYCB2;1/CYC2/CYCB2;2/CYC1/CYC1BAT",6
"GO:0018995","GO:0018995","host cellular component","6/94","161/25052",3.27650855116588e-05,9.97845786036882e-05,3.4489563696483e-05,"CYCB2;4/CYCB2;1/CYC2/CYCB2;2/CYC1/CYC1BAT",6
"GO:0033643","GO:0033643","host cell part","6/94","161/25052",3.27650855116588e-05,9.97845786036882e-05,3.4489563696483e-05,"CYCB2;4/CYCB2;1/CYC2/CYCB2;2/CYC1/CYC1BAT",6
"GO:0033646","GO:0033646","host intracellular part","6/94","161/25052",3.27650855116588e-05,9.97845786036882e-05,3.4489563696483e-05,"CYCB2;4/CYCB2;1/CYC2/CYCB2;2/CYC1/CYC1BAT",6
"GO:0033647","GO:0033647","host intracellular organelle","6/94","161/25052",3.27650855116588e-05,9.97845786036882e-05,3.4489563696483e-05,"CYCB2;4/CYCB2;1/CYC2/CYCB2;2/CYC1/CYC1BAT",6
"GO:0033648","GO:0033648","host intracellular membrane-bounded organelle","6/94","161/25052",3.27650855116588e-05,9.97845786036882e-05,3.4489563696483e-05,"CYCB2;4/CYCB2;1/CYC2/CYCB2;2/CYC1/CYC1BAT",6
"GO:0042025","GO:0042025","host cell nucleus","6/94","161/25052",3.27650855116588e-05,9.97845786036882e-05,3.4489563696483e-05,"CYCB2;4/CYCB2;1/CYC2/CYCB2;2/CYC1/CYC1BAT",6
"GO:0043656","GO:0043656","host intracellular region","6/94","161/25052",3.27650855116588e-05,9.97845786036882e-05,3.4489563696483e-05,"CYCB2;4/CYCB2;1/CYC2/CYCB2;2/CYC1/CYC1BAT",6
"GO:0043657","GO:0043657","host cell","6/94","161/25052",3.27650855116588e-05,9.97845786036882e-05,3.4489563696483e-05,"CYCB2;4/CYCB2;1/CYC2/CYCB2;2/CYC1/CYC1BAT",6
"GO:0009524","GO:0009524","phragmoplast","4/94","62/25052",8.77731229380636e-05,0.00023523196947401,8.13056296689431e-05,"AtTPX2/ATSYP111/ATNACK1/PAKRP2",4
"GO:0031225","GO:0031225","anchored component of membrane","7/94","314/25052",0.000183230160850877,0.000472170029884952,0.000163200952984587,"PDCB4/AGP17/AtENODL14/PDCB5/NA/AtENODL15/AtENODL13",7
"GO:0046658","GO:0046658","anchored component of plasma membrane","5/94","173/25052",0.000495431712969372,0.00118549731317671,0.000409755552079931,"AtENODL14/PDCB5/NA/AtENODL15/AtENODL13",5
"GO:0000775","GO:0000775","chromosome, centromeric region","3/94","47/25052",0.000735994740854275,0.00170040164266332,0.000587727197778368,"AtAUR2/AtMAD2/AtAUR1",3
"GO:0005680","GO:0005680","anaphase-promoting complex","2/94","24/25052",0.00364333152946782,0.00697437749926696,0.00241062537288096,"AtCDC20.1/CCS52B",2
"GO:0031461","GO:0031461","cullin-RING ubiquitin ligase complex","4/94","241/25052",0.0129771543445958,0.0212065692948273,0.00732984327550982,"NA/AtCDC20.1/CCS52B/NA",4
