"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","2/49","69/21809",0.0105409086365064,0.231653864757606,0.204221170246837,"AtbHLH112/NA",2
"GO:0042910","GO:0042910","xenobiotic transmembrane transporter activity","2/49","73/21809",0.0117409412236806,0.231653864757606,0.204221170246837,"ABS4/ABCC9",2
"GO:0001216","GO:0001216","DNA-binding transcription activator activity","2/49","74/21809",0.0120499224222319,0.231653864757606,0.204221170246837,"AtbHLH112/NA",2
"GO:0004860","GO:0004860","protein kinase inhibitor activity","1/49","11/21809",0.0244443314320214,0.231653864757606,0.204221170246837,"SIM",1
"GO:0000978","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","2/49","111/21809",0.0258434393883133,0.231653864757606,0.204221170246837,"AtbHLH112/ATWRKY13",2
"GO:0099094","GO:0099094","ligand-gated cation channel activity","1/49","12/21809",0.02663729536265,0.231653864757606,0.204221170246837,"AtKAT1",1
"GO:0016207","GO:0016207","4-coumarate-CoA ligase activity","1/49","13/21809",0.0288254300842731,0.231653864757606,0.204221170246837,"4CL.1",1
"GO:0019210","GO:0019210","kinase inhibitor activity","1/49","14/21809",0.0310087460104008,0.231653864757606,0.204221170246837,"SIM",1
"GO:0008559","GO:0008559","ATPase-coupled xenobiotic transmembrane transporter activity","1/49","15/21809",0.0331872535325611,0.231653864757606,0.204221170246837,"ABCC9",1
"GO:0035250","GO:0035250","UDP-galactosyltransferase activity","1/49","16/21809",0.0353609630203516,0.231653864757606,0.204221170246837,"AtGolS3",1
"GO:0000822","GO:0000822","inositol hexakisphosphate binding","1/49","19/21809",0.041853406645421,0.231653864757606,0.204221170246837,"PHO1;H1",1
"GO:0005249","GO:0005249","voltage-gated potassium channel activity","1/49","22/21809",0.048303039170546,0.231653864757606,0.204221170246837,"AtKAT1",1
"GO:0009055","GO:0009055","electron transfer activity","2/49","159/21809",0.0496950936931848,0.231653864757606,0.204221170246837,"NA/UCC2",2
"GO:0005267","GO:0005267","potassium channel activity","1/49","23/21809",0.0504434509335533,0.231653864757606,0.204221170246837,"AtKAT1",1
"GO:0005381","GO:0005381","iron ion transmembrane transporter activity","1/49","23/21809",0.0504434509335533,0.231653864757606,0.204221170246837,"ABS4",1
"GO:0016840","GO:0016840","carbon-nitrogen lyase activity","1/49","24/21809",0.052579146834786,0.231653864757606,0.204221170246837,"PAL4",1
"GO:0022843","GO:0022843","voltage-gated cation channel activity","1/49","26/21809",0.0568364317273452,0.231653864757606,0.204221170246837,"AtKAT1",1
"GO:0000987","GO:0000987","cis-regulatory region sequence-specific DNA binding","2/49","172/21809",0.0571303473802009,0.231653864757606,0.204221170246837,"AtbHLH112/ATWRKY13",2
"GO:0015114","GO:0015114","phosphate ion transmembrane transporter activity","1/49","28/21809",0.0610749749844822,0.231653864757606,0.204221170246837,"PHO1;H1",1
"GO:0016405","GO:0016405","CoA-ligase activity","1/49","30/21809",0.0652948574001242,0.231653864757606,0.204221170246837,"4CL.1",1
"GO:0030414","GO:0030414","peptidase inhibitor activity","1/49","30/21809",0.0652948574001242,0.231653864757606,0.204221170246837,"PRN2",1
"GO:0015276","GO:0015276","ligand-gated ion channel activity","1/49","32/21809",0.0694961594272817,0.231653864757606,0.204221170246837,"AtKAT1",1
"GO:0022834","GO:0022834","ligand-gated channel activity","1/49","32/21809",0.0694961594272817,0.231653864757606,0.204221170246837,"AtKAT1",1
"GO:0061134","GO:0061134","peptidase regulator activity","1/49","32/21809",0.0694961594272817,0.231653864757606,0.204221170246837,"PRN2",1
"GO:0016878","GO:0016878","acid-thiol ligase activity","1/49","34/21809",0.0736789611794532,0.23577267577425,0.207852227327299,"4CL.1",1
"GO:0004857","GO:0004857","enzyme inhibitor activity","2/49","208/21809",0.0795316008496244,0.239042018229317,0.210734410807425,"PRN2/SIM",2
"GO:0008378","GO:0008378","galactosyltransferase activity","1/49","38/21809",0.0819893826236913,0.239042018229317,0.210734410807425,"AtGolS3",1
"GO:0043178","GO:0043178","alcohol binding","1/49","39/21809",0.0840555495545364,0.239042018229317,0.210734410807425,"PHO1;H1",1
"GO:0016628","GO:0016628","oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor","1/49","45/21809",0.096357226484946,0.239042018229317,0.210734410807425,"ATPRR1",1
"GO:0046873","GO:0046873","metal ion transmembrane transporter activity","2/49","234/21809",0.0971378072740662,0.239042018229317,0.210734410807425,"ABS4/AtKAT1",2
"GO:0005244","GO:0005244","voltage-gated ion channel activity","1/49","47/21809",0.100421705997713,0.239042018229317,0.210734410807425,"AtKAT1",1
"GO:0022832","GO:0022832","voltage-gated channel activity","1/49","47/21809",0.100421705997713,0.239042018229317,0.210734410807425,"AtKAT1",1
"GO:0016413","GO:0016413","O-acetyltransferase activity","1/49","51/21809",0.108497011991706,0.239042018229317,0.210734410807425,"TBL40",1
"GO:0016877","GO:0016877","ligase activity, forming carbon-sulfur bonds","1/49","51/21809",0.108497011991706,0.239042018229317,0.210734410807425,"4CL.1",1
"GO:0008483","GO:0008483","transaminase activity","1/49","52/21809",0.110504717038697,0.239042018229317,0.210734410807425,"RSA1",1
"GO:0016538","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity","1/49","53/21809",0.112507992713886,0.239042018229317,0.210734410807425,"SIM",1
"GO:0016769","GO:0016769","transferase activity, transferring nitrogenous groups","1/49","53/21809",0.112507992713886,0.239042018229317,0.210734410807425,"RSA1",1
"GO:0000977","GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding","2/49","257/21809",0.113544958658926,0.239042018229317,0.210734410807425,"AtbHLH112/ATWRKY13",2
"GO:0000981","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","2/49","272/21809",0.124608627552813,0.252815402542677,0.222876736452097,"AtbHLH112/NA",2
"GO:0015079","GO:0015079","potassium ion transmembrane transporter activity","1/49","60/21809",0.126407701271339,0.252815402542677,0.222876736452097,"AtKAT1",1
"GO:0046915","GO:0046915","transition metal ion transmembrane transporter activity","1/49","73/21809",0.151657927300977,0.295917906928735,0.260874996897701,"ABS4",1
"GO:0071949","GO:0071949","FAD binding","1/49","76/21809",0.157382581303767,0.299776345340509,0.264276514971238,"AtBBE26",1
"GO:0016627","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","1/49","85/21809",0.174330439374503,0.320051455760474,0.28215062547305,"ATPRR1",1
"GO:0019887","GO:0019887","protein kinase regulator activity","1/49","91/21809",0.185443022492694,0.320051455760474,0.28215062547305,"SIM",1
"GO:0022836","GO:0022836","gated channel activity","1/49","93/21809",0.189114556033577,0.320051455760474,0.28215062547305,"AtKAT1",1
"GO:0005261","GO:0005261","cation channel activity","1/49","94/21809",0.190944238606536,0.320051455760474,0.28215062547305,"AtKAT1",1
"GO:0019207","GO:0019207","kinase regulator activity","1/49","97/21809",0.19640905475294,0.320051455760474,0.28215062547305,"SIM",1
"GO:0022890","GO:0022890","inorganic cation transmembrane transporter activity","2/49","365/21809",0.197799365798417,0.320051455760474,0.28215062547305,"ABS4/AtKAT1",2
"GO:0030170","GO:0030170","pyridoxal phosphate binding","1/49","99/21809",0.200032159850296,0.320051455760474,0.28215062547305,"RSA1",1
"GO:0070279","GO:0070279","vitamin B6 binding","1/49","99/21809",0.200032159850296,0.320051455760474,0.28215062547305,"RSA1",1
"GO:0042802","GO:0042802","identical protein binding","2/49","386/21809",0.215053584852203,0.337338956630906,0.297390922293036,"IAA13/AtKAT1",2
"GO:0008324","GO:0008324","cation transmembrane transporter activity","2/49","397/21809",0.224152632643577,0.344850204067041,0.304012679901207,"ABS4/AtKAT1",2
"GO:0004722","GO:0004722","protein serine/threonine phosphatase activity","1/49","120/21809",0.237121674677156,0.351291369892083,0.309691076089073,"EGR3",1
"GO:0008374","GO:0008374","O-acyltransferase activity","1/49","120/21809",0.237121674677156,0.351291369892083,0.309691076089073,"TBL40",1
"GO:0015103","GO:0015103","inorganic anion transmembrane transporter activity","1/49","126/21809",0.247405635630328,0.359862742735023,0.317247417937455,"PHO1;H1",1
"GO:0016407","GO:0016407","acetyltransferase activity","1/49","129/21809",0.252496565429132,0.360709379184474,0.317993794807365,"TBL40",1
"GO:0019842","GO:0019842","vitamin binding","1/49","135/21809",0.262577425558664,0.366769687958523,0.323336435437119,"RSA1",1
"GO:0005216","GO:0005216","ion channel activity","1/49","137/21809",0.265908023769929,0.366769687958523,0.323336435437119,"AtKAT1",1
