"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099081","GO:0099081","supramolecular polymer","16/53","184/25052",4.32393197660407e-22,1.19628784686046e-20,5.15837498963292e-21,"IQD6/TBB7/AtAUR3/POK2/NA/KINESIN-12B/NA/ATK5/CORD3/NA/NA/ADL1/AtFIM2/ATMAP65-3/NA/ATEB1C",16
"GO:0099512","GO:0099512","supramolecular fiber","16/53","184/25052",4.32393197660407e-22,1.19628784686046e-20,5.15837498963292e-21,"IQD6/TBB7/AtAUR3/POK2/NA/KINESIN-12B/NA/ATK5/CORD3/NA/NA/ADL1/AtFIM2/ATMAP65-3/NA/ATEB1C",16
"GO:0099513","GO:0099513","polymeric cytoskeletal fiber","16/53","184/25052",4.32393197660407e-22,1.19628784686046e-20,5.15837498963292e-21,"IQD6/TBB7/AtAUR3/POK2/NA/KINESIN-12B/NA/ATK5/CORD3/NA/NA/ADL1/AtFIM2/ATMAP65-3/NA/ATEB1C",16
"GO:0005874","GO:0005874","microtubule","15/53","169/25052",7.24484770964423e-21,1.50330589975118e-19,6.48223216126063e-20,"IQD6/TBB7/AtAUR3/POK2/NA/KINESIN-12B/NA/ATK5/CORD3/NA/NA/ADL1/ATMAP65-3/NA/ATEB1C",15
"GO:0015630","GO:0015630","microtubule cytoskeleton","16/53","255/25052",8.77254289924178e-20,1.45624212127414e-18,6.27929386472043e-19,"IQD6/TBB7/AtAUR3/POK2/NA/KINESIN-12B/NA/TRM7/ATK5/CORD3/NA/NA/ADL1/ATMAP65-3/NA/ATEB1C",16
"GO:0005856","GO:0005856","cytoskeleton","17/53","348/25052",3.70921342602167e-19,5.1310785726633e-18,2.21251327166205e-18,"IQD6/TBB7/AtAUR3/POK2/NA/KINESIN-12B/NA/TRM7/ATK5/CORD3/NA/NA/ADL1/AtFIM2/ATMAP65-3/NA/ATEB1C",17
"GO:0099080","GO:0099080","supramolecular complex","16/53","290/25052",6.93683492233751e-19,8.22510426505734e-18,3.54665244149587e-18,"IQD6/TBB7/AtAUR3/POK2/NA/KINESIN-12B/NA/ATK5/CORD3/NA/NA/ADL1/AtFIM2/ATMAP65-3/NA/ATEB1C",16
"GO:0005871","GO:0005871","kinesin complex","8/53","31/25052",1.75346029700176e-15,1.81921505813932e-14,7.84442764448154e-15,"POK2/NA/KINESIN-12B/NA/ATK5/NA/NA/NA",8
"GO:0005875","GO:0005875","microtubule associated complex","9/53","69/25052",2.13537846444798e-14,1.9692934727687e-13,8.49156348435456e-14,"AtAUR3/POK2/NA/KINESIN-12B/NA/ATK5/NA/NA/NA",9
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","5/53","62/25052",2.06251246545878e-07,1.55625940575526e-06,6.71056687326303e-07,"CDKB2;2/CYCA1;1/CDKB2;1/CKS2/CDC2B",5
