"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002020","GO:0002020","protease binding","1/14","11/21809",0.00704029304941212,0.0474908383114847,0.0238049314844535,"PATL2",1
"GO:0004867","GO:0004867","serine-type endopeptidase inhibitor activity","1/14","20/21809",0.0127662693155406,0.0474908383114847,0.0238049314844535,"NA",1
"GO:0032050","GO:0032050","clathrin heavy chain binding","1/14","21/21809",0.0134005927002568,0.0474908383114847,0.0238049314844535,"CLC3",1
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","1/14","28/21809",0.0178302707715557,0.0474908383114847,0.0238049314844535,"NA",1
"GO:0008810","GO:0008810","cellulase activity","1/14","28/21809",0.0178302707715557,0.0474908383114847,0.0238049314844535,"AtGH9B18",1
"GO:0061135","GO:0061135","endopeptidase regulator activity","1/14","29/21809",0.0184615721906463,0.0474908383114847,0.0238049314844535,"NA",1
"GO:0030414","GO:0030414","peptidase inhibitor activity","1/14","30/21809",0.0190924967998898,0.0474908383114847,0.0238049314844535,"NA",1
"GO:0070566","GO:0070566","adenylyltransferase activity","1/14","31/21809",0.0197230448069058,0.0474908383114847,0.0238049314844535,"APL2",1
"GO:0061134","GO:0061134","peptidase regulator activity","1/14","32/21809",0.0203532164192077,0.0474908383114847,0.0238049314844535,"NA",1
"GO:0080030","GO:0080030","methyl indole-3-acetate esterase activity","1/14","36/21809",0.0228701430678693,0.0480273004425255,0.0240738348082834,"AtCXE17",1
