"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0102336","GO:0102336","3-oxo-arachidoyl-CoA synthase activity","8/266","23/21809",1.84502505890203e-10,1.07933965945769e-08,8.9338055483677e-09,"KCS1/CER60/AtCER6/KCS8/FDH/KCS16/KCS19/KCS20",8
"GO:0102337","GO:0102337","3-oxo-cerotoyl-CoA synthase activity","8/266","23/21809",1.84502505890203e-10,1.07933965945769e-08,8.9338055483677e-09,"KCS1/CER60/AtCER6/KCS8/FDH/KCS16/KCS19/KCS20",8
"GO:0102338","GO:0102338","3-oxo-lignoceronyl-CoA synthase activity","8/266","23/21809",1.84502505890203e-10,1.07933965945769e-08,8.9338055483677e-09,"KCS1/CER60/AtCER6/KCS8/FDH/KCS16/KCS19/KCS20",8
"GO:0102756","GO:0102756","very-long-chain 3-ketoacyl-CoA synthase activity","8/266","23/21809",1.84502505890203e-10,1.07933965945769e-08,8.9338055483677e-09,"KCS1/CER60/AtCER6/KCS8/FDH/KCS16/KCS19/KCS20",8
"GO:0008289","GO:0008289","lipid binding","15/266","268/21809",1.1515625364596e-06,5.38931267063092e-05,4.46078961491718e-05,"HDG2/HDG12/MLP423/LTPG1/GL2/ATHB-14/ANNAT4/LTPG2/PDF2/FL7/ATML1/ML3/FL1/HB-7/ORP4C",15
"GO:0003996","GO:0003996","acyl-CoA ligase activity","3/266","10/21809",0.000202063760997004,0.00472829200732989,0.00391365600246829,"LACS2/LACS3/CER8",3
"GO:0004467","GO:0004467","long-chain fatty acid-CoA ligase activity","3/266","10/21809",0.000202063760997004,0.00472829200732989,0.00391365600246829,"LACS2/LACS3/CER8",3
"GO:0016705","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","14/266","392/21809",0.000351386911429253,0.00685204477287042,0.00567150804412127,"CYP86A4/CER1/ADS1/NA/CYP77B1/CYP86A8/JMJ30/ATT1/CYP702A6/CBB3/ATFLS1/AtDMR6/CYP707A3/CER3",14
"GO:0004497","GO:0004497","monooxygenase activity","10/266","221/21809",0.000403693622865014,0.00726648521157026,0.00601454466454758,"CYP86A4/CER1/CYP77B1/CYP86A8/ATT1/CYP702A6/CBB3/AtDMR6/CYP707A3/CER3",10
"GO:0004364","GO:0004364","glutathione transferase activity","5/266","59/21809",0.00076041005912781,0.0111209971147442,0.00920496387365244,"ATGSTU17/ATGSTU26/ATGSTU13/ATGSTF5/ATGSTU27",5
"GO:0102483","GO:0102483","scopolin beta-glucosidase activity","4/266","44/21809",0.00200196270552861,0.0275564278290409,0.0228087391837315,"BGLU40/BGLU4/BGLU26/BGLU23",4
