"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048046","GO:0048046","apoplast","6/188","298/25052",0.0253500814043778,0.465429874874898,0.452239554534313,"NA/CLE13/AAE3/ATPCB/GGT1/PRX52",6
"GO:0008287","GO:0008287","protein serine/threonine phosphatase complex","2/188","34/25052",0.0268517235504749,0.465429874874898,0.452239554534313,"ABI1/ABI2",2
"GO:1903293","GO:1903293","phosphatase complex","2/188","34/25052",0.0268517235504749,0.465429874874898,0.452239554534313,"ABI1/ABI2",2
"GO:0099503","GO:0099503","secretory vesicle","4/188","173/25052",0.0416997067105461,0.542096187237099,0.526733137396371,"ATTI1/NA/ATPCB/NA",4
"GO:0009705","GO:0009705","plant-type vacuole membrane","3/188","129/25052",0.0733522100568827,0.76286298459158,0.741243385837972,"ESL1/TOM3/DELTA-TIP2",3
"GO:0005758","GO:0005758","mitochondrial intermembrane space","1/188","15/25052",0.106869042828058,0.843703432931767,0.819792809326413,"CYTC-2",1
"GO:0031970","GO:0031970","organelle envelope lumen","1/188","16/25052",0.11357546212543,0.843703432931767,0.819792809326413,"CYTC-2",1
"GO:0031012","GO:0031012","extracellular matrix","1/188","21/25052",0.146363582470818,0.856780995419676,0.832499752634503,"ATPSK3",1
"GO:0000325","GO:0000325","plant-type vacuole","3/188","177/25052",0.148289018438021,0.856780995419676,0.832499752634503,"ESL1/TOM3/DELTA-TIP2",3
"GO:0030173","GO:0030173","integral component of Golgi membrane","1/188","33/25052",0.220215971287491,0.956916928389415,0.929797825155707,"ATUTR2",1
"GO:0031228","GO:0031228","intrinsic component of Golgi membrane","1/188","33/25052",0.220215971287491,0.956916928389415,0.929797825155707,"ATUTR2",1
"GO:0000145","GO:0000145","exocyst","1/188","34/25052",0.226075493946188,0.956916928389415,0.929797825155707,"ATEXO70H4",1
"GO:0016607","GO:0016607","nuclear speck","1/188","63/25052",0.378208179294704,0.956916928389415,0.929797825155707,"ATOXS3",1
"GO:0005770","GO:0005770","late endosome","1/188","67/25052",0.396710904420595,0.956916928389415,0.929797825155707,"AtDTX50",1
"GO:0010287","GO:0010287","plastoglobule","1/188","67/25052",0.396710904420595,0.956916928389415,0.929797825155707,"LHCB4.3",1
"GO:0015629","GO:0015629","actin cytoskeleton","1/188","70/25052",0.410227599734926,0.956916928389415,0.929797825155707,"ADF6",1
"GO:0005802","GO:0005802","trans-Golgi network","3/188","312/25052",0.415792207114148,0.956916928389415,0.929797825155707,"NA/CASPL1D1/ERD3",3
"GO:0031225","GO:0031225","anchored component of membrane","3/188","314/25052",0.419786790983024,0.956916928389415,0.929797825155707,"AGP12/NA/NA",3
"GO:0030176","GO:0030176","integral component of endoplasmic reticulum membrane","1/188","78/25052",0.444817336519326,0.956916928389415,0.929797825155707,"ATUTR2",1
"GO:0099023","GO:0099023","vesicle tethering complex","1/188","79/25052",0.448996656641628,0.956916928389415,0.929797825155707,"ATEXO70H4",1
"GO:0031227","GO:0031227","intrinsic component of endoplasmic reticulum membrane","1/188","80/25052",0.453144681650692,0.956916928389415,0.929797825155707,"ATUTR2",1
"GO:0000138","GO:0000138","Golgi trans cisterna","1/188","85/25052",0.473423478206758,0.956916928389415,0.929797825155707,"ERD3",1
