"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005694","GO:0005694","chromosome","19/56","415/25052",2.34922891073382e-20,1.17461445536691e-18,4.69845782146765e-19,"G-H2AX/POLD4/HMGA/ATORC6/HTA10/ORTH2/BLH11/HIS1-3/HIS4/H1.2/H2A.Z/HTA13/H2A.Z/HTA2/ATRPA70B/h2a.w.7/ATHTA1/h2a.w.6/ATRPA70D",19
"GO:0000228","GO:0000228","nuclear chromosome","16/56","242/25052",1.03016222709961e-19,2.57540556774902e-18,1.03016222709961e-18,"G-H2AX/POLD4/HMGA/ATORC6/HTA10/ORTH2/BLH11/H2A.Z/HTA13/H2A.Z/HTA2/ATRPA70B/h2a.w.7/ATHTA1/h2a.w.6/ATRPA70D",16
"GO:0032993","GO:0032993","protein-DNA complex","8/56","61/25052",9.94268051567397e-13,9.94268051567397e-12,3.97707220626959e-12,"POLD4/HMGA/HIS1-3/HIS4/H1.2/ATRPA70B/ABAP1/ATRPA70D",8
"GO:0044815","GO:0044815","DNA packaging complex","4/56","25/25052",2.73458411077196e-07,1.95327436483712e-06,7.81309745934847e-07,"HMGA/HIS1-3/HIS4/H1.2",4
"GO:0018995","GO:0018995","host cellular component","6/56","161/25052",1.5974250318196e-06,4.99195322443625e-06,1.9967812897745e-06,"POLD4/HMGA/CYCA3;2/HIS1-3/H1.2/CYCA3;1",6
"GO:0033643","GO:0033643","host cell part","6/56","161/25052",1.5974250318196e-06,4.99195322443625e-06,1.9967812897745e-06,"POLD4/HMGA/CYCA3;2/HIS1-3/H1.2/CYCA3;1",6
"GO:0033646","GO:0033646","host intracellular part","6/56","161/25052",1.5974250318196e-06,4.99195322443625e-06,1.9967812897745e-06,"POLD4/HMGA/CYCA3;2/HIS1-3/H1.2/CYCA3;1",6
"GO:0033647","GO:0033647","host intracellular organelle","6/56","161/25052",1.5974250318196e-06,4.99195322443625e-06,1.9967812897745e-06,"POLD4/HMGA/CYCA3;2/HIS1-3/H1.2/CYCA3;1",6
"GO:0033648","GO:0033648","host intracellular membrane-bounded organelle","6/56","161/25052",1.5974250318196e-06,4.99195322443625e-06,1.9967812897745e-06,"POLD4/HMGA/CYCA3;2/HIS1-3/H1.2/CYCA3;1",6
"GO:0042025","GO:0042025","host cell nucleus","6/56","161/25052",1.5974250318196e-06,4.99195322443625e-06,1.9967812897745e-06,"POLD4/HMGA/CYCA3;2/HIS1-3/H1.2/CYCA3;1",6
"GO:0043656","GO:0043656","host intracellular region","6/56","161/25052",1.5974250318196e-06,4.99195322443625e-06,1.9967812897745e-06,"POLD4/HMGA/CYCA3;2/HIS1-3/H1.2/CYCA3;1",6
"GO:0043657","GO:0043657","host cell","6/56","161/25052",1.5974250318196e-06,4.99195322443625e-06,1.9967812897745e-06,"POLD4/HMGA/CYCA3;2/HIS1-3/H1.2/CYCA3;1",6
"GO:0000152","GO:0000152","nuclear ubiquitin ligase complex","2/56","32/25052",0.00233167680095586,0.00506886261077361,0.00202754504430944,"ATBARD1/ATBRCA1",2
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","2/56","62/25052",0.00851661921582235,0.0177429566996299,0.00709718267985196,"CYCA3;2/CYCA3;1",2
