"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1905392","GO:1905392","plant organ morphogenesis","9/73","445/21826",1.71786292224975e-05,0.00311724182468879,0.00232767728356696,"AIR3/ATPSK2/ICK1/TCP10/ATAIG1/ATHB51/AGAL2/TCP5/ATPSK5",9
"GO:0009938","GO:0009938","negative regulation of gibberellic acid mediated signaling pathway","3/73","16/21826",1.9482761404305e-05,0.00311724182468879,0.00232767728356696,"AtSTY1/SRS2/SHI",3
"GO:0006820","GO:0006820","anion transport","7/73","298/21826",6.2165133370962e-05,0.00663094755956928,0.00495139834217838,"AtNPF2.13/NPF5.12/AtNIP5;1/AtLHT1/ATNRT3.1/AtNPF2.11/AAP4",7
"GO:0009937","GO:0009937","regulation of gibberellic acid mediated signaling pathway","3/73","26/21826",8.83076380685433e-05,0.00706461104548346,0.0052752194319893,"AtSTY1/SRS2/SHI",3
"GO:2000652","GO:2000652","regulation of secondary cell wall biogenesis","3/73","30/21826",0.000136577649934268,0.00801576306243302,0.00598545465517203,"IRX11/ANAC037/ANAC076",3
"GO:0048653","GO:0048653","anther development","4/73","80/21826",0.000150295557420619,0.00801576306243302,0.00598545465517203,"SRS5/AtSTY1/SRS2/SHI",4
"GO:0009908","GO:0009908","flower development","8/73","488/21826",0.000221881467834358,0.0101320016003708,0.00756567224764532,"SRS5/AtSTY1/SRS2/ATHB51/AGAL2/AtYUC4/ERL1/SHI",8
"GO:0048467","GO:0048467","gynoecium development","4/73","94/21826",0.000279752568587641,0.0101320016003708,0.00756567224764532,"SRS5/AtSTY1/SRS2/ERL1",4
"GO:0015706","GO:0015706","nitrate transport","3/73","40/21826",0.000324482726228322,0.0101320016003708,0.00756567224764532,"AtNPF2.13/NPF5.12/ATNRT3.1",3
"GO:0010089","GO:0010089","xylem development","3/73","42/21826",0.000375227223952357,0.0101320016003708,0.00756567224764532,"IRX11/ANAC037/ANAC076",3
"GO:0015698","GO:0015698","inorganic anion transport","4/73","108/21826",0.000474616827398695,0.0101320016003708,0.00756567224764532,"AtNPF2.13/NPF5.12/AtNIP5;1/ATNRT3.1",4
"GO:1903338","GO:1903338","regulation of cell wall organization or biogenesis","3/73","46/21826",0.000491429777460365,0.0101320016003708,0.00756567224764532,"IRX11/ANAC037/ANAC076",3
"GO:0048443","GO:0048443","stamen development","4/73","110/21826",0.000508725691780142,0.0101320016003708,0.00756567224764532,"SRS5/AtSTY1/SRS2/SHI",4
"GO:0048466","GO:0048466","androecium development","4/73","110/21826",0.000508725691780142,0.0101320016003708,0.00756567224764532,"SRS5/AtSTY1/SRS2/SHI",4
"GO:0010016","GO:0010016","shoot system morphogenesis","5/73","199/21826",0.000544524455885845,0.0101320016003708,0.00756567224764532,"TCP10/ATHB51/AGAL2/TCP5/ERL1",5
"GO:0040034","GO:0040034","regulation of development, heterochronic","3/73","49/21826",0.000592178959065106,0.0101320016003708,0.00756567224764532,"TCP10/ATHB51/TCP5",3
"GO:0048759","GO:0048759","xylem vessel member cell differentiation","2/73","11/21826",0.000595129086208022,0.0101320016003708,0.00756567224764532,"ANAC037/ANAC076",2
"GO:0048438","GO:0048438","floral whorl development","5/73","203/21826",0.000595919036510996,0.0101320016003708,0.00756567224764532,"SRS5/AtSTY1/SRS2/ERL1/SHI",5
"GO:0009965","GO:0009965","leaf morphogenesis","4/73","115/21826",0.000601587595022017,0.0101320016003708,0.00756567224764532,"TCP10/ATHB51/AGAL2/TCP5",4
"GO:0080167","GO:0080167","response to karrikin","4/73","127/21826",0.000872603322744412,0.0139616531639106,0.0104253133822622,"NA/JAO2/AtLHT1/AtNPF2.11",4
"GO:0009740","GO:0009740","gibberellic acid mediated signaling pathway","3/73","60/21826",0.00107131483279547,0.0163247974521214,0.0121898980974722,"AtSTY1/SRS2/SHI",3
"GO:0010476","GO:0010476","gibberellin mediated signaling pathway","3/73","61/21826",0.0011240367491743,0.0163496254425352,0.0122084374192615,"AtSTY1/SRS2/SHI",3
"GO:0071370","GO:0071370","cellular response to gibberellin stimulus","3/73","64/21826",0.00129194819646324,0.0179749314290538,0.013422070507879,"AtSTY1/SRS2/SHI",3
"GO:1905177","GO:1905177","tracheary element differentiation","2/73","17/21826",0.00145259724095268,0.0193679632127024,0.0144622620042219,"ANAC037/ANAC076",2
"GO:0048437","GO:0048437","floral organ development","5/73","255/21826",0.00164682319820605,0.0210793369370375,0.0157401627786431,"SRS5/AtSTY1/SRS2/ERL1/SHI",5
"GO:0048366","GO:0048366","leaf development","6/73","399/21826",0.00218209454529061,0.0268565482497306,0.0200540672785818,"ICK1/TCP10/ATHB51/AGAL2/AtYUC4/TCP5",6
"GO:0048440","GO:0048440","carpel development","3/73","81/21826",0.00254044276077538,0.0301089512388193,0.0224826708263552,"AtSTY1/SRS2/ERL1",3
"GO:0009834","GO:0009834","plant-type secondary cell wall biogenesis","3/73","88/21826",0.00321337761771177,0.0351422819338677,0.0262411118387762,"IRX11/ANAC037/ANAC076",3
"GO:0019318","GO:0019318","hexose metabolic process","3/73","89/21826",0.00331755969605601,0.0351422819338677,0.0262411118387762,"AtGolS3/NA/PCK1",3
"GO:0006012","GO:0006012","galactose metabolic process","2/73","26/21826",0.00340440856234343,0.0351422819338677,0.0262411118387762,"AtGolS3/NA",2
"GO:0010582","GO:0010582","floral meristem determinacy","2/73","26/21826",0.00340440856234343,0.0351422819338677,0.0262411118387762,"ATHB51/AtYUC4",2
"GO:0045490","GO:0045490","pectin catabolic process","3/73","98/21826",0.00434901613167565,0.0434901613167565,0.0324745612463938,"ATPMEPCRD/PLL18/NA",3
"GO:0010022","GO:0010022","meristem determinacy","2/73","30/21826",0.00451750680629722,0.0438061266065185,0.0327104958542095,"ATHB51/AtYUC4",2
"GO:0010087","GO:0010087","phloem or xylem histogenesis","3/73","103/21826",0.00499708030577459,0.0470313440543491,0.035118799672162,"IRX11/ANAC037/ANAC076",3
"GO:0009968","GO:0009968","negative regulation of signal transduction","3/73","105/21826",0.00527172378441943,0.0481986174575491,0.0359904150094199,"AtSTY1/SRS2/SHI",3
"GO:0016998","GO:0016998","cell wall macromolecule catabolic process","2/73","33/21826",0.00544796501495821,0.0484263556885174,0.0361604695437285,"NA/NA",2
"GO:0010648","GO:0010648","negative regulation of cell communication","3/73","109/21826",0.00584788699830213,0.0492453641962284,0.0367720318175785,"AtSTY1/SRS2/SHI",3
"GO:0023057","GO:0023057","negative regulation of signaling","3/73","109/21826",0.00584788699830213,0.0492453641962284,0.0367720318175785,"AtSTY1/SRS2/SHI",3
"GO:0009739","GO:0009739","response to gibberellin","3/73","118/21826",0.00727799084717108,0.0597168479767884,0.0445911989826676,"AtSTY1/SRS2/SHI",3
"GO:0010252","GO:0010252","auxin homeostasis","2/73","39/21826",0.00754755747137993,0.0603804597710395,0.0450867248948222,"AtSTY1/SRS2",2
"GO:1905393","GO:1905393","plant organ formation","3/73","126/21826",0.00870862111190243,0.0663879215992597,0.0495725598783946,"ICK1/TCP10/ATHB51",3
"GO:0009226","GO:0009226","nucleotide-sugar biosynthetic process","2/73","42/21826",0.00871341470990284,0.0663879215992597,0.0495725598783946,"NA/GMD1",2
"GO:0009911","GO:0009911","positive regulation of flower development","2/73","43/21826",0.00911882988345256,0.0678610595977865,0.0506725675286103,"AGAL2/AtYUC4",2
"GO:0005996","GO:0005996","monosaccharide metabolic process","3/73","134/21826",0.0102931496452897,0.0748592701475618,0.0558982050115017,"AtGolS3/NA/PCK1",3
"GO:0044087","GO:0044087","regulation of cellular component biogenesis","3/73","142/21826",0.0120346507751139,0.0853113490418958,0.063702882343784,"IRX11/ANAC037/ANAC076",3
"GO:0000272","GO:0000272","polysaccharide catabolic process","3/73","143/21826",0.0122635064247725,0.0853113490418958,0.063702882343784,"ATPMEPCRD/PLL18/NA",3
"GO:0009225","GO:0009225","nucleotide-sugar metabolic process","2/73","52/21826",0.0131341034212062,0.0894236828677869,0.0667736052993014,"NA/GMD1",2
"GO:0006865","GO:0006865","amino acid transport","2/73","54/21826",0.0141134649249937,0.0940897661666248,0.07025781881521,"AtLHT1/AAP4",2
"GO:0044089","GO:0044089","positive regulation of cellular component biogenesis","2/73","57/21826",0.0156399118105447,0.102138199579068,0.0762676687646327,"ANAC037/ANAC076",2
"GO:0045488","GO:0045488","pectin metabolic process","3/73","167/21826",0.0185131372636947,0.115321950916265,0.0861121146644479,"ATPMEPCRD/PLL18/NA",3
"GO:0071669","GO:0071669","plant-type cell wall organization or biogenesis","4/73","303/21826",0.0187483442262496,0.115321950916265,0.0861121146644479,"IRX11/ANAC037/NA/ANAC076",4
"GO:0010393","GO:0010393","galacturonan metabolic process","3/73","168/21826",0.0188053851345253,0.115321950916265,0.0861121146644479,"ATPMEPCRD/PLL18/NA",3
"GO:0015711","GO:0015711","organic anion transport","3/73","169/21826",0.0191001981205064,0.115321950916265,0.0861121146644479,"AtLHT1/AtNPF2.11/AAP4",3
"GO:2000243","GO:2000243","positive regulation of reproductive process","2/73","64/21826",0.0194618446420293,0.115329449730544,0.0861177141080048,"AGAL2/AtYUC4",2
"GO:0048229","GO:0048229","gametophyte development","5/73","472/21826",0.0209161778496439,0.12134746210713,0.0906114272971002,"SRS5/AtSTY1/SRS2/ERL1/SHI",5
