"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005372","GO:0005372","water transmembrane transporter activity","7/324","36/21809",8.63238892267232e-07,0.000113394788463304,9.34816515350695e-05,"GAMMA-TIP/PIP2;2/PIP2;6/AQP1/AtPIP2;1/PIP2;5/PIP2;7",7
"GO:0015250","GO:0015250","water channel activity","7/324","36/21809",8.63238892267232e-07,0.000113394788463304,9.34816515350695e-05,"GAMMA-TIP/PIP2;2/PIP2;6/AQP1/AtPIP2;1/PIP2;5/PIP2;7",7
"GO:0046527","GO:0046527","glucosyltransferase activity","14/324","191/21809",1.10092027634276e-06,0.000113394788463304,9.34816515350695e-05,"ATUGT85A1/UGT74B1/EXGT-A1/NA/ATCSLB03/ATSAGT1/XTH16/GT72B1/XTH9/NA/ATXTH18/XTH7/UGT78D2/AtXTH22",14
"GO:0016762","GO:0016762","xyloglucan:xyloglucosyl transferase activity","6/324","32/21809",6.71598750731025e-06,0.000518810034939717,0.000427702362307653,"EXGT-A1/XTH16/XTH9/ATXTH18/XTH7/AtXTH22",6
"GO:0016758","GO:0016758","transferase activity, transferring hexosyl groups","16/324","352/21809",8.19285251645355e-05,0.0050631828551683,0.00417404275575107,"ATUGT85A1/UGT74B1/EXGT-A1/NA/ATCSLB03/ATSAGT1/AtMSR1/XTH16/AtSIP2/GT72B1/XTH9/NA/ATXTH18/XTH7/UGT78D2/AtXTH22",16
"GO:0043295","GO:0043295","glutathione binding","4/324","19/21809",0.000155376317851519,0.00685875460230278,0.00565429607820566,"ATGSTF7/ATGSTF10/ATGSTF11/ATGSTF12",4
"GO:1900750","GO:1900750","oligopeptide binding","4/324","19/21809",0.000155376317851519,0.00685875460230278,0.00565429607820566,"ATGSTF7/ATGSTF10/ATGSTF11/ATGSTF12",4
"GO:0016705","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","16/324","392/21809",0.000279174910438731,0.010783130915696,0.00888951688502277,"NA/ATGA2OX2/FMO/CYP96A1/ATC4H/CYP81D11/F3'H/CYP83A1/CYP707A1/ANS/AT2301/ATR4/CYP84A1/CYP79B2/CYP75B1/NA",16
"GO:0016709","GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","9/324","146/21809",0.000343715559612761,0.0112848809492242,0.00930315513443109,"FMO/ATC4H/CYP81D11/CYP83A1/CYP707A1/ATR4/CYP79B2/CYP75B1/NA",9
"GO:0080043","GO:0080043","quercetin 3-O-glucosyltransferase activity","6/324","64/21809",0.000373000129787403,0.0112848809492242,0.00930315513443109,"ATUGT85A1/UGT74B1/NA/ATSAGT1/NA/UGT78D2",6
"GO:0072341","GO:0072341","modified amino acid binding","4/324","24/21809",0.000401727153532251,0.0112848809492242,0.00930315513443109,"ATGSTF7/ATGSTF10/ATGSTF11/ATGSTF12",4
"GO:0016872","GO:0016872","intramolecular lyase activity","3/324","12/21809",0.000647007474438099,0.016660442466781,0.0137347200714053,"ATIPS2/A11/AtCHIL",3
"GO:0016209","GO:0016209","antioxidant activity","8/324","139/21809",0.00113879682486662,0.0270683245295219,0.0223148851512325,"ATDHAR1/ATCAT3/ANN1/ATGSTF7/PRXR1/ATFSD1/AtGRXC2/AtPRX71",8
"GO:0080044","GO:0080044","quercetin 7-O-glucosyltransferase activity","5/324","55/21809",0.00132889418534424,0.0281411275264729,0.0231992943669101,"ATUGT85A1/UGT74B1/NA/ATSAGT1/NA",5
"GO:0035251","GO:0035251","UDP-glucosyltransferase activity","8/324","143/21809",0.00136607415177053,0.0281411275264729,0.0231992943669101,"ATUGT85A1/UGT74B1/NA/ATCSLB03/ATSAGT1/GT72B1/NA/UGT78D2",8
"GO:0016706","GO:0016706","2-oxoglutarate-dependent dioxygenase activity","5/324","57/21809",0.00156137625078746,0.029638650783765,0.0244338391744886,"NA/ATGA2OX2/F3'H/ANS/AT2301",5
"GO:0051213","GO:0051213","dioxygenase activity","7/324","115/21809",0.00166876152450146,0.029638650783765,0.0244338391744886,"NA/ATGA2OX2/ARD/ATLOX2/F3'H/ANS/AT2301",7
"GO:0004497","GO:0004497","monooxygenase activity","10/324","221/21809",0.00180572181894895,0.029638650783765,0.0244338391744886,"FMO/ATC4H/CYP81D11/CYP83A1/CYP707A1/ATR4/CYP84A1/CYP79B2/CYP75B1/NA",10
"GO:0004364","GO:0004364","glutathione transferase activity","5/324","59/21809",0.00182244131032859,0.029638650783765,0.0244338391744886,"ATDHAR1/ATGSTF7/ATGSTF10/ATGSTF11/ATGSTF12",5
"GO:0046906","GO:0046906","tetrapyrrole binding","14/324","393/21809",0.00238835922963886,0.0369001500979204,0.0304201543985581,"ATCAT3/CYP96A1/ATC4H/LHB1B1/ATCB5-C/CYP81D11/CYP83A1/CYP707A1/PRXR1/ATR4/CYP84A1/CYP79B2/CYP75B1/AtPRX71",14
"GO:1901681","GO:1901681","sulfur compound binding","4/324","41/21809",0.00314064277160053,0.0462123150678364,0.0380970200865829,"ATGSTF7/ATGSTF10/ATGSTF11/ATGSTF12",4
"GO:0020037","GO:0020037","heme binding","13/324","370/21809",0.00378731293915048,0.0531945317362499,0.0438530971901634,"ATCAT3/CYP96A1/ATC4H/ATCB5-C/CYP81D11/CYP83A1/CYP707A1/PRXR1/ATR4/CYP84A1/CYP79B2/CYP75B1/AtPRX71",13
"GO:0102483","GO:0102483","scopolin beta-glucosidase activity","4/324","44/21809",0.0040660951936961,0.0546271049935693,0.0450340977974579,"BGLU45/BGLU15/BGLU44/AtBGLU10",4
"GO:0015267","GO:0015267","channel activity","8/324","177/21809",0.00508684510836908,0.0627934733235058,0.0517663789619772,"GAMMA-TIP/PIP2;2/PIP2;6/AQP1/AtPIP2;1/PIP2;5/PIP2;7/cMCU",8
"GO:0022803","GO:0022803","passive transmembrane transporter activity","8/324","177/21809",0.00508684510836908,0.0627934733235058,0.0517663789619772,"GAMMA-TIP/PIP2;2/PIP2;6/AQP1/AtPIP2;1/PIP2;5/PIP2;7/cMCU",8
"GO:0042802","GO:0042802","identical protein binding","13/324","386/21809",0.00537541199907171,0.0627934733235058,0.0517663789619772,"ANN1/ATBG1/AtMC4/AKN1/ATC4H/AtPYL4/AQP1/DUT1/AtGATA18/ATHB-2/JKD/ATCM2/ATAUX2-11",13
"GO:0016829","GO:0016829","lyase activity","12/324","343/21809",0.00548680834865584,0.0627934733235058,0.0517663789619772,"GAD2/NA/ALF1/FBA6/ATPAL1/ATBCA1/THA2/ATNIT1/IPMI1/ATUXS2/RBCS1B/ATUXS3",12
"GO:0016830","GO:0016830","carbon-carbon lyase activity","6/324","110/21809",0.00604519560362604,0.0662752488838808,0.0546367236583177,"GAD2/FBA6/THA2/ATUXS2/RBCS1B/ATUXS3",6
"GO:0004553","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","13/324","393/21809",0.00622000717680435,0.0662752488838808,0.0546367236583177,"ATBG1/BGLU45/ATGH9B1/EXGT-A1/BGLU15/BGLU44/XTH16/AtSIP2/XTH9/AT-BETA-AMY/AtBGLU10/XTH7/AtXTH22",13
"GO:0005507","GO:0005507","copper ion binding","8/324","191/21809",0.00793379211196034,0.0817180587531915,0.0673676382840141,"ATDHAR1/ANN1/CuAO1/ATGSTF7/ATGSTF10/FBA6/ATPCAP1/ATFSD1",8
"GO:0005506","GO:0005506","iron ion binding","11/324","324/21809",0.00949620880835573,0.0946557587671587,0.0780333627036362,"ATPAP3/NA/CYP96A1/ATC4H/CYP81D11/CYP83A1/CYP707A1/ATR4/CYP84A1/CYP79B2/CYP75B1",11
"GO:0042277","GO:0042277","peptide binding","5/324","90/21809",0.0110386026389611,0.0977846601239119,0.0806128010559927,"NA/ATGSTF7/ATGSTF10/ATGSTF11/ATGSTF12",5
"GO:0008199","GO:0008199","ferric iron binding","2/324","11/21809",0.0110759323764949,0.0977846601239119,0.0806128010559927,"ATPAP3/NA",2
"GO:0016408","GO:0016408","C-acyltransferase activity","2/324","11/21809",0.0110759323764949,0.0977846601239119,0.0806128010559927,"KAT2/KAT5",2
"GO:0052747","GO:0052747","sinapyl alcohol dehydrogenase activity","2/324","11/21809",0.0110759323764949,0.0977846601239119,0.0806128010559927,"ATCAD4/ATCAD7",2
"GO:0004857","GO:0004857","enzyme inhibitor activity","8/324","208/21809",0.0128328347780427,0.104281299058565,0.0859685722097519,"NA/AtPYL4/ATTI2/ATPME3/AtPME41/ATPGIP2/NA/NA",8
"GO:0008271","GO:0008271","secondary active sulfate transmembrane transporter activity","2/324","12/21809",0.0131617173569062,0.104281299058565,0.0859685722097519,"AST56/SULTR3;2",2
"GO:0045551","GO:0045551","cinnamyl-alcohol dehydrogenase activity","2/324","12/21809",0.0131617173569062,0.104281299058565,0.0859685722097519,"ATCAD4/ATCAD7",2
