"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir08Ox-b06850.2","Chir08Ox-b06850.2","AT4G11320","CP2",2.78190382574622,0.6,0.088,0.358621498207902,18,0,0,NA,NA,"cysteine-type endopeptidase activity, extracellular region, extracellular space, lysosome, peptidase activity, proteolysis, proteolysis involved in protein catabolic process","GEP_32"
"Chir08Ox-b07590.2","Chir08Ox-b07590.2","AT4G10640","ABS6",0.700892319089423,0.328,0.028,0.571335017911259,6,0,0,NA,NA,"biological_process, calmodulin binding, microtubule, nucleus, plasma membrane, protein binding","GEP_32"
"Chir05Ox-b20810.2","Chir05Ox-b20810.2","AT3G55240","T26I12.120",0.687361941883756,0.311,0.087,0.298088695993104,21,3.86961446846297e-234,7.60766204499819e-230,NA,NA,"chloroplast, developmental process, molecular_function","GEP_32"
"Chir04Ox-b20280.2","Chir04Ox-b20280.2",NA,NA,0.543887288660216,0.294,0.067,0.204963731467071,30,1.24491284123407e-294,2.44749864586618e-290,NA,NA,NA,"GEP_32"
"Chir03Ox-b30470.2","Chir03Ox-b30470.2","AT2G16580","SAUR8",0.536151798848977,0.401,0.047,0.41181317635232,13,0,0,NA,NA,"mitochondrion, molecular_function, response to abscisic acid, response to auxin","GEP_32"
"Chir05Ox-b16230.2","Chir05Ox-b16230.2","AT3G50870","HAN",0.520495385017822,0.309,0.032,0.517049727531623,10,0,0,"Yes","GATA","cotyledon development, DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, embryo development ending in seed dormancy, flower development, negative regulation of DNA-templated transcription, nucleus, protein binding, protein homodimerization activity, regulation of DNA-templated transcription, regulation of flower development, regulation of meristem structural organization, sequence-specific DNA binding, zinc ion binding","GEP_32"
"Chir01Ox-b29650.2","Chir01Ox-b29650.2","AT1G31040","PLATZ3",0.49163611413985,0.476,0.077,0.437439478386028,11,0,0,NA,NA,"leaf development, leaf senescence, mitochondrion, nucleus, response to auxin, response to cytokinin","GEP_32"
"Chir06Ox-b04370.2","Chir06Ox-b04370.2","AT5G44572","PROSCOOP6",0.481486271522739,0.273,0.093,0.249710490231725,24,2.58549787310598e-143,5.08308881852636e-139,NA,NA,"defense response to insect, endoplasmic reticulum, extracellular region, molecular_function, response to wounding","GEP_32"
"Chir06Ox-b35870.2","Chir06Ox-b35870.2","AT5G03150","JKD",0.407246654131783,0.338,0.021,0.757555309028246,1,0,0,"Yes","C2H2","asymmetric cell division, DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, protein homodimerization activity, regulation of cell division, regulation of DNA-templated transcription, regulation of epidermal cell differentiation, regulation of meristem growth, root development, sequence-specific DNA binding","GEP_32"
"Chir01Ox-b42060.2","Chir01Ox-b42060.2","AT1G53180","F12M16.8",0.371289524126017,0.325,0.033,0.264589698745083,23,0,0,NA,NA,"hormone-mediated signaling pathway, molecular_function, nucleus, protein localization, regulation of signal transduction","GEP_32"
