"","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","gene_ID"
"Chir01Ox-b11000.2",0,0.271929817180128,0.119,0.001,0,"Chir01Ox-b11000.2"
"Chir02Ox-b18880.2",0,0.580341043622364,0.141,0.001,0,"Chir02Ox-b18880.2"
"Chir03Ox-b00160.2",0,0.344118543267922,0.171,0.001,0,"Chir03Ox-b00160.2"
"Chir04Ox-b00760.2",0,0.353367925662457,0.105,0.001,0,"Chir04Ox-b00760.2"
"Chir05Ox-b08860.2",0,0.278577658322482,0.121,0.001,0,"Chir05Ox-b08860.2"
"Chir05Ox-b19300.2",0,0.255690970162424,0.125,0.001,0,"Chir05Ox-b19300.2"
"Chir06Ox-b13350.2",0,0.319184359638556,0.19,0.001,0,"Chir06Ox-b13350.2"
"Chir06Ox-b33210.2",0,0.295707718041306,0.132,0.001,0,"Chir06Ox-b33210.2"
"Chir07Ox-b15200.2",0,0.60088439511447,0.123,0.001,0,"Chir07Ox-b15200.2"
"Chir07Ox-b20360.2",0,0.286919022690789,0.167,0.001,0,"Chir07Ox-b20360.2"
"Chir07Ox-b25650.2",0,0.345173829569176,0.137,0.001,0,"Chir07Ox-b25650.2"
"Chir01Ox-b24800.2",0,1.17022322321128,0.103,0.002,0,"Chir01Ox-b24800.2"
"Chir01Ox-b26630.2",0,0.31943995141135,0.107,0.002,0,"Chir01Ox-b26630.2"
"Chir01Ox-b44730.2",0,0.342619005308155,0.115,0.002,0,"Chir01Ox-b44730.2"
"Chir02Ox-b01840.2",0,0.461599116923268,0.135,0.002,0,"Chir02Ox-b01840.2"
"Chir03Ox-b14400.2",0,1.03661355060803,0.123,0.002,0,"Chir03Ox-b14400.2"
"Chir03Ox-b24310.2",0,0.37899655914823,0.223,0.002,0,"Chir03Ox-b24310.2"
"Chir05Ox-b18600.2",0,0.919039390316782,0.208,0.002,0,"Chir05Ox-b18600.2"
