"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"Chir01Ox-b01580.2",3.87921731197257e-276,0.637877672400097,0.576,0.052,6.93681639726935e-272,"Chir01Ox-b01580.2"
"Chir04Ox-b26410.2",0.00280430227772576,1.01831065340762,0.296,0.094,1,"Chir04Ox-b26410.2"
"Chir01Ox-b22650.2",2.16278945485008e-93,0.819661247438888,0.522,0.104,3.86750010316291e-89,"Chir01Ox-b22650.2"
"Chir03Ox-b26140.2",7.42152326062418e-123,1.06685039615456,0.581,0.123,1.32711678946482e-118,"Chir03Ox-b26140.2"
"Chir07Ox-b31070.2",7.65393406518599e-50,1.8952401833226,0.469,0.153,1.36867648953656e-45,"Chir07Ox-b31070.2"
"Chir04Ox-b21490.2",7.47943073874255e-251,1.49240420033942,0.677,0.166,1.33747180470194e-246,"Chir04Ox-b21490.2"
"Chir04Ox-b29610.2",1.14586092134223e-134,0.519789299061492,0.596,0.169,2.04902849954417e-130,"Chir04Ox-b29610.2"
"Chir05Ox-b23900.2",2.4252501417286e-82,0.331466682310288,0.513,0.194,4.33683230343908e-78,"Chir05Ox-b23900.2"
"Chir08Ox-b07900.2",5.54122808844928e-100,0.750802922897396,0.573,0.224,9.908824067765e-96,"Chir08Ox-b07900.2"
"Chir07Ox-b16670.2",2.66145564349362e-62,1.24663484585827,0.534,0.234,4.75921498169528e-58,"Chir07Ox-b16670.2"
"Chir07Ox-b09320.2",1.94211971090595e-126,0.518994997628937,0.623,0.252,3.47289846704202e-122,"Chir07Ox-b09320.2"
"Chir07Ox-b08280.2",4.912955886625e-177,0.412892969004455,0.683,0.268,8.78534771646283e-173,"Chir07Ox-b08280.2"
"Chir07Ox-b20280.2",1.36387769695495e-110,0.578925891919488,0.62,0.295,2.43888609769484e-106,"Chir07Ox-b20280.2"
"Chir05Ox-b02860.2",6.6061192974518e-95,0.299627938801068,0.615,0.3,1.18130625277033e-90,"Chir05Ox-b02860.2"
"Chir02Ox-b22460.2",6.18127107100837e-176,0.472470891377943,0.675,0.301,1.10533489291772e-171,"Chir02Ox-b22460.2"
"Chir07Ox-b33690.2",2.21498943366828e-156,1.07102650814806,0.71,0.309,3.96084410528562e-152,"Chir07Ox-b33690.2"
"Chir08Ox-b30210.2",2.94311165159473e-234,0.663443913770702,0.777,0.32,5.26287225538169e-230,"Chir08Ox-b30210.2"
"Chir08Ox-b03180.2",7.4288051280625e-201,0.457760815499236,0.725,0.33,1.32841893300014e-196,"Chir08Ox-b03180.2"
"Chir04Ox-b20210.2",9.97376390409304e-269,1.19970434256282,0.802,0.341,1.78350846132992e-264,"Chir04Ox-b20210.2"
"Chir03Ox-b00340.2",2.35258560526717e-148,0.561535272179005,0.693,0.347,4.20689357933875e-144,"Chir03Ox-b00340.2"
"Chir01Ox-b27080.2",2.84695722208786e-97,0.875301462015072,0.689,0.354,5.09092890453751e-93,"Chir01Ox-b27080.2"
"Chir07Ox-b17790.2",1.81491982173036e-121,0.648661558436459,0.665,0.363,3.24543962521823e-117,"Chir07Ox-b17790.2"
"Chir07Ox-b13560.2",5.86625495557572e-248,1.11682281838946,0.819,0.365,1.04900371115605e-243,"Chir07Ox-b13560.2"
"Chir08Ox-b26390.2",1.72211423497959e-224,1.73025437365018,0.772,0.366,3.07948467499051e-220,"Chir08Ox-b26390.2"
"Chir07Ox-b20540.2",4.55124858153846e-191,1.89772025347851,0.75,0.387,8.13854271350708e-187,"Chir07Ox-b20540.2"
"Chir04Ox-b06770.2",4.44287667408945e-198,0.716717901806354,0.768,0.388,7.94475206860675e-194,"Chir04Ox-b06770.2"
"Chir04Ox-b23870.2",2.02049879751988e-168,1.12415108394127,0.759,0.39,3.61305594972506e-164,"Chir04Ox-b23870.2"
"Chir06Ox-b01170.2",4.06823444875543e-145,1.40819225574111,0.707,0.393,7.27481684126445e-141,"Chir06Ox-b01170.2"
"Chir07Ox-b33740.2",0,1.50174826374664,0.906,0.398,0,"Chir07Ox-b33740.2"
"Chir06Ox-b11490.2",1.60425339059781e-200,0.979948394397265,0.765,0.399,2.868725913067e-196,"Chir06Ox-b11490.2"
"Chir04Ox-b26430.2",2.77799757432958e-209,1.36189232386693,0.762,0.406,4.96761526241616e-205,"Chir04Ox-b26430.2"
"Chir06Ox-b16530.2",1.85580749032179e-180,1.0318554598629,0.789,0.419,3.31855495419343e-176,"Chir06Ox-b16530.2"
"Chir01Ox-b25350.2",1.57942270347533e-121,0.726274877680709,0.723,0.421,2.82432367835458e-117,"Chir01Ox-b25350.2"
"Chir04Ox-b28190.2",5.24795288628549e-189,1.35548020710793,0.793,0.432,9.38438935125572e-185,"Chir04Ox-b28190.2"
"Chir05Ox-b16400.2",0,1.31752887886211,0.919,0.433,0,"Chir05Ox-b16400.2"
"Chir05Ox-b26740.2",0,2.67906787005423,0.912,0.436,0,"Chir05Ox-b26740.2"
"Chir01Ox-b19700.2",0,1.60930905129285,0.885,0.443,0,"Chir01Ox-b19700.2"
"Chir08Ox-b24020.2",1.11195640545044e-285,1.08681812933982,0.874,0.452,1.98840044422647e-281,"Chir08Ox-b24020.2"
"Chir03Ox-b24740.2",1.52631353973914e-278,1.21154080365384,0.858,0.458,2.72935387176153e-274,"Chir03Ox-b24740.2"
"Chir08Ox-b21450.2",1.5438552676361e-245,0.792051824016311,0.822,0.459,2.76072198958687e-241,"Chir08Ox-b21450.2"
"Chir07Ox-b33770.2",0,1.27642964225173,0.898,0.5,0,"Chir07Ox-b33770.2"
"Chir08Ox-b24740.2",4.18974896257756e-194,0.690469571371041,0.825,0.506,7.4921090948812e-190,"Chir08Ox-b24740.2"
"Chir08Ox-b05540.2",0,2.01890760167545,0.951,0.509,0,"Chir08Ox-b05540.2"
"Chir08Ox-b23440.2",1.0028050802487e-288,1.15912551933394,0.907,0.513,1.79321604450073e-284,"Chir08Ox-b23440.2"
"Chir03Ox-b05170.2",3.2941968062031e-219,7.29015157438581,0.832,0.526,5.89068272885238e-215,"Chir03Ox-b05170.2"
"Chir04Ox-b12850.2",7.33412043286929e-253,0.996760614125924,0.886,0.57,1.31148741580569e-248,"Chir04Ox-b12850.2"
"Chir07Ox-b35310.2",0,2.87369320774417,0.973,0.62,0,"Chir07Ox-b35310.2"
