"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"Chir02Ox-b17040.2",2.81338670920643e-264,1.21211695395386,0.852,0.096,5.03089811340294e-260,"Chir02Ox-b17040.2"
"Chir07Ox-b01940.2",5.31557457510957e-162,0.270362093927944,0.653,0.107,9.50531045521093e-158,"Chir07Ox-b01940.2"
"Chir04Ox-b27580.2",1.18391214964897e-270,0.29913016827845,0.675,0.114,2.1170717060023e-266,"Chir04Ox-b27580.2"
"Chir05Ox-b21370.2",8.18172590201765e-148,0.6011108900214,0.705,0.138,1.4630562257988e-143,"Chir05Ox-b21370.2"
"Chir03Ox-b23740.2",1.64472294640976e-199,0.616773356165149,0.757,0.153,2.94109357276992e-195,"Chir03Ox-b23740.2"
"Chir01Ox-b11440.2",1.41123648850728e-68,1.5367916645379,0.637,0.185,2.52357308874872e-64,"Chir01Ox-b11440.2"
"Chir02Ox-b03100.2",1.15510946179778e-239,1.74607251839405,0.858,0.188,2.06556673958678e-235,"Chir02Ox-b03100.2"
"Chir03Ox-b21630.2",6.057304979915e-160,0.958547738928153,0.806,0.226,1.0831672765084e-155,"Chir03Ox-b21630.2"
"Chir03Ox-b11640.2",6.60419092687711e-72,0.300305987704858,0.631,0.232,1.18096142154416e-67,"Chir03Ox-b11640.2"
"Chir07Ox-b06830.2",4.94094409285394e-44,0.440601027867783,0.582,0.232,8.83539622684141e-40,"Chir07Ox-b06830.2"
"Chir05Ox-b06280.2",2.38714714363728e-122,0.397110688003872,0.705,0.244,4.26869652225219e-118,"Chir05Ox-b06280.2"
"Chir05Ox-b14660.2",1.76901148077767e-75,0.310500396262471,0.642,0.25,3.16334632992662e-71,"Chir05Ox-b14660.2"
"Chir03Ox-b16280.2",1.35697630552902e-88,0.300142993571472,0.648,0.26,2.426545029547e-84,"Chir03Ox-b16280.2"
"Chir05Ox-b02910.2",1.75932123485139e-101,0.310286055139731,0.675,0.271,3.14601823216126e-97,"Chir05Ox-b02910.2"
"Chir03Ox-b23410.2",5.47265818900283e-238,2.4322907545302,0.956,0.288,9.78620737357487e-234,"Chir03Ox-b23410.2"
"Chir03Ox-b11670.2",1.71806528636047e-49,1.70569911216547,0.617,0.288,3.07224434506979e-45,"Chir03Ox-b11670.2"
"Chir01Ox-b23240.2",1.02449076505419e-155,0.842560045561448,0.817,0.289,1.83199438606991e-151,"Chir01Ox-b23240.2"
"Chir08Ox-b25430.2",1.65790899818127e-150,0.601038408001376,0.77,0.299,2.96467287054774e-146,"Chir08Ox-b25430.2"
"Chir04Ox-b11850.2",2.69570312477236e-71,0.891703820333888,0.675,0.299,4.82045632771793e-67,"Chir04Ox-b11850.2"
"Chir04Ox-b16010.2",3.86228278145587e-76,1.50283937519102,0.735,0.309,6.90653406979939e-72,"Chir04Ox-b16010.2"
"Chir07Ox-b36270.2",3.01679635734247e-138,0.710304165282772,0.77,0.317,5.39463524619981e-134,"Chir07Ox-b36270.2"
"Chir05Ox-b16080.2",1.05478339287653e-58,0.356352191157849,0.634,0.318,1.8861636631418e-54,"Chir05Ox-b16080.2"
"Chir08Ox-b30210.2",5.10588953412353e-68,0.750399704050508,0.694,0.326,9.1303516649197e-64,"Chir08Ox-b30210.2"
"Chir08Ox-b11580.2",9.12824916853239e-69,0.368519027793734,0.672,0.329,1.63231351631696e-64,"Chir08Ox-b11580.2"
"Chir08Ox-b16470.2",2.17312965364012e-80,2.61703712326735,0.74,0.369,3.88599044663926e-76,"Chir08Ox-b16470.2"
"Chir06Ox-b36910.2",1.02890083297636e-160,0.925590299927574,0.861,0.371,1.83988046952833e-156,"Chir06Ox-b36910.2"
"Chir07Ox-b33410.2",3.60640419607539e-112,1.1616869113197,0.79,0.373,6.44897198342201e-108,"Chir07Ox-b33410.2"
"Chir06Ox-b33320.2",2.65028513785081e-50,0.727051103662625,0.689,0.373,4.73923988350482e-46,"Chir06Ox-b33320.2"
"Chir03Ox-b03760.2",1.84194468201113e-159,1.60612261182926,0.872,0.375,3.29376548037231e-155,"Chir03Ox-b03760.2"
"Chir01Ox-b24570.2",1.48164863203656e-140,0.854151557098698,0.801,0.376,2.64948408380778e-136,"Chir01Ox-b24570.2"
"Chir07Ox-b10870.2",1.87078126824465e-66,0.564419326316839,0.749,0.381,3.34533106387508e-62,"Chir07Ox-b10870.2"
"Chir08Ox-b10180.2",4.79894482111437e-243,3.08819158783055,0.956,0.398,8.58147312911672e-239,"Chir08Ox-b10180.2"
"Chir02Ox-b23310.2",1.75111137595537e-64,0.673993238358183,0.705,0.401,3.13133736248339e-60,"Chir02Ox-b23310.2"
"Chir06Ox-b35280.2",9.36509033541723e-85,0.441410444873798,0.727,0.412,1.67466545377931e-80,"Chir06Ox-b35280.2"
"Chir08Ox-b27840.2",4.31108730637604e-95,0.47646809440167,0.773,0.423,7.70908632126164e-91,"Chir08Ox-b27840.2"
"Chir04Ox-b12980.2",2.20747605555863e-202,1.57784287777814,0.934,0.431,3.94740868254995e-198,"Chir04Ox-b12980.2"
"Chir02Ox-b18820.2",2.2689110070939e-61,0.413412362716534,0.749,0.431,4.05726666288531e-57,"Chir02Ox-b18820.2"
"Chir01Ox-b16570.2",2.02048756075976e-175,1.80543094820502,0.91,0.437,3.61303585615059e-171,"Chir01Ox-b16570.2"
"Chir06Ox-b37780.2",3.64030349881067e-163,1.44260952653251,0.893,0.438,6.50959071657324e-159,"Chir06Ox-b37780.2"
"Chir02Ox-b13180.2",1.96420681625207e-72,0.275368969533421,0.754,0.439,3.51239462882195e-68,"Chir02Ox-b13180.2"
"Chir06Ox-b17160.2",1.22746132226713e-151,3.19182248281272,0.885,0.44,2.19494633647809e-147,"Chir06Ox-b17160.2"
"Chir07Ox-b30120.2",6.27502123208153e-68,0.530156896981049,0.757,0.44,1.12209929672082e-63,"Chir07Ox-b30120.2"
"Chir02Ox-b23540.2",3.03251599226475e-96,0.541676725257759,0.76,0.443,5.42274509736783e-92,"Chir02Ox-b23540.2"
"Chir01Ox-b03060.2",5.15777244548768e-62,0.289764688720639,0.765,0.448,9.22312868702108e-58,"Chir01Ox-b03060.2"
"Chir02Ox-b27580.2",1.13188870249205e-69,0.89529865886824,0.795,0.449,2.02404337779629e-65,"Chir02Ox-b27580.2"
"Chir03Ox-b19030.2",1.15268456857514e-141,1.34889325770852,0.844,0.458,2.06123054552607e-137,"Chir03Ox-b19030.2"
"Chir03Ox-b24740.2",1.42899415230541e-128,1.08240110037578,0.82,0.462,2.55532734315254e-124,"Chir03Ox-b24740.2"
"Chir05Ox-b11930.2",3.19820537069309e-74,0.359286936329042,0.798,0.465,5.71903084387338e-70,"Chir05Ox-b11930.2"
"Chir07Ox-b17140.2",6.31104341107733e-142,1.42707767494228,0.923,0.473,1.12854078276885e-137,"Chir07Ox-b17140.2"
"Chir06Ox-b12910.2",1.21655730089406e-100,0.933383677016108,0.852,0.473,2.17544776545875e-96,"Chir06Ox-b12910.2"
"Chir01Ox-b13690.2",1.91165925021875e-99,2.40513708577847,0.792,0.476,3.41842907124117e-95,"Chir01Ox-b13690.2"
"Chir06Ox-b23410.2",1.29560487545773e-94,2.05598561536113,0.85,0.482,2.31680063829351e-90,"Chir06Ox-b23410.2"
"Chir01Ox-b28840.2",1.21257564149729e-136,1.11797234827248,0.88,0.486,2.16832776212545e-132,"Chir01Ox-b28840.2"
"Chir01Ox-b10940.2",8.83090199326146e-91,0.454691077926289,0.803,0.488,1.57914189443501e-86,"Chir01Ox-b10940.2"
"Chir02Ox-b25310.2",1.41010408951953e-52,0.4075729225104,0.798,0.49,2.52154813287883e-48,"Chir02Ox-b25310.2"
"Chir05Ox-b03600.2",8.56392269699137e-94,0.350330429018031,0.811,0.491,1.531400656676e-89,"Chir05Ox-b03600.2"
"Chir06Ox-b17870.2",3.15482803049573e-88,0.604427797904889,0.842,0.532,5.64146348413246e-84,"Chir06Ox-b17870.2"
"Chir06Ox-b11590.2",7.47941410739626e-217,1.84110613111629,0.981,0.54,1.3374688306846e-212,"Chir06Ox-b11590.2"
"Chir01Ox-b26870.2",4.66767399606364e-156,1.3038781511088,0.907,0.557,8.34673463976101e-152,"Chir01Ox-b26870.2"
"Chir07Ox-b35250.2",8.59115030738581e-127,0.783239915783975,0.866,0.557,1.53626949796673e-122,"Chir07Ox-b35250.2"
"Chir04Ox-b20280.2",6.64442042594845e-133,1.21466967985152,0.872,0.558,1.1881552605681e-128,"Chir04Ox-b20280.2"
"Chir01Ox-b36290.2",4.71187935308547e-148,0.919009034312932,0.885,0.567,8.42578265918744e-144,"Chir01Ox-b36290.2"
"Chir04Ox-b10950.2",1.27181184454981e-100,1.1215285285068,0.888,0.577,2.27425394042397e-96,"Chir04Ox-b10950.2"
"Chir05Ox-b12990.2",1.38579671452335e-187,2.01024214520127,0.973,0.589,2.47808168491065e-183,"Chir05Ox-b12990.2"
"Chir03Ox-b12440.2",3.76017985266982e-114,0.78557786656867,0.904,0.603,6.72395361254418e-110,"Chir03Ox-b12440.2"
"Chir07Ox-b10120.2",5.85811877549491e-88,1.00529341572472,0.929,0.62,1.047548799434e-83,"Chir07Ox-b10120.2"
"Chir03Ox-b12420.2",1.02952231496544e-180,1.83303891859752,0.964,0.634,1.84099180362121e-176,"Chir03Ox-b12420.2"
