"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
3.87921731197257e-276,0.637877672400097,0.576,0.052,6.93681639726935e-272,"Chir01Ox-b01580.2"
0.00280430227772576,1.01831065340762,0.296,0.094,1,"Chir04Ox-b26410.2"
2.16278945485008e-93,0.819661247438888,0.522,0.104,3.86750010316291e-89,"Chir01Ox-b22650.2"
0.0170125938879523,0.326983883794667,0.268,0.12,1,"Chir04Ox-b02300.2"
7.42152326062418e-123,1.06685039615456,0.581,0.123,1.32711678946482e-118,"Chir03Ox-b26140.2"
0.0104874573432449,3.41980608712524,0.298,0.151,1,"Chir03Ox-b05160.2"
7.65393406518599e-50,1.8952401833226,0.469,0.153,1.36867648953656e-45,"Chir07Ox-b31070.2"
7.47943073874255e-251,1.49240420033942,0.677,0.166,1.33747180470194e-246,"Chir04Ox-b21490.2"
1.14586092134223e-134,0.519789299061492,0.596,0.169,2.04902849954417e-130,"Chir04Ox-b29610.2"
3.82890469965011e-37,1.10780757639098,0.455,0.177,6.84684738391432e-33,"Chir07Ox-b01700.2"
1.25764176399779e-14,0.300093891341574,0.395,0.192,2.24891500238085e-10,"Chir06Ox-b13450.2"
2.4252501417286e-82,0.331466682310288,0.513,0.194,4.33683230343908e-78,"Chir05Ox-b23900.2"
2.68283260310954e-62,0.304300039745832,0.479,0.197,4.79744126088048e-58,"Chir08Ox-b15690.2"
1.32202463397453e-40,1.97972452018993,0.469,0.198,2.36404445047325e-36,"Chir05Ox-b10320.2"
6.90858752000278e-25,0.415433458449793,0.44,0.207,1.2353936203269e-20,"Chir05Ox-b04970.2"
4.32011598091825e-164,0.38283897825096,0.063,0.218,7.72523139707801e-160,"Chir08Ox-b21660.2"
5.54122808844928e-100,0.750802922897396,0.573,0.224,9.908824067765e-96,"Chir08Ox-b07900.2"
2.66145564349362e-62,1.24663484585827,0.534,0.234,4.75921498169528e-58,"Chir07Ox-b16670.2"
1.15629548149447e-33,0.95970131129875,0.497,0.24,2.0676875800084e-29,"Chir07Ox-b21080.2"
4.55735363514946e-07,0.254734862308464,0.26,0.241,0.00814945977037426,"Chir04Ox-b19970.2"
1.87718349452612e-34,1.22629583097972,0.493,0.242,3.35677952491161e-30,"Chir04Ox-b11570.2"
1.26627344794383e-42,0.293426615704722,0.479,0.248,2.26435017961316e-38,"Chir01Ox-b06200.2"
1.94211971090595e-126,0.518994997628937,0.623,0.252,3.47289846704202e-122,"Chir07Ox-b09320.2"
2.51538531412514e-16,0.314798629634731,0.454,0.26,4.49801201871857e-12,"Chir08Ox-b16090.2"
4.912955886625e-177,0.412892969004455,0.683,0.268,8.78534771646283e-173,"Chir07Ox-b08280.2"
5.56104542030652e-57,0.535853337064934,0.531,0.28,9.94426142059211e-53,"Chir08Ox-b24660.2"
1.60817459472995e-56,0.37298546711311,0.545,0.284,2.8757378102961e-52,"Chir02Ox-b15720.2"
2.21473814065597e-28,0.424564279914134,0.466,0.289,3.960394743121e-24,"Chir01Ox-b00670.2"
7.16860198370305e-68,0.533840860889951,0.566,0.29,1.28188940672578e-63,"Chir06Ox-b33400.2"
1.36387769695495e-110,0.578925891919488,0.62,0.295,2.43888609769484e-106,"Chir07Ox-b20280.2"
5.14589579140251e-53,0.66757997787581,0.539,0.295,9.20189085418597e-49,"Chir06Ox-b30590.2"
6.6061192974518e-95,0.299627938801068,0.615,0.3,1.18130625277033e-90,"Chir05Ox-b02860.2"
6.18127107100837e-176,0.472470891377943,0.675,0.301,1.10533489291772e-171,"Chir02Ox-b22460.2"
9.01696280883214e-72,0.501118100943936,0.584,0.302,1.61241328947536e-67,"Chir08Ox-b02120.2"
2.21498943366828e-156,1.07102650814806,0.71,0.309,3.96084410528562e-152,"Chir07Ox-b33690.2"
