"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir08Ox-b00690.2",0,0.351502242860763,0.807,0.426,0,"AT4G00540","Yes","MYB","ATMYB3R2","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, regulation of circadian rhythm, regulation of DNA-templated transcription, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific DNA binding"
"Chir03Ox-b16050.2",0,0.761551178623939,0.808,0.49,0,"AT3G16280","Yes","ERF","ERF036","alpha-amino acid metabolic process, carboxylic acid biosynthetic process, DNA-binding transcription factor activity, glucosinolate metabolic process, nucleus, regulation of DNA-templated transcription, response to inorganic substance, response to wounding, transcription cis-regulatory region binding"
"Chir05Ox-b27610.2",8.16205356086152e-146,0.324070391404992,0.732,0.555,1.45953841775326e-141,"AT3G61890","Yes","HD-ZIP","ATHB-12","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, positive regulation of DNA-templated transcription, protein binding, response to abscisic acid, response to osmotic stress, response to salt stress, response to virus, response to water deprivation, sequence-specific DNA binding, transcription cis-regulatory region binding"
"Chir08Ox-b07020.2",0,0.39783812502935,0.853,0.564,0,"AT4G11140","Yes","ERF","AT4G11140.1","cotyledon development, DNA-binding transcription factor activity, leaf development, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir07Ox-b35530.2",0,0.602499853845753,0.875,0.567,0,"AT4G38070","Yes","bHLH","F20D10.190","DNA-binding transcription factor activity, mitochondrion, nucleus, protein dimerization activity, regulation of DNA-templated transcription"
"Chir02Ox-b02110.2",0,1.18413257648705,0.955,0.58,0,"AT1G63100","Yes","GRAS","SCL28","DNA binding, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, regulation of mitotic cell cycle, sequence-specific DNA binding"
"Chir06Ox-b27720.2",0,0.385163900890241,0.88,0.604,0,"AT5G11510","Yes","MYB","MYB3R-4","cytokinesis, defense response to fungus, DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, negative regulation of cellular response to caffeine, nucleus, phragmoplast, positive regulation of DNA-templated transcription, protein binding, regulation of cytokinesis, regulation of DNA endoreduplication, regulation of DNA-templated transcription, response to fungus, response to salicylic acid, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific DNA binding, spindle, transcription cis-regulatory region binding"
"Chir08Ox-b19030.2",7.37684730147999e-229,0.38122651581089,0.844,0.685,1.31912783445065e-224,"AT5G56860","Yes","GATA","GATA21","chloroplast elongation, chloroplast organization, circadian rhythm, cytokinin-activated signaling pathway, DNA-binding transcription factor activity, gibberellic acid mediated signaling pathway, glucose mediated signaling pathway, negative regulation of flower development, negative regulation of gibberellic acid mediated signaling pathway, negative regulation of seed germination, nucleus, plant organ senescence, positive regulation of chlorophyll biosynthetic process, protein binding, regulation of carbohydrate utilization, regulation of chlorophyll biosynthetic process, regulation of DNA-templated transcription, regulation of gene expression, regulation of nitrogen compound metabolic process, regulation of photoperiodism, flowering, regulation of seed development, regulation of seed germination, response to auxin, response to cytokinin, response to gibberellin, response to light stimulus, transcription cis-regulatory region binding, zinc ion binding"
"Chir07Ox-b20760.2",1.3531605390037e-185,0.327356140027353,0.872,0.697,2.41972167584641e-181,"AT4G23750","Yes","ERF","TMO3","cotyledon development, DNA-binding transcription factor activity, identical protein binding, nucleus, protein binding, regulation of DNA-templated transcription, root development, transcription cis-regulatory region binding"
"Chir07Ox-b21690.2",1.43083445064388e-129,0.273334652258036,0.9,0.746,2.55861816464139e-125,"AT4G24660","Yes","ZF-HD","ATHB22","DNA binding, DNA-binding transcription factor activity, embryo development ending in seed dormancy, nucleus, protein binding, protein homodimerization activity, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir01Ox-b38410.2",0,0.51805590125615,0.958,0.747,0,"AT1G49480","Yes","B3","RTV1","DNA binding, nucleus, plasma membrane, protein binding, response to cold"
"Chir07Ox-b31970.2",2.87201530494683e-208,0.522393617544226,0.98,0.881,5.13573776830592e-204,"AT4G34590","Yes","bZIP","ATB2","DNA-binding transcription factor activity, negative regulation of translation, nucleus, positive regulation of DNA-templated transcription, protein binding, protein heterodimerization activity, response to sucrose, sequence-specific DNA binding, sucrose induced translational repression, transcription cis-regulatory region binding"
"Chir08Ox-b28090.2",8.37206116036507e-93,0.287471225744934,0.996,0.946,1.49709197669648e-88,"AT5G65410","Yes","ZF-HD","ATHB25","DNA-binding transcription factor activity, nucleus, protein binding, protein homodimerization activity, regulation of DNA-templated transcription, regulation of gibberellin biosynthetic process, seed maturation, transcription cis-regulatory region binding"
