"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir01Ox-b01580.2",3.87921731197257e-276,0.637877672400097,0.576,0.052,6.93681639726935e-272,"AT1G02460",NA,NA,"T6A9.22","carbohydrate metabolic process, extracellular region, monocarboxylic acid metabolic process, organic acid biosynthetic process, polygalacturonase activity, response to inorganic substance, response to light stimulus, secondary metabolic process"
"Chir04Ox-b26410.2",0.00280430227772576,1.01831065340762,0.296,0.094,1,"AT2G43590",NA,NA,"F18O19.30","cell wall macromolecule catabolic process, cellular response to hormone stimulus, cellular response to oxygen-containing compound, chitinase activity, defense response to bacterium, defense response to fungus, extracellular region, oxoacid metabolic process, regulation of defense response, response to inorganic substance, root morphogenesis, secondary metabolic process, secretory vesicle"
"Chir01Ox-b22650.2",2.16278945485008e-93,0.819661247438888,0.522,0.104,3.86750010316291e-89,"AT1G22900",NA,NA,"F19G10.14","defense response to other organism, extracellular region, molecular_function"
"Chir04Ox-b02300.2",0.0170125938879523,0.326983883794667,0.268,0.12,1,"AT2G22860",NA,NA,"ATPSK2","cell differentiation, cell population proliferation, defense response to fungus, developmental growth, extracellular matrix, extracellular region, jasmonic acid mediated signaling pathway, monocarboxylic acid metabolic process, plant organ morphogenesis, protein localization, response to osmotic stress, response to wounding"
"Chir03Ox-b26140.2",7.42152326062418e-123,1.06685039615456,0.581,0.123,1.32711678946482e-118,"AT2G04160",NA,NA,"AT2G04160.1","extracellular region, lateral root morphogenesis, response to auxin, serine-type endopeptidase activity"
"Chir03Ox-b05160.2",0.0104874573432449,3.41980608712524,0.298,0.151,1,"AT3G05727",NA,NA,"DEG28","biological_process, extracellular region, molecular_function, secretory vesicle"
"Chir07Ox-b31070.2",7.65393406518599e-50,1.8952401833226,0.469,0.153,1.36867648953656e-45,"AT5G26130",NA,NA,"AtCAPE8","biological_process, extracellular region, extracellular space, molecular_function"
"Chir04Ox-b21490.2",7.47943073874255e-251,1.49240420033942,0.677,0.166,1.33747180470194e-246,"AT2G38940",NA,NA,"ATPT2","cytoplasm, Golgi apparatus, inorganic phosphate transmembrane transporter activity, phosphate ion transmembrane transporter activity, plasma membrane, plasmodesma, protein binding, transmembrane transport, vacuole"
"Chir04Ox-b29610.2",1.14586092134223e-134,0.519789299061492,0.596,0.169,2.04902849954417e-130,"AT2G46690",NA,NA,"SAUR32","alpha-amino acid metabolic process, carboxylic acid biosynthetic process, molecular_function, nucleus, plasma membrane"
"Chir07Ox-b01700.2",3.82890469965011e-37,1.10780757639098,0.455,0.177,6.84684738391432e-33,"AT5G40780",NA,NA,"LHT1","acidic amino acid transmembrane transporter activity, amino acid import, amino acid transmembrane transport, amino acid transmembrane transporter activity, cytoplasm, defense response, membrane, plastid"
"Chir06Ox-b13450.2",1.25764176399779e-14,0.300093891341574,0.395,0.192,2.24891500238085e-10,"AT5G26340",NA,NA,"STP13","carbohydrate transmembrane transporter activity, cytoplasm, hexose:proton symporter activity, high-affinity glucose:proton symporter activity, monosaccharide transmembrane transport, monosaccharide transmembrane transporter activity, plasma membrane, plasmodesma, plastid, response to abscisic acid, response to salt stress, response to water deprivation"
"Chir05Ox-b23900.2",2.4252501417286e-82,0.331466682310288,0.513,0.194,4.33683230343908e-78,NA,NA,NA,NA,NA
"Chir08Ox-b15690.2",2.68283260310954e-62,0.304300039745832,0.479,0.197,4.79744126088048e-58,"AT5G53820",NA,NA,"MGN6.21","chloroplast, molecular_function, response to abscisic acid, response to water deprivation"
"Chir05Ox-b10320.2",1.32202463397453e-40,1.97972452018993,0.469,0.198,2.36404445047325e-36,NA,NA,NA,NA,NA
"Chir05Ox-b04970.2",6.90858752000278e-25,0.415433458449793,0.44,0.207,1.2353936203269e-20,"AT3G27400",NA,NA,"AT3G27400.1","cytosol, extracellular region, pectate lyase activity, pectin catabolic process, response to nematode"
"Chir08Ox-b21660.2",4.32011598091825e-164,0.38283897825096,0.063,0.218,7.72523139707801e-160,"AT5G59320",NA,NA,"AT5G59320.1","apoplast, extracellular region, lipid transport, plant-type cell wall, response to abscisic acid, response to water deprivation"
"Chir08Ox-b07900.2",5.54122808844928e-100,0.750802922897396,0.573,0.224,9.908824067765e-96,"AT4G10380",NA,NA,"NIP5;1","active borate transmembrane transporter activity, arsenite transmembrane transporter activity, arsenite transport, borate transport, cellular response to boron-containing substance levels, lateral plasma membrane, plasma membrane, response to arsenic-containing substance, response to boron-containing substance, water channel activity"
"Chir07Ox-b16670.2",2.66145564349362e-62,1.24663484585827,0.534,0.234,4.75921498169528e-58,"AT4G19810",NA,NA,"ChiC","chitin binding, chitin catabolic process, chitinase activity, endochitinase activity, exochitinase activity, extracellular region, plant-type cell wall, response to abscisic acid, response to jasmonic acid, response to salt stress, secretory vesicle"
"Chir07Ox-b21080.2",1.15629548149447e-33,0.95970131129875,0.497,0.24,2.0676875800084e-29,NA,NA,NA,NA,NA
"Chir04Ox-b19970.2",4.55735363514946e-07,0.254734862308464,0.26,0.241,0.00814945977037426,"AT2G37540",NA,NA,"F13M22.4","endoplasmic reticulum, pollen tube growth"
"Chir04Ox-b11570.2",1.87718349452612e-34,1.22629583097972,0.493,0.242,3.35677952491161e-30,"AT2G29995",NA,NA,NA,"inorganic ion homeostasis, mitochondrion, molecular_function, protein-containing complex assembly, response to inorganic substance"
"Chir01Ox-b06200.2",1.26627344794383e-42,0.293426615704722,0.479,0.248,2.26435017961316e-38,"AT1G06830",NA,NA,"CEPD1","cellular response to nitrogen starvation, cytoplasm, glutathione oxidoreductase activity, nucleus, protein binding"
