"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
4.99154777172845e-85,0.322349136469411,0.371,0.102,8.92588572540482e-81,"Chir03Ox-b27170.2"
4.14484704935228e-286,0.287555542979822,0.54,0.22,7.41181549365175e-282,"Chir07Ox-b21160.2"
1.36673672827674e-260,0.251140862036543,0.548,0.249,2.44399861750446e-256,"Chir04Ox-b05850.2"
2.5392118978541e-114,0.271359027412832,0.467,0.255,4.54061871574269e-110,"Chir06Ox-b37840.2"
5.73075993225086e-126,0.273117865666812,0.475,0.27,1.0247744910851e-121,"Chir08Ox-b13910.2"
1.21696879838633e-176,0.378394515873866,0.469,0.287,2.17618360527444e-172,"Chir03Ox-b26020.2"
0,0.349991719437757,0.586,0.293,0,"Chir08Ox-b17580.2"
5.95330355443229e-155,0.670429494699912,0.506,0.31,1.06456974160358e-150,"Chir03Ox-b20470.2"
6.12765105516413e-55,0.294018527957133,0.413,0.311,1.09574656168445e-50,"Chir02Ox-b20780.2"
1.0826393640224e-90,0.305031123316022,0.481,0.313,1.93597571074486e-86,"Chir01Ox-b21990.2"
4.84243360569151e-175,0.385184092751741,0.525,0.315,8.65923977369756e-171,"Chir05Ox-b02670.2"
4.89346610214604e-69,0.327110450496405,0.447,0.318,8.75049608385755e-65,"Chir07Ox-b27540.2"
3.77218200597957e-25,0.310037089760005,0.423,0.324,6.74541586309267e-21,"Chir01Ox-b15920.2"
0.381955866135549,0.315508502351352,0.359,0.325,1,"Chir08Ox-b10200.2"
1.90032156493148e-32,0.395479841909442,0.397,0.326,3.39815502241048e-28,"Chir02Ox-b02240.2"
7.55180587006635e-24,0.393388868582354,0.385,0.338,1.35041392568527e-19,"Chir03Ox-b14050.2"
4.86474467885379e-108,0.302362398768537,0.494,0.34,8.69913643472636e-104,"Chir03Ox-b33300.2"
0,0.339345801476468,0.626,0.347,0,"Chir03Ox-b10390.2"
0,0.33651813376352,0.619,0.347,0,"Chir04Ox-b02620.2"
2.21490134791259e-247,0.28397875565534,0.597,0.353,3.9606865903373e-243,"Chir07Ox-b02340.2"
1.50745821500432e-199,0.656973520342971,0.545,0.354,2.69563678007072e-195,"Chir07Ox-b16300.2"
2.67902331303699e-215,0.647991315175734,0.56,0.358,4.79062948837274e-211,"Chir07Ox-b20670.2"
8.00549053457621e-209,0.712105976498261,0.557,0.36,1.43154181739292e-204,"Chir02Ox-b03080.2"
1.67267777100422e-24,0.283891013995295,0.437,0.362,2.99108239010975e-20,"Chir06Ox-b37740.2"
2.87400926138163e-159,0.417068299555619,0.554,0.364,5.13930336120263e-155,"Chir02Ox-b12640.2"
0.805528782694057,0.318243658696001,0.356,0.364,1,"Chir01Ox-b22180.2"
1.11571587356096e-110,0.514980417345491,0.528,0.367,1.99512312510171e-106,"Chir02Ox-b26330.2"
5.32828854325323e-54,0.328161482074469,0.464,0.371,9.52804557304542e-50,"Chir05Ox-b00300.2"
6.95559680443693e-113,0.253402821707262,0.508,0.372,1.24379982056941e-108,"Chir01Ox-b02910.2"
2.75085050608155e-35,0.327258569431414,0.427,0.372,4.91907087497503e-31,"Chir01Ox-b15010.2"
0,0.688219970646981,0.702,0.373,0,"Chir05Ox-b17300.2"
1.71463105245395e-157,0.314338390448882,0.55,0.378,3.06610324799816e-153,"Chir06Ox-b10180.2"
2.08772890680011e-178,0.399159020902471,0.545,0.382,3.73327683113995e-174,"Chir06Ox-b24630.2"
1.16685524559883e-129,0.350757945726405,0.521,0.384,2.08657055017984e-125,"Chir07Ox-b02900.2"
0,0.486493861997192,0.652,0.385,0,"Chir03Ox-b03090.2"
