"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
5.69263537764918e-50,0.252166897417919,0.577,0.442,1.01795705823123e-45,"Chir01Ox-b30630.2"
0,0.328458206809338,0.774,0.443,0,"Chir02Ox-b11050.2"
1.80814661111274e-111,1.09087644961008,0.643,0.465,3.23332776999181e-107,"Chir03Ox-b00610.2"
1.1658036572075e-130,0.256945994390292,0.716,0.474,2.08469009981845e-126,"Chir05Ox-b02290.2"
9.81998138342613e-241,0.253748541833928,0.697,0.48,1.75600907098426e-236,"Chir01Ox-b41580.2"
0,0.355708222096204,0.812,0.485,0,"Chir07Ox-b23060.2"
3.54723273844727e-132,0.285094463462669,0.683,0.486,6.34316158289141e-128,"Chir08Ox-b27200.2"
0,0.348133517939191,0.755,0.508,0,"Chir05Ox-b18300.2"
0,0.445975647317642,0.766,0.509,0,"Chir03Ox-b33620.2"
4.68032985474994e-95,0.261488276050382,0.681,0.528,8.36936584626385e-91,"Chir01Ox-b14150.2"
1.29634219402189e-110,0.259080901905132,0.693,0.532,2.31811911134995e-106,"Chir03Ox-b16020.2"
1.71932021708343e-268,0.472523856638604,0.773,0.534,3.07448841218858e-264,"Chir07Ox-b03660.2"
0,0.717834558784794,0.84,0.554,0,"Chir01Ox-b05100.2"
0,0.53266234527036,0.89,0.563,0,"Chir01Ox-b14670.2"
0,0.319102525745391,0.795,0.568,0,"Chir01Ox-b20940.2"
3.19917605223418e-132,0.286300436238083,0.76,0.574,5.72076661660516e-128,"Chir01Ox-b18380.2"
2.24647359695732e-136,0.370018626522834,0.764,0.576,4.01714408607908e-132,"Chir06Ox-b29650.2"
0,0.381873258449557,0.845,0.583,0,"Chir04Ox-b10800.2"
7.36217814920975e-99,0.273017169933424,0.767,0.587,1.31650469664169e-94,"Chir06Ox-b11160.2"
0,0.290712954160239,0.822,0.596,0,"Chir01Ox-b28450.2"
0,0.808832959501082,0.828,0.597,0,"Chir01Ox-b12050.2"
9.92430752637096e-203,0.421348481384877,0.844,0.61,1.77466467186566e-198,"Chir07Ox-b32520.2"
2.25719064101308e-128,0.279908114396927,0.802,0.613,4.03630830425959e-124,"Chir01Ox-b25290.2"
0,0.518458669679728,0.899,0.621,0,"Chir07Ox-b23230.2"
3.21170905135337e-228,0.364568205925069,0.838,0.623,5.74317812563009e-224,"Chir03Ox-b08140.2"
6.59155998580896e-236,0.292136795035171,0.845,0.625,1.17870275666236e-231,"Chir01Ox-b14650.2"
9.32417365749529e-234,0.282344269250037,0.84,0.626,1.66734873343331e-229,"Chir08Ox-b14460.2"
8.6087566507933e-149,0.250417198713435,0.816,0.626,1.53941786429486e-144,"Chir03Ox-b26490.2"
8.74437008392854e-112,0.259947677569824,0.834,0.641,1.5636682584081e-107,"ChirPtOx-b00980.2"
