"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
2.12848971420042e-275,0.271693314360534,0.552,0.242,3.8061653069332e-271,"Chir03Ox-b21840.2"
0,0.51987853797586,0.72,0.407,0,"Chir04Ox-b25720.2"
0,0.780111053101696,0.806,0.448,0,"Chir02Ox-b11260.2"
0,0.662951593406199,0.804,0.464,0,"Chir01Ox-b18000.2"
0,0.728519605415536,0.83,0.471,0,"Chir08Ox-b00530.2"
0,1.03090506708913,0.789,0.473,0,"Chir01Ox-b05280.2"
0,0.783138272597698,0.781,0.481,0,"Chir06Ox-b37150.2"
0,0.56724591720558,0.817,0.496,0,"Chir07Ox-b04470.2"
0,1.05491941554851,0.883,0.512,0,"Chir04Ox-b27290.2"
0,0.946603706358652,0.825,0.515,0,"Chir06Ox-b24060.2"
0,0.602433907204571,0.827,0.523,0,"Chir01Ox-b00620.2"
0,0.69669470547912,0.839,0.524,0,"Chir01Ox-b22080.2"
0,1.29685068926829,0.883,0.524,0,"Chir06Ox-b21610.2"
0,1.25854247248741,0.911,0.528,0,"Chir01Ox-b13420.2"
0,0.95147178196506,0.894,0.538,0,"Chir03Ox-b00230.2"
0,0.762806971508106,0.856,0.545,0,"Chir04Ox-b21810.2"
0,0.756314858607824,0.847,0.546,0,"Chir06Ox-b18750.2"
0,1.18469124986636,0.917,0.557,0,"Chir04Ox-b23240.2"
0,1.28124965940517,0.96,0.57,0,"Chir01Ox-b17280.2"
0,0.779142139335338,0.893,0.57,0,"Chir01Ox-b17920.2"
0,0.69211616182399,0.877,0.576,0,"Chir01Ox-b41920.2"
0,1.41785830773563,0.963,0.579,0,"Chir04Ox-b30590.2"
0,0.766852012021373,0.898,0.585,0,"Chir08Ox-b29460.2"
0,1.51833364525677,0.963,0.587,0,"Chir07Ox-b12070.2"
0,0.993363638238535,0.901,0.594,0,"Chir03Ox-b29260.2"
0,1.20188447670623,0.951,0.596,0,"Chir04Ox-b14620.2"
0,1.07667206961879,0.915,0.598,0,"Chir01Ox-b01160.2"
0,1.34248547128657,0.939,0.599,0,"Chir03Ox-b03530.2"
0,1.68759682668644,0.931,0.6,0,"Chir02Ox-b25630.2"
0,1.31582213997794,0.917,0.6,0,"Chir03Ox-b25430.2"
0,1.31609038861188,0.936,0.601,0,"Chir05Ox-b22640.2"
0,1.06091234748778,0.917,0.614,0,"Chir07Ox-b30550.2"
0,1.23521240092057,0.961,0.618,0,"Chir02Ox-b19670.2"
0,1.97134923709809,0.977,0.618,0,"Chir06Ox-b14130.2"
0,1.98560979970199,0.987,0.62,0,"Chir03Ox-b16150.2"
0,1.02837062731588,0.946,0.628,0,"Chir08Ox-b04440.2"
0,1.78317255150536,0.959,0.63,0,"Chir05Ox-b01690.2"
0,1.29727283141717,0.984,0.637,0,"Chir01Ox-b17290.2"
0,1.19204935341495,0.97,0.644,0,"Chir06Ox-b05540.2"
0,1.54931730975584,0.983,0.644,0,"Chir06Ox-b15830.2"
0,1.14948391168389,0.963,0.649,0,"Chir07Ox-b18410.2"
0,1.60701282011319,0.98,0.653,0,"Chir06Ox-b02270.2"
0,1.58573397640226,0.985,0.655,0,"Chir04Ox-b08700.2"
0,1.86231275445813,0.996,0.657,0,"Chir03Ox-b16140.2"
0,1.35345069621746,0.977,0.664,0,"Chir01Ox-b38370.2"
0,1.40223264591132,0.979,0.665,0,"Chir05Ox-b13730.2"
0,2.14729943436589,0.996,0.669,0,"Chir01Ox-b28220.2"
0,1.48895824053167,0.988,0.677,0,"Chir05Ox-b07480.2"
0,1.92626147829031,0.998,0.681,0,"Chir04Ox-b04250.2"
0,1.6574646400153,0.985,0.682,0,"Chir01Ox-b11470.2"
0,1.36982433893632,0.994,0.69,0,"Chir02Ox-b23220.2"
