"PeakID","Chr","Start","End","Strand","Peak.Score","Focus.Ratio.Region.Size","Annotation","Detailed.Annotation","Distance.to.TSS","Nearest.PromoterID","Chi_ID","Ath_ID","CH_ID"
"Peak277","Chr1",5217057,5217991,"+",0,NA,"promoter-TSS",NA,-255,"Chir01Ox_b14810.2_T001","Chir01Ox_b14810.2","AT1G14700","Chir01Ox-b14810.2"
"Peak1220","Chr3",2749953,2750930,"+",0,NA,"promoter-TSS",NA,-908,"Chir03Ox_b08070.2_T001","Chir03Ox_b08070.2","AT3G08860","Chir03Ox-b08070.2"
"Peak1798","Chr6",22745034,22746783,"+",0,NA,"promoter-TSS",NA,-506,"Chir06Ox_b28700.2_T001","Chir06Ox_b28700.2","AT5G10570","Chir06Ox-b28700.2"
"Peak1978","Chr1",11518900,11519546,"+",0,NA,"promoter-TSS",NA,-2076,"Chir01Ox_b29650.2_T001","Chir01Ox_b29650.2","AT1G31040","Chir01Ox-b29650.2"
"Peak2371","Chr3",4242138,4242706,"+",0,NA,"promoter-TSS",NA,-302,"Chir03Ox_b12420.2_T001","Chir03Ox_b12420.2","AT3G13175","Chir03Ox-b12420.2"
"Peak2403","Chr1",5216015,5216826,"+",0,NA,"promoter-TSS",NA,-1359,"Chir01Ox_b14810.2_T001","Chir01Ox_b14810.2","AT1G14700","Chir01Ox-b14810.2"
"Peak3000","Chr8",3385805,3386459,"+",0,NA,"promoter-TSS",NA,-1649,"Chir08Ox_b06850.2_T001","Chir08Ox_b06850.2","AT4G11320","Chir08Ox-b06850.2"
"Peak3734","Chr4",23657963,23658715,"+",0,NA,"promoter-TSS",NA,-937,"Chir04Ox_b25400.2_T001","Chir04Ox_b25400.2","AT2G42610","Chir04Ox-b25400.2"
"Peak4454","Chr1",7467613,7469608,"+",0,NA,"promoter-TSS",NA,-1531,"Chir01Ox_b21060.2_T001","Chir01Ox_b21060.2","AT1G21310","Chir01Ox-b21060.2"
"Peak4748","Chr7",25999095,26000001,"+",0,NA,"promoter-TSS",NA,-1168,"Chir07Ox_b35010.2_T001","Chir07Ox_b35010.2",NA,"Chir07Ox-b35010.2"
"Peak4934","Chr8",3821834,3822418,"+",0,NA,"promoter-TSS",NA,-2384,"Chir08Ox_b07590.2_T001","Chir08Ox_b07590.2","AT4G10640","Chir08Ox-b07590.2"
"Peak5386","Chr1",26445166,26446114,"+",0,NA,"promoter-TSS",NA,-444,"Chir01Ox_b42060.2_T001","Chir01Ox_b42060.2","AT1G53180","Chir01Ox-b42060.2"
"Peak5488","Chr2",1620949,1621538,"+",0,NA,"promoter-TSS",NA,-150,"Chir02Ox_b02980.2_T001","Chir02Ox_b02980.2","AT1G62480","Chir02Ox-b02980.2"
"Peak5910","Chr1",6850685,6851172,"+",0,NA,"promoter-TSS",NA,92,"Chir01Ox_b19510.2_T001","Chir01Ox_b19510.2","AT1G19570","Chir01Ox-b19510.2"
"Peak6760","Chr5",21221585,21222224,"+",0,NA,"promoter-TSS",NA,-1704,"Chir05Ox_b20810.2_T001","Chir05Ox_b20810.2","AT3G55240","Chir05Ox-b20810.2"
"Peak7574","Chr5",20680013,20680399,"+",0,NA,"promoter-TSS",NA,-1742,"Chir05Ox_b19470.2_T001","Chir05Ox_b19470.2","AT3G53990","Chir05Ox-b19470.2"
"Peak8271","Chr2",1621779,1622277,"+",0,NA,"promoter-TSS",NA,-935,"Chir02Ox_b02980.2_T001","Chir02Ox_b02980.2","AT1G62480","Chir02Ox-b02980.2"
"Peak8501","Chr4",20752670,20753134,"+",0,NA,"promoter-TSS",NA,-163,"Chir04Ox_b18800.2_T001","Chir04Ox_b18800.2","AT2G36540","Chir04Ox-b18800.2"
"Peak8623","Chr2",17043412,17044126,"+",0,NA,"promoter-TSS",NA,-1653,"Chir02Ox_b14000.2_T001","Chir02Ox_b14000.2","AT1G67750","Chir02Ox-b14000.2"
"Peak8720","Chr6",21060305,21060819,"+",0,NA,"promoter-TSS",NA,-1439,"Chir06Ox_b24220.2_T002","Chir06Ox_b24220.2","AT5G15150","Chir06Ox-b24220.2"
"Peak8812","Chr7",25997834,25998580,"+",0,NA,"promoter-TSS",NA,-2509,"Chir07Ox_b35010.2_T001","Chir07Ox_b35010.2",NA,"Chir07Ox-b35010.2"
"Peak8843","Chr4",23656237,23656790,"+",0,NA,"promoter-TSS",NA,-2763,"Chir04Ox_b25400.2_T001","Chir04Ox_b25400.2","AT2G42610","Chir04Ox-b25400.2"
"Peak9170","Chr5",21220074,21220543,"+",0,NA,"promoter-TSS",NA,-108,"Chir05Ox_b20810.2_T001","Chir05Ox_b20810.2","AT3G55240","Chir05Ox-b20810.2"
"Peak10450","Chr8",17041033,17041416,"+",0,NA,"promoter-TSS",NA,-98,"Chir08Ox_b22580.2_T002","Chir08Ox_b22580.2",NA,"Chir08Ox-b22580.2"
"Peak12240","Chr5",19417121,19417660,"+",0,NA,"promoter-TSS",NA,-924,"Chir05Ox_b16230.2_T001","Chir05Ox_b16230.2","AT3G50870","Chir05Ox-b16230.2"
