"gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir06Ox-b36510.2","AT5G02460","AT5G02460.1",1.46931128226947,0.856,0.009,0,0,"Yes","Dof","DNA-binding transcription factor activity, nucleus, plasmodesmata-mediated intercellular transport, polarity specification of adaxial/abaxial axis, regulation of DNA-templated transcription, root radial pattern formation","DEGs"
"Chir02Ox-b03290.2","AT1G62300","WRKY6",1.15834961404271,0.817,0.128,6.45584037875397e-92,1.26921821846303e-87,"Yes","WRKY","cellular response to boron-containing substance deprivation, cellular response to phosphate starvation, DNA-binding transcription factor activity, negative regulation of DNA-templated transcription, nucleus, protein binding, transcription cis-regulatory region binding","DEGs"
"Chir07Ox-b26410.2","AT4G29190","AtOZF2",1.27588556842777,0.894,0.482,3.31639632270616e-38,6.5200351704403e-34,"Yes","C3H","DNA-binding transcription factor activity, nucleus, plasma membrane, regulation of DNA-templated transcription","DEGs"
"Chir04Ox-b02760.2","AT2G23340","AT2G23340.1",0.870587368585026,0.942,0.502,9.44648053193754e-30,1.85717807257892e-25,"Yes","ERF","carboxylic acid biosynthetic process, developmental growth, DNA-binding transcription factor activity, flavonoid metabolic process, inorganic ion homeostasis, nucleus, regulation of DNA-templated transcription, response to fungus, response to water deprivation, response to wounding, transcription cis-regulatory region binding","DEGs"
"Chir07Ox-b03170.2","AT5G39610","ATNAC2",0.844104664627983,0.212,0.005,1.29092513471994e-188,2.5379588148594e-184,"Yes","NAC","DNA-binding transcription factor activity, floral organ senescence, lateral root development, leaf senescence, nucleus, positive regulation of age-related resistance, positive regulation of DNA-binding transcription factor activity, positive regulation of DNA-templated transcription, positive regulation of leaf senescence, positive regulation of programmed cell death, protein binding, protein homodimerization activity, regulation of gene expression, regulation of seed germination, response to abscisic acid, response to auxin, response to ethylene, response to hydrogen peroxide, response to oxidative stress, response to salt, response to salt stress, sequence-specific DNA binding, stress-induced premature senescence, transcription cis-regulatory region binding","DEGs"
"Chir08Ox-b28260.2","AT5G65590","AT5G65590.1",0.818467488674846,0.702,0.036,1.99948074893591e-279,3.930979152408e-275,"Yes","Dof","DNA-binding transcription factor activity, guard cell differentiation, nucleus, positive regulation of DNA-templated transcription, regulation of cell wall pectin metabolic process, regulation of DNA-templated transcription, sequence-specific DNA binding, stomatal movement","DEGs"
"Chir01Ox-b30900.2","AT1G32330","ATHSFA1D",0.745165475618555,0.827,0.187,5.6950784240135e-74,1.11965241816106e-69,"Yes","HSF","cellular response to heat, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, response to heat, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific DNA binding","DEGs"
"Chir06Ox-b31830.2","AT5G07100","WRKY26",0.725357772618551,0.74,0.212,2.91399940854446e-40,5.7289228371984e-36,"Yes","WRKY","cellular heat acclimation, cellular response to heat, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding","DEGs"
"Chir08Ox-b20840.2","AT5G58620","AT5G58620.1",0.683445274591699,0.865,0.345,4.63875153322578e-38,9.11978551432189e-34,"Yes","C3H","chloroplast, cytoplasmic stress granule, DNA-binding transcription factor activity, P-body, protein binding, regulation of DNA-templated transcription, RNA binding, translation","DEGs"
"Chir05Ox-b19860.2","AT3G54390","T14E10.5",0.630326723743534,0.673,0.042,7.0327528244581e-216,1.38263920528846e-211,"Yes","Trihelix","DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs"
