"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir03Ox-b21840.2",2.12848971420042e-275,0.271693314360534,0.552,0.242,3.8061653069332e-271,"AT3G21680",NA,NA,"MIL23.24","cellular response to radiation, molecular_function, nucleus, response to jasmonic acid, response to red light, response to wounding, root development"
"Chir04Ox-b25720.2",0,0.51987853797586,0.72,0.407,0,"AT2G42990",NA,NA,"F23E6.2","hydrolase activity, acting on ester bonds"
"Chir02Ox-b11260.2",0,0.780111053101696,0.806,0.448,0,"AT1G65620","Yes","LBD","AT1G65620.1","adaxial/abaxial axis specification, nucleoplasm, nucleus, petal development, polarity specification of adaxial/abaxial axis, protein binding, proximal/distal pattern formation, specification of symmetry"
"Chir01Ox-b18000.2",0,0.662951593406199,0.804,0.464,0,"AT1G17920","Yes","HD-ZIP","AT1G17920.1","cell differentiation, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, lipid binding, maintenance of floral organ identity, nucleus, protein binding, trichome branching"
"Chir08Ox-b00530.2",0,0.728519605415536,0.83,0.471,0,"AT4G00400",NA,NA,"GPAT8","CDP-diacylglycerol biosynthetic process, cutin biosynthetic process, endoplasmic reticulum, glycerol-3-phosphate 2-O-acyltransferase activity, glycerol-3-phosphate O-acyltransferase activity, membrane, phosphatase activity, sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity"
"Chir01Ox-b05280.2",0,1.03090506708913,0.789,0.473,0,"AT1G06000",NA,NA,"AT1G06000.1","chloroplast, cytosol, extracellular region, flavonol biosynthetic process, glycosyltransferase activity, UDP-glycosyltransferase activity"
"Chir06Ox-b37150.2",0,0.783138272597698,0.781,0.481,0,"AT5G01240",NA,NA,"LAX1","amino acid transmembrane transport, amino acid transmembrane transporter activity, auxin influx transmembrane transporter activity, membrane, plasma membrane, root cap development"
"Chir07Ox-b04470.2",0,0.56724591720558,0.817,0.496,0,"AT5G38530",NA,NA,"TSBtype2","chloroplast, cytosol, L-serine hydro-lyase (adding indole, L-tryptophan-forming) activity, protein homodimerization activity, pyridoxal phosphate binding, tryptophan biosynthetic process, tryptophan synthase activity"
"Chir04Ox-b27290.2",0,1.05491941554851,0.883,0.512,0,"AT2G44490",NA,NA,"BGLU26","beta-glucosidase activity, carbohydrate metabolic process, chloroplast envelope, defense response by callose deposition in cell wall, defense response to bacterium, glucosinolate catabolic process, glucosinolate metabolic process, indole glucosinolate catabolic process, induced systemic resistance, membrane, mitochondrion, peroxisome, response to bacterium, response to salt stress, scopolin beta-glucosidase activity, thioglucosidase activity"
"Chir06Ox-b24060.2",0,0.946603706358652,0.825,0.515,0,"AT5G15310","Yes","MYB","ATMYB16","cell morphogenesis, cuticle pattern formation, DNA-binding transcription factor activity, nucleus, regulation of cutin biosynthetic process"
