"gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir05Ox-b28960.2","AT3G63300","AT3G63300.1",1.15461190206621,0.596,0.109,0,0,NA,NA,"auxin-activated signaling pathway, chloroplast, leaf vascular tissue pattern formation, nucleus, phloem or xylem histogenesis, phosphatidylinositol binding, post-Golgi vesicle-mediated transport, protein binding, response to auxin, signal transduction, trans-Golgi network","DEGs"
"Chir04Ox-b02400.2","AT2G23170","AT2G23170.1",1.50789222143842,0.666,0.274,0,0,NA,NA,"acid-amino acid ligase activity, auxin homeostasis, cytoplasm, indole-3-acetic acid amido synthetase activity, nucleus","DEGs"
"Chir01Ox-b21220.2","AT1G21460","AT1G21460.2",1.01062152611201,0.713,0.304,0,0,NA,NA,"carbohydrate transport, chloroplast, endoplasmic reticulum, endoplasmic reticulum membrane, extracellular region, plasma membrane, protein binding, protein homooligomerization, sugar transmembrane transporter activity","DEGs"
"Chir04Ox-b10440.2","AT2G28790","F8N16.8",1.04709380587038,0.965,0.551,0,0,NA,NA,"defense response, extracellular region, molecular_function, plant-type cell wall, plasmodesma, secretory vesicle","DEGs"
"Chir04Ox-b00160.2","AT2G21050","LAX2",0.8972649414425,0.451,0.116,0,0,NA,NA,"amino acid transmembrane transport, amino acid transmembrane transporter activity, cotyledon vascular tissue pattern formation, membrane, plasma membrane, response to nematode, root cap development","DEGs"
"Chir06Ox-b11690.2","AT5G28640","AN3",0.844723796863906,0.944,0.625,2.25414662742567e-271,4.43165226951887e-267,NA,NA,"adaxial/abaxial pattern specification, cell division, cell population proliferation, cotyledon development, leaf development, nucleus, positive regulation of transcription by RNA polymerase II, protein binding, regulation of gene expression, transcription coactivator activity","DEGs"
"Chir08Ox-b24790.2","AT5G62280","MMI9.11",0.779675319050755,0.24,0.035,0,0,NA,NA,"cellular response to ethylene stimulus, cellular_component, lipid metabolic process, molecular_function, organelle organization, organic hydroxy compound metabolic process, plant epidermis development, root morphogenesis","DEGs"
"Chir04Ox-b11550.2","AT2G29980","FAD3",0.686734809907149,0.715,0.299,0,0,NA,NA,"1-16:0-2-18:2-phosphatidylcholine desaturase activity, 1-18:1-2-18:2-phosphatidylcholine desaturase activity (SN2-18:3 forming), 1-18:2-2-18:2-sn-glycerol-3-phosphocholine desaturase activity, 1-18:2-2-18:2-sn-glycerol-3-phosphocholine desaturase activity (SN2-18:3 forming), chloroplast, endoplasmic reticulum, omega-3 fatty acid desaturase activity, oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water, unsaturated fatty acid biosynthetic process","DEGs"
"Chir02Ox-b16950.2",NA,NA,0.573376752214406,0.34,0.087,1.02593725148382e-235,2.0169926364172e-231,NA,NA,NA,"DEGs"
"Chir06Ox-b04170.2","AT5G44680","AT5G44680.1",0.543582191582116,0.641,0.311,3.42657100125277e-188,6.73663858846295e-184,NA,NA,"base-excision repair, DNA-3-methyladenine glycosylase activity, growth, nucleus, porphyrin-containing compound metabolic process, response to light stimulus","DEGs"
