"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir01Ox-b27420.2",0,0.375283501086733,0.106,0,0,"AT1G28710",NA,NA,"F1K23.9","cytoplasm, flower development, molecular_function"
"Chir01Ox-b27840.2",0,0.385726266766575,0.121,0,0,"AT1G29280","Yes","WRKY","WRKY65","cell differentiation, developmental growth, DNA-binding transcription factor activity, nucleus, plant epidermis development, regulation of DNA-templated transcription, root morphogenesis, transcription cis-regulatory region binding"
"Chir06Ox-b04510.2",0,0.664258739269683,0.136,0,0,"AT5G44480",NA,NA,"DUR","capsule polysaccharide biosynthetic process, galactose metabolic process, Golgi apparatus, UDP-arabinose 4-epimerase activity, UDP-glucose 4-epimerase activity, UDP-L-arabinose biosynthetic process"
"Chir06Ox-b18760.2",0,0.334006696216201,0.121,0,0,"AT5G20260",NA,NA,"AT5G20260.1","nucleus, protein glycosylation"
"Chir07Ox-b03960.2",0,1.3188002784375,0.106,0,0,NA,NA,NA,NA,NA
"Chir07Ox-b08570.2",0,1.38987499895991,0.121,0,0,NA,NA,NA,NA,NA
"Chir07Ox-b16820.2",0,0.522791407405124,0.121,0,0,NA,NA,NA,NA,NA
"Chir07Ox-b19180.2",0,1.91864058260725,0.121,0,0,NA,NA,NA,NA,NA
"Chir07Ox-b19210.2",0,2.31864939080569,0.121,0,0,"AT4G22520",NA,NA,"F7K2.100","biological_process, extracellular region, molecular_function"
"Chir07Ox-b33310.2",0,1.48664747170354,0.136,0,0,"AT4G35810",NA,NA,"F4B14.80","endoplasmic reticulum, iron ion binding, L-ascorbic acid binding, nucleus, procollagen-proline 4-dioxygenase activity"
"Chir06Ox-b26590.2",1.87712027780514e-225,0.698363316576928,0.152,0.001,3.69041846616491e-221,"AT5G12880",NA,NA,"AT5G12880.1","cell death, defense response to bacterium, immune response, mitochondrion, protein binding, regulation of defense response, response to inorganic substance"
"Chir07Ox-b19170.2",5.18924686207382e-308,4.04020491191755,0.167,0.001,1.02020593308371e-303,"AT4G22485",NA,NA,NA,"biological_process, cytosol, molecular_function"
"Chir02Ox-b08300.2",2.99630710495277e-191,0.255931777400783,0.197,0.002,5.89073976833714e-187,"AT1G56710",NA,NA,"PGL1","carbohydrate metabolic process, extracellular region, polygalacturonase activity, root development, secondary metabolic process"
"Chir07Ox-b19160.2",4.76604808079755e-195,5.39753230497966,0.182,0.002,9.37005052684798e-191,NA,NA,NA,NA,NA
"Chir08Ox-b21660.2",0,2.8602478095038,0.288,0.002,0,"AT5G59320",NA,NA,"AT5G59320.1","apoplast, extracellular region, lipid transport, plant-type cell wall, response to abscisic acid, response to water deprivation"
"Chir06Ox-b13630.2",3.45728539395521e-266,2.92454877919775,0.242,0.003,6.79702308451594e-262,"AT5G25970",NA,NA,"T1N24.19","biological_process, cellular_component, glycosyltransferase activity"
"Chir07Ox-b30280.2",2.67327119892759e-43,1.65069951209856,0.106,0.003,5.25565117709165e-39,"AT4G32950",NA,NA,"F26P21.70","myosin phosphatase activity, peptidyl-threonine dephosphorylation, protein serine/threonine phosphatase activity"
"Chir02Ox-b12680.2",3.94423079102441e-82,0.397072360265405,0.167,0.004,7.75435773515398e-78,"AT1G66780",NA,NA,"AT1G66780.1","antiporter activity, defense response to bacterium, immune system process, membrane, plasma membrane, regulation of defense response, transmembrane transporter activity, xenobiotic detoxification by transmembrane export across the plasma membrane, xenobiotic transmembrane transporter activity"
"Chir06Ox-b04610.2",1.97412990887899e-90,1.5399289894961,0.167,0.004,3.88113940085609e-86,NA,NA,NA,NA,NA
"Chir07Ox-b17420.2",3.1035748594626e-41,0.262408178752806,0.106,0.004,6.10162817370348e-37,"AT4G20860",NA,NA,"BBE22","cellular response to hypoxia, cytoplasm, FAD binding, plant-type cell wall, positive regulation of hydrogen peroxide biosynthetic process, response to jasmonic acid"
"Chir07Ox-b19200.2",6.43667351083799e-274,6.14810731179336,0.303,0.004,1.26545001223075e-269,NA,NA,NA,NA,NA
"Chir04Ox-b10360.2",1.75275758706247e-71,0.371849873097256,0.167,0.005,3.44592141616482e-67,"AT2G28710","Yes","C2H2","AT2G28710.1","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription"
"Chir05Ox-b25110.2",3.35175850105203e-97,0.536972731374017,0.197,0.005,6.58955721306829e-93,NA,NA,NA,NA,NA
"Chir07Ox-b19190.2",8.18211412320786e-74,7.03327808356808,0.167,0.005,1.60860363662267e-69,"AT4G22490",NA,NA,"AT4G22490.1","extracellular region, secretory vesicle"
"Chir01Ox-b05710.2",4.16831212677762e-148,1.7147157157406,0.258,0.006,8.1949016412448e-144,NA,NA,NA,NA,NA
"Chir03Ox-b05160.2",2.63599849085076e-109,6.45245516687361,0.227,0.006,5.1823730330126e-105,"AT3G05727",NA,NA,"DEG28","biological_process, extracellular region, molecular_function, secretory vesicle"
"Chir05Ox-b25500.2",1.62881079327932e-92,0.527520359814657,0.212,0.006,3.20224201958713e-88,"AT3G59690",NA,NA,"AT3G59690.1","defense response to bacterium, defense response to fungus, meristem development, nucleus, plant-type secondary cell wall biogenesis, positive regulation of cellular biosynthetic process, positive regulation of gene expression, positive regulation of nucleobase-containing compound metabolic process, regulation of cellular component biogenesis, response to calcium ion, secondary metabolic process, seed development"
"Chir07Ox-b31070.2",9.63824243460207e-60,3.90185268302392,0.167,0.006,1.89487846264277e-55,"AT5G26130",NA,NA,"AtCAPE8","biological_process, extracellular region, extracellular space, molecular_function"
"Chir08Ox-b21640.2",3.05273899260645e-36,0.759266757520639,0.136,0.007,6.00168485946428e-32,NA,NA,NA,NA,NA
"Chir02Ox-b22460.2",1.00611519559139e-73,0.571997487555949,0.212,0.008,1.97802247453268e-69,"AT1G75520","Yes","SRS","SRS5","anther development, DNA binding, DNA-binding transcription factor activity, gynoecium development, nucleus, photomorphogenesis, pollen development, positive regulation of DNA-templated transcription, protein binding, sequence-specific DNA binding"
