"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source","rank"
"Chir06Ox-b31270.2","Chir06Ox-b31270.2","AT5G07700","AtMYB76",0.333533566870486,0.154,0.005,0,0,"Yes","MYB","DNA-binding transcription factor activity, nucleus, regulation of glucosinolate biosynthetic process, response to insect, response to water deprivation, response to wounding, transcription cis-regulatory region binding","DEGs",1
"Chir03Ox-b19560.2","Chir03Ox-b19560.2","AT3G19710","BCAT4",1.30230443252531,0.102,0.006,9.21818131695476e-220,1.81229444691331e-215,NA,NA,"branched-chain amino acid metabolic process, branched-chain-amino-acid transaminase activity, cytoplasm, cytosol, glucosinolate biosynthetic process, methionine-oxo-acid transaminase activity, response to light stimulus, response to wounding","GEP_34and DEGs",2
"Chir02Ox-b19530.2","Chir02Ox-b19530.2","AT5G05260","CYP79A2",1.39784801359459,0.316,0.013,0,0,NA,NA,"glucosinolate biosynthetic process, heme binding, iron ion binding, L-phenylalanine N-monooxygenase activity, membrane, mitochondrion, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, oxygen binding","GEP_34and DEGs",3
"Chir08Ox-b03300.2","Chir08Ox-b03300.2",NA,NA,1.59902342727213,0.213,0.013,0,0,NA,NA,NA,"GEP_34and DEGs",4
"Chir06Ox-b16730.2","Chir06Ox-b16730.2",NA,NA,1.53753282182388,0.328,0.014,0,0,NA,NA,NA,"GEP_34and DEGs",5
"Chir06Ox-b16750.2","Chir06Ox-b16750.2","AT5G23010","GSM1",1.91078015100949,0.34,0.017,0,0,NA,NA,"2-(2'-methylthio)ethylmalate synthase activity, acyltransferase activity, acyl groups converted into alkyl on transfer, carboxylic acid metabolic process, chloroplast, glucosinolate biosynthetic process, leucine biosynthetic process, response to insect, response to water deprivation","GEP_34and DEGs",6
"Chir06Ox-b31280.2","Chir06Ox-b31280.2","AT5G07690","ATMYB29",0.723055680778823,0.553,0.029,0,0,"Yes","MYB","cellular response to sulfur starvation, defense response to fungus, DNA-binding transcription factor activity, drought recovery, hormone-mediated signaling pathway, induced systemic resistance, jasmonic acid mediated signaling pathway, mitochondria-nucleus signaling pathway, negative regulation of ethylene-activated signaling pathway, nucleus, protein binding, regulation of DNA-templated transcription, regulation of glucosinolate biosynthetic process, regulation of response to water deprivation, regulation of RNA binding transcription factor activity, response to bacterium, response to high light intensity, response to insect, response to water deprivation, response to wounding, transcription cis-regulatory region binding","DEGs",7
"Chir07Ox-b09390.2","Chir07Ox-b09390.2",NA,NA,1.77361675081961,0.638,0.031,0,0,NA,NA,NA,"GEP_34and DEGs",8
"Chir07Ox-b35760.2","Chir07Ox-b35760.2","AT4G39950","CYP79B2",1.21397695226532,0.344,0.034,0,0,NA,NA,"camalexin biosynthetic process, chloroplast, defense response, defense response by callose deposition in cell wall, defense response to bacterium, defense response to oomycetes, heme binding, indoleacetic acid biosynthetic process, induced systemic resistance, iron ion binding, membrane, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, response to bacterium, response to insect, response to water deprivation, tryptophan catabolic process","GEP_34and DEGs",9
"Chir03Ox-b31670.2","Chir03Ox-b31670.2","AT4G04830","ATMSRB5",2.26090229001938,0.69,0.046,0,0,NA,NA,"chloroplast, cytosol, glucosinolate metabolic process, peptide-methionine (R)-S-oxide reductase activity, response to jasmonic acid, response to wounding","GEP_34and DEGs",10
"Chir07Ox-b09460.2","Chir07Ox-b09460.2",NA,NA,2.46283124167837,0.782,0.049,0,0,NA,NA,NA,"GEP_34and DEGs",11
"Chir07Ox-b35940.2","Chir07Ox-b35940.2","AT4G39780","ERF60",0.52094864941047,0.3,0.061,3.7366243120028e-195,7.34620339739751e-191,"Yes","ERF","defense response, DNA binding, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, response to light stimulus, sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs",12
"Chir08Ox-b23350.2","Chir08Ox-b23350.2","AT5G60890","ATMYB34",0.424330918947422,0.387,0.067,0,0,"Yes","MYB","cellular response to sulfur starvation, defense response to insect, DNA-binding transcription factor activity, indole glucosinolate biosynthetic process, nucleus, positive regulation of DNA-templated transcription, protein binding, transcription cis-regulatory region binding, tryptophan biosynthetic process","DEGs",13
"Chir02Ox-b11540.2","Chir02Ox-b11540.2","AT1G65860","FMO GS-OX1",1.25745201428466,0.557,0.072,0,0,NA,NA,"3-methylthiopropyl glucosinolate S-oxygenase activity, 4-methylthiopropyl glucosinolate S-oxygenase activity, 5-methylthiopropyl glucosinolate S-oxygenase activity, 6-methylthiopropyl glucosinolate S-oxygenase activity, 7-methylthiopropyl glucosinolate S-oxygenase activity, 8-methylthiopropyl glucosinolate S-oxygenase activity, flavin adenine dinucleotide binding, glucosinolate biosynthetic process from homomethionine, N,N-dimethylaniline monooxygenase activity, NADP binding, nucleus","GEP_34and DEGs",14
"Chir07Ox-b09470.2","Chir07Ox-b09470.2","AT4G13770","CYP83A1",1.79682654345936,0.848,0.085,0,0,NA,NA,"cytosol, glucosinolate biosynthetic process, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, response to insect, response to UV","DEGs",15
"Chir07Ox-b00240.2","Chir07Ox-b00240.2","AT5G41920","SCL23",0.345757584208063,0.397,0.09,4.45311792863328e-245,8.75482984769304e-241,"Yes","GRAS","bundle sheath cell fate specification, DNA-binding transcription factor activity, endodermal cell fate specification, leaf development, nucleus, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs",16
"Chir04Ox-b10040.2","Chir04Ox-b10040.2","AT2G28510","AT2G28510.1",0.324466756023303,0.277,0.092,2.6557683668885e-84,5.22124060930279e-80,"Yes","Dof","DNA-binding transcription factor activity, nucleolus, nucleus, regulation of DNA-templated transcription, transcription cis-regulatory region binding, zinc ion binding","DEGs",17
"Chir06Ox-b24490.2","Chir06Ox-b24490.2","AT5G14920","GASA14",1.23562637205635,0.554,0.092,0,0,NA,NA,"plasma membrane, plastid, protein binding, regulation of reactive oxygen species metabolic process, response to abscisic acid, response to gibberellin, response to salt stress","DEGs",18
"Chir05Ox-b24830.2","Chir05Ox-b24830.2","AT3G58990","IPMI1",1.09203460695654,0.559,0.095,0,0,NA,NA,"3-isopropylmalate dehydratase activity, chloroplast, chloroplast stroma, glucosinolate biosynthetic process, leucine biosynthetic process, plastid","DEGs",19
"Chir07Ox-b35780.2","Chir07Ox-b35780.2","AT4G39940","AKN2",1.12332274047891,0.627,0.101,0,0,NA,NA,"adenylylsulfate kinase activity, chloroplast, hydrogen sulfide biosynthetic process, male gamete generation, phosphorylation, plastid, regulation of glucosinolate biosynthetic process, sulfate assimilation","DEGs",20
"Chir03Ox-b03770.2","Chir03Ox-b03770.2","AT3G04520","AT3G04520.1",1.44956860588443,0.854,0.11,0,0,NA,NA,"amino acid metabolic process, cytosol, glycine biosynthetic process, L-allo-threonine aldolase activity, lyase activity, nucleus, threonine aldolase activity, threonine catabolic process","DEGs",21
"Chir07Ox-b26310.2","Chir07Ox-b26310.2","AT4G29100","BHLH68",0.631483466458647,0.613,0.113,0,0,"Yes","bHLH","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, response to abscisic acid, RNA polymerase II cis-regulatory region sequence-specific DNA binding","DEGs",22
"Chir01Ox-b23760.2","Chir01Ox-b23760.2","AT1G24100","AT1G24100.1",1.10028357862209,0.626,0.125,0,0,NA,NA,"cytosol, defense response by callose deposition in cell wall, defense response to bacterium, glucosinolate biosynthetic process, glycosyltransferase activity, nucleus, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, thiohydroximate beta-D-glucosyltransferase activity, UDP-glucose: 4-methylthiobutylhydroximate S-glucosyltransferase activity, UDP-glucose: 6-methylthiohexylhydroximate S-glucosyltransferase activity, UDP-glucose: 9-methylthiononylhydroximate S-glucosyltransferase activity, UDP-glucose:5-methylthiopentylhydroximate S-glucosyltransferase activity, UDP-glucose:7-methylthioheptylhydroximate S-glucosyltransferase activity, UDP-glucose:8-methylthiooctylhydroximate S-glucosyltransferase activity","DEGs",23
