"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir03Ox-b19560.2","Chir03Ox-b19560.2","AT3G19710","BCAT4",1.31242078288243,0.103,0.006,0.878814286551005,7,6.6814248656307e-215,1.313568128583e-210,NA,NA,"branched-chain amino acid metabolic process, branched-chain-amino-acid transaminase activity, cytoplasm, cytosol, glucosinolate biosynthetic process, methionine-oxo-acid transaminase activity, response to light stimulus, response to wounding","GEP_34"
"Chir02Ox-b19530.2","Chir02Ox-b19530.2","AT5G05260","CYP79A2",1.38688663694374,0.305,0.014,0.922003577533192,3,0,0,NA,NA,"glucosinolate biosynthetic process, heme binding, iron ion binding, L-phenylalanine N-monooxygenase activity, membrane, mitochondrion, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, oxygen binding","GEP_34"
"Chir08Ox-b03300.2","Chir08Ox-b03300.2",NA,NA,1.59489670054121,0.209,0.014,0.77600058065389,11,0,0,NA,NA,NA,"GEP_34"
"Chir06Ox-b16730.2","Chir06Ox-b16730.2",NA,NA,1.53575042581431,0.318,0.015,0.701826535910623,14,0,0,NA,NA,NA,"GEP_34"
"Chir06Ox-b16750.2","Chir06Ox-b16750.2","AT5G23010","GSM1",1.89597691077638,0.33,0.018,0.683828474985195,18,0,0,NA,NA,"2-(2'-methylthio)ethylmalate synthase activity, acyltransferase activity, acyl groups converted into alkyl on transfer, carboxylic acid metabolic process, chloroplast, glucosinolate biosynthetic process, leucine biosynthetic process, response to insect, response to water deprivation","GEP_34"
"Chir07Ox-b09390.2","Chir07Ox-b09390.2",NA,NA,1.73565631207636,0.576,0.034,0.849357088700813,8,0,0,NA,NA,NA,"GEP_34"
"Chir07Ox-b35760.2","Chir07Ox-b35760.2","AT4G39950","CYP79B2",1.20455440202347,0.34,0.035,0.586724997124525,22,0,0,NA,NA,"camalexin biosynthetic process, chloroplast, defense response, defense response by callose deposition in cell wall, defense response to bacterium, defense response to oomycetes, heme binding, indoleacetic acid biosynthetic process, induced systemic resistance, iron ion binding, membrane, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, response to bacterium, response to insect, response to water deprivation, tryptophan catabolic process","GEP_34"
"Chir03Ox-b31670.2","Chir03Ox-b31670.2","AT4G04830","ATMSRB5",2.24019919358018,0.658,0.048,0.759308308258653,12,0,0,NA,NA,"chloroplast, cytosol, glucosinolate metabolic process, peptide-methionine (R)-S-oxide reductase activity, response to jasmonic acid, response to wounding","GEP_34"
"Chir07Ox-b09460.2","Chir07Ox-b09460.2",NA,NA,2.39542375956067,0.727,0.052,0.92474544630138,2,0,0,NA,NA,NA,"GEP_34"
"Chir02Ox-b11540.2","Chir02Ox-b11540.2","AT1G65860","FMO GS-OX1",1.24917424090521,0.533,0.074,0.50358985251839,25,0,0,NA,NA,"3-methylthiopropyl glucosinolate S-oxygenase activity, 4-methylthiopropyl glucosinolate S-oxygenase activity, 5-methylthiopropyl glucosinolate S-oxygenase activity, 6-methylthiopropyl glucosinolate S-oxygenase activity, 7-methylthiopropyl glucosinolate S-oxygenase activity, 8-methylthiopropyl glucosinolate S-oxygenase activity, flavin adenine dinucleotide binding, glucosinolate biosynthetic process from homomethionine, N,N-dimethylaniline monooxygenase activity, NADP binding, nucleus","GEP_34"
