"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir06Ox-b31270.2",1.81064780894154e-198,0.339003387851384,0.608,0.296,3.23780041194926e-194,"AT5G07700","Yes","MYB","AtMYB76","DNA-binding transcription factor activity, nucleus, regulation of glucosinolate biosynthetic process, response to insect, response to water deprivation, response to wounding, transcription cis-regulatory region binding"
"Chir06Ox-b17360.2",1.62728256968549e-219,0.57835867490699,0.665,0.32,2.90990669111159e-215,"AT5G22390",NA,NA,"MWD9.19","cellular response to oxygen-containing compound, chlorophyll biosynthetic process, hormone-mediated signaling pathway, molecular_function, nucleus, response to abscisic acid, response to light stimulus, response to organonitrogen compound, response to wounding"
"Chir06Ox-b25230.2",2.28277893477651e-261,0.944488959186733,0.721,0.395,4.08206529116735e-257,"AT5G14200",NA,NA,"ATIMD1","3-isopropylmalate dehydrogenase activity, chloroplast, chloroplast stroma, cytosol, embryo sac development, glucosinolate biosynthetic process, leucine biosynthetic process, magnesium ion binding, NAD binding, plastid, pollen development, response to jasmonic acid, response to wounding"
"Chir02Ox-b24130.2",2.06099566841754e-232,0.770314639824575,0.712,0.396,3.68547245426425e-228,"AT1G77000",NA,NA,"ATSKP2;2","heat acclimation, negative regulation of lateral root development, nucleus, proteolysis involved in protein catabolic process, SCF ubiquitin ligase complex, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process, ubiquitin-dependent protein catabolic process"
"Chir05Ox-b08450.2",3.11442678768661e-265,0.342892322722158,0.723,0.413,5.5692179817412e-261,"AT3G29670",NA,NA,"AT3G29670.1","carbohydrate derivative metabolic process, cellular lipid metabolic process, cytoplasm, defense response to bacterium, defense response to other organism, lipid biosynthetic process, O-malonyltransferase activity, oxoacid metabolic process, response to abscisic acid, response to light intensity, response to organonitrogen compound, response to water deprivation"
"Chir07Ox-b35760.2",0,1.38914389892443,0.782,0.423,0,"AT4G39950",NA,NA,"CYP79B2","camalexin biosynthetic process, chloroplast, defense response, defense response by callose deposition in cell wall, defense response to bacterium, defense response to oomycetes, heme binding, indoleacetic acid biosynthetic process, induced systemic resistance, iron ion binding, membrane, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, response to bacterium, response to insect, response to water deprivation, tryptophan catabolic process"
"Chir07Ox-b35780.2",0,1.19162301112642,0.848,0.432,0,"AT4G39940",NA,NA,"AKN2","adenylylsulfate kinase activity, chloroplast, hydrogen sulfide biosynthetic process, male gamete generation, phosphorylation, plastid, regulation of glucosinolate biosynthetic process, sulfate assimilation"
"Chir04Ox-b21410.2",0,0.84703099104434,0.857,0.471,0,"AT2G38860",NA,NA,"DJ1E","auxin biosynthetic process, cellular response to organic substance, cytoplasm, defense response to bacterium, Golgi apparatus, regulation of biological quality, response to fungus, response to organic cyclic compound"
"Chir02Ox-b11540.2",0,1.38217258820089,0.851,0.487,0,"AT1G65860",NA,NA,"FMO GS-OX1","3-methylthiopropyl glucosinolate S-oxygenase activity, 4-methylthiopropyl glucosinolate S-oxygenase activity, 5-methylthiopropyl glucosinolate S-oxygenase activity, 6-methylthiopropyl glucosinolate S-oxygenase activity, 7-methylthiopropyl glucosinolate S-oxygenase activity, 8-methylthiopropyl glucosinolate S-oxygenase activity, flavin adenine dinucleotide binding, glucosinolate biosynthetic process from homomethionine, N,N-dimethylaniline monooxygenase activity, NADP binding, nucleus"
"Chir07Ox-b09390.2",0,1.81471771272931,0.864,0.489,0,NA,NA,NA,NA,NA
"Chir05Ox-b24830.2",0,1.18735957223647,0.827,0.52,0,"AT3G58990",NA,NA,"IPMI1","3-isopropylmalate dehydratase activity, chloroplast, chloroplast stroma, glucosinolate biosynthetic process, leucine biosynthetic process, plastid"
"Chir03Ox-b03770.2",0,1.21195827349931,0.875,0.528,0,"AT3G04520",NA,NA,"AT3G04520.1","amino acid metabolic process, cytosol, glycine biosynthetic process, L-allo-threonine aldolase activity, lyase activity, nucleus, threonine aldolase activity, threonine catabolic process"
"Chir03Ox-b28830.2",0,0.917719227505807,0.86,0.542,0,"AT2G14750",NA,NA,"APK","adenylylsulfate kinase activity, chloroplast, hydrogen sulfide biosynthetic process, identical protein binding, male gamete generation, phosphorylation, plastid, regulation of glucosinolate biosynthetic process, sulfate assimilation"
"Chir01Ox-b23760.2",0,1.23001056340347,0.907,0.58,0,"AT1G24100",NA,NA,"AT1G24100.1","cytosol, defense response by callose deposition in cell wall, defense response to bacterium, glucosinolate biosynthetic process, glycosyltransferase activity, nucleus, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, thiohydroximate beta-D-glucosyltransferase activity, UDP-glucose: 4-methylthiobutylhydroximate S-glucosyltransferase activity, UDP-glucose: 6-methylthiohexylhydroximate S-glucosyltransferase activity, UDP-glucose: 9-methylthiononylhydroximate S-glucosyltransferase activity, UDP-glucose:5-methylthiopentylhydroximate S-glucosyltransferase activity, UDP-glucose:7-methylthioheptylhydroximate S-glucosyltransferase activity, UDP-glucose:8-methylthiooctylhydroximate S-glucosyltransferase activity"
"Chir08Ox-b23950.2",0,1.86840014737779,0.905,0.58,0,"AT5G61420","Yes","MYB","HAG1","cellular response to sulfur starvation, defense response to fungus, DNA-binding transcription factor activity, induced systemic resistance, nucleus, regulation of DNA-templated transcription, regulation of glucosinolate biosynthetic process, response to bacterium, response to insect, transcription cis-regulatory region binding"
"Chir04Ox-b13630.2",0,2.27885781163025,0.96,0.581,0,"AT2G31790",NA,NA,"AT2G31790.1","chloroplast, glucosinolate metabolic process, glycosyltransferase activity, organic acid biosynthetic process, peroxisome, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, regulation of secondary metabolic process, regulation of small molecule metabolic process, response to inorganic substance, signal transduction"
"Chir07Ox-b09460.2",0,2.57293861712343,0.939,0.592,0,NA,NA,NA,NA,NA
"Chir07Ox-b09470.2",0,1.89873098300668,0.973,0.597,0,"AT4G13770",NA,NA,"CYP83A1","cytosol, glucosinolate biosynthetic process, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, response to insect, response to UV"
"Chir04Ox-b29570.2",0,2.71829234995972,0.975,0.617,0,"AT2G46650",NA,NA,"B5 #1","carboxylic acid metabolic process, cell wall organization or biogenesis, cellular catabolic process, cellular macromolecule localization, cytosol, defense response to bacterium, defense response to other organism, heme binding, hormone-mediated signaling pathway, intracellular membrane-bounded organelle, jasmonic acid mediated signaling pathway, membrane, monocarboxylic acid metabolic process, organic substance catabolic process, regulation of small molecule metabolic process, response to wounding, tryptophan metabolic process"
"Chir01Ox-b33880.2",0,2.02294428850427,0.95,0.628,0,"AT4G31500",NA,NA,"CYP83B1","adventitious root development, chloroplast, defense response by callose deposition in cell wall, defense response to bacterium, defense response to fungus, endoplasmic reticulum, heme binding, indole glucosinolate biosynthetic process, indoleacetic acid biosynthetic process, induced systemic resistance, iron ion binding, mitochondrion, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, plasma membrane, response to insect, response to red light, shade avoidance, tryptophan biosynthetic process"
"Chir03Ox-b35200.2",0,2.10814815387423,0.972,0.631,0,"AT2G20610",NA,NA,"SUR1","adventitious root development, carbon-sulfur lyase activity, cytoplasm, cytosol, defense response to fungus, glucosinolate biosynthetic process, indoleacetic acid biosynthetic process, L-tyrosine:2-oxoglutarate aminotransferase activity, mitochondrion, protein binding, pyridoxal phosphate binding, regulation of cell growth by extracellular stimulus, S-alkylthiohydroximate lyase activity, tyrosine catabolic process"
"Chir05Ox-b20060.2",0,2.29265331252392,0.984,0.632,0,"AT3G54600",NA,NA,"DJ1F","alpha-amino acid metabolic process, cytosol, molecular_function, regulation of small molecule metabolic process, signal transduction"
"Chir02Ox-b20950.2",0,3.21383388541463,0.973,0.639,0,"AT1G74090",NA,NA,"SOT18","3-methylthiopropyl-desulfoglucosinolate sulfotransferase activity, 4-methylthiobutyl-desulfoglucosinolate sulfotransferase activity, 5-methylthiopentyl-desulfoglucosinolate sulfotransferase activity, 7-methylthioheptyl-desulfoglucosinolate sulfotransferase activity, 8-methylthiooctyl-desulfoglucosinolate sulfotransferase activity, cytoplasm, desulfoglucosinolate sulfotransferase activity, glucosinolate biosynthetic process, indol-3-yl-methyl-desulfoglucosinolate sulfotransferase activity, sulfation, sulfotransferase activity"
"Chir03Ox-b02330.2",0,1.79488442974077,0.977,0.666,0,"AT3G03190",NA,NA,"ATGSTF11","cytoplasm, glutathione binding, glutathione transferase activity, response to oxidative stress, toxin catabolic process"
