"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir06Ox-b13230.2",0,0.456604654547999,0.181,0.001,0,"AT5G26630","Yes","M-type_MADS","AGL35","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein dimerization activity, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, transcription cis-regulatory region binding"
"Chir02Ox-b03100.2",0,1.80540881027457,0.703,0.003,0,"AT1G62360","Yes","TALE","STM","carpel development, cytokinin biosynthetic process, cytoplasm, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, endosome, floral meristem determinacy, microtubule cytoskeleton, nucleus, plasma membrane, plasmodesma, plasmodesmata-mediated intercellular transport, protein binding, protein homodimerization activity, regulation of meristem structural organization, regulation of transcription by RNA polymerase II, RNA binding, RNA polymerase II cis-regulatory region sequence-specific DNA binding, stem cell population maintenance"
"Chir07Ox-b28870.2",0,0.35480317614786,0.163,0.003,0,"AT4G31610","Yes","B3","REM1","flower development, megagametogenesis, nucleus, pollen development, protein binding"
"Chir01Ox-b24440.2",2.62876207772207e-205,0.31864907754608,0.118,0.004,5.16814624480159e-201,"AT1G26780","Yes","MYB","MYB117","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, organ boundary specification between lateral organs and the meristem, regulation of DNA-templated transcription, RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"Chir02Ox-b17040.2",0,1.25199892033137,0.745,0.004,0,"AT1G70510","Yes","TALE","KNAT2","cytokinin-activated signaling pathway, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, response to ethylene, RNA polymerase II cis-regulatory region sequence-specific DNA binding, specification of carpel identity"
"Chir08Ox-b10180.2",0,2.95517166790137,0.887,0.007,0,"AT4G08150","Yes","TALE","KNAT1","cell fate commitment, cell fate specification, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, identical protein binding, nucleus, protein binding, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, transcription cis-regulatory region binding, xylem and phloem pattern formation, xylem development"
"Chir01Ox-b23240.2",0,0.790176248008369,0.52,0.015,0,"AT1G23380","Yes","TALE","KNAT6","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, meristem maintenance, nucleus, protein binding, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, transcription cis-regulatory region binding"
"Chir07Ox-b36270.2",7.56993066898767e-158,0.546541982017261,0.199,0.016,1.48824836952298e-153,"AT4G39410","Yes","WRKY","WRKY13","DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, positive regulation of sclerenchyma cell differentiation, protein binding, regulation of lignin biosynthetic process, RNA polymerase II cis-regulatory region sequence-specific DNA binding, stress response to cadmium ion, transcription cis-regulatory region binding"
"Chir08Ox-b14280.2",3.61807348639143e-133,0.369935361445454,0.192,0.017,7.11313247424555e-129,"AT5G52600","Yes","MYB","AtMYB82","cell differentiation, nucleus, positive regulation of DNA-templated transcription, transcription cis-regulatory region binding, trichome differentiation"
"Chir07Ox-b31590.2",5.631440099916e-31,0.317042049612235,0.105,0.02,1.10714112364349e-26,"AT4G34400","Yes","B3","REM17","cellular component biogenesis, chloroplast, defense response to other organism, flower development, phyllome development, protein-containing complex assembly, regionalization, tissue development"
