"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir04Ox-b23490.2",0,0.253316952469947,0.221,0,0,"AT2G40740","Yes","WRKY","WRKY55","DNA-binding transcription factor activity, mitochondrion, nucleus, regulation of DNA-templated transcription, regulation of gene expression, sequence-specific DNA binding, transcription cis-regulatory region binding"
"Chir05Ox-b23800.2",0,0.251061104154888,0.24,0,0,"AT3G58000",NA,NA,"T10K17.210","biological_process, molecular_function, nucleus"
"Chir08Ox-b28480.2",0,0.297555695013699,0.125,0,0,"AT5G65790","Yes","MYB","ATMYB68","DNA-binding transcription factor activity, nucleus, regulation of cellular response to heat, regulation of root development, response to water deprivation"
"Chir04Ox-b01680.2",7.46142007349737e-217,0.331765958730444,0.106,0.001,1.46691518644958e-212,"AT2G22320",NA,NA,"T26C19.2","biological_process, cellular_component, molecular_function"
"Chir05Ox-b01300.2",0,1.2032280485824,0.654,0.001,0,"AT2G02250",NA,NA,"AtPP2-B2","carbohydrate binding, nucleus"
"Chir06Ox-b11410.2",0,3.27705371347917,0.481,0.001,0,"AT5G25980",NA,NA,"BGLU37","apoplast, beta-glucosidase activity, carbohydrate metabolic process, chloroplast, cytosolic ribosome, defense response to insect, extracellular region, glucosinolate catabolic process, glucosinolate glucohydrolase activity, peroxisome, plant-type vacuole, plasmodesma, plastid, regulation of stomatal movement, response to abscisic acid, secretory vesicle, thioglucosidase activity"
"Chir06Ox-b21480.2",0,0.59074815901667,0.635,0.001,0,NA,NA,NA,NA,NA
"Chir06Ox-b23300.2",0,0.388641828284894,0.471,0.001,0,"AT5G16080",NA,NA,"AtCXE17","cellular_component, leaf senescence, methyl indole-3-acetate esterase activity, phyllome development, protein binding, regulation of defense response, response to alcohol, response to inorganic substance, response to lipid, response to osmotic stress, signal transduction"
"Chir08Ox-b04810.2",0,0.318115722816971,0.481,0.001,0,"AT4G04450","Yes","WRKY","WRKY42","DNA binding, DNA-binding transcription factor activity, negative regulation of DNA-templated transcription, nucleus, positive regulation of leaf senescence, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, transcription cis-regulatory region binding"
"Chir01Ox-b22260.2",0,0.526378906376314,0.404,0.002,0,"AT1G22530",NA,NA,"AT1G22530.1","cellular response to auxin stimulus, Golgi apparatus, nucleus, plasma membrane, protease binding, protein localization involved in auxin polar transport"
"Chir02Ox-b08470.2",0,0.803833653046036,0.654,0.002,0,NA,NA,NA,NA,NA
"Chir03Ox-b09370.2",0,0.795730177718234,0.683,0.002,0,"AT3G10185",NA,NA,"GASA13","biological_process, extracellular region, molecular_function"
"Chir06Ox-b11510.2",0,0.54173678748632,0.558,0.002,0,NA,NA,NA,NA,NA
"Chir08Ox-b02160.2",0,0.811968195415154,0.5,0.002,0,"AT4G01440",NA,NA,"UMAMIT31","chloroplast, plasma membrane, response to abscisic acid, response to inorganic substance, transmembrane transporter activity"
