"PeakID","Chr","Start","End","Strand","Peak.Score","Focus.Ratio.Region.Size","Annotation","Detailed.Annotation","Distance.to.TSS","Nearest.PromoterID","Chi_ID","Ath_ID","CH_ID"
"Peak50","Chr1",7010771,7011865,"+",0,NA,"intron",NA,1112,"Chir01Ox_b19910.2_T001","Chir01Ox_b19910.2","AT1G20010","Chir01Ox-b19910.2"
"Peak209","Chr3",21359881,21360875,"+",0,NA,"TTS",NA,1802,"Chir03Ox_b32220.2_T001","Chir03Ox_b32220.2","AT2G17770","Chir03Ox-b32220.2"
"Peak235","Chr1",8784146,8785224,"+",0,NA,"exon",NA,229,"Chir01Ox_b24160.2_T001","Chir01Ox_b24160.2","AT1G27020","Chir01Ox-b24160.2"
"Peak248","Chr1",8991714,8992795,"+",0,NA,"promoter-TSS",NA,-291,"Chir01Ox_b24510.2_T002","Chir01Ox_b24510.2","AT1G26730","Chir01Ox-b24510.2"
"Peak252","Chr4",21015391,21016204,"+",0,NA,"Intergenic",NA,-4139,"Chir04Ox_b19210.2_T002","Chir04Ox_b19210.2","AT2G36870","Chir04Ox-b19210.2"
"Peak264","Chr3",10059173,10060420,"+",0,NA,"promoter-TSS",NA,-2565,"Chir03Ox_b25200.2_T001","Chir03Ox_b25200.2","AT3G24770","Chir03Ox-b25200.2"
"Peak276","Chr7",26115938,26116760,"+",0,NA,"intron",NA,954,"Chir07Ox_b35240.2_T001","Chir07Ox_b35240.2","AT4G37800","Chir07Ox-b35240.2"
"Peak277","Chr1",5217057,5217991,"+",0,NA,"promoter-TSS",NA,-255,"Chir01Ox_b14810.2_T001","Chir01Ox_b14810.2","AT1G14700","Chir01Ox-b14810.2"
"Peak299","Chr6",20092209,20093931,"+",0,NA,"promoter-TSS",NA,-1637,"Chir06Ox_b21550.2_T001","Chir06Ox_b21550.2","AT5G17760","Chir06Ox-b21550.2"
"Peak444","Chr8",19151210,19152897,"+",0,NA,"intron",NA,2061,"Chir08Ox_b28190.2_T002","Chir08Ox_b28190.2","AT5G65510","Chir08Ox-b28190.2"
"Peak654","Chr2",18402693,18405317,"+",0,NA,"promoter-TSS",NA,-2843,"Chir02Ox_b16340.2_T001","Chir02Ox_b16340.2","AT1G69850","Chir02Ox-b16340.2"
"Peak723","Chr5",24217721,24220103,"+",0,NA,"TTS",NA,2926,"Chir05Ox_b28860.2_T001","Chir05Ox_b28860.2","AT3G63200","Chir05Ox-b28860.2"
