"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source","rank"
"Chir06Ox-b35150.2","Chir06Ox-b35150.2","AT5G67651","RCO",0.37969248310347,0.178,0.014,0,0,"Yes",NA,"Leaf Complexity","DEGs",1
"Chir06Ox-b35870.2","Chir06Ox-b35870.2","AT5G03150","JKD",0.407246654131783,0.338,0.021,0,0,"Yes","C2H2","asymmetric cell division, DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, protein homodimerization activity, regulation of cell division, regulation of DNA-templated transcription, regulation of epidermal cell differentiation, regulation of meristem growth, root development, sequence-specific DNA binding","GEP_32and DEGs",2
"Chir08Ox-b07590.2","Chir08Ox-b07590.2","AT4G10640","ABS6",0.700892319089423,0.328,0.028,0,0,NA,NA,"biological_process, calmodulin binding, microtubule, nucleus, plasma membrane, protein binding","GEP_32and DEGs",3
"Chir05Ox-b16230.2","Chir05Ox-b16230.2","AT3G50870","HAN",0.520495385017822,0.309,0.032,0,0,"Yes","GATA","cotyledon development, DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, embryo development ending in seed dormancy, flower development, negative regulation of DNA-templated transcription, nucleus, protein binding, protein homodimerization activity, regulation of DNA-templated transcription, regulation of flower development, regulation of meristem structural organization, sequence-specific DNA binding, zinc ion binding","GEP_32and DEGs",4
"Chir01Ox-b42060.2","Chir01Ox-b42060.2","AT1G53180","F12M16.8",0.371289524126017,0.325,0.033,0,0,NA,NA,"hormone-mediated signaling pathway, molecular_function, nucleus, protein localization, regulation of signal transduction","GEP_32and DEGs",5
"Chir01Ox-b35290.2","Chir01Ox-b35290.2","AT1G44830","AtERF014",0.53556099988031,0.352,0.035,0,0,"Yes","ERF","DNA-binding transcription factor activity, jasmonic acid and ethylene-dependent systemic resistance, nucleus, positive regulation of DNA-templated transcription, regulation of innate immune response, regulation of pectin biosynthetic process, salicylic acid mediated signaling pathway, transcription cis-regulatory region binding","DEGs",6
"Chir03Ox-b30470.2","Chir03Ox-b30470.2","AT2G16580","SAUR8",0.536151798848977,0.401,0.047,0,0,NA,NA,"mitochondrion, molecular_function, response to abscisic acid, response to auxin","GEP_32and DEGs",7
"Chir04Ox-b20280.2","Chir04Ox-b20280.2",NA,NA,0.543887288660216,0.294,0.067,1.24491284123407e-294,2.44749864586618e-290,NA,NA,NA,"GEP_32and DEGs",8
"Chir07Ox-b11520.2","Chir07Ox-b11520.2","AT4G15210","ATBETA-AMY",1.25032866107276,0.514,0.071,0,0,NA,NA,"amylopectin maltohydrolase activity, beta-amylase activity, extracellular region, response to herbivore, secretory vesicle, starch catabolic process","DEGs",9
"Chir01Ox-b29650.2","Chir01Ox-b29650.2","AT1G31040","PLATZ3",0.49163611413985,0.476,0.077,0,0,NA,NA,"leaf development, leaf senescence, mitochondrion, nucleus, response to auxin, response to cytokinin","GEP_32and DEGs",10
"Chir05Ox-b20810.2","Chir05Ox-b20810.2","AT3G55240","T26I12.120",0.687361941883756,0.311,0.087,3.86961446846297e-234,7.60766204499819e-230,NA,NA,"chloroplast, developmental process, molecular_function","GEP_32and DEGs",11
"Chir08Ox-b06850.2","Chir08Ox-b06850.2","AT4G11320","CP2",2.78190382574622,0.6,0.088,0,0,NA,NA,"cysteine-type endopeptidase activity, extracellular region, extracellular space, lysosome, peptidase activity, proteolysis, proteolysis involved in protein catabolic process","GEP_32and DEGs",12
"Chir06Ox-b17160.2","Chir06Ox-b17160.2","AT5G22580","AT5G22580.1",1.11253107277627,0.295,0.088,9.03815944256137e-199,1.77690214640756e-194,NA,NA,"chloroplast, cytosol, defense response to other organism, plastid, regulation of hormone levels, tissue development","DEGs",13
"Chir06Ox-b04370.2","Chir06Ox-b04370.2","AT5G44572","PROSCOOP6",0.481486271522739,0.273,0.093,2.58549787310598e-143,5.08308881852636e-139,NA,NA,"defense response to insect, endoplasmic reticulum, extracellular region, molecular_function, response to wounding","GEP_32and DEGs",14
"Chir08Ox-b08610.2","Chir08Ox-b08610.2","AT4G09820","BHLH42",0.39047884988253,0.238,0.096,1.70386374708871e-93,3.3497961267764e-89,"Yes","bHLH","DNA-binding transcription factor activity, jasmonic acid mediated signaling pathway, nucleus, positive regulation of anthocyanin biosynthetic process, protein binding, protein dimerization activity, regulation of flavonoid biosynthetic process, regulation of proanthocyanidin biosynthetic process, seed coat development, seed development, transcription cis-regulatory region binding, trichome differentiation","DEGs",15
"Chir02Ox-b14000.2","Chir02Ox-b14000.2","AT1G67750","AT1G67750.1",1.15420024220515,0.566,0.111,0,0,NA,NA,"extracellular region, meiotic cell cycle process, mitochondrion, pectate lyase activity, pectin catabolic process, response to nutrient levels","DEGs",16
"Chir04Ox-b25400.2","Chir04Ox-b25400.2","AT2G42610","LSH10",1.53833766319912,0.772,0.159,0,0,NA,NA,"cellular developmental process, glucosinolate metabolic process, molecular_function, mRNA transcription, nucleus, oxoacid metabolic process, post-embryonic plant morphogenesis, regionalization, response to light intensity, response to light stimulus, stomatal complex development","DEGs",17
"Chir08Ox-b28310.2","Chir08Ox-b28310.2","AT5G65640","bHLH093",0.399296659023425,0.477,0.161,3.97548120415938e-303,7.81579604737733e-299,"Yes","bHLH","DNA-binding transcription factor activity, gibberellin catabolic process, nucleus, protein dimerization activity, regulation of DNA-templated transcription, regulation of gibberellin biosynthetic process, sequence-specific DNA binding","DEGs",18
"Chir02Ox-b02980.2","Chir02Ox-b02980.2","AT1G62480","AT1G62480.1",2.99382186255408,0.772,0.174,0,0,NA,NA,"cytosol, nucleus","DEGs",19
"Chir03Ox-b32220.2","Chir03Ox-b32220.2","AT2G17770","ATBZIP27",0.393049220022756,0.509,0.184,4.87522700877914e-286,9.58469629925979e-282,"Yes","bZIP","DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, protein self-association, regulation of photoperiodism, flowering","DEGs",20
"Chir06Ox-b00490.2","Chir06Ox-b00490.2","AT5G47370","HAT2",0.637708618584298,0.562,0.204,0,0,"Yes","HD-ZIP","auxin-activated signaling pathway, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, negative regulation of DNA-templated transcription, nucleus, protein binding, response to auxin, sequence-specific DNA binding, shade avoidance, unidimensional cell growth","DEGs",21
"Chir02Ox-b16260.2","Chir02Ox-b16260.2","AT1G69780","ATHB13",0.629089734120158,0.693,0.224,0,0,"Yes","HD-ZIP","cotyledon morphogenesis, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, leaf morphogenesis, nucleus, positive regulation of DNA-templated transcription, primary root development, response to sucrose, sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs",22
"Chir03Ox-b13460.2","Chir03Ox-b13460.2","AT3G13960","AtGRF5",0.579725763658087,0.577,0.229,0,0,"Yes","GRF","ATP binding, DNA-templated transcription, leaf development, nucleus, protein binding, regulation of DNA-templated transcription, response to cold, response to gibberellin","DEGs",23
"Chir01Ox-b33620.2","Chir01Ox-b33620.2","AT1G35720","ANNAT1",1.01827772147446,0.81,0.274,0,0,NA,NA,"apoplast, ATP binding, calcium ion binding, calcium ion transmembrane transport, chloroplast, chloroplast stroma, copper ion binding, cytoplasm, cytosol, membrane, mitochondrion, nucleus, peroxidase activity, phloem sucrose unloading, plant-type cell wall, plant-type vacuole, plasma membrane, plasmodesma, potassium ion export across plasma membrane, primary root development, protein homodimerization activity, response to abscisic acid, response to cold, response to heat, response to osmotic stress, response to oxidative stress, response to salt stress, response to water deprivation, root hair tip, thylakoid, zinc ion binding","DEGs",24
"Chir01Ox-b14810.2","Chir01Ox-b14810.2","AT1G14700","PAP3",1.21088122851608,0.805,0.298,0,0,NA,NA,"acid phosphatase activity, dephosphorylation, ferric iron binding, ferrous iron binding, generation of precursor metabolites and energy, negative regulation of cellular metabolic process, negative regulation of cellular process, nucleus, plant-type vacuole, response to light intensity","DEGs",25
"Chir07Ox-b27160.2","Chir07Ox-b27160.2","AT4G29905",NA,1.41576042960778,0.747,0.319,0,0,NA,NA,"cellular_component, oxoacid metabolic process, response to light intensity","DEGs",26
"Chir01Ox-b04960.2","Chir01Ox-b04960.2","AT1G05710","F3F20.16",0.600596386251667,0.708,0.39,1.0505294049082e-258,2.06534081004953e-254,"Yes","bHLH","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, protein dimerization activity, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding","DEGs",27
"Chir08Ox-b28190.2","Chir08Ox-b28190.2","AT5G65510","PLT7",0.540773962712336,0.732,0.417,3.88788921484738e-262,7.64359019638996e-258,"Yes","AP2","auxin mediated signaling pathway involved in phyllotactic patterning, callus formation, DNA binding, DNA-binding transcription factor activity, lateral root formation, leaf phyllotactic patterning, maintenance of shoot apical meristem identity, nucleus, phyllotactic patterning, protein binding, regulation of DNA-templated transcription","DEGs",28
"Chir01Ox-b21060.2","Chir01Ox-b21060.2","AT1G21310","ATEXT3",1.91804310553752,0.867,0.425,0,0,NA,NA,"anatomical structure maturation, cell differentiation, cellular catabolic process, defense response to bacterium, defense response to fungus, immune system process, plant epidermis development, plant-type cell wall organization, response to inorganic substance, response to oxidative stress, response to salicylic acid, root morphogenesis, structural constituent of cell wall, toxin metabolic process","DEGs",29
"Chir03Ox-b17790.2","Chir03Ox-b17790.2","AT3G18000","NMT1",1.04548535602207,0.759,0.444,0,0,NA,NA,"choline biosynthetic process, cytoplasm, methyltransferase activity, phosphatidylcholine biosynthetic process, phosphoethanolamine N-methyltransferase activity, phosphomethylethanolamine N-methyltransferase activity, pollen development, pollen tube growth, pollen tube guidance, post-embryonic root development, unidimensional cell growth","DEGs",30
