"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir07Ox-b14860.2",2.42722537712746e-105,0.324327718970727,0.143,0.033,4.77192509143259e-101,"AT4G17980","Yes","NAC","anac071","cell division, cellular response to auxin stimulus, DNA binding, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, response to wounding, sequence-specific DNA binding"
"Chir02Ox-b15590.2",0,1.39005720426681,0.378,0.061,0,"AT1G69180","Yes","YABBY","CRC","carpel development, cell fate commitment, DNA-binding transcription factor activity, floral meristem determinacy, leaf development, nectary development, nucleus, polarity specification of adaxial/abaxial axis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, style development, transcription cis-regulatory region binding"
"Chir08Ox-b22680.2",1.18902482072443e-162,0.319351406987423,0.289,0.082,2.33762279754422e-158,"AT5G60200","Yes","Dof","DOF5.3","DNA-binding transcription factor activity, nucleus, phloem or xylem histogenesis, regulation of DNA-templated transcription, root development, root radial pattern formation, transcription cis-regulatory region binding"
"Chir03Ox-b17800.2",2.39699002699301e-200,0.305742838673655,0.38,0.119,4.71248239306827e-196,"AT3G18010","Yes","WOX","AT3G18010.1","DNA-binding transcription factor activity, nucleus, plant organ development"
"Chir02Ox-b14980.2",2.62812117838939e-195,0.324278287778719,0.378,0.121,5.16688623671354e-191,"AT1G68640","Yes","bZIP","TGA8","cis-regulatory region sequence-specific DNA binding, DNA binding, DNA-binding transcription factor activity, DNA-templated transcription, nucleus, protein binding, regulation of DNA-templated transcription, regulation of flower development, transcription cis-regulatory region binding"
"Chir05Ox-b15760.2",0,0.835166110332005,0.56,0.133,0,"AT3G50410","Yes","Dof","DOF3.4","cell wall modification, DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of cell cycle, positive regulation of DNA-templated transcription, protein binding, response to auxin, response to salicylic acid, transcription cis-regulatory region binding, zinc ion binding"
"Chir08Ox-b29440.2",0,1.56098102893428,0.663,0.171,0,"AT5G66940","Yes","Dof","AT5G66940.1","DNA binding, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, transcription cis-regulatory region binding, zinc ion binding"
"Chir01Ox-b19750.2",0,0.973883206569267,0.69,0.197,0,"AT1G19850","Yes","ARF","ARF5","DNA-binding transcription factor activity, embryo development ending in seed dormancy, flower development, identical protein binding, leaf vascular tissue pattern formation, longitudinal axis specification, meristem development, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, root development, transcription cis-regulatory region binding, xylem and phloem pattern formation"
"Chir03Ox-b13250.2",2.55876381818912e-171,0.290730555362995,0.52,0.216,5.03052966655981e-167,"AT3G13810","Yes","C2H2","AtIDD11","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription"
"Chir06Ox-b28190.2",3.59146878086072e-196,0.455328625173812,0.618,0.299,7.06082762317219e-192,"AT5G11060","Yes","TALE","KNAT4","cytoplasm, cytosol, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, regulation of transcription by RNA polymerase II, response to light stimulus, RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"Chir03Ox-b14640.2",2.03269246695483e-118,0.367060468371319,0.587,0.344,3.9962733900332e-114,"AT3G15030","Yes","TCP","TCP4","cell differentiation, cotyledon development, cotyledon morphogenesis, DNA binding, DNA-binding transcription activator activity, DNA-binding transcription factor activity, embryo development ending in seed dormancy, leaf development, leaf morphogenesis, leaf senescence, nucleus, positive regulation of development, heterochronic, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, sequence-specific double-stranded DNA binding"
"Chir05Ox-b26210.2",1.87399535850044e-102,0.309994180250723,0.601,0.349,3.68427487481187e-98,"AT3G60390","Yes","HD-ZIP","HAT3","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, response to hypoxia, sequence-specific DNA binding"
"Chir01Ox-b29910.2",3.44686140741841e-186,0.630154892179037,0.67,0.356,6.77652952698459e-182,"AT1G31320","Yes","LBD","AT1G31320.1","nucleus, phloem or xylem histogenesis, protein binding, transcription cis-regulatory region binding"
"Chir04Ox-b13670.2",7.90210052323186e-129,0.376493736464581,0.659,0.386,1.55355296286738e-124,"AT2G31730","Yes","bHLH","T9H9.27","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, protein dimerization activity, regulation of transcription by RNA polymerase II, response to gibberellin, RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"Chir01Ox-b04960.2",7.80936415796055e-146,0.439742376771444,0.7,0.395,1.53532099345504e-141,"AT1G05710","Yes","bHLH","F3F20.16","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, protein dimerization activity, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"Chir03Ox-b34390.2",5.40867663619785e-54,0.255422792786983,0.673,0.493,1.0633458266765e-49,"AT2G19810","Yes","C3H","AtOZF1","defense response to virus, DNA-binding transcription factor activity, nucleus, plasma membrane, regulation of DNA-templated transcription, response to oxidative stress"
"Chir04Ox-b02760.2",5.81453062570602e-63,0.449907131332073,0.657,0.495,1.1431367210138e-58,"AT2G23340","Yes","ERF","AT2G23340.1","carboxylic acid biosynthetic process, developmental growth, DNA-binding transcription factor activity, flavonoid metabolic process, inorganic ion homeostasis, nucleus, regulation of DNA-templated transcription, response to fungus, response to water deprivation, response to wounding, transcription cis-regulatory region binding"
"Chir07Ox-b35190.2",6.59144725354869e-174,0.6261151452,0.792,0.519,1.29587853004767e-169,"AT4G37750","Yes","AP2","DRG","DNA binding, DNA-binding transcription factor activity, gamete generation, glucosinolate metabolic process, maintenance of shoot apical meristem identity, nucleus, plant organ morphogenesis, positive regulation of auxin biosynthetic process, protein binding, regulation of cell population proliferation, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir08Ox-b02760.2",7.39659789123516e-83,0.270061323759068,0.775,0.58,1.45417114541683e-78,"AT4G02590","Yes","bHLH","UNE12","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, double fertilization forming a zygote and endosperm, nucleus, protein binding, protein dimerization activity, regulation of defense response, regulation of DNA-templated transcription, regulation of gene expression, regulation of salicylic acid mediated signaling pathway, regulation of transcription by RNA polymerase II, response to abscisic acid, response to osmotic stress, response to salt, RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"Chir04Ox-b19860.2",1.39800740324916e-189,0.552870455938463,0.889,0.649,2.74848255478786e-185,"AT2G37630","Yes","MYB","ATPHAN","asymmetric cell division, condensed chromosome, defense response to bacterium, defense response to fungus, DNA binding, DNA-binding transcription factor activity, identical protein binding, leaf formation, leaf morphogenesis, negative regulation of DNA-templated transcription, nucleolus, nucleus, polarity specification of adaxial/abaxial axis, protein binding, protein homodimerization activity, regulation of innate immune response, response to virus, transcription cis-regulatory region binding"
"Chir03Ox-b16680.2",8.67650929538901e-41,0.250808303009319,0.813,0.698,1.70580172747348e-36,"AT3G16870","Yes","GATA","AT3G16870.1","cell differentiation, DNA-binding transcription factor activity, nucleus, plant-type secondary cell wall biogenesis, regulation of DNA-templated transcription, transcription cis-regulatory region binding, zinc ion binding"
"Chir07Ox-b12750.2",2.37116936433528e-98,0.408414271939464,0.927,0.8,4.66171897028316e-94,"AT4G16141","Yes","GATA","AtGATA17L","cell differentiation, cellular component biogenesis, meiotic cell cycle process, nucleus, regulation of DNA-templated transcription, sequence-specific DNA binding, zinc ion binding"
"Chir01Ox-b14440.2",1.14636952045158e-86,0.311653877519706,0.938,0.803,2.2537624772078e-82,"AT1G14410","Yes","Whirly","ATWHY1","chloroplast, chloroplast nucleoid, defense response, DNA binding, DNA repair, extracellular region, mRNA binding, negative regulation of telomere maintenance via telomerase, regulation of DNA-templated transcription, single-stranded DNA binding, telomeric DNA binding"
"Chir08Ox-b28090.2",4.20907652192228e-180,0.512550999783699,0.964,0.814,8.27504444209921e-176,"AT5G65410","Yes","ZF-HD","ATHB25","DNA-binding transcription factor activity, nucleus, protein binding, protein homodimerization activity, regulation of DNA-templated transcription, regulation of gibberellin biosynthetic process, seed maturation, transcription cis-regulatory region binding"
"Chir06Ox-b35210.2",2.62091761599314e-72,0.295160463173949,0.974,0.917,5.15272403304252e-68,"AT5G03740","Yes","C2H2","HDT3","histone deacetylase activity, negative regulation of DNA-templated transcription, nucleolus, nucleus, plasma membrane, protein binding, response to abscisic acid, response to cold, response to salt stress, response to water deprivation, seed dormancy process, transcription cis-regulatory region binding"
