"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir03Ox-b11920.2",0,0.407095370811557,0.158,0,0,"AT3G12730","Yes","G2-like","MBK21.11","DNA-binding transcription factor activity, mitochondrion, nucleus, regulation of DNA-templated transcription"
"Chir03Ox-b03290.2",0,0.372565368374475,0.158,0.001,0,"AT3G04030","Yes","G2-like","MYR2","DNA-binding transcription factor activity, mitochondrion, regulation of DNA-templated transcription"
"Chir03Ox-b29450.2",0,1.46441682550577,0.301,0.001,0,"AT2G15310",NA,NA,"ATARFB1A","cytoplasm, Golgi apparatus, GTP binding, GTPase activity, intracellular protein transport, N-terminal protein myristoylation, vesicle-mediated transport"
"Chir03Ox-b30060.2",0,0.354851567508858,0.199,0.001,0,"AT2G16050",NA,NA,"F7H1.7","biological_process, cellular_component, molecular_function"
"Chir03Ox-b30840.2",6.9896792505594e-185,0.640936129292023,0.103,0.001,1.37417094065998e-180,"AT2G16740",NA,NA,"UBC29","nucleus, ubiquitin conjugating enzyme activity, ubiquitin-dependent protein catabolic process, ubiquitin-protein transferase activity"
"Chir04Ox-b12290.2",0,1.19900706886803,0.158,0.001,0,NA,NA,NA,NA,NA
"Chir04Ox-b21480.2",0,0.731062281927105,0.205,0.001,0,"AT2G38920",NA,NA,"AT2G38920.1","cellular catabolic process, fatty acid metabolic process, nucleus"
"Chir06Ox-b06140.2",0,1.15218407937793,0.247,0.001,0,"AT5G43380",NA,NA,"TOPP6","aging, cytoplasm, mitochondrion, myosin phosphatase activity, nucleus, protein dephosphorylation, protein serine/threonine phosphatase activity, response to light stimulus"
"Chir06Ox-b12610.2",0,1.02373671028628,0.281,0.001,0,"AT5G27690",NA,NA,"AT5G27690.1","cellular response to hormone stimulus, nucleus, oxoacid metabolic process, protein binding"
"Chir06Ox-b20970.2",0,0.591746142027451,0.13,0.001,0,"AT5G18240","Yes","G2-like","MYR1","DNA-binding transcription factor activity, mitochondrion, protein binding, regulation of DNA-templated transcription, response to light stimulus"
"Chir06Ox-b21880.2",0,1.03465968945437,0.288,0.001,0,"AT5G17450",NA,NA,"AtHMP45","cadmium ion homeostasis, detoxification of cadmium ion, metal ion binding, metal ion transport, nucleus"
"Chir06Ox-b32110.2",0,0.48966959249079,0.226,0.001,0,"AT5G06850",NA,NA,"MCTP1","endoplasmic reticulum, long-day photoperiodism, flowering, nucleus, plasmodesma, plasmodesmatal endoplasmic reticulum, positive regulation of flower development, protein binding, vegetative to reproductive phase transition of meristem"
"Chir06Ox-b36350.2",0,1.2838740287865,0.397,0.001,0,"AT5G02600",NA,NA,"NPCC6","chloroplast, cytoplasm, flower development, metal ion binding, nucleus, phloem transport, root morphogenesis, sodium ion homeostasis"
"Chir07Ox-b16700.2",0,1.23071471653872,0.178,0.001,0,"AT4G19840",NA,NA,"ATPP2-A1","carbohydrate binding, proteoglycan binding, response to insect"
"Chir08Ox-b11500.2",0,0.915547126753983,0.226,0.001,0,"AT5G64240",NA,NA,"AtMC3","cysteine-type endopeptidase activity, nucleus"
"Chir08Ox-b19560.2",0,1.19986998748138,0.219,0.001,0,"AT5G57350",NA,NA,"AHA3","ATP hydrolysis activity, chloroplast, ion transmembrane transport, magnesium ion binding, P-type ion transporter activity, P-type proton-exporting transporter activity, plasma membrane, plasmodesma, plastid, proton export across plasma membrane, proton transmembrane transport, regulation of intracellular pH"
"Chir01Ox-b14840.2",8.85937204596357e-172,0.263033836567358,0.123,0.002,1.74175254423644e-167,"AT1G14730",NA,NA,"AT1G14730.1","defense response to bacterium, defense response to other organism, mitochondrion, oxidoreductase activity"
"Chir04Ox-b18890.2",3.78974771152872e-211,1.35945356483448,0.144,0.002,7.45064400086546e-207,"AT2G36650",NA,NA,"F13K3.5","alpha-amino acid metabolic process, cellular response to hormone stimulus, cellular response to oxygen-containing compound, chloroplast organization, chloroplast outer membrane, defense response to other organism, molecular_function, nucleus, regulation of defense response, response to chitin, response to jasmonic acid, response to wounding, signal transduction"
"Chir04Ox-b20360.2",1.10754283351536e-145,0.397712586665715,0.116,0.002,2.17742921069119e-141,"AT2G37925",NA,NA,"COPT4","cellular copper ion homeostasis, copper ion transmembrane transport, copper ion transmembrane transporter activity, high-affinity copper ion transmembrane transporter activity, plasma membrane"
"Chir04Ox-b29550.2",0,2.26751604064948,0.342,0.002,0,"AT2G46630",NA,NA,"T3A4.1","molecular_function, nucleus, tissue development"
"Chir05Ox-b02240.2",0,0.700186453391269,0.342,0.002,0,"AT2G03500","Yes","G2-like","HHO4","DNA-binding transcription factor activity, gibberellic acid mediated signaling pathway, histone H3-K36 methylation, negative regulation of long-day photoperiodism, flowering, negative regulation of nucleic acid-templated transcription, nucleus, protein binding, regulation of DNA-templated transcription, response to temperature stimulus"
"Chir05Ox-b19520.2",8.34613416998335e-112,0.669780954085855,0.103,0.002,1.64084997781873e-107,"AT3G54040",NA,NA,"F5K20.340","carbohydrate biosynthetic process, chloroplast, defense response to bacterium, molecular_function, organic acid biosynthetic process, response to ethylene, response to hypoxia, root morphogenesis, tissue development"
"Chir05Ox-b24570.2",0,0.381881130322463,0.281,0.002,0,"AT3G58720",NA,NA,"AT3G58720.2","mitochondrion, nucleus, ubiquitin protein ligase activity, ubiquitin-dependent protein catabolic process"
"Chir06Ox-b03030.2",7.34376102236186e-129,0.338572315816326,0.11,0.002,1.44378341699634e-124,"AT5G45320",NA,NA,"K9E15.10","biological_process, chloroplast, molecular_function"
"Chir07Ox-b01380.2",0,0.738846334088618,0.185,0.002,0,"AT5G40980",NA,NA,"MEE6.5","biological_process, membrane, molecular_function"
"Chir07Ox-b18790.2",0,0.299796251964763,0.219,0.002,0,"AT4G22160",NA,NA,"T10I14.8","molecular_function, nucleus, tissue development"
"Chir08Ox-b01400.2",0,1.10523413728459,0.336,0.002,0,"AT4G00880",NA,NA,"SAUR31","mitochondrion, molecular_function, organelle organization, response to auxin"
"Chir08Ox-b16630.2",0,1.32872155344014,0.363,0.002,0,"AT5G54660",NA,NA,"MRB17.16","biological_process, chloroplast, molecular_function"
"Chir02Ox-b16470.2",0,1.11350370130452,0.295,0.003,0,"AT1G69970",NA,NA,"AT1G69970.2","apoplast, cell-cell signaling involved in cell fate commitment, maintenance of root meristem identity, mitochondrion, phloem development, receptor serine/threonine kinase binding, regulation of cell differentiation"
"Chir03Ox-b21760.2",0,1.60598103867079,0.384,0.003,0,"AT3G21600",NA,NA,"MIL23.17","molecular_function, nucleus, plasma membrane, response to inorganic substance, secondary metabolic process"
"Chir06Ox-b24890.2",2.72406541526161e-206,0.561274064524646,0.151,0.003,5.35551260640432e-202,"AT5G14510",NA,NA,"VPNB1","cytoplasm, molecular_function, nucleus, phloem or xylem histogenesis"
"Chir06Ox-b36800.2",0,0.882781905477297,0.219,0.003,0,"AT5G02140",NA,NA,"AT5G02140.1","defense response, extracellular region, protein binding"
"Chir07Ox-b12590.2",0,1.89984397863485,0.342,0.003,0,NA,NA,NA,NA,NA
"Chir07Ox-b26460.2",0,0.440990282344744,0.233,0.003,0,"AT4G29230","Yes","NAC","anac075","cis-regulatory region sequence-specific DNA binding, DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, regulation of DNA-templated transcription, regulation of secondary cell wall biogenesis, regulation of vegetative phase change, tracheary element differentiation, transcription cis-regulatory region binding"
"Chir08Ox-b11980.2",2.37062509424798e-127,0.282620352179096,0.123,0.003,4.66064893529153e-123,"AT5G50720",NA,NA,"ATHVA22E","chloroplast, hyperosmotic salinity response, molecular_function, response to abscisic acid, response to cold, response to water deprivation"
"Chir02Ox-b14140.2",2.90903213074968e-101,1.69221984314312,0.116,0.004,5.71915716905387e-97,"AT1G67870",NA,NA,"AT1G67870.1","biological_process, extracellular region"
"Chir02Ox-b26600.2",0,2.01312430396031,0.452,0.004,0,"AT1G79430","Yes","G2-like","WDY","DNA-binding transcription factor activity, mitochondrion, nucleus, phloem development, positive regulation of DNA-templated transcription, protein binding, regulation of DNA-templated transcription, xylem development"
"Chir04Ox-b12270.2",1.05089711091363e-208,1.91931966595622,0.178,0.004,2.0660637200562e-204,"AT2G30540",NA,NA,"ROXY7","cytoplasm, glutathione oxidoreductase activity, nucleus, protein binding"
"Chir07Ox-b27900.2",6.37286200329169e-194,0.596560183058844,0.171,0.004,1.25290466984715e-189,NA,NA,NA,NA,NA
"Chir08Ox-b05320.2",0,3.46400075937297,0.301,0.004,0,NA,NA,NA,NA,NA
"Chir08Ox-b15930.2",9.3229650915367e-125,0.328253834675273,0.13,0.004,1.83289493699612e-120,NA,NA,NA,NA,NA
"Chir08Ox-b27280.2",1.21321709824965e-272,0.43831788479513,0.205,0.004,2.3851848151588e-268,"AT5G09830",NA,NA,"BolA2","2 iron, 2 sulfur cluster binding, cellular iron ion homeostasis, cytoplasm, cytosol, iron-sulfur cluster binding, nucleus, plasma membrane, protein binding, protein maturation by iron-sulfur cluster transfer, response to iron ion, response to oxidative stress"
"Chir01Ox-b11000.2",2.46812926706491e-75,0.257607299195383,0.123,0.005,4.85234213904961e-71,NA,NA,NA,NA,NA
"Chir01Ox-b22450.2",7.10227611932372e-186,0.656712464330143,0.192,0.005,1.39630748505904e-181,"AT1G22710",NA,NA,"SUT1","cytoplasm, membrane, nucleus, phloem sucrose loading, plasma membrane, sucrose metabolic process, sucrose transmembrane transporter activity, sucrose transport, sucrose:proton symporter activity, vacuole"
"Chir02Ox-b17030.2",0,1.00165405272064,0.336,0.005,0,"AT1G70505",NA,NA,NA,"chloroplast, membrane, molecular_function, tissue development"
"Chir05Ox-b08860.2",3.33377214289551e-156,0.578946652721472,0.178,0.005,6.55419603293258e-152,"AT3G44220",NA,NA,"AT3G44220.1","cytoplasm, defense response to other organism, plasmodesma"
"Chir06Ox-b17560.2",1.05462246188947e-296,0.672525543400014,0.24,0.005,2.0733877600747e-292,NA,NA,NA,NA,NA
"Chir08Ox-b25450.2",1.2742694751808e-135,0.424509863076837,0.158,0.005,2.50521378820545e-131,"AT5G62940","Yes","Dof","DOF5.6","DNA-binding transcription factor activity, nucleus, phloem or xylem histogenesis, positive regulation of DNA-templated transcription, procambium histogenesis, regulation of DNA-templated transcription, root radial pattern formation, transcription cis-regulatory region binding"
"Chir01Ox-b09860.2",0,1.07402454433237,0.295,0.006,0,"AT1G10155",NA,NA,"ATPP2-A10","cellular_component, molecular_function, regulation of post-embryonic development, response to light stimulus"
"Chir01Ox-b10090.2",6.09086440636871e-185,0.43780018547941,0.212,0.006,1.19746394229209e-180,"AT1G10380",NA,NA,"AT1G10380.1","extracellular region, plant-type cell wall organization or biogenesis, polysaccharide binding, response to light stimulus"
"Chir01Ox-b26630.2",1.34682996310349e-65,0.28080036630894,0.123,0.006,2.64786770746145e-61,"AT1G27920",NA,NA,"MAP65-8","chloroplast, cytoplasm, microtubule, microtubule binding, microtubule cytoskeleton organization, phragmoplast, spindle"
"Chir03Ox-b24750.2",7.93651479708579e-249,0.461565016335248,0.247,0.006,1.56031880910707e-244,NA,NA,NA,NA,NA
"Chir06Ox-b33210.2",7.54069578866723e-301,0.551268620654894,0.26,0.006,1.48250079205198e-296,"AT5G05790","Yes","MYB","AT5G05790.1","DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir07Ox-b01400.2",1.00282831524666e-233,0.381270932258924,0.24,0.006,1.97156046777494e-229,"AT5G40960",NA,NA,"MEE6.3","biological_process, membrane, molecular_function"
"Chir07Ox-b19470.2",5.93155363075804e-111,0.288324766989753,0.158,0.006,1.16614344380703e-106,"AT4G22758",NA,NA,NA,"molecular_function, nucleus, shoot system development"
"Chir08Ox-b26280.2",6.99655451813119e-265,0.447752598881005,0.247,0.006,1.37552261826459e-260,"AT5G63710",NA,NA,"MBK5.19","chloroplast, glucosinolate metabolic process, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, response to inorganic substance, secondary metabolic process, signal transduction, tissue development"
"Chir02Ox-b26450.2",3.60360000168377e-243,0.447697621912299,0.26,0.007,7.08467760331029e-239,"AT1G79270",NA,NA,"ECT8","cytoplasm, mRNA binding, mRNA destabilization, nucleus, RNA binding"
"Chir03Ox-b14400.2",4.86668378735772e-49,0.262605520574822,0.11,0.007,9.56790032594527e-45,"AT3G14780",NA,NA,"AT3G14780.1","biological_process, glucosyltransferase activity, nucleus, plasma membrane"
"Chir07Ox-b12560.2",1.04610827522221e-60,0.334830215845361,0.123,0.007,2.05664886908687e-56,"AT4G15960",NA,NA,"DL4016C","mitochondrion, molecular_function, response to light intensity"
"Chir02Ox-b01840.2",2.03211834042775e-61,0.564772324611281,0.13,0.008,3.99514465728097e-57,"AT1G63300",NA,NA,"F9N12.8","extracellular region, lipid biosynthetic process, molecular_function, monocarboxylic acid biosynthetic process, negative regulation of metabolic process, secondary metabolic process, terpenoid metabolic process"
"Chir02Ox-b11600.2",7.06439808301564e-62,0.341412601579205,0.137,0.008,1.38886066312087e-57,"AT1G65910","Yes","NAC","anac028","DNA binding, DNA-binding transcription factor activity, nucleus, phloem development, regulation of DNA-templated transcription"
"Chir03Ox-b00160.2",5.94918629398759e-207,0.845158656328016,0.247,0.008,1.16961002539796e-202,NA,NA,NA,NA,NA
"Chir04Ox-b22430.2",0,1.07959452146148,0.404,0.008,0,"AT2G39830",NA,NA,"AT2G39830.3","chloroplast, peptidase activity, phloem development, protein binding, regulation of DNA endoreduplication, root development, ubiquitin binding"
"Chir01Ox-b22800.2",7.53639864429363e-268,0.944196363666595,0.295,0.009,1.48165597346813e-263,"AT1G23040",NA,NA,"F19G10.19","aging, cellular catabolic process, defense response to fungus, membrane, molecular_function, response to osmotic stress, response to water, small molecule metabolic process"
"Chir04Ox-b20340.2",3.50318839277617e-183,0.504820099768852,0.253,0.009,6.88726838019794e-179,"AT2G37900",NA,NA,"T8P21.19","dipeptide transmembrane transporter activity, tripeptide transmembrane transporter activity"
"Chir05Ox-b28660.2",2.61803604154777e-71,0.403579299038781,0.151,0.009,5.14705885768291e-67,"AT3G63050",NA,NA,"T20O10.150","biological_process, cellular_component, molecular_function"
"Chir06Ox-b20190.2",5.01180159479911e-73,2.95751554008031,0.158,0.009,9.85320193537504e-69,"AT5G18970",NA,NA,"F17K4.4","biological_process, cellular_component, molecular_function"
"Chir01Ox-b06200.2",1.1174998422141e-96,0.473650531802098,0.185,0.01,2.19700468979291e-92,"AT1G06830",NA,NA,"CEPD1","cellular response to nitrogen starvation, cytoplasm, glutathione oxidoreductase activity, nucleus, protein binding"
"Chir01Ox-b44170.2",1.09281551967849e-29,0.26654824088646,0.103,0.01,2.14847531168792e-25,"AT1G55760",NA,NA,"SIBP1","chloroplast, molecular_function, nucleus, response to salt stress"
"Chir02Ox-b08040.2",2.18429524442187e-289,0.582417394297183,0.336,0.01,4.2943244505334e-285,"AT3G43270",NA,NA,"PMEI-PME32","alpha-amino acid metabolic process, cell wall modification, defense response to other organism, pectin catabolic process, pectinesterase activity, pectinesterase inhibitor activity, response to jasmonic acid, response to wounding, secondary metabolic process"
"Chir08Ox-b18660.2",1.44511972264517e-109,0.612477980026167,0.205,0.01,2.84110537472041e-105,"AT5G56540",NA,NA,"ATAGP14","membrane, plasma membrane, protein binding, root hair elongation"
"Chir02Ox-b17230.2",6.18705040595084e-99,0.537717394015521,0.199,0.011,1.21637410980994e-94,NA,NA,NA,NA,NA
"Chir03Ox-b24310.2",6.348137583288e-27,0.300315632399406,0.11,0.012,1.24804384887442e-22,"AT3G24110",NA,NA,"MUJ8.1","biological_process, calcium ion binding, nucleus"
"Chir07Ox-b21080.2",5.58620239799916e-108,1.15329437382016,0.219,0.012,1.09824739144663e-103,NA,NA,NA,NA,NA
"Chir03Ox-b21630.2",1.86735981550193e-132,1.01449155552094,0.253,0.013,3.6712293972768e-128,"AT3G21510",NA,NA,"AHP1","cytokinin-activated signaling pathway, cytoplasm, embryo sac development, histidine phosphotransfer kinase activity, multidimensional cell growth, nucleus, phosphorelay signal transduction system, phosphorylation, positive regulation of cell division, protein binding, protein histidine kinase binding, regulation of cytokinin-activated signaling pathway, signal transduction"
"Chir04Ox-b10460.2",1.85553137447163e-122,0.396837553750621,0.24,0.013,3.64797468221123e-118,NA,NA,NA,NA,NA
"Chir07Ox-b03530.2",1.95075290447985e-106,0.821820875740639,0.226,0.013,3.83518021020738e-102,"AT5G39340",NA,NA,"AHP3","antipodal cell differentiation, cytokinin-activated signaling pathway, cytoplasm, embryo sac egg cell differentiation, histidine phosphotransfer kinase activity, nucleus, phosphorelay signal transduction system, phosphorylation, plastid, protein binding, protein histidine kinase binding, regulation of cytokinin-activated signaling pathway, signal transduction"
"Chir07Ox-b07090.2",3.30306188200892e-50,0.336262976104949,0.158,0.013,6.49381966002955e-46,"AT5G35670",NA,NA,"AT5G35670.1","biological_process, nucleus"
"Chir02Ox-b24930.2",1.46203701198782e-113,1.27844682242063,0.24,0.014,2.87436476556806e-109,"AT1G77885",NA,NA,NA,"biological_process, cellular_component, molecular_function"
"Chir03Ox-b10170.2",3.35669059530407e-136,0.814880753121148,0.267,0.014,6.59925371036779e-132,"AT3G10870",NA,NA,"MES17","cellular_component, hydrolase activity, acting on ester bonds, indoleacetic acid conjugate metabolic process, jasmonic acid metabolic process, methyl indole-3-acetate esterase activity, methyl jasmonate esterase activity, methyl salicylate esterase activity, protein binding, salicylic acid metabolic process, shoot system development"
"Chir03Ox-b14550.2",1.17767968321793e-106,0.421697478683304,0.233,0.014,2.31531825720644e-102,"AT3G14940",NA,NA,"ATPPC3","cytoplasm, cytosol, leaf development, phosphoenolpyruvate carboxylase activity, tricarboxylic acid cycle"
"Chir03Ox-b26790.2",2.57228443480704e-73,0.38657774172703,0.192,0.014,5.05711119883063e-69,"AT2G04795",NA,NA,NA,"molecular_function, response to oxidative stress"
"Chir04Ox-b16290.2",3.58800720934406e-65,0.448960846522607,0.185,0.014,7.05402217357042e-61,"AT2G34140","Yes","Dof","AT2G34140.1","DNA-binding transcription factor activity, negative regulation of DNA-templated transcription, negative regulation of stem cell population maintenance, nucleus, transcription cis-regulatory region binding"
"Chir05Ox-b27100.2",4.9789390519002e-44,0.348942022860931,0.151,0.014,9.7885941760358e-40,"AT3G61380",NA,NA,"TRM14","biological_process, molecular_function, nucleus"
"Chir06Ox-b04260.2",1.49607807166421e-159,0.538649548441591,0.288,0.014,2.94128948889184e-155,NA,NA,NA,NA,NA
"Chir06Ox-b29080.2",1.44476088449671e-29,0.794852819342356,0.13,0.015,2.84039989892053e-25,"AT5G10170",NA,NA,"ATMIPS3","cytoplasm, embryo development ending in seed dormancy, inositol biosynthetic process, inositol-3-phosphate synthase activity"
"Chir08Ox-b16070.2",1.52603877834278e-45,0.293258166655701,0.164,0.016,3.00019223822191e-41,"AT5G54130",NA,NA,NA,"3'-5'-exoribonuclease activity, calcium ion binding, cell differentiation, developmental growth, regulation of developmental process, regulation of growth"
"Chir02Ox-b15850.2",5.43462176175474e-88,1.82933322781174,0.233,0.017,1.06844663836098e-83,"AT1G69410",NA,NA,"ATELF5A-3","cytoplasm, cytosol, mitochondrion, positive regulation of translational elongation, positive regulation of translational termination, ribosome binding, RNA binding, translation elongation factor activity"
"Chir07Ox-b32000.2",3.09038430046245e-90,0.581264437207156,0.24,0.017,6.07569553470917e-86,"AT4G34560",NA,NA,"T4L20.140","cellular carbohydrate metabolic process, chloroplast, molecular_function"
"Chir06Ox-b34070.2",4.63833846664068e-36,0.894884667845308,0.164,0.019,9.11897342541558e-32,"AT5G04890",NA,NA,"RTM2","molecular_function, plasma membrane, response to virus, transport of virus in host, tissue to tissue"
"Chir08Ox-b26390.2",9.52696040460087e-50,0.897035532761315,0.192,0.019,1.87300041554453e-45,"AT5G63850",NA,NA,"AAP4","acidic amino acid transmembrane transporter activity, amino acid transmembrane transport, amino acid transmembrane transporter activity, amino acid transport, membrane, neutral amino acid transmembrane transporter activity, plasma membrane, primary active transmembrane transporter activity, transmembrane transport"
"Chir01Ox-b07120.2",7.30141767170184e-174,0.745364660145373,0.363,0.02,1.43545871425658e-169,"AT1G07640","Yes","Dof","OBP2","DNA-binding transcription factor activity, nucleus, regionalization, regulation of DNA-templated transcription, regulation of glucosinolate biosynthetic process, regulation of root development, response to insect, response to jasmonic acid, response to wounding, root radial pattern formation, transcription cis-regulatory region binding"
