GeneID,Cardamine,log2FC_Ox_WT_leaf_protoplast,Ox.leaf.vs.protoplast_q_value,log2FC_Col0_leaf_protoplast,Col0.leaf.vs.protoplast_q_value
AT1G01010,Chir01Ox_b01310.2,NA,NA,2.604253017,5.37e-05
AT1G01060,Chir01Ox_b01240.2,NA,NA,4.559105039,5.01e-19
AT1G01140,Chir01Ox_b01150.2,1.84477105,2.61e-08,1.92411957,0.001694505
AT1G01340,Chir01Ox_b00940.2,1.30978772,0.000112946,3.728625604,9.31e-12
AT1G01480,Chir01Ox_b00770.2,1.34129516,0.001142376,1.587670325,0.001598755
AT1G01550,Chir01Ox_b00710.2,NA,NA,1.244755821,0.021710129
AT1G01560,Chir01Ox_b00700.2,NA,NA,3.286345561,0.005411423
AT1G01650,Chir01Ox_b00600.2,1.785651871,3.21e-08,1.195886085,0.045847852
AT1G01670,Chir01Ox_b00580.2,1.331341732,0.000336018,NA,NA
AT1G01680,Chir01Ox_b00570.2,NA,NA,1.961419835,0.000188942
AT1G01720,Chir01Ox_b00490.2,5.543994372,4.02e-48,5.08489869,4.71e-09
AT1G01730,Chir01Ox_b00470.2,2.60221629,2.81e-08,NA,NA
AT1G01750,Chir01Ox_b00450.2,1.409254663,0.006455625,NA,NA
AT1G01950,Chir01Ox_b00280.2,NA,NA,1.968730102,4.06e-05
AT1G02000,Chir01Ox_b00230.2,1.392864545,8.45e-05,NA,NA
AT1G02220,Chir01Ox_b01330.2,1.467336862,0.046621973,NA,NA
AT1G02250,Chir01Ox_b01340.2,3.830197805,2.57e-09,NA,NA
AT1G02270,Chir01Ox_b01360.2,NA,NA,1.602557855,0.001397078
AT1G02400,Chir01Ox_b01510.2,2.836628398,5.98e-08,NA,NA
AT1G02405,Chir01Ox_b01520.2,4.143610588,7.13e-09,NA,NA
AT1G02660,Chir01Ox_b01730.2,1.263878716,0.015251458,NA,NA
AT1G02700,Chir01Ox_b01780.2,1.682920853,3.02e-06,NA,NA
AT1G02800,Chir01Ox_b01880.2,NA,NA,2.152846569,0.000222709
AT1G02880,Chir01Ox_b02000.2,NA,NA,1.148299158,0.042190421
AT1G02920,Chir01Ox_b02050.2,1.404632393,0.000183304,NA,NA
AT1G02970,Chir01Ox_b02090.2,NA,NA,1.750300205,0.003305767
AT1G03055,Chir01Ox_b02190.2,NA,NA,2.042400635,2.77e-05
AT1G03220,Chir01Ox_b02120.2,1.574356988,8.55e-05,NA,NA
AT1G03270,Chir01Ox_b02360.2,1.538878983,1.47e-06,NA,NA
AT1G03370,Chir01Ox_b02520.2,NA,NA,2.112339083,4.22e-05
AT1G03470,Chir01Ox_b02600.2,NA,NA,1.083157141,0.031960916
AT1G03740,Chir01Ox_b02840.2,NA,NA,1.291303424,0.04564701
AT1G03780,Chir01Ox_b02880.2,NA,NA,1.407629035,0.003437531
AT1G03940,Chir01Ox_b03040.2,NA,NA,2.513273657,2.06e-07
AT1G04000,Chir01Ox_b03110.2,1.405459504,0.000167566,1.797322726,0.002958058
AT1G04020,Chir01Ox_b03130.2,NA,NA,1.861942486,4.22e-05
AT1G04090,Chir01Ox_b03190.2,NA,NA,1.818861386,0.000119399
AT1G04160,Chir01Ox_b03250.2,1.528958052,2.46e-08,2.052137063,2.71e-08
AT1G04200,Chir01Ox_b03280.2,NA,NA,1.647234666,0.000767294
AT1G04210,Chir01Ox_b03290.2,NA,NA,1.537089253,0.000992433
AT1G04520,Chir01Ox_b03600.2,NA,NA,1.129276267,0.039489944
AT1G04530,Chir01Ox_b03610.2,NA,NA,1.112190228,0.025613697
AT1G04730,Chir01Ox_b03860.2,NA,NA,1.835651755,6.45e-06
AT1G04770,Chir01Ox_b03890.2,1.017855139,0.037256252,3.688062703,6.84e-07
AT1G04980,Chir01Ox_b04140.2,NA,NA,1.4510663,0.009502193
AT1G05100,Chir01Ox_b04310.2,2.667332219,3.18e-05,5.01895917,2.48e-14
AT1G05510,Chir01Ox_b04750.2,1.395646995,0.000508451,NA,NA
AT1G05560,Chir01Ox_b04790.2,4.565620429,1.15e-21,NA,NA
AT1G05630,Chir01Ox_b04890.2,NA,NA,1.504415323,0.005651652
AT1G05670,Chir01Ox_b04920.2,NA,NA,1.864537631,0.000744221
AT1G05680,Chir01Ox_b04930.2,2.392535154,1.56e-06,3.162287777,1.17e-10
AT1G05710,Chir01Ox_b04960.2,NA,NA,1.893384068,0.000550567
AT1G05820,Chir01Ox_b05080.2,NA,NA,1.149247906,0.034375217
AT1G05894,Chir01Ox_b05160.2,1.926909507,1.85e-05,1.295874191,0.000343273
AT1G05910,Chir01Ox_b05210.2,NA,NA,1.111198395,0.018764916
AT1G05950,Chir01Ox_b05240.2,NA,NA,1.648053741,0.001679035
AT1G06000,Chir01Ox_b05280.2,NA,NA,2.36831565,5.91e-05
AT1G06135,Chir04Ox_b13210.2,2.214531055,0.002648892,NA,NA
AT1G06140,Chir01Ox_b05420.2,1.259588369,0.03863167,NA,NA
AT1G06410,Chir01Ox_b05760.2,NA,NA,1.475181869,0.00357041
AT1G06420,Chir01Ox_b05770.2,1.460438943,0.001030129,NA,NA
AT1G06550,Chir01Ox_b05910.2,NA,NA,1.014483087,0.038415571
AT1G06590,Chir01Ox_b05940.2,NA,NA,1.015597956,0.045492203
AT1G06620,Chir01Ox_b05950.2,1.219134793,0.0002303,NA,NA
AT1G06750,Chir01Ox_b06130.2,NA,NA,1.459993274,5.8e-06
AT1G06870,Chir01Ox_b06230.2,NA,NA,1.136754361,0.032593691
AT1G07000,Chir01Ox_b06370.2,NA,NA,3.949725071,1.14e-07
AT1G07135,Chir01Ox_b06520.2,1.851204035,0.000204241,NA,NA
AT1G07150,Chir01Ox_b06540.2,2.855526877,1.05e-08,2.48132051,0.009125185
AT1G07160,Chir01Ox_b06550.2,3.952423646,7.52e-17,4.388967322,2.26e-16
AT1G07180,Chir01Ox_b06590.2,NA,NA,2.132036352,0.004862654
AT1G07220,Chir01Ox_b06620.2,NA,NA,1.221650307,0.013449491
AT1G07350,Chir01Ox_b06750.2,2.13146348,1.34e-09,1.269423643,0.005597739
AT1G07370,Chir01Ox_b06770.2,NA,NA,1.734794894,0.000762264
AT1G07400,Chir01Ox_b06800.2,1.067246903,0.002014459,6.028664559,4.11e-26
AT1G07510,Chir01Ox_b06980.2,NA,NA,1.142780151,0.016911459
AT1G07520,Chir01Ox_b06990.2,NA,NA,1.55144783,0.003071023
AT1G07530,Chir01Ox_b07000.2,1.198405312,0.000401449,NA,NA
AT1G07570,Chir01Ox_b07060.2,1.090472002,0.000681775,NA,NA
AT1G07590,Chir01Ox_b07070.2,1.351682507,0.002469879,2.938737483,2.91e-06
AT1G07600,Chir01Ox_b07080.2,1.606976644,0.012192216,NA,NA
AT1G07670,Chir01Ox_b07320.2,1.230660294,0.000156029,2.020105386,2.77e-05
AT1G07850,Chir01Ox_b07360.2,1.462286968,1.85e-05,1.056042455,1.79e-05
AT1G07860,Chir01Ox_b07370.2,3.967239054,2.33e-11,NA,NA
AT1G07870,Chir01Ox_b07380.2,1.514760433,1.9e-05,2.476062775,4.52e-06
AT1G07890,Chir01Ox_b07400.2,NA,NA,1.673720985,0.000559555
AT1G08050,Chir01Ox_b07550.2,NA,NA,1.459803311,0.031958104
AT1G08130,Chir01Ox_b07640.2,NA,NA,1.584811212,0.000347887
AT1G08260,Chir01Ox_b07800.2,NA,NA,1.66166216,0.000267163
AT1G08310,Chir01Ox_b07860.2,NA,NA,2.541774758,3.71e-06
AT1G08540,Chir01Ox_b08110.2,NA,NA,1.066919545,0.048896099
AT1G08650,Chir01Ox_b08240.2,NA,NA,1.041983117,0.045474481
AT1G08720,Chir01Ox_b08300.2,2.943214007,6.2e-17,2.108447957,3.85e-05
AT1G08730,Chir07Ox_b04910.2,NA,NA,1.383149817,0.00114207
AT1G08840,Chir01Ox_b08400.2,NA,NA,1.324801734,0.00123921
AT1G08860,Chir01Ox_b08420.2,1.165719696,0.009909739,2.388005654,1.42e-09
AT1G08930,Chir01Ox_b08480.2,NA,NA,2.582665993,9.82e-06
AT1G08940,Chir01Ox_b08490.2,1.463144035,0.002293396,NA,NA
AT1G09060,Chir01Ox_b08590.2,NA,NA,1.669425798,0.000674878
AT1G09070,Chir01Ox_b08600.2,3.005516383,2.92e-16,1.930894362,0.011641118
AT1G09140,Chir01Ox_b08650.2,1.172038426,0.000204241,NA,NA
AT1G09157,Chir07Ox_b03140.2,NA,NA,3.594623763,3.66e-13
AT1G09160,Chir01Ox_b08710.2,NA,NA,1.176381746,0.018753243
AT1G09560,Chir01Ox_b09150.2,1.472423592,3.92e-05,NA,NA
AT1G09575,Chir01Ox_b09170.2,1.135096691,0.000849068,NA,NA
AT1G09600,Chir01Ox_b09200.2,1.87611388,1.85e-05,NA,NA
AT1G09780,Chir01Ox_b09390.2,NA,NA,1.48685259,0.002259958
AT1G09800,Chir01Ox_b09430.2,1.161580842,0.000453905,NA,NA
AT1G09940,Chir01Ox_b09660.2,2.171022735,7.86e-10,3.09292713,6.04e-07
AT1G09950,Chir01Ox_b09670.2,4.606734348,1.08e-27,NA,NA
AT1G09960,Chir01Ox_b09680.2,1.298575654,0.00076093,1.73744309,0.005666226
AT1G09970,Chir01Ox_b09690.2,1.117862317,0.005742179,2.742989077,1.52e-07
AT1G10040,Chir01Ox_b09750.2,2.826694063,9.43e-19,2.558372416,4.52e-06
AT1G10050,Chir01Ox_b09760.2,1.445568029,2.21e-05,1.964873473,5.66e-06
AT1G10170,Chir01Ox_b09870.2,1.407995375,0.000574482,NA,NA
AT1G10230,Chir01Ox_b09940.2,3.076157979,9e-18,NA,NA
AT1G10310,Chir01Ox_b10020.2,NA,NA,1.461304132,0.004458857
AT1G10320,Chir01Ox_b10030.2,NA,NA,1.447896819,0.001078124
AT1G10340,Chir01Ox_b10050.2,1.162772055,0.005932605,NA,NA
AT1G10370,Chir01Ox_b10080.2,NA,NA,3.485693028,1.83e-06
AT1G10650,Chir01Ox_b10400.2,NA,NA,2.689734363,1.97e-09
AT1G10657,Chir01Ox_b10410.2,NA,NA,1.430671806,0.043994948
AT1G10930,Chir01Ox_b10760.2,NA,NA,1.704450113,6.11e-05
AT1G11000,Chir01Ox_b10820.2,NA,NA,1.332432397,0.027494073
AT1G11050,Chir01Ox_b10850.2,1.567651227,0.001571079,2.068554957,0.000548017
AT1G11160,Chir01Ox_b10970.2,NA,NA,1.358319909,0.002958058
AT1G11420,Chir01Ox_b11260.2,1.111815767,0.014008195,NA,NA
AT1G11670,Chir01Ox_b11530.2,3.480004218,6.53e-05,NA,NA
AT1G11690,Chir01Ox_b11550.2,1.978611473,0.003272962,NA,NA
AT1G11790,Chir01Ox_b11690.2,NA,NA,1.539502795,0.000464609
AT1G11890,Chir01Ox_b11780.2,NA,NA,1.257254245,0.007639204
AT1G11950,Chir01Ox_b11870.2,2.083751388,4.89e-09,1.175127862,0.012282625
AT1G11960,Chir01Ox_b11880.2,2.300983678,4.22e-10,2.765820948,0.001709606
AT1G12000,Chir01Ox_b11920.2,NA,NA,1.512495833,0.001323004
AT1G12290,Chir01Ox_b12210.2,1.124888864,0.001212425,NA,NA
AT1G12370,Chir01Ox_b12270.2,NA,NA,3.022679706,2.58e-09
AT1G12430,Chir01Ox_b12330.2,NA,NA,1.225896123,0.009893351
AT1G12580,Chir01Ox_b12470.2,1.129757593,0.000544429,1.157939004,0.03603843
AT1G12610,Chir01Ox_b12490.2,4.40459788,2.89e-06,NA,NA
AT1G12750,Chir01Ox_b12650.2,NA,NA,1.647513091,0.000204374
AT1G12800,Chir01Ox_b12710.2,NA,NA,1.655104939,0.001590777
AT1G13220,Chir01Ox_b13190.2,NA,NA,1.488652713,0.012171626
AT1G13310,Chir01Ox_b13280.2,NA,NA,1.780972564,5.13e-05
AT1G13510,Chir01Ox_b13450.2,1.353908881,0.000104668,NA,NA
AT1G13530,Chir01Ox_b13440.2,1.024968228,0.001837587,NA,NA
AT1G13550,Chir01Ox_b13460.2,3.550864141,4.47e-13,NA,NA
AT1G13790,Chir01Ox_b13760.2,1.665735079,1.67e-07,1.789178868,1.39e-05
AT1G13800,Chir01Ox_b13770.2,1.058900731,0.008623655,NA,NA
AT1G13880,Chir01Ox_b13830.2,1.551472368,1.09e-06,1.665233485,0.000373459
AT1G13990,Chir01Ox_b13940.2,NA,NA,1.517218575,0.045744052
AT1G14000,Chir01Ox_b13960.2,NA,NA,1.174694018,0.025227147
AT1G14200,Chir01Ox_b14200.2,3.098296674,1.17e-16,2.432979759,3.35e-06
AT1G14370,Chir01Ox_b14400.2,NA,NA,1.313591096,0.045810978
AT1G14480,Chir01Ox_b14530.2,2.743753868,7.84e-06,NA,NA
AT1G14540,Chir01Ox_b14610.2,NA,NA,2.17023277,0.017142077
AT1G14740,Chir01Ox_b14850.2,1.768179768,1.48e-07,NA,NA
AT1G15010,Chir01Ox_b15140.2,1.956900844,0.011478265,NA,NA
AT1G15190,Chir01Ox_b15280.2,NA,NA,1.34642307,0.022406963
AT1G15290,Chir01Ox_b15390.2,NA,NA,1.24676204,0.023532428
AT1G15415,Chir01Ox_b15540.2,2.700797171,7.64e-05,1.671064171,0.016914116
AT1G15430,Chir01Ox_b15560.2,3.30220407,5.36e-18,3.216768413,9.35e-10
AT1G15510,Chir01Ox_b15620.2,1.329624764,5.11e-05,NA,NA
AT1G15520,Chir01Ox_b15630.2,5.545467612,2.87e-58,3.190502928,2.35e-31
AT1G15660,Chir01Ox_b15710.2,NA,NA,1.277381317,0.009628579
AT1G15800,Chir01Ox_b15880.2,1.334975445,0.005984528,NA,NA
AT1G15940,Chir01Ox_b16000.2,NA,NA,1.544835399,0.002621816
AT1G15950,Chir01Ox_b16010.2,NA,NA,1.203994588,0.023485934
