"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir01Ox-b03040.2","Chir01Ox-b03040.2","AT1G03940","AT1G03940.1",1.02513162214258,0.602,0.038,1,1,0,0,NA,NA,"anthocyanin-containing compound biosynthetic process, cytoplasm, regulation of flavonoid biosynthetic process, response to jasmonic acid","GEP_13"
"Chir05Ox-b06930.2","Chir05Ox-b06930.2","AT3G28950","K5K13.15",0.806543325438817,0.468,0.058,0.404678039931885,21,0,0,NA,NA,"biological_process, cellular_component, molecular_function","GEP_13"
"Chir08Ox-b08610.2","Chir08Ox-b08610.2","AT4G09820","BHLH42",1.17577351947261,0.711,0.072,0.902527519994101,7,0,0,"Yes","bHLH","DNA-binding transcription factor activity, jasmonic acid mediated signaling pathway, nucleus, positive regulation of anthocyanin biosynthetic process, protein binding, protein dimerization activity, regulation of flavonoid biosynthetic process, regulation of proanthocyanidin biosynthetic process, seed coat development, seed development, transcription cis-regulatory region binding, trichome differentiation","GEP_13"
"Chir07Ox-b09860.2","Chir07Ox-b09860.2","AT4G14090","AT4G14090.1",1.38143573299742,0.771,0.077,0.997968097535175,2,0,0,NA,NA,"anthocyanin 5-O-glucosyltransferase activity, anthocyanin-containing compound biosynthetic process, chloroplast, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, regulation of flavonoid biosynthetic process, response to jasmonic acid, UDP-glucosyltransferase activity","GEP_13"
"Chir05Ox-b08510.2","Chir05Ox-b08510.2","AT3G29590","AT3G29590.1",1.29119197371922,0.764,0.103,0.902637030647986,6,0,0,NA,NA,"anthocyanin-containing compound biosynthetic process, chloroplast, O-malonyltransferase activity","GEP_13"
"Chir07Ox-b19660.2","Chir07Ox-b19660.2","AT4G22880","TDS4",2.87085622911937,0.815,0.105,0.951861405802411,3,0,0,NA,NA,"anthocyanin-containing compound biosynthetic process, cytoplasm, dioxygenase activity, leucocyanidin oxygenase activity, proanthocyanidin biosynthetic process, response to jasmonic acid, response to wounding, vacuole organization","GEP_13"
"Chir02Ox-b17600.2","Chir02Ox-b17600.2","AT1G71030","ATMYBL2",1.04166825341406,0.615,0.108,0.569268948681701,11,0,0,"Yes","MYB_related","anthocyanin-containing compound biosynthetic process, cell differentiation, DNA-binding transcription factor activity, nucleus, proanthocyanidin biosynthetic process, protein binding, transcription cis-regulatory region binding","GEP_13"
"Chir08Ox-b15980.2","Chir08Ox-b15980.2","AT5G54060","UGT79B1",1.44318840890781,0.803,0.111,0.891614173138853,8,0,0,NA,NA,"anthocyanin-containing compound biosynthetic process, cellular response to cytokinin stimulus, cellular response to jasmonic acid stimulus, chloroplast, cyanidin 3-O-glucoside 2-O''-xylosyltransferase activity, cyanidin 3-O-glucoside metabolic process, glycosyltransferase activity, UDP-xylosyltransferase activity","GEP_13"
"Chir02Ox-b08360.2","Chir02Ox-b08360.2",NA,NA,0.676268052064562,0.525,0.112,0.432964988356645,19,0,0,NA,NA,NA,"GEP_13"
"Chir06Ox-b31020.2","Chir06Ox-b31020.2","AT5G07990","TT7",0.957598592957938,0.729,0.114,0.815191573909528,9,0,0,NA,NA,"extracellular region, flavonoid 3'-monooxygenase activity, flavonoid biosynthetic process, heme binding, iron ion binding, membrane, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, response to auxin, response to UV","GEP_13"
