"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir01Ox-b16130.2","Chir01Ox-b16130.2","AT1G16070","AtTLP8",0.485792055787674,0.558,0.056,0,0,NA,NA,"cytoplasm, cytosol, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, response to fungus","GEP_44and DEGs"
"Chir03Ox-b09520.2","Chir03Ox-b09520.2",NA,NA,0.338257145917966,0.462,0.072,0,0,NA,NA,NA,"GEP_44and DEGs"
"Chir05Ox-b04890.2","Chir05Ox-b04890.2",NA,NA,0.584963239667133,0.566,0.087,0,0,NA,NA,NA,"GEP_44and DEGs"
"Chir02Ox-b23850.2","Chir02Ox-b23850.2","AT1G76740","F28O16.11",0.619690439199196,0.678,0.096,0,0,NA,NA,"biological_process, mitochondrion, molecular_function","GEP_44and DEGs"
"Chir04Ox-b24920.2","Chir04Ox-b24920.2",NA,NA,0.508089728910155,0.586,0.096,0,0,NA,NA,NA,"GEP_44and DEGs"
"Chir08Ox-b01870.2","Chir08Ox-b01870.2","AT4G01730","T15B16.11",0.67748178823702,0.721,0.096,0,0,NA,NA,"endoplasmic reticulum, Golgi apparatus, peptidyl-L-cysteine S-palmitoylation, protein targeting to membrane, protein-cysteine S-palmitoyltransferase activity","GEP_44and DEGs"
"Chir06Ox-b36620.2","Chir06Ox-b36620.2","AT5G02370","T1E22.130",0.633308624843325,0.707,0.097,0,0,NA,NA,"ATP hydrolysis activity, chloroplast, cytoplasm, kinesin complex, microtubule, microtubule binding, microtubule motor activity, microtubule-based movement","GEP_44and DEGs"
"Chir06Ox-b37850.2","Chir06Ox-b37850.2","AT5G01910","T20L15.180",1.56815986800851,0.816,0.097,0,0,NA,NA,"mitochondrion, molecular_function, nucleus, stomatal complex development","GEP_44and DEGs"
"Chir01Ox-b04690.2","Chir01Ox-b04690.2","AT1G05440","T25N20.9",0.693958525147262,0.719,0.1,0,0,NA,NA,"biological_process, endoplasmic reticulum, molecular_function, nucleus","GEP_44and DEGs"
"Chir03Ox-b02270.2","Chir03Ox-b02270.2","AT3G03130","T17B22.18",1.12376346327609,0.704,0.101,0,0,NA,NA,"cytokinesis, meiotic cell cycle process, molecular_function, multicellular organismal reproductive process, negative regulation of cellular process, nucleus","GEP_44and DEGs"
"Chir02Ox-b15590.2","Chir02Ox-b15590.2","AT1G69180","CRC",0.341692479521233,0.133,0.071,1.68682416875862e-33,3.31629631577945e-29,"Yes","YABBY","carpel development, cell fate commitment, DNA-binding transcription factor activity, floral meristem determinacy, leaf development, nectary development, nucleus, polarity specification of adaxial/abaxial axis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, style development, transcription cis-regulatory region binding","DEGs"
"Chir07Ox-b35530.2","Chir07Ox-b35530.2","AT4G38070","F20D10.190",0.699098827184973,0.745,0.122,0,0,"Yes","bHLH","DNA-binding transcription factor activity, mitochondrion, nucleus, protein dimerization activity, regulation of DNA-templated transcription","DEGs"
