"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir01Ox-b41500.2","Chir01Ox-b41500.2","AT1G52690","LEA7",0.34676934639016,0.108,0.013,2.54272759076599e-196,4.99900244344594e-192,NA,NA,"cytosol, molecular_function, protein stabilization, response to freezing, response to water deprivation","GEP_21and DEGs"
"Chir05Ox-b00600.2","Chir05Ox-b00600.2","AT2G01610","T8O11.22",1.44184640335163,0.373,0.02,0,0,NA,NA,"enzyme inhibitor activity, extracellular region, negative regulation of catalytic activity","GEP_4and DEGs"
"Chir02Ox-b11350.2","Chir02Ox-b11350.2","AT1G65690","NHL6",1.70599173358175,0.368,0.023,0,0,NA,NA,"cytosol, molecular_function, plasma membrane, positive regulation of abscisic acid biosynthetic process, response to abscisic acid, response to osmotic stress, response to salt","GEP_4and DEGs"
"Chir06Ox-b25450.2","Chir06Ox-b25450.2","AT5G14000","anac084",1.19663482448734,0.293,0.024,0,0,"Yes","NAC","carboxylic acid biosynthetic process, cellular catabolic process, cellular lipid metabolic process, DNA binding, DNA-binding transcription factor activity, lipid biosynthetic process, nucleus, organic cyclic compound catabolic process, organic hydroxy compound metabolic process, regulation of DNA-templated transcription, response to salt stress, secondary metabolic process, transcription cis-regulatory region binding","GEP_4and DEGs"
"Chir01Ox-b41050.2","Chir01Ox-b41050.2","AT1G52200","F9I5.19",1.87852350503464,0.433,0.027,0,0,NA,NA,"molecular_function, nucleus, response to oxidative stress","GEP_4and DEGs"
"Chir04Ox-b21430.2","Chir04Ox-b21430.2","AT2G38870","AT2G38870.1",2.67774410353853,0.402,0.028,0,0,NA,NA,"cytosol, defense response to fungus, extracellular region, plant-type cell wall, response to wounding","GEP_4and DEGs"
"Chir05Ox-b04600.2","Chir05Ox-b04600.2",NA,NA,0.679678566155528,0.358,0.028,0,0,NA,NA,NA,"GEP_21and DEGs"
"Chir02Ox-b08950.2","Chir02Ox-b08950.2","AT1G56250","AtPP2-B14",1.27132314440434,0.349,0.038,0,0,NA,NA,"camalexin biosynthetic process, carbohydrate binding, cellular response to organic substance, cellular response to oxygen-containing compound, chloroplast, cytoplasm, defense response to bacterium, defense response to fungus, immune system process, nucleus, phyllome development, protein binding, regulation of defense response, response to abscisic acid, response to chitin, response to inorganic substance, response to salicylic acid, response to wounding","GEP_4and DEGs"
"Chir08Ox-b23620.2","Chir08Ox-b23620.2","AT5G61160","ACT",1.42735809702693,0.545,0.041,0,0,NA,NA,"agmatine N4-coumaroyltransferase activity, cytoplasm","GEP_4and DEGs"
"Chir07Ox-b04970.2","Chir07Ox-b04970.2",NA,NA,1.01388745137043,0.462,0.042,0,0,NA,NA,NA,"GEP_4and DEGs"
"Chir07Ox-b19300.2","Chir07Ox-b19300.2","AT4G22620","SAUR34",0.697173129791362,0.3,0.044,0,0,NA,NA,"cellular response to hormone stimulus, mitochondrion, molecular_function, response to abscisic acid, response to auxin, response to water deprivation, response to wounding, signal transduction","GEP_21and DEGs"
"Chir05Ox-b02030.2","Chir05Ox-b02030.2",NA,NA,1.34483009705122,0.456,0.046,0,0,NA,NA,NA,"GEP_4and DEGs"
"Chir04Ox-b26270.2","Chir04Ox-b26270.2",NA,NA,1.37166346880516,0.453,0.057,0,0,NA,NA,NA,"GEP_4and DEGs"
"Chir02Ox-b23120.2","Chir02Ox-b23120.2","AT1G76070","AT1G76070.1",1.07980722995524,0.614,0.069,0,0,NA,NA,"cellular response to lipid, defense response to bacterium, defense response to fungus, hormone-mediated signaling pathway, immune system process, jasmonic acid mediated signaling pathway, monocarboxylic acid metabolic process, nucleus, organic acid biosynthetic process, protein binding, regulation of defense response, response to abscisic acid, response to chitin, response to inorganic substance, response to organic cyclic compound, response to oxidative stress, response to salt stress, response to temperature stimulus, response to wounding","GEP_21and DEGs"
"Chir08Ox-b09780.2","Chir08Ox-b09780.2","AT4G08555",NA,1.72012357402256,0.587,0.076,0,0,NA,NA,"cellular_component, molecular_function, response to inorganic substance","GEP_21and DEGs"
