"Chirsutav12","pval","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","X","Athaliana","Chir_length","Ath_length","TF","TF_family","Gene_code_name","Gene_functions","gene_ID"
"Chir02Ox-b20560.2",0,0.4107695,0.153,0.001,0,15,"Chir02Ox-b20560.2",4810,"AT1G73780",524,768,NA,NA,"F25P22.20","extracellular region, lipid transport, molecular_function","Chir02Ox-b20560.2"
"Chir06Ox-b13230.2",0,0.436221,0.15,0.002,0,15,"Chir06Ox-b13230.2",13384,"AT5G26630",1099,808,"Yes","M-type_MADS","AGL35","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein dimerization activity, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, transcription cis-regulatory region binding","Chir06Ox-b13230.2"
"Chir02Ox-b13370.2",0,0.3472593,0.175,0.002,0,15,"Chir02Ox-b13370.2",4236,"AT1G67265",963,672,NA,NA,"DVL3","molecular_function, negative regulation of cell population proliferation, plasma membrane, shoot system development","Chir02Ox-b13370.2"
"Chir08Ox-b23570.2",0,0.2733216,0.161,0.002,0,15,"Chir08Ox-b23570.2",19944,"AT5G61120",3404,3593,NA,NA,"PHD6","biological_process, molecular_function, nucleus","Chir08Ox-b23570.2"
"Chir03Ox-b21940.2",0,0.461177,0.246,0.003,0,15,"Chir03Ox-b21940.2",7284,"AT3G21770",1788,1563,NA,NA,"MSD21.10","cytoplasm, extracellular region, glycosyltransferase activity, heme binding, nucleus, peroxidase activity, plant-type cell wall, plasmodesma, response to oxidative stress, response to stress","Chir03Ox-b21940.2"
"Chir07Ox-b28870.2",0,0.3287533,0.15,0.003,0,15,"Chir07Ox-b28870.2",17509,"AT4G31610",2504,2547,"Yes","B3","REM1","flower development, megagametogenesis, nucleus, pollen development, protein binding","Chir07Ox-b28870.2"
"Chir03Ox-b34160.2",0,0.7838748,0.35,0.004,0,15,"Chir03Ox-b34160.2",8064,"AT2G19590",1464,2457,NA,NA,"ATACO1","1-aminocyclopropane-1-carboxylate oxidase activity, cellular response to fatty acid, cellular response to nitric oxide, cellular response to potassium ion starvation, cytoplasm, ethylene biosynthetic process","Chir03Ox-b34160.2"
"Chir08Ox-b20700.2",0,0.3134106,0.205,0.004,0,15,"Chir08Ox-b20700.2",19722,"AT5G58500",1160,1285,NA,NA,"LSH5","molecular_function, mRNA transcription, nucleus, post-embryonic plant morphogenesis, response to light stimulus","Chir08Ox-b20700.2"
"Chir01Ox-b24440.2",3.740275e-289,0.4379476,0.142,0.004,7.35338e-285,15,"Chir01Ox-b24440.2",2057,"AT1G26780",1683,1761,"Yes","MYB","MYB117","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, organ boundary specification between lateral organs and the meristem, regulation of DNA-templated transcription, RNA polymerase II cis-regulatory region sequence-specific DNA binding","Chir01Ox-b24440.2"
"Chir04Ox-b25890.2",3.367287e-255,0.4486604,0.137,0.004,6.620086e-251,15,"Chir04Ox-b25890.2",10067,"AT2G43150",4833,1493,NA,NA,"EXT21","cell differentiation, defense response to other organism, developmental growth, plant epidermis development, plant-type cell wall organization, response to fungus, root morphogenesis, secondary metabolic process, structural constituent of cell wall","Chir04Ox-b25890.2"
